0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
46.085,29.693,14.17,-23.685,12.318,-9.989,2.788,4.099,20.987,13.166,18.407,0.793
46.733,37.006,-3.313,-24.559,-3.937,-51.076,0.91,-3.817,2.784,14.772,-2.98,23.134
50.963,53.463,38.161,-10.681,-1.111,-8.867,17.865,-18.944,13.444,10.362,-4.503,-4.212
51.601,48.8,54.229,-9.962,11.394,-32.527,34.261,14.029,24.021,1.11,-17.843,-0.243
52.287,53.649,61.747,-9.041,8.897,-35.782,26.363,0.621,14.976,2.956,-0.475,-5.49
52.793,68.663,77.411,-19.534,12.7,-32.059,-0.167,19.854,8.692,7.849,-6.471,-1.235
52.952,80.177,47.067,8.415,22.689,-33.721,1.453,-10.642,10.945,4.744,-15.684,7.037
46.539,37.156,17.047,-44.41,2.361,-25.249,-11.547,-3.37,8.776,-1.807,-2.658,9.732
50.664,48.655,69.962,-19.41,25.219,-30.554,-6.595,-4.543,9.312,15.976,-11.299,-0.064
51.291,47.757,60.088,-9.95,25.454,-38.778,6.977,-14.482,26.379,11.253,-4.367,-12.32
51.778,56.469,65.323,-2.195,15.124,-37.276,5.433,6.337,16.262,3.681,7.324,0.029
51.47,55.337,56.745,10.011,5.233,-26.27,22.268,4.665,-16.268,-8.724,-16.529,23.06
50.596,34.543,64.993,-38.114,41.343,-29.756,-16.476,6.856,12.795,8.366,5.964,11.617
51.766,55.617,79.354,-2.775,22.916,-32.151,5.88,17.055,7.313,-4.979,3.24,-1.847
51.013,29.415,58.546,-15.458,27.375,-37.896,4.559,-8.6,13.515,8.332,-3.592,-6.909
51.365,27.689,71.848,5.068,31.973,-43.529,-0.075,2.441,11.336,11.954,-4.228,-14.386
51.462,64.652,82.238,19.361,24.049,-21.38,4.152,0.79,-2.805,3.556,-12.678,17.745
51.062,104.998,29.553,-5.208,-10.323,-1.855,-21.878,-15.748,-4.075,-3.075,-10.29,-5.662
50.475,50.226,59.462,-26.992,22.985,-28.042,0.711,-13.553,18.223,15.44,-4.699,-3.03
51.406,55.398,56.146,-2.812,22.488,-46.922,19.907,-11.189,23.625,16.35,1.83,2.804
50.637,35.428,55.126,-21.792,23.843,-23.593,2.569,13.092,15.215,2.451,-9.223,-2.595
54.37,75.699,5.324,-35.658,21.197,25.05,5.35,14.339,2.325,-6.759,32.203,3.531
55.057,90.505,2.926,-6.55,-16.514,-58.981,-10.219,18.938,-23.72,-6.224,-6.201,9.685
54.791,88.134,-0.448,-12.424,2.135,-28.383,-10.5,5.502,-25.581,12.031,10.328,-0.418
56.746,80.629,-6.249,-42.105,32.202,-39.799,-34.48,-1.107,-9.911,22.891,20.286,8.328
57.393,72.154,3.756,-19.236,6.472,-64.02,-6.711,6.156,5.414,24.898,-12.306,-0.677
56.432,127.881,-14.777,-35.829,17.061,-39.504,-0.065,-2.038,-7.258,10.053,-8.408,-15.258
55.237,112.353,-27.023,15.36,16.441,-17.885,-30.269,50.157,-27.538,8.272,-48.4,-1.482
51.696,132.655,0.351,-108.299,58.93,-4.952,22.238,-44.441,-23.406,32.836,-21.372,-11.273
56.579,93.185,2.898,-49.643,27.394,-27.45,-22.237,20.027,2.878,20.449,-4.129,-5.628
56.482,99.884,8.379,-27.995,-1.975,-28.079,-14.493,-12.186,-0.208,22.984,-1.762,-17.01
57.148,131.634,-2.942,-18.384,22.255,-23.518,-40.23,-9.525,-16.96,7.928,-13.656,-0.229
56.639,110.372,3.398,-12.786,17.512,-15.986,-11.68,-50.52,-9.807,33.068,-7.206,-5.741
56.429,63.857,5.786,-19.471,24.108,-48.388,-13.568,27.752,3.064,20.932,-19.82,-19.044
54.167,78.111,-29.712,19.14,28.506,-6.938,-49.068,23.477,10.22,-9.759,-55.674,16.556
54.199,51.55,18.138,-67.645,21.317,6.079,1.0,5.472,0.501,13.251,-1.692,-8.414
56.185,56.579,13.809,4.401,5.079,-56.601,14.199,-11.22,5.26,32.021,-3.287,0.889
56.316,56.927,30.843,-8.514,13.98,-26.158,3.13,-8.002,-10.517,9.011,1.308,-27.073
56.803,70.605,12.603,-7.849,16.898,-57.775,18.83,-4.265,8.155,15.442,-0.558,6.438
55.871,60.356,23.614,8.84,3.693,-33.846,16.549,-21.356,6.51,17.45,-2.224,-7.136
55.271,38.975,-8.628,-3.224,-8.966,-42.814,-33.278,-9.786,-6.578,25.726,16.593,-6.082
56.204,116.012,-8.061,-2.973,6.059,-28.106,1.305,6.495,-18.827,17.808,-10.354,-15.579
56.324,106.654,19.616,-12.284,-5.267,-49.98,-3.842,-26.664,-5.458,25.759,-5.922,-8.728
56.285,93.634,14.316,1.737,6.46,-25.681,-12.553,0.667,-3.053,12.576,-25.463,-1.927
55.165,113.497,0.534,-40.773,36.373,1.203,3.755,-25.003,-11.47,29.799,-4.499,-13.051
55.312,104.194,-12.714,-38.525,18.316,-5.772,-15.74,8.9,-21.918,-0.614,-15.478,-5.343
55.664,85.28,10.406,-18.375,14.062,-7.596,-11.328,-19.148,-10.232,25.742,-3.39,-16.213
55.961,49.464,8.16,-10.437,17.269,-27.885,2.27,-27.542,16.118,9.272,-5.462,-15.164
54.276,107.213,-18.152,26.762,34.928,-46.815,-35.842,51.521,-15.641,1.886,-29.71,-4.264
54.865,99.12,11.103,-50.608,0.337,4.301,11.476,-24.609,-18.045,19.409,-6.204,-17.484
55.103,70.873,-2.807,-10.788,-10.829,-59.197,-29.702,3.071,-24.412,2.187,4.261,-4.805
55.144,85.249,10.176,-13.848,-6.399,-11.229,-10.982,-4.765,-7.118,-2.275,-6.292,-9.122
55.179,76.346,8.735,-34.58,0.751,-2.485,10.831,-13.537,-3.962,-9.04,0.339,-23.788
55.6,74.474,37.355,-5.07,-24.543,-57.53,21.327,-6.636,-13.354,32.352,-14.778,-16.807
55.969,51.952,33.152,-20.597,-10.019,-33.293,9.731,13.809,-13.918,1.583,-7.45,3.971
54.957,61.369,-21.715,-10.895,10.581,-68.999,-45.676,14.33,-24.947,14.112,-5.876,-4.381
53.729,90.803,-9.695,-16.499,-15.309,-66.549,-23.577,-7.545,-13.112,0.3,-8.947,4.807
53.14,81.867,-18.182,-0.237,10.796,-26.91,-13.146,4.067,-17.069,5.797,-3.331,8.282
53.554,78.082,-8.491,-15.059,1.966,-16.663,-15.019,4.339,-17.521,4.076,18.848,6.711
53.868,84.253,-2.766,-3.74,-0.834,-49.104,-19.884,11.939,-13.956,7.135,7.106,-10.799
53.749,86.462,1.33,-2.456,-9.16,-42.558,3.076,-14.16,4.55,21.767,3.94,-19.846
53.352,81.437,-6.144,-18.226,-31.955,-59.262,-5.687,-9.713,-1.0,31.303,-4.746,-15.638
56.289,89.206,8.979,-24.479,-6.254,-18.684,-15.964,-43.229,-19.437,23.428,-2.224,-13.643
56.725,87.961,3.377,14.05,33.659,-41.635,14.916,2.747,-8.642,1.496,-19.854,-6.325
53.665,50.646,15.36,-81.314,42.087,7.175,-3.528,3.976,-23.687,9.366,-4.976,-1.528
55.354,41.583,36.512,-29.582,42.828,-37.506,-4.975,21.929,15.992,-4.268,1.302,-0.645
56.589,68.662,15.309,-0.997,7.318,-62.437,17.912,1.411,14.081,21.732,5.591,6.98
55.9,112.799,-0.431,-16.891,4.926,-18.386,-9.545,3.568,-10.277,-13.707,-15.936,-6.591
55.815,70.94,17.002,0.071,48.619,-40.125,-3.635,16.904,14.993,-10.428,-16.531,-12.441
56.129,66.118,21.132,-12.163,25.415,-21.415,6.775,8.997,-0.016,7.685,-0.049,-25.381
55.929,91.495,5.913,-26.087,16.07,-13.598,16.001,-26.159,-16.554,10.163,-15.73,-22.129
52.386,41.259,-25.803,47.575,33.661,-30.845,-24.651,16.485,7.071,-8.954,-36.515,-1.866
51.94,111.092,21.886,-104.816,14.149,27.089,0.821,-34.128,-4.723,-24.327,0.671,-6.948
56.038,80.622,31.425,-9.909,-13.197,-44.253,8.421,-12.213,0.306,25.946,-6.035,-14.024
55.632,62.876,-4.127,-29.607,-2.431,-67.049,-34.339,-0.4,-14.118,11.837,-23.427,-9.539
55.778,90.101,11.78,-10.941,0.467,-31.901,-7.644,6.568,-15.348,32.705,-12.349,-14.181
56.79,89.79,6.807,-18.823,18.261,-45.125,-13.973,-6.703,1.803,18.04,-14.517,6.24
55.84,55.292,28.915,0.823,15.176,-50.724,10.905,-10.473,11.326,23.477,-1.686,-12.154
56.078,57.04,21.725,8.634,-0.615,-31.424,35.944,-10.042,16.49,1.044,-1.972,14.467
55.874,68.507,22.65,-19.07,3.72,-25.79,6.838,-5.427,0.864,-10.085,-18.204,-9.593
55.147,55.266,3.959,7.846,7.138,-47.099,-17.241,9.838,-11.953,32.284,-29.579,-10.91
54.974,77.647,12.939,-36.126,26.241,-16.724,-10.108,-7.127,-24.9,41.497,-11.397,11.613
56.098,79.758,-4.867,-7.019,19.497,-16.087,-10.812,-8.931,-8.133,1.458,-2.274,-5.475
55.771,93.433,-4.187,-19.199,0.045,-19.162,-4.77,1.042,-28.858,20.32,9.614,-7.121
54.928,118.375,-7.839,5.648,8.543,-38.374,-55.769,38.283,-14.915,6.593,-34.273,8.954
54.879,117.47,-3.365,-42.041,17.09,-1.926,-1.683,-34.019,-27.619,50.142,-14.567,-12.46
55.418,90.805,8.937,-12.901,25.751,-17.2,2.537,-41.938,-8.291,12.498,-20.123,-17.245
55.154,74.785,10.959,-54.818,58.992,-15.279,-20.265,-24.336,16.273,1.551,-2.155,5.825
56.46,61.981,24.898,-4.458,-8.645,-63.526,17.778,-2.703,-4.539,24.962,-8.09,0.073
56.552,60.119,27.117,0.619,17.808,-41.371,5.719,4.987,-13.655,1.266,0.696,2.827
