0,1,2,3,4,5,6,7,8,9,10,11
0.772,153.098,6.549,-45.148,63.162,-48.102,8.06,-14.299,-30.183,2.537,-6.935,-3.691
5.688,56.386,-10.961,-66.917,86.566,-42.405,-9.589,-22.549,-39.849,3.243,2.407,18.013
10.893,4.74,10.423,-69.5,79.603,-48.754,2.576,-13.115,-10.727,6.462,5.727,-0.697
15.57,6.82,1.597,-51.881,55.933,-41.604,-18.467,3.374,4.438,-1.274,4.953,18.407
18.429,15.941,10.151,-43.231,60.438,-43.255,-2.319,18.907,9.541,7.608,6.706,4.956
20.65,19.645,12.114,-51.839,65.673,-43.526,-13.271,7.199,5.227,11.825,-0.186,15.401
23.36,29.739,8.05,-39.147,72.194,-35.736,-12.401,2.942,2.657,5.533,3.595,14.294
25.378,53.405,4.292,-46.657,58.26,-37.453,-8.077,-4.674,-6.59,-2.863,4.128,21.149
28.245,43.715,5.061,-51.648,61.606,-36.962,-21.539,1.268,-16.526,1.41,14.005,22.992
31.731,61.809,17.802,-41.183,71.235,-34.379,-26.836,4.417,-5.139,3.288,3.408,19.901
35.286,65.455,22.583,-45.967,83.982,-34.729,-29.109,-9.875,-0.151,9.027,7.32,12.893
39.201,65.351,25.33,-45.597,81.332,-32.058,-8.43,-9.333,-9.989,7.9,1.047,14.747
42.15,71.941,34.53,-42.521,80.612,-35.834,-20.157,-1.19,-17.746,-1.788,11.281,17.161
45.721,101.438,39.079,-39.215,70.644,-32.703,0.929,-1.292,-12.332,3.148,-0.151,5.408
49.049,93.901,9.545,-49.167,55.178,-28.783,-31.955,8.665,-19.882,-2.441,0.053,18.522
52.647,80.225,-32.169,-24.542,-8.216,-68.53,7.519,25.593,-7.113,10.979,-11.946,6.441
50.956,94.233,-46.911,-11.608,8.54,-46.191,9.411,22.097,-3.439,9.836,-12.375,-3.51
53.332,56.367,-27.464,18.007,-10.804,-38.463,-5.855,19.565,-4.429,-2.419,-19.841,11.209
52.223,128.789,16.145,-36.681,-25.663,5.97,36.119,22.372,3.998,-10.551,6.116,-3.462
53.901,81.314,1.826,18.115,-28.447,-38.366,-0.888,-4.943,2.024,19.036,-10.467,2.147
54.845,63.814,-7.338,-11.024,-8.812,-28.315,-4.6,15.372,-3.986,2.155,19.694,-3.314
54.162,61.242,-0.245,-6.82,-16.572,-40.978,7.349,12.065,-0.145,10.522,-7.706,12.48
52.106,58.929,-10.602,-1.028,-31.568,-72.936,16.164,7.154,-2.74,16.825,-11.681,8.632
54.544,60.594,-3.344,4.073,-14.633,-52.459,-8.816,14.369,-2.06,-5.223,-6.872,12.822
49.922,84.907,32.685,27.245,-4.283,-41.625,16.751,13.036,6.344,-5.125,-0.315,0.237
51.567,42.195,-16.92,6.793,-30.576,-36.526,10.976,-1.588,-8.101,24.38,9.675,9.729
53.205,39.349,-26.0,8.26,2.356,-62.232,-11.59,13.045,-7.074,-0.407,-11.525,14.705
51.367,29.306,-16.609,9.664,-12.334,-46.453,5.586,-8.404,-3.109,16.626,1.109,2.044
47.84,11.239,-13.214,-4.159,-1.114,-30.247,5.066,3.699,-4.714,-12.04,-24.619,7.47
47.492,0.698,-51.987,55.048,-30.571,-13.389,18.792,-29.717,2.941,12.969,12.612,2.79
52.497,49.289,-32.89,23.963,-9.381,-9.402,4.107,14.057,-6.654,0.649,0.505,9.217
51.191,115.814,20.263,-44.235,-17.738,15.783,34.758,28.1,3.722,-8.791,4.674,-7.474
53.495,118.215,26.711,-10.099,-25.299,-17.641,3.835,-22.024,-0.526,20.176,-24.136,-1.739
55.255,65.599,2.425,-15.109,-21.245,-48.046,-8.508,13.009,4.772,-11.823,-9.734,0.396
54.475,71.605,1.616,-19.427,-17.262,-49.011,8.123,14.889,7.522,13.189,-6.887,7.834
53.459,81.243,21.877,-10.799,-8.035,-25.504,5.281,3.246,8.144,5.207,-11.013,25.676
52.012,56.269,-10.58,6.136,-20.524,-30.933,14.722,6.096,4.16,9.608,-10.456,6.37
52.74,52.992,-26.503,6.664,1.69,-26.353,-9.567,13.151,-1.308,8.31,16.288,1.294
49.111,43.744,-9.515,18.967,-24.852,-21.385,15.356,1.674,-0.818,4.254,-13.964,-1.633
49.334,30.172,-43.712,36.819,-31.297,-29.128,11.701,-11.43,-0.252,22.162,2.08,3.213
54.678,61.072,-3.779,-14.906,-1.328,-11.992,8.546,23.968,-6.91,1.917,29.255,2.951
53.621,79.165,-4.906,-5.941,-18.09,-29.735,14.164,14.686,-12.92,5.108,-6.862,3.957
50.224,50.613,-33.59,21.512,-36.728,-56.862,7.756,-7.826,-12.049,22.849,0.42,3.971
52.668,55.591,-27.865,17.279,-8.945,9.631,4.126,17.197,-0.858,4.47,9.034,-1.478
51.734,128.553,36.012,-45.751,-25.173,8.302,32.212,19.119,3.745,-14.206,-0.013,-5.474
53.866,82.346,9.923,0.637,-20.221,-20.877,8.079,-8.214,5.78,24.785,-11.332,8.452
54.878,56.261,5.178,-8.153,-13.478,-47.182,-13.237,9.49,-2.497,-4.738,-4.796,-3.463
54.443,63.091,12.079,6.146,-6.768,-36.177,-0.915,12.409,11.279,4.17,2.033,1.205
51.886,56.158,-5.773,4.911,-33.52,-67.559,20.332,16.268,-1.764,14.611,-3.847,16.31
54.328,61.609,2.498,-0.086,-16.267,-58.544,-4.702,13.155,-2.921,-8.552,-14.417,11.176
50.572,82.049,16.893,21.694,-15.54,-44.456,30.764,7.226,0.436,7.483,-5.123,18.567
52.144,41.754,-12.877,9.31,-23.803,-13.984,4.985,-11.194,-12.355,14.517,3.541,15.178
53.562,44.822,-25.376,4.627,-6.535,-61.211,-13.605,12.836,-8.136,-10.318,-16.686,12.601
52.059,24.623,-16.813,10.636,-17.904,-60.99,7.471,-5.093,0.346,21.265,-11.319,7.052
48.472,12.774,-21.953,24.181,0.725,-29.391,12.333,-3.504,-10.625,-2.099,-11.483,-5.788
47.567,-3.561,-45.941,51.842,-30.677,-26.724,22.066,-26.628,5.653,9.969,20.532,-0.725
51.406,43.177,-31.978,-10.783,-1.198,47.117,12.53,23.215,11.04,-12.908,22.728,-7.546
51.736,108.799,32.355,-23.655,-13.919,1.451,41.95,19.317,-3.919,1.712,4.165,3.328
53.892,63.727,10.7,4.244,-20.776,-33.073,16.282,-3.364,4.759,10.062,0.559,-7.94
53.747,53.465,-22.186,-3.672,0.103,-40.941,-6.771,4.323,-3.311,-0.205,6.981,2.646
52.645,46.641,-10.555,11.395,-24.298,-36.496,7.856,-4.051,-8.945,8.742,2.465,-0.78
50.366,30.29,-2.313,-2.64,-13.36,-16.466,0.064,-6.485,-13.622,-13.388,-12.493,4.914
51.081,24.989,-8.686,13.462,-22.716,-0.1,28.322,-14.854,-4.188,13.574,0.379,-0.284
50.971,23.478,-25.79,12.125,-19.634,-45.822,25.814,-4.253,-5.857,23.117,14.14,-1.231
55.007,60.999,-9.436,-7.621,-7.582,-55.869,-4.178,20.154,-3.957,-14.531,-11.366,12.817
49.9,65.787,7.733,-11.284,-8.59,-14.028,38.968,-0.033,-7.305,-2.219,-7.428,4.855
54.255,57.24,-10.947,-5.96,-21.942,-66.738,-7.597,21.9,0.233,-15.592,-6.284,3.077
53.868,62.426,-4.418,14.135,-7.034,-48.657,3.166,15.666,-2.829,-11.839,-23.37,20.458
49.181,82.231,36.901,-6.188,0.376,-38.273,18.293,19.077,-8.121,-8.274,5.607,21.404
52.695,78.152,-20.796,-10.737,1.542,-36.509,2.595,31.45,-6.976,7.675,16.71,-0.118
55.001,39.994,-18.977,-10.984,21.695,-41.327,-9.75,13.279,-15.623,5.904,-40.936,-2.974
50.573,73.01,-48.161,11.024,10.029,-17.63,0.219,-10.795,-22.954,17.033,-23.608,6.425
50.489,33.142,-24.586,-3.698,52.757,-1.647,7.949,8.724,-17.08,21.47,-28.691,8.989
53.303,46.149,-13.466,-32.871,18.36,16.224,17.849,3.11,-2.118,18.476,8.816,1.387
53.01,-2.705,-20.112,0.654,20.291,-42.509,6.909,-10.847,-10.996,24.853,-9.886,24.546
52.974,29.234,-16.033,-43.492,-4.608,-70.661,-15.483,8.345,-22.222,19.604,-6.502,-9.07
52.371,29.199,-39.62,37.255,2.843,-50.631,-16.586,9.107,-8.964,-12.227,-46.69,5.946
45.481,28.768,-48.869,51.958,-2.744,-19.714,20.421,-18.045,-14.157,-6.627,-18.937,-9.986
53.88,66.614,-47.372,-30.591,17.041,7.197,-22.83,10.061,1.576,-5.087,32.043,1.801
53.493,34.762,-33.015,5.284,9.75,-58.087,-17.102,18.396,-4.768,-1.148,-23.695,8.946
53.764,31.483,-7.571,-24.241,27.46,-14.014,27.19,-13.961,-6.22,15.252,-0.834,-1.079
52.879,34.396,-31.083,-15.939,54.876,-39.802,22.215,5.909,-1.149,-13.203,-0.412,10.725
54.642,50.054,-12.403,-30.702,28.517,-47.634,-4.168,0.26,4.416,20.058,-11.419,-20.122
52.838,19.806,-48.262,43.87,15.84,-52.797,-13.496,8.579,-0.618,-4.879,-44.558,-8.02
48.036,60.301,-16.857,18.289,7.319,-2.8,32.68,7.764,-8.569,-27.528,-18.59,-22.637
52.758,34.426,-16.522,-63.928,44.081,35.105,17.011,-9.319,-17.349,14.756,11.216,-13.393
53.802,59.371,-37.598,-9.49,16.309,-65.784,-15.275,40.356,-23.733,-14.663,-18.358,3.143
53.091,38.802,-40.323,6.449,13.966,-35.909,-2.03,-2.136,-16.781,20.181,-26.25,-9.869
49.532,54.172,-39.843,-105.665,33.73,-0.745,12.17,16.312,-4.485,-29.593,-8.315,-18.362
52.9,66.574,-53.478,-36.155,30.21,-10.625,-45.789,6.12,-0.052,9.507,-24.16,12.343
50.633,27.898,-4.381,-19.026,21.2,-35.118,24.794,-32.748,-22.777,26.534,-13.493,-6.988
50.932,-18.356,15.754,10.46,28.634,-56.791,13.431,-0.68,-13.883,6.253,-13.323,-12.631
54.36,47.694,-18.708,-17.48,16.5,-42.393,-1.256,3.516,-18.596,9.183,-3.821,-1.119
53.65,32.665,-37.026,-4.4,9.35,-69.216,-25.04,2.066,-6.674,-4.656,-18.48,13.934
52.568,61.812,-48.123,18.094,13.892,-25.665,7.183,-11.277,-4.855,-10.781,-13.763,3.777
48.297,13.25,-36.875,34.025,-35.795,-75.355,10.541,-35.015,-27.728,18.962,-29.456,-3.68
53.911,66.691,-40.816,-12.913,10.836,-33.131,-22.479,42.252,-2.708,2.301,18.584,3.361
51.474,91.377,-40.901,13.993,21.674,-38.474,-17.098,14.286,-13.215,16.21,-4.251,4.16
54.6,40.605,23.616,-4.846,61.46,10.173,-0.925,5.931,-14.004,11.732,-16.34,-21.173
53.262,61.59,-26.404,22.34,-14.089,-26.206,3.185,-5.346,-2.468,-1.558,-29.75,0.463
51.272,51.785,-27.036,-53.145,11.396,-7.245,-2.378,-11.574,-6.752,-10.904,-20.436,7.308
53.019,13.566,-19.864,-13.311,14.956,-36.824,1.172,-16.019,-19.286,19.55,-8.711,15.278
53.699,23.077,-22.442,-42.625,39.598,-21.459,17.243,-8.424,-4.517,0.36,15.081,-11.435
54.952,58.044,25.127,-30.646,23.278,-32.311,-16.355,-9.833,3.36,6.226,-12.474,-48.797
52.766,21.946,-37.416,36.529,5.58,-49.653,-22.917,6.401,-1.424,-6.193,-48.57,-16.151
47.397,56.95,-31.174,-1.981,12.697,4.702,23.24,8.037,4.512,-24.71,-17.331,-16.476
53.432,27.817,-23.236,-22.422,14.211,-17.216,3.667,-0.717,-12.827,11.204,15.019,16.849
53.133,50.209,-47.252,-1.186,17.013,-21.292,-4.145,13.064,-14.247,8.169,7.854,6.189
54.509,15.109,-3.27,-14.67,34.54,-21.091,31.887,-3.203,-10.258,35.745,-4.281,5.976
52.901,9.773,-23.015,5.462,73.073,-46.055,31.566,0.421,-5.524,-3.293,-25.294,6.612
53.443,68.128,-6.066,-58.913,22.381,-0.984,8.656,-11.23,-1.511,11.929,16.201,-30.035
53.022,38.349,-37.597,29.09,20.389,-53.393,-18.581,24.72,-3.229,-7.995,-45.608,-12.83
46.218,53.123,-6.685,-40.807,31.029,22.141,32.998,23.051,-2.735,-26.259,-29.373,-14.17
53.905,34.248,-24.428,-14.437,25.728,-2.975,1.068,16.477,-0.239,14.182,20.994,0.024
52.264,43.76,-41.527,8.978,1.6,-15.184,-3.501,-5.044,-8.854,6.303,-20.889,6.872
52.354,13.927,-28.116,-23.026,35.713,31.776,28.875,-13.763,-8.141,-4.417,9.421,-8.914
52.468,42.906,-38.729,8.749,0.904,-68.474,-20.015,21.677,-5.41,-9.929,-24.656,7.576
52.705,-14.997,18.01,-36.969,40.239,-20.944,18.231,-1.822,-10.731,20.908,1.038,-0.209
55.014,16.645,-6.837,0.752,38.903,-64.652,8.356,-4.227,10.131,5.639,-20.345,5.877
53.398,49.223,-24.951,28.743,37.352,-33.834,-4.637,12.818,6.733,-4.005,-16.714,12.591
53.512,42.533,-23.874,-29.058,11.077,-83.253,-9.51,14.488,-0.482,-6.217,-9.797,10.425
53.498,36.011,-34.063,-21.321,23.878,-82.915,0.384,8.328,-5.951,1.22,-11.311,3.711
54.151,43.376,-16.608,-32.033,22.077,-13.084,4.208,-17.494,-8.116,0.623,-15.142,2.862
54.71,11.912,50.831,-36.768,19.494,-58.244,34.531,11.13,-0.242,29.986,-3.322,2.933
55.227,39.637,28.339,12.583,19.378,-37.406,26.364,15.431,-3.719,-2.224,-18.667,6.729
53.022,22.514,-6.162,-25.202,15.72,-46.934,13.981,2.619,-14.44,14.397,-19.316,-8.011
51.207,-10.152,-2.125,-7.997,-7.295,-63.201,26.501,-13.037,-6.4,17.265,-27.494,11.359
53.687,16.108,-15.34,-8.809,16.894,-64.223,3.67,3.753,-4.383,-0.485,-23.143,15.303
49.985,-7.801,-27.915,31.316,-16.799,-59.717,22.871,-15.75,-5.373,7.726,3.68,0.112
51.047,-41.199,-1.096,12.638,-15.812,-74.59,27.224,-32.983,-27.343,53.067,-7.803,11.47
50.701,-30.66,54.337,-8.74,-10.572,-33.573,49.651,18.354,-14.82,-8.059,-2.309,30.531
50.891,-4.834,5.313,-8.618,-32.984,-82.496,7.731,-1.223,-6.818,26.865,-18.427,-14.232
53.198,25.285,-30.94,-2.253,15.028,-67.324,-9.107,3.603,-5.104,-1.552,-14.219,5.133
50.933,-15.65,4.817,-4.477,-16.53,-64.888,25.043,-16.303,-19.092,32.847,-29.911,2.424
53.066,-24.261,28.322,-71.89,19.214,-17.611,22.483,32.51,2.622,-15.284,5.244,5.413
54.647,10.32,-10.942,-6.837,2.529,-37.92,-6.337,2.322,-1.937,-9.575,-16.61,6.634
54.837,15.885,0.892,-25.076,17.831,-14.985,15.987,10.132,0.16,-15.185,7.194,5.317
52.811,14.499,-32.222,19.865,31.02,-58.978,16.197,11.327,3.765,7.887,-10.813,6.506
55.277,9.207,22.167,-36.477,38.53,-35.79,24.522,18.798,15.891,26.19,-16.395,-0.212
53.943,29.768,-20.935,-29.648,50.794,-36.741,6.566,-5.439,-6.912,1.562,-22.824,-2.612
52.945,-15.413,-13.517,-16.224,40.065,-53.651,31.251,-17.51,-5.169,31.833,-2.425,-8.807
53.899,-12.726,24.832,-4.73,38.567,-13.853,48.68,14.077,3.65,-15.008,-12.716,4.928
54.328,3.512,19.571,-24.701,31.095,-22.768,44.041,19.487,4.338,-6.725,-13.655,7.629
53.897,24.109,5.263,-22.726,34.714,-39.179,20.547,17.07,3.764,-3.274,-14.325,-7.713
54.27,38.594,-5.708,-19.036,0.899,-19.449,5.236,0.546,-4.864,-3.267,6.28,-17.669
54.013,54.802,-16.61,-13.965,0.236,-30.448,7.407,15.246,5.354,10.576,11.957,4.888
54.142,48.011,-24.366,-20.276,7.729,-44.135,1.871,19.148,9.069,8.293,19.149,3.38
53.227,27.004,20.586,4.211,74.382,-23.998,-0.208,26.57,-37.752,12.592,-33.696,-24.546
56.025,48.623,2.686,-36.263,38.223,-11.885,31.13,-6.409,-15.641,25.673,16.954,-2.09
56.391,27.37,5.117,-16.204,30.715,-56.475,8.831,7.102,22.707,9.654,7.104,4.305
57.214,60.07,35.334,2.148,35.433,-35.385,39.982,10.882,-3.195,-2.848,-12.537,9.116
55.346,47.823,-15.756,23.707,12.415,-51.063,6.789,25.096,-1.105,12.459,-5.017,-17.661
56.121,52.179,-3.156,-31.853,20.49,-25.104,5.164,6.14,-13.177,12.939,-14.074,-4.626
54.231,51.9,-6.892,-11.037,1.739,-35.216,-5.765,4.686,-27.728,9.89,-30.086,1.474
54.197,47.887,17.909,-45.473,32.377,6.88,23.899,3.355,2.508,8.892,-33.298,-2.523
56.49,51.717,1.83,-9.08,19.694,-29.966,5.933,8.376,-11.75,2.104,-13.009,4.09
57.524,75.272,8.626,-18.644,17.238,-30.353,10.929,25.817,-5.587,-6.379,-20.071,5.17
55.161,98.726,-16.387,29.377,-0.054,-21.082,-3.088,-5.037,-9.949,-13.428,-21.207,-10.864
57.186,82.822,-9.047,-36.983,21.475,4.051,-1.751,12.12,-2.52,-0.114,8.441,-5.711
57.05,88.723,-6.42,15.071,40.261,-32.099,4.128,12.489,2.624,-2.821,-37.994,1.677
56.313,36.511,-18.565,-30.158,32.231,-32.263,0.476,-5.37,-5.79,19.011,-8.179,1.426
56.367,70.674,6.994,-8.927,33.263,-27.431,10.168,8.932,11.937,-10.71,-12.895,12.831
53.377,77.669,-35.059,-39.549,20.013,-25.499,1.839,9.38,-10.215,2.786,-19.373,-5.443
56.163,51.407,-5.063,-46.614,43.62,-29.347,17.154,-3.534,-5.237,29.9,14.866,-10.673
55.711,63.644,-0.129,0.055,14.775,-40.862,-1.7,21.845,-3.762,3.314,-13.861,-1.394
53.212,78.653,-35.072,-30.071,17.514,-31.279,3.179,8.155,-15.284,6.199,-17.451,-2.873
56.354,45.042,-2.976,-32.501,36.077,-32.77,8.473,10.737,6.276,28.398,6.694,-6.962
55.004,45.023,-16.268,-25.499,6.028,-67.437,-9.647,11.975,-12.103,-4.942,-11.772,0.67
55.002,7.53,14.256,-37.372,31.145,-37.811,-18.168,15.998,-15.019,-8.863,-7.3,-28.037
54.867,41.752,-25.331,-12.238,14.589,-47.306,-16.438,11.53,-8.619,-3.29,-22.964,-1.795
54.579,56.128,-19.032,-19.965,8.793,-64.066,-7.284,26.724,-3.137,4.41,-10.962,3.665
54.908,42.058,3.266,-30.673,7.13,-41.007,-19.508,9.165,-22.131,23.478,-14.13,-18.188
55.194,56.108,-8.409,-17.464,2.281,-52.409,-6.437,11.869,-15.325,16.603,10.437,1.962
54.685,57.312,-23.328,-23.222,11.644,-71.595,-8.412,11.825,-7.574,-8.079,-3.695,6.763
55.032,37.044,-18.688,-5.315,3.887,-16.326,-10.631,-17.306,-5.35,16.336,-28.864,-13.542
57.581,53.318,8.052,-30.683,19.467,-32.37,18.596,8.809,-2.804,-5.795,-8.82,20.303
56.893,48.607,13.3,-33.003,69.107,-42.7,24.924,34.159,11.369,13.277,-2.118,3.832
54.781,61.44,-5.421,25.959,19.038,-48.054,16.035,-1.796,-20.192,-1.57,-20.929,0.631
56.834,60.858,-4.774,-32.441,12.981,-32.36,-25.488,23.865,-6.721,1.498,0.39,-5.89
56.711,35.527,-2.789,-9.997,33.715,-28.454,13.721,-7.337,1.298,-1.167,-27.513,10.454
58.048,68.951,7.95,-10.036,36.488,-21.509,29.341,7.849,8.375,-3.818,-4.94,37.121
55.321,56.923,2.537,28.161,17.239,-28.251,26.387,18.146,-6.359,-4.075,-5.2,26.928
57.276,85.816,-20.258,14.661,27.764,-35.197,1.664,16.705,5.732,-17.349,-17.53,2.826
56.035,67.194,35.67,-46.818,18.417,-35.307,20.851,18.085,-3.316,16.448,-12.055,-6.055
57.12,72.521,-4.06,-5.025,25.351,-35.125,7.463,14.675,-2.15,-3.686,-22.697,15.278
56.865,73.103,27.064,-53.888,-5.858,-14.624,5.058,13.087,-19.859,6.235,-9.496,-9.838
57.242,67.069,-23.038,-12.501,14.541,-35.457,-13.192,-13.841,2.187,-0.66,-18.257,4.68
55.845,52.376,3.364,-3.125,13.701,-30.006,-6.564,33.039,2.033,-11.053,-14.87,-18.294
56.074,49.859,-3.915,-40.46,51.447,-37.133,1.235,-3.185,2.885,27.612,6.413,-11.956
57.013,52.799,18.066,-16.739,49.092,-49.509,21.351,13.209,24.913,6.517,-7.055,-18.771
56.016,64.375,-10.405,6.763,24.773,-36.78,-3.507,15.378,-2.899,18.343,-7.088,-1.654
53.596,86.677,-35.265,-22.285,18.423,-38.168,-0.457,14.071,-13.287,11.19,-19.956,-17.213
56.007,44.774,-2.487,-32.349,41.268,-45.632,9.349,-13.963,1.997,15.826,-5.856,-8.015
55.732,44.492,-16.287,-9.725,19.362,-53.332,-9.323,24.156,-6.437,5.288,-1.785,10.252
56.652,42.033,19.13,-43.69,20.878,-22.478,-1.662,-11.593,-6.373,25.22,-9.765,-25.771
