0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
31.968,-152.638,70.179,-15.712,55.536,61.6,48.607,6.435,-24.32,62.827,63.903,2.141
35.812,-117.992,47.233,-7.962,-5.123,-34.835,28.545,22.39,-16.171,-20.999,15.52,14.643
38.955,-84.419,53.371,-41.771,7.502,-24.872,21.389,9.33,-19.879,-10.464,4.456,4.091
41.402,-39.506,44.451,-2.704,-5.968,-15.393,20.363,4.703,-34.095,-26.527,-25.685,2.134
42.738,51.285,-20.196,-26.625,56.382,-72.718,14.701,-10.835,-2.824,6.293,1.831,32.662
42.594,-132.305,68.355,34.704,52.269,-11.225,10.349,-5.1,-25.651,19.082,-43.539,10.988
43.032,-105.637,101.778,-66.214,43.851,10.128,5.814,52.941,-3.125,-16.878,-14.992,-14.167
43.07,27.392,52.583,-69.581,40.941,-32.72,1.156,-20.568,-31.32,-12.147,5.598,3.008
45.501,-14.49,89.867,-7.057,17.539,-31.589,-3.311,4.689,-20.508,-2.872,4.38,22.928
48.519,105.999,113.624,6.1,-4.244,-26.067,-29.991,-1.856,-4.623,-14.882,-5.746,-25.527
49.791,128.318,96.671,0.114,-1.455,-21.192,-33.464,5.452,12.774,-4.292,-1.617,-20.794
45.677,-46.362,97.052,2.391,37.832,-24.977,-25.346,-4.144,-14.902,4.63,5.572,-18.032
46.924,-2.289,95.837,9.668,-3.852,-8.131,-11.077,15.669,-32.691,-31.127,-6.36,0.075
44.512,-11.127,54.261,-2.211,4.103,11.498,7.588,-7.641,-41.212,-34.048,-15.285,21.408
45.381,-44.763,72.026,-35.261,20.224,-3.527,-11.278,51.723,-12.614,-31.624,22.728,5.691
48.604,8.464,81.028,4.339,13.444,-10.512,-4.863,-13.526,-17.487,-0.66,2.203,-9.013
47.637,29.9,83.876,45.905,-17.839,-1.236,-11.008,3.991,-42.74,-41.176,-23.144,14.841
44.712,39.332,42.542,-11.482,11.696,-27.879,-8.195,-12.391,-29.08,-16.925,19.993,20.12
47.861,36.102,118.114,8.462,-2.563,-8.94,2.559,5.049,-29.678,-30.997,-20.097,-2.85
46.572,34.831,149.696,-8.756,9.552,-28.972,8.724,1.382,-30.325,21.197,2.913,-12.981
48.34,39.239,118.133,44.939,3.729,-20.796,-4.323,14.096,-43.32,-9.314,2.904,18.058
47.196,35.507,91.23,32.277,-8.827,-1.315,-16.196,16.321,-40.657,-20.074,-6.225,15.715
46.437,23.666,133.252,-24.422,13.71,-18.094,16.971,2.196,-28.687,18.74,-3.346,3.88
45.167,60.868,69.355,-4.85,0.251,-20.144,-5.162,9.003,-24.565,-18.496,12.764,1.138
46.514,62.594,86.165,-18.113,1.873,-18.881,-3.145,-9.2,-18.288,-16.348,-5.11,-4.354
46.522,68.79,105.591,-0.161,-4.141,-19.16,-8.129,-1.724,-16.84,-3.983,7.476,-4.122
48.539,50.846,109.688,6.852,-2.013,-11.499,-18.332,-4.901,-29.575,-3.074,-6.035,-23.252
48.402,9.994,111.43,18.236,12.37,-12.98,26.042,14.836,-18.375,-2.998,-4.332,14.554
46.762,62.809,108.064,2.889,-2.39,-32.041,3.914,29.38,-13.009,2.841,6.831,2.726
46.184,91.737,97.017,42.982,3.034,-30.115,7.925,-15.137,-19.186,-7.153,-11.407,9.085
45.654,98.312,87.927,-7.063,-35.109,-3.731,-11.84,20.861,-21.529,-24.578,9.793,5.585
