0,1,2,3,4,5,6,7,8,9,10,11
49.241,90.634,55.576,12.123,-0.273,28.571,0.069,-19.838,-24.554,23.614,13.953,-4.903
50.443,83.649,70.42,28.756,-3.16,-26.807,-20.447,-17.663,-19.227,-5.686,-12.058,6.637
50.227,73.452,54.52,35.022,2.553,-7.868,-6.24,-20.565,-24.214,-3.03,-10.954,13.412
50.705,77.982,71.494,17.796,-9.981,-11.335,-9.087,-5.266,-24.986,-4.822,8.422,3.387
50.39,67.078,52.597,21.125,1.932,-24.61,-24.196,-12.06,-19.362,-2.889,-8.488,9.553
49.635,58.153,63.889,16.252,-3.206,11.84,-5.166,-24.296,-25.047,-18.236,-9.574,2.873
50.692,86.494,68.141,24.146,-4.977,-21.047,-12.075,-16.582,-22.952,0.707,-7.716,11.078
41.789,61.268,-53.509,243.859,5.825,46.559,-62.367,61.084,-25.542,-16.193,-160.731,22.967
46.97,64.732,33.539,5.097,5.754,73.479,-4.46,-4.801,-24.107,42.042,38.109,-2.621
50.1,57.06,40.908,18.075,-9.691,-22.872,-23.435,-21.606,-20.008,-2.664,-19.669,-6.457
49.292,64.957,27.475,13.619,1.737,-21.573,-22.325,-11.578,-9.232,4.32,-9.693,5.581
50.279,55.314,45.779,33.011,-0.188,-14.892,-21.984,-36.327,-24.36,-1.571,-14.142,1.206
49.994,63.08,19.121,17.568,-12.058,-10.139,-16.983,-31.433,-14.709,4.86,-19.536,2.451
50.227,63.277,33.193,20.498,-13.003,-31.429,-15.411,-27.058,-17.256,6.027,-21.407,8.22
49.373,59.888,44.689,17.815,-9.002,-36.057,-23.798,-18.219,-17.362,13.33,-15.764,-0.612
50.849,-24.629,31.513,-76.747,41.239,-37.373,-27.832,29.233,-12.965,-7.855,0.186,-4.204
52.738,34.869,-2.541,-1.839,-7.554,-25.37,-36.041,2.552,-33.807,-3.019,-13.248,10.06
51.621,112.326,52.588,-2.065,12.586,-43.355,-25.861,35.542,-43.174,-4.508,1.323,16.376
52.333,29.147,2.576,11.83,-21.885,-10.671,-22.397,-23.621,-39.281,1.259,-23.868,9.881
53.237,33.183,6.914,-8.645,-3.759,-17.174,-28.44,-5.589,-27.931,-11.604,-10.767,10.486
