0,1,2,3,4,5,6,7,8,9,10,11
0.093,169.525,5.346,-30.381,54.002,-50.297,18.711,5.01,-26.267,2.897,-12.22,-8.6
30.937,25.334,133.453,-56.192,51.941,98.946,21.092,11.018,-20.975,18.204,53.382,-36.511
36.9,33.024,157.692,-7.948,52.479,-22.461,-9.086,15.619,-12.644,-16.587,7.558,-16.144
38.993,49.492,152.019,35.533,46.991,-28.944,1.491,0.324,-28.163,-3.554,2.883,7.438
39.079,55.993,147.033,13.261,29.448,-22.152,-8.016,10.59,-36.862,-18.682,8.283,8.042
39.764,49.919,137.374,28.762,35.997,-24.498,-12.389,-7.489,-30.205,-8.274,1.001,-6.295
40.894,61.395,146.522,14.015,45.29,-13.525,-7.058,-10.352,-26.829,-12.637,1.363,-2.914
42.098,69.433,156.825,15.838,38.582,-21.681,-3.216,-3.515,-22.105,-13.359,2.482,-13.297
43.757,108.572,164.384,20.4,31.459,-2.945,8.159,25.287,-19.649,-33.145,8.958,-9.396
44.147,104.618,162.101,30.65,12.23,-25.762,9.039,-13.395,-31.92,-4.307,-5.38,3.147
47.711,111.789,132.269,32.553,69.875,-24.971,11.6,5.189,-23.034,-14.98,-3.052,-9.729
46.998,117.904,163.45,14.43,59.675,-28.533,5.234,6.461,-27.241,-10.728,1.241,-6.362
51.272,66.204,28.391,19.565,-22.433,-58.156,30.278,3.977,-14.526,9.618,-0.825,-18.429
55.166,89.875,13.022,6.498,9.876,-58.692,-1.118,18.676,-18.647,30.295,0.699,-2.487
54.393,85.312,13.955,-19.845,-33.089,-41.14,21.358,4.594,-13.529,2.837,2.871,-4.674
56.05,58.452,26.228,11.93,-26.566,-51.298,-16.356,6.069,-14.991,-4.02,-18.758,-0.605
53.926,72.069,17.896,-7.092,-31.974,-42.11,19.508,-16.566,-7.173,19.64,0.089,-13.022
55.362,64.819,13.134,-0.251,-21.123,-34.114,-8.069,10.704,-9.955,-3.738,7.119,-1.589
54.573,63.952,30.177,4.007,-12.82,-31.977,26.858,13.085,4.437,7.889,0.524,-16.54
55.3,66.293,25.094,-6.485,-7.843,-52.36,-6.575,8.107,-2.979,5.17,-5.354,-8.713
54.066,86.131,18.653,-3.181,-26.532,-33.841,24.652,4.03,-4.853,8.853,-8.691,-10.279
55.71,68.813,21.91,20.634,-15.684,-34.171,-5.598,16.268,-6.934,9.788,0.79,-7.21
55.049,53.437,19.484,9.693,-26.302,-52.803,-10.943,12.169,-18.678,-2.677,-9.867,3.234
53.504,45.978,28.902,-11.569,-27.84,-47.711,16.255,-3.845,-7.809,10.781,-13.289,-8.226
54.989,66.959,22.721,-1.076,-10.936,-17.133,6.512,14.319,-7.341,1.711,1.237,4.774
54.266,64.757,29.402,5.558,-26.392,-55.514,20.078,0.378,-0.195,8.9,3.532,-17.391
55.111,58.768,19.333,-4.664,-16.574,-42.528,-10.02,21.401,-8.674,-0.404,10.333,-4.622
54.623,60.565,42.372,-6.59,3.323,-25.329,36.789,-5.811,11.843,22.838,-21.907,-2.646
53.948,48.843,20.288,5.84,-20.247,-44.285,27.978,-9.685,12.531,16.692,1.102,-15.374
54.293,65.86,47.359,-14.514,-9.709,-22.939,27.2,17.493,0.909,-3.638,-11.727,-5.262
54.107,88.61,17.605,-18.927,-27.54,-48.016,18.637,-0.404,-8.986,8.156,-6.718,-14.773
55.007,61.49,10.032,4.533,-17.392,-21.067,-9.122,11.665,-10.052,16.053,0.8,-9.216
53.852,62.288,22.947,-11.712,-19.156,-31.522,28.175,0.343,-5.709,0.856,-3.338,-7.928
54.612,59.567,20.397,-6.611,-11.561,-21.682,3.435,13.335,-9.096,7.606,-4.87,-9.166
54.754,69.092,3.136,-1.214,-11.732,-42.26,-12.261,25.761,-11.781,10.958,7.549,-0.892
54.007,75.448,37.808,-3.934,-7.922,-22.147,24.665,3.526,1.202,20.976,-10.183,-20.515
55.665,62.467,28.432,3.677,-18.325,-42.578,-1.91,15.763,-3.379,0.819,-2.81,-3.037
55.123,52.228,12.975,-7.443,-19.404,-30.604,-3.543,15.707,-11.945,7.069,10.321,1.468
53.028,72.226,19.131,-25.86,-33.705,-28.893,21.888,-0.329,-8.581,1.063,-12.91,6.548
54.362,59.236,7.103,-5.552,-16.717,-34.678,2.345,14.929,-6.148,0.983,25.381,-2.705
53.962,56.294,-3.999,2.193,-14.463,-30.409,-7.286,15.463,-13.085,6.837,6.86,3.713
52.194,79.319,21.688,-31.174,-35.405,-24.946,9.211,5.516,-6.178,2.845,-16.008,-6.733
54.211,74.729,14.235,-26.187,-11.886,-11.362,-6.261,16.498,-4.929,5.098,3.577,-0.435
54.018,61.758,21.003,9.977,-12.305,-52.108,-15.325,4.71,-8.146,-14.607,-1.047,0.145
55.161,76.148,22.505,-1.347,-26.776,-45.388,-22.482,4.081,-16.721,-20.186,-10.985,10.928
50.852,96.56,34.967,31.967,-17.165,-52.218,31.979,8.541,-21.234,-3.283,-5.054,-16.15
48.457,132.201,101.992,10.175,51.83,-18.588,36.75,12.389,-14.106,-31.546,-10.532,-36.736
51.812,54.585,125.782,65.257,57.661,-16.796,12.436,12.903,-37.559,22.143,-3.903,-7.259
51.243,27.664,94.085,-17.252,38.245,-28.629,5.346,13.876,-51.476,-16.422,23.846,8.182
52.791,141.41,139.331,22.715,-8.684,-11.4,-38.747,9.1,-40.964,-24.882,-1.527,-1.919
53.319,110.989,112.443,5.748,6.708,-12.782,-36.679,-5.896,-27.33,-14.201,-0.141,10.557
50.392,93.462,91.067,10.679,43.825,-7.093,8.84,-11.254,-49.527,4.48,-27.543,3.445
51.972,88.729,125.307,-8.486,30.899,-6.801,-11.779,2.718,-46.549,13.183,19.152,-5.23
52.208,116.963,92.598,45.58,24.209,-27.685,-21.207,8.238,-28.136,-11.232,-3.788,13.491
47.513,137.305,143.015,49.627,60.721,-35.844,27.07,-27.632,-40.434,8.234,-14.669,-30.945
46.696,100.897,172.992,59.31,30.461,-22.846,0.528,-9.08,-30.439,-2.262,0.033,-5.132
45.695,99.691,187.866,43.291,24.156,-20.965,20.813,15.27,-31.114,-11.793,6.149,-21.731
45.699,89.939,180.049,43.89,33.918,-36.661,13.887,-2.483,-20.74,-2.284,-12.204,-18.955
45.599,76.5,176.905,59.349,25.549,-25.096,27.057,-13.196,-35.974,-15.44,-6.232,1.681
45.223,61.236,162.667,27.411,24.587,-21.7,15.642,11.572,-27.994,-13.061,2.529,2.421
49.783,43.007,112.545,-23.492,22.405,0.378,14.572,10.362,-20.912,-4.686,1.269,1.725
51.108,80.228,86.705,14.757,45.788,-5.019,23.821,-58.956,-53.77,4.32,-29.695,6.769
51.297,76.661,91.369,29.369,48.991,-12.661,-32.47,47.135,-25.15,-41.851,-20.521,-5.173
53.337,122.211,69.643,13.31,12.575,25.29,-10.091,-33.355,-22.895,-17.726,-6.152,7.018
51.404,60.438,109.878,70.962,39.71,-30.378,4.179,15.067,-7.612,-8.286,-15.965,1.461
49.061,22.756,161.213,0.859,59.526,-6.063,6.927,30.396,-16.82,-18.059,12.05,3.779
50.422,94.635,146.795,77.124,48.932,-11.18,-7.848,11.115,-28.481,-13.767,-19.671,9.315
51.387,76.682,103.294,9.865,25.156,42.32,-12.798,-14.145,-31.659,-13.807,-15.898,4.578
51.372,39.764,118.552,30.174,35.636,-25.902,-42.018,-22.074,-52.416,-1.954,0.791,-9.016
49.463,85.511,131.392,57.327,28.33,-30.628,-18.569,2.083,-27.256,-30.057,0.386,-14.302
45.727,87.542,192.867,38.986,39.061,-22.23,7.73,14.745,-39.652,-18.527,4.652,-2.591
48.628,24.824,39.084,22.511,-56.096,-72.546,22.725,2.865,-31.772,12.528,-9.043,-10.403
47.356,32.64,97.216,-6.704,6.741,15.351,23.384,30.302,-18.226,-24.2,-22.782,-9.539
49.463,10.187,36.091,19.445,-45.17,-64.291,42.59,-6.954,-13.45,21.191,-8.8,-6.227
52.75,68.586,59.967,-18.189,9.305,11.483,7.751,-14.048,-10.325,-25.941,21.602,14.85
52.025,36.803,60.02,52.025,9.046,-30.24,18.825,2.955,-0.839,13.435,-13.97,-16.33
53.513,26.16,56.448,27.668,26.654,-17.68,1.589,-1.856,-25.994,4.978,11.902,19.001
51.859,23.799,109.811,-15.729,27.657,-14.899,-3.426,26.767,-13.769,-12.125,-10.164,7.791
50.689,66.337,65.732,-36.347,7.974,-15.141,43.614,-17.822,-41.651,-15.479,-10.382,-6.276
52.777,33.474,137.69,10.064,37.586,-17.208,-10.802,7.49,-38.244,-14.158,7.551,-20.494
53.996,11.927,59.748,4.986,-12.504,-52.912,-0.045,-0.631,4.395,15.617,-12.978,-49.697
52.962,84.473,69.929,9.455,-4.6,-16.2,-18.489,-6.8,-9.272,-20.641,-19.831,-8.775
52.341,61.628,50.108,35.566,19.552,-63.673,-3.575,30.401,-24.124,-44.33,-10.18,-2.798
48.498,48.173,77.287,8.536,-23.577,-6.054,23.393,-4.943,-20.346,-0.902,-32.1,5.507
51.12,50.675,44.103,44.088,-7.606,-59.302,-7.903,12.497,-23.037,-21.21,-4.369,12.474
48.316,39.502,54.351,31.893,-28.556,-4.743,35.37,11.393,-13.407,-8.094,17.911,-11.729
50.971,46.071,48.898,53.844,-4.465,-67.028,-14.142,12.764,-19.814,-26.944,-2.744,-6.537
47.761,46.309,67.814,12.401,-24.772,-8.287,29.808,-8.098,-20.891,5.57,-15.324,-4.861
51.104,44.394,48.789,41.044,-7.05,-63.532,-6.538,12.868,-23.56,-24.483,1.997,7.789
48.103,29.103,35.888,36.288,-44.697,-48.488,34.452,-1.795,-30.147,14.614,12.433,-1.12
50.59,43.382,48.669,43.299,-4.971,-64.161,-10.377,5.287,-17.738,-22.728,-8.946,-5.069
48.8,30.023,79.308,-14.032,-20.46,-2.639,34.003,-5.327,-25.527,1.017,-14.631,6.34
52.782,56.123,44.323,3.75,13.363,-0.28,-3.636,36.44,-30.648,-7.434,-2.866,-0.977
52.429,35.064,39.165,47.824,-12.298,-20.622,12.108,0.24,-15.575,19.717,-30.37,-12.169
52.618,8.957,39.862,34.214,19.268,-12.445,-1.454,1.288,-17.101,6.425,20.264,0.69
52.424,47.102,113.274,16.268,18.851,10.744,7.078,4.335,-14.933,-19.841,3.352,-11.141
50.697,35.937,91.191,46.316,18.698,-18.432,29.45,8.55,-18.192,4.226,-30.378,4.353
52.675,29.329,67.445,4.293,43.033,7.494,8.171,0.848,-11.445,2.915,21.63,-8.993
53.214,18.405,68.745,10.917,34.919,-41.415,26.615,18.905,9.382,15.326,10.469,-30.632
52.264,63.625,66.498,3.425,39.389,-22.778,0.691,-18.255,-23.63,-7.318,-24.929,14.185
51.833,51.755,98.33,33.568,51.201,-25.356,-16.313,-37.117,-47.167,-3.894,7.234,2.18
52.211,1.001,68.054,5.674,4.691,-31.739,3.747,-3.281,-43.719,-0.101,12.575,-14.862
52.461,52.184,63.299,41.21,1.616,-31.97,-29.505,37.077,-15.213,-25.439,8.301,-8.893
50.727,34.221,8.6,13.495,-49.997,-48.909,20.277,-24.402,-27.289,-4.388,-6.974,-7.456
50.484,25.228,35.594,-25.768,-25.391,-12.96,19.938,11.332,-31.106,-25.695,-5.276,0.617
53.451,58.013,29.673,0.212,-25.472,-56.983,-10.502,11.296,-15.455,-4.93,-4.349,-4.565
52.672,49.214,32.803,21.718,-15.601,-64.411,-18.152,9.721,-29.667,-17.516,0.765,-6.277
52.97,51.764,29.897,26.623,-27.839,-32.287,-15.748,-0.03,-27.685,2.596,12.871,-5.504
50.946,87.818,32.841,5.944,-38.447,2.436,22.04,-23.11,-12.339,-11.928,-19.885,2.425
51.146,98.422,30.577,-11.067,-5.002,-36.165,38.297,15.285,-36.888,-27.823,-1.063,-21.815
