0,1,2,3,4,5,6,7,8,9,10,11
8.766,150.794,100.916,0.048,42.546,-23.518,18.241,7.554,-30.29,1.199,3.379,3.46
32.176,101.752,187.089,-374.332,26.389,100.417,80.146,-30.007,-39.028,85.892,-25.632,25.999
55.496,82.672,-2.986,-16.511,-13.323,-33.262,4.215,0.018,-8.221,3.487,-8.488,-2.128
54.362,72.982,2.837,-49.622,-17.293,-28.243,11.888,6.154,-4.354,-3.174,-8.734,5.033
54.619,76.297,-1.61,-41.401,-24.126,-24.568,20.151,11.056,-3.069,-5.942,-13.756,5.742
53.985,66.387,-3.673,-55.775,-44.722,-19.954,2.503,8.378,-5.745,10.049,-16.969,4.236
54.559,87.859,9.821,-26.206,-40.515,-24.581,14.403,-4.204,-3.037,-4.678,-10.367,5.537
55.504,80.24,5.466,-13.04,-0.847,-42.024,-0.914,-0.628,-16.472,-10.086,-7.414,9.515
55.3,83.063,5.616,-23.948,2.979,-24.617,4.281,2.922,-17.572,-13.954,-0.659,7.234
55.127,80.883,36.418,-23.298,-8.522,-39.87,3.735,5.782,7.824,6.36,-8.87,5.981
56.036,101.976,29.466,-7.427,24.223,-40.294,-2.389,-7.03,-17.629,-15.325,-2.562,6.736
54.711,85.744,2.143,-22.366,-41.647,-43.257,8.518,-0.58,-10.776,6.233,-12.377,4.066
55.413,90.316,-3.685,-20.02,-17.01,-36.254,12.808,1.184,-12.543,-1.45,-0.986,8.966
54.545,82.283,-2.696,-39.404,-11.963,-18.745,15.263,7.381,-10.585,-8.842,-16.91,2.987
54.466,72.765,0.837,-37.165,-24.703,-33.798,3.366,11.423,-5.422,-5.921,-7.851,15.188
54.66,75.905,1.52,-23.611,-32.465,-27.673,3.062,7.042,-6.341,0.377,6.964,0.1
55.417,89.083,-12.443,-18.159,-1.928,-45.375,13.709,-3.551,-13.024,-2.844,-9.842,4.781
54.439,65.002,-14.412,-18.374,-26.994,-18.806,12.51,2.745,-4.603,-12.213,-10.647,24.728
53.19,45.006,-31.737,-16.131,-44.779,-64.093,-1.359,-0.154,-9.57,9.232,-5.238,27.508
52.109,44.98,-17.82,-51.349,-43.415,-14.82,13.72,13.378,6.21,-13.448,-1.544,10.084
51.175,20.978,-37.942,-17.698,-49.88,-73.49,-11.411,-0.416,-3.743,23.417,-7.265,10.162
51.501,27.567,-30.169,-46.738,-62.285,-22.58,-2.608,-6.389,0.418,4.797,-3.269,-12.174
53.235,64.258,5.946,-49.202,-42.306,-31.632,16.356,11.329,3.562,-3.293,4.324,-1.051
55.494,92.305,-1.859,-30.755,-11.664,-29.926,10.599,5.341,-11.578,-6.225,-9.199,4.586
55.113,64.201,-16.368,-30.333,-27.327,-45.104,-20.764,-3.599,-13.922,-2.395,-7.749,16.117
55.604,62.551,1.192,-41.836,-21.808,-54.906,-24.732,3.402,-21.915,-15.933,-20.51,16.803
54.926,66.001,0.974,-23.904,-18.505,-33.295,11.003,0.722,-5.303,2.519,-7.999,23.19
53.956,49.592,-8.957,-13.681,-32.461,-28.082,8.33,10.543,-2.525,-0.567,-6.517,16.199
53.799,77.48,11.145,-44.569,-48.989,-23.141,5.342,5.044,-6.048,3.215,-6.742,1.454
55.645,84.066,-11.834,-25.628,-6.6,-42.659,14.452,11.064,-17.93,-6.136,-1.6,15.011
