0,1,2,3,4,5,6,7,8,9,10,11
0.774,161.184,23.544,-46.7,59.424,-56.369,20.914,-16.92,-28.571,-2.387,6.441,-12.805
37.941,-37.923,75.433,-45.286,22.536,5.573,-14.854,20.152,-22.344,5.473,28.902,15.676
46.633,23.872,18.111,-65.357,-6.195,28.662,7.855,29.929,-19.385,-1.067,-19.562,5.368
50.494,104.125,-32.05,-29.55,-0.261,-40.853,10.613,-11.355,-4.903,10.253,-9.556,-0.817
51.214,110.271,-26.773,-22.262,-30.89,-41.698,-30.084,-22.64,-8.483,7.594,-15.152,-5.173
50.242,67.059,-23.805,-26.872,-25.137,-34.984,-35.157,-8.518,1.191,6.466,-8.881,2.866
53.61,100.383,-1.698,12.269,2.886,-2.453,16.41,22.728,-2.314,-20.071,5.771,2.077
50.757,52.478,-10.669,-13.48,-14.636,-31.307,-0.919,-3.338,7.127,17.105,-5.825,4.481
50.689,51.722,-28.243,-14.761,-6.619,-6.645,1.534,19.64,9.197,-14.847,-13.199,-9.167
51.623,107.625,-16.807,-28.132,4.737,-36.631,5.817,-8.204,-18.246,10.668,-16.184,9.436
51.592,55.899,-35.121,13.049,-22.544,-37.084,-18.165,4.318,-3.806,10.812,0.009,-0.285
52.375,86.407,-13.925,31.867,0.614,4.851,7.043,15.837,3.297,-20.887,-6.148,-0.888
52.548,115.991,2.555,-5.336,-9.66,-40.038,1.311,1.121,-2.623,16.392,-14.114,5.409
51.065,51.551,-30.167,3.547,-15.295,-29.005,4.993,15.925,-16.189,26.085,-5.404,10.226
50.476,89.247,-14.629,-19.934,-12.289,-41.815,5.497,-2.331,-12.263,6.078,-4.216,16.606
51.301,86.489,-11.255,-15.241,-19.801,-25.284,-12.579,-24.726,-3.075,1.668,-0.794,4.127
52.897,78.57,1.32,24.209,-0.981,-3.001,9.127,4.705,0.977,-20.163,4.382,5.217
52.787,64.756,-25.69,6.821,-27.755,-35.77,-12.1,7.863,-5.671,-5.192,-2.44,-3.962
50.364,84.307,-8.896,-31.929,-30.873,-22.709,-2.443,6.025,-16.606,-6.687,3.687,16.37
51.826,63.391,-21.709,-2.795,-31.034,-51.65,-13.046,0.504,2.599,2.805,-4.382,3.847
53.644,98.997,16.561,16.743,5.087,-7.116,4.661,17.348,-2.167,-18.413,12.118,-6.123
49.885,57.01,-5.137,12.442,-16.111,-39.95,-21.159,-3.666,-2.879,9.212,-14.192,4.93
49.556,18.966,-29.721,1.482,-12.276,-4.223,-2.142,10.97,-17.132,4.088,5.645,-7.433
50.707,92.04,-29.855,-16.508,-8.433,-35.007,11.791,9.922,-10.289,3.379,-10.146,14.184
51.445,106.159,-11.716,-15.774,-23.996,-23.565,2.808,-0.259,-12.896,2.776,7.286,-2.476
50.74,75.389,-8.41,-18.938,-14.427,-28.224,-11.876,-8.497,6.529,7.368,-7.771,5.398
53.897,106.783,-1.092,24.314,4.341,-15.895,19.172,18.118,-10.564,-9.114,9.358,6.606
