0,1,2,3,4,5,6,7,8,9,10,11
30.336,-18.48,-116.234,40.119,70.857,184.565,33.878,-17.331,-16.901,85.89,26.309,-2.776
28.507,-18.001,-119.998,42.906,62.703,69.231,10.699,-9.26,-5.208,-10.176,-37.041,14.235
33.004,-29.442,-101.893,75.691,60.568,52.271,8.162,-31.87,-10.179,24.724,-24.334,13.303
32.343,11.808,-66.338,-51.008,64.919,63.723,13.262,1.523,-1.829,-20.176,0.944,6.802
37.147,7.095,0.455,-126.879,23.427,42.977,28.766,-36.082,-41.74,-9.672,-37.909,6.758
47.293,31.746,-54.372,-11.575,53.89,21.671,17.551,-41.98,-5.729,-26.672,26.579,-1.813
47.563,-13.446,-48.521,-5.476,13.972,-42.551,-25.899,-8.379,-27.467,-18.849,3.13,-18.608
45.162,-65.923,-39.458,-42.979,37.976,-36.587,-14.301,-4.403,-24.468,-2.654,-9.12,-8.907
48.302,-9.328,-48.782,-3.671,36.957,-1.125,-10.231,-36.149,3.44,-3.018,4.799,3.55
46.179,-19.16,-47.517,-26.925,67.148,-4.866,-3.087,-11.062,8.498,-22.133,6.425,0.667
48.439,27.405,-15.007,28.118,43.07,-38.035,-37.244,-27.857,2.254,-6.396,-25.14,5.244
48.219,-1.575,-36.512,-2.207,28.289,-40.638,-6.837,-22.7,-4.877,27.977,-4.024,10.915
44.759,-63.22,-46.036,3.26,47.343,-49.902,-5.381,-13.822,5.595,26.639,-22.124,11.419
47.281,-12.738,-60.173,-18.691,55.36,11.719,-2.397,-17.753,3.061,-36.428,10.822,9.001
47.955,24.206,-14.644,36.705,44.126,-44.183,-30.41,-37.466,3.398,-3.891,-20.85,-2.361
46.219,-3.532,-43.736,-11.21,52.276,-17.709,14.347,-12.199,-13.745,13.346,4.163,-9.837
45.043,-9.944,-30.863,-17.349,45.298,-30.607,14.908,-2.251,-19.794,-7.295,-7.637,-10.282
45.588,-31.39,7.978,8.433,52.982,-42.365,8.62,-3.345,10.002,5.659,2.784,1.288
45.617,12.764,-48.388,24.324,46.974,-30.669,19.787,-23.942,-1.302,6.698,-9.503,-4.078
44.747,-15.209,-10.582,-72.888,33.626,-6.131,7.565,13.089,-20.866,-14.124,-21.686,22.971
47.318,-11.085,-48.423,-34.685,42.711,12.339,-7.235,-14.97,-4.305,-27.611,2.401,27.471
44.17,-45.407,-33.575,-9.922,36.321,-41.741,4.091,-10.526,-16.936,10.527,-8.563,15.373
46.77,-2.431,-26.072,-28.623,64.096,18.233,8.437,-11.987,1.926,-34.443,2.075,1.757
47.944,27.216,-26.076,14.731,44.687,-6.805,-24.884,-25.482,12.691,-21.611,17.275,-1.489
46.724,11.248,-39.999,21.096,55.355,-12.721,-9.223,-15.362,-13.81,7.624,0.371,10.524
45.552,-3.487,-21.617,-14.45,61.642,-10.694,2.401,-11.967,7.077,-13.212,11.307,-7.189
48.437,33.385,-40.384,-0.17,26.226,-3.444,-17.026,-17.716,6.875,-12.251,13.8,-5.266
46.178,-5.394,-35.426,12.577,25.921,-24.639,-7.948,-12.847,7.082,3.418,-9.502,15.247
