0,1,2,3,4,5,6,7,8,9,10,11
0.012,170.832,9.185,-28.861,57.302,-50.093,14.815,4.984,-27.321,0.935,-10.61,-6.981
38.772,-90.138,78.029,34.528,49.097,4.364,-1.891,32.413,-2.851,-8.622,61.204,-18.044
37.49,-139.631,41.856,11.339,40.201,-15.362,-28.548,-49.74,-17.316,-5.7,-2.503,6.246
38.052,-205.189,-6.062,-29.387,22.279,16.21,-7.935,9.225,1.301,-18.573,-24.736,4.264
36.97,-216.682,-36.311,-33.894,-8.706,-30.257,-4.874,-5.742,-1.569,-4.277,11.386,-6.664
47.198,-73.267,-15.417,-27.456,12.68,-11.518,-23.745,-12.097,-2.616,-1.26,6.037,17.372
45.61,-114.503,-12.236,-28.185,30.061,-27.454,-33.531,-17.775,19.49,-14.197,-5.405,-4.082
44.041,-125.699,-51.305,-9.322,27.266,-25.986,-27.02,-2.86,5.452,-22.732,-0.941,-0.394
38.763,-157.983,-40.894,-45.693,0.177,-22.971,-43.97,-24.175,2.351,-3.536,-2.492,5.936
47.918,0.762,-37.827,-22.273,46.527,-26.766,-3.652,-25.116,-44.13,-20.837,10.104,23.303
44.864,-32.309,-57.244,26.695,-47.257,-87.269,-78.451,-53.229,-7.895,30.02,-18.849,1.594
42.921,-52.725,-50.176,-39.042,-25.735,-19.76,-54.496,-25.635,13.523,5.293,1.497,5.99
43.504,-28.997,-54.963,-18.651,-33.938,-4.384,-60.708,-41.603,10.932,-15.251,-9.108,-4.877
43.358,-43.561,-25.772,-23.327,-20.321,11.509,-26.058,-11.593,-14.219,-21.603,-11.085,-2.17
42.879,-91.313,-40.123,-26.293,-21.079,-40.944,-41.899,-32.744,-24.89,23.719,-8.229,7.817
40.786,-166.252,-73.393,-18.124,-15.616,-27.265,-38.351,-24.34,-2.795,3.06,-25.341,5.784
45.947,-76.259,-66.109,-16.998,39.723,55.508,1.817,-25.069,-6.892,-32.974,14.573,0.441
39.11,-185.403,-17.933,-24.083,-15.296,-29.02,10.852,12.17,-15.636,-9.273,3.492,7.296
43.269,-76.105,-38.299,-15.95,9.853,3.007,-1.985,-18.528,-9.798,-20.455,20.941,0.606
40.319,-135.531,-57.1,-30.579,-8.797,-43.05,-32.953,-11.173,-12.451,0.81,8.01,2.555
45.181,12.453,-27.453,3.975,26.86,-20.393,3.515,3.964,-51.476,-25.063,12.77,27.033
42.339,-94.061,-72.721,-41.223,12.463,-53.215,-16.07,0.008,-36.469,-9.078,3.139,3.494
46.692,-1.286,-36.179,8.192,-4.905,-34.848,-16.923,0.503,-14.543,-3.981,-3.069,37.302
39.999,-95.847,-81.552,-1.806,-22.944,-38.9,-34.626,-18.279,-1.095,23.844,-7.536,16.171
40.566,-37.973,-44.606,-55.8,-35.347,7.641,-29.402,15.976,5.676,-18.339,37.048,-19.183
42.045,-52.68,-40.149,-32.679,-29.332,-8.517,-62.781,-37.561,-1.664,16.575,-25.215,-14.116
47.343,-6.72,-17.722,-5.22,12.311,-47.086,7.445,-14.584,-27.041,3.102,6.166,44.232
50.446,-41.398,29.554,6.314,58.694,-37.146,36.909,4.893,-16.01,1.238,6.11,7.301
50.157,-18.944,23.312,-43.216,79.439,-32.076,-19.475,19.283,12.649,-3.761,-8.402,15.876
49.377,-22.262,-25.54,-29.019,37.233,-33.714,-30.57,-37.055,-22.22,27.484,-20.17,16.038
47.776,-73.128,-49.816,-25.322,39.223,-34.517,6.918,-18.69,-17.808,4.551,-19.114,-5.602
49.339,-76.434,20.008,-26.645,69.572,-35.807,61.201,7.506,-19.14,-5.036,7.727,-12.029
50.173,-34.747,1.992,10.073,52.298,-32.878,10.378,2.338,-0.033,-20.99,-12.784,1.938
49.498,-67.658,7.432,-47.814,84.365,-38.743,-6.727,12.684,-27.719,-6.687,-5.34,-12.61
