0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
45.831,14.493,-161.764,155.418,13.642,-76.968,-55.679,2.607,-6.941,-12.575,-58.717,11.318
53.457,110.912,-19.834,-42.104,-0.588,-33.715,19.625,15.243,-1.99,-1.623,-17.022,9.442
55.799,107.622,32.089,-25.744,-7.919,5.01,-12.158,-5.369,-0.249,5.084,7.531,-8.866
55.957,62.713,10.226,0.812,-9.121,-24.877,-18.197,5.447,-9.464,2.693,7.768,-10.465
55.682,112.441,26.536,8.667,-16.935,-16.217,-8.765,-7.312,-5.355,-6.095,-13.29,8.331
52.546,45.132,3.226,11.479,0.483,-29.363,-11.786,-15.168,-5.062,-1.715,-13.411,-16.473
54.541,26.046,-1.11,2.767,-7.975,-24.712,-20.174,-36.355,-18.597,9.261,-9.201,9.587
56.205,32.189,12.697,3.427,2.188,-36.315,-19.735,-8.586,-10.385,-0.692,0.228,9.443
54.625,46.089,29.876,12.078,9.299,-22.764,-5.138,-5.257,-22.065,-5.716,-6.092,15.807
52.475,14.27,4.773,1.284,-2.362,-53.33,7.947,-22.081,-15.825,24.486,-13.957,9.399
51.855,-1.268,15.431,6.924,18.552,-23.76,-11.929,-13.291,-1.707,-13.677,7.627,19.468
54.585,14.954,-11.576,-4.335,20.628,-50.093,-22.341,-16.759,-10.391,-10.001,-13.791,4.915
53.017,24.8,24.651,-15.821,21.326,-42.502,-17.122,7.322,-1.643,7.206,0.623,8.705
53.654,89.895,3.519,-30.532,-6.608,-45.406,3.437,7.916,6.898,11.085,-8.488,8.489
54.061,80.439,29.01,-17.51,5.211,-27.419,-31.272,5.526,-7.008,1.576,-3.256,13.951
54.564,93.701,12.859,-20.463,-1.497,-21.407,-18.98,0.681,-0.65,5.481,-0.89,8.975
54.702,46.478,-2.708,-10.135,9.819,-55.564,-12.694,18.909,-2.757,1.542,3.831,4.042
53.166,54.84,21.146,3.915,5.494,-47.463,-25.646,-0.156,-17.598,12.147,-0.326,8.551
52.604,37.704,-4.743,-4.205,-1.473,-44.686,7.506,-9.53,-22.13,26.807,-3.658,1.153
56.12,92.914,29.613,-14.962,-3.026,-15.007,-23.921,-7.378,-13.48,0.219,18.821,9.688
57.087,126.088,12.124,-7.607,15.857,-23.494,-39.752,-22.795,11.545,-11.689,-7.134,17.478
56.181,53.024,0.854,-6.497,19.035,-34.047,-31.527,-4.342,0.416,-4.807,-2.315,5.787
53.932,49.479,24.019,2.062,26.626,-17.992,-28.14,-21.805,13.161,-13.78,-30.082,2.315
55.285,65.703,20.309,-9.823,-18.871,-27.554,-14.876,-0.786,-10.508,-3.828,7.898,-8.417
54.247,54.53,17.198,1.791,-6.698,-10.744,-21.313,-1.407,-13.74,-2.617,-3.763,-1.627
55.044,66.199,36.16,23.683,-6.842,-21.539,-4.25,-11.322,-18.363,-1.754,-7.782,15.787
52.32,-7.336,1.46,-21.636,5.079,-19.82,-11.372,-24.048,-10.389,-25.208,-0.209,14.536
50.927,-3.283,17.68,0.399,19.068,-12.961,4.002,0.101,-10.307,-18.951,-3.567,25.551
52.659,21.824,-26.627,-26.033,8.412,14.683,-14.098,-0.08,0.552,-31.716,21.854,7.152
50.239,-8.951,6.559,-27.808,15.371,-25.886,-12.972,-16.404,-19.282,-21.214,-2.628,21.129
50.84,-13.067,-32.717,-21.113,11.292,-69.259,-22.048,-28.369,-12.371,11.305,-14.288,14.953
52.223,10.253,-5.608,-24.812,25.563,-14.409,-5.419,-20.155,4.96,-12.611,14.513,4.759
56.053,34.973,0.379,-12.073,36.512,-50.814,7.98,1.253,-8.729,4.813,-10.567,4.358
55.158,40.935,4.464,4.749,38.268,-33.194,-9.024,10.358,-5.068,-9.356,-5.701,-0.777
53.826,13.12,18.707,-14.505,20.884,9.123,8.28,3.841,-21.429,-17.739,-5.048,13.826
51.765,19.096,-13.657,58.197,6.482,-19.927,-22.469,4.945,-22.873,2.473,-67.828,-3.431
46.453,-12.756,6.516,-150.883,-23.694,4.776,-47.998,57.349,-1.975,-1.505,27.0,-21.778
48.835,112.814,-84.285,42.921,-1.849,-1.051,-82.468,-56.408,7.295,-1.638,-75.076,-2.21
39.788,-18.45,-17.229,-117.099,1.423,54.967,-42.53,59.904,8.829,12.813,-62.921,2.464
38.338,-6.781,-143.986,115.081,-8.725,5.94,-16.66,-35.617,0.32,-6.341,1.382,-5.604
35.625,-45.23,-19.907,-60.059,-10.243,45.951,11.015,-12.955,-7.902,-6.551,-53.884,21.368
37.871,84.343,-117.781,-114.001,53.18,1.926,-18.428,68.106,16.617,-68.765,16.006,1.704
45.131,123.7,-62.338,-58.254,22.381,43.074,-31.714,-13.22,-37.395,38.747,-56.149,-10.278
41.735,-0.833,-73.876,45.107,19.108,55.758,-41.073,-36.62,-43.316,33.651,-61.033,-6.735
