0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.468,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
29.661,77.513,151.57,-298.117,49.646,186.345,58.841,7.166,-32.793,76.291,14.925,-13.55
45.104,52.355,43.835,54.795,6.207,10.358,-16.917,-20.849,-9.876,-18.371,-73.828,7.451
39.037,39.47,96.249,-180.364,5.038,39.508,4.756,21.471,1.413,-25.033,-10.285,1.062
45.383,76.852,71.917,30.68,7.705,6.803,-4.023,-39.994,-27.265,35.262,-16.378,14.007
34.553,2.392,-51.59,146.761,-21.512,16.662,-38.62,74.648,6.9,-66.119,-60.176,3.881
27.386,58.902,150.352,-315.36,9.321,20.968,36.981,-32.153,-22.653,44.999,42.615,-1.926
42.917,42.775,-9.657,100.276,-4.063,16.19,-46.602,-18.812,-6.151,-26.704,-84.375,3.375
45.796,98.603,78.973,-2.689,23.126,47.418,-3.084,-30.513,5.27,-16.211,46.103,-13.483
39.607,14.797,-42.578,175.556,4.824,-7.765,-30.968,-15.312,-4.405,-18.789,-94.615,30.028
44.402,98.106,60.582,-1.375,13.851,71.635,32.676,-34.224,-4.277,33.287,53.023,-2.862
45.522,-27.338,13.255,6.504,-42.662,-38.811,16.229,-13.74,-20.624,5.572,-15.544,7.126
45.855,14.091,-4.868,-65.528,-12.09,-20.198,20.452,25.106,-7.983,-31.233,13.866,-6.537
48.626,59.734,0.573,-3.91,-19.821,-16.258,2.653,0.244,-11.355,-0.686,-28.69,9.947
47.986,65.921,10.437,-34.364,-30.705,20.231,16.383,-12.614,-4.17,9.078,24.516,1.552
44.854,53.455,-14.697,36.175,-84.164,-43.826,-14.168,-25.925,-66.728,-2.612,-11.52,20.298
47.358,34.655,3.149,17.683,-35.712,-11.958,4.677,-23.947,-16.575,12.641,-18.303,13.005
37.265,-90.182,-99.34,84.911,-24.408,9.728,-19.711,-17.252,10.613,-46.206,-59.674,5.656
38.754,-49.611,37.685,-240.009,-15.619,37.117,18.683,55.275,15.787,-24.388,7.966,-3.822
45.414,35.94,-23.916,40.829,-37.872,1.813,-31.024,-28.912,-5.496,-18.522,-49.095,13.307
46.099,36.42,12.692,-39.175,-28.11,44.281,6.215,-0.25,-2.118,-22.948,-7.483,5.396
45.7,36.366,11.884,-67.293,-26.938,62.212,22.865,-0.728,2.175,-12.459,27.146,-10.203
50.545,43.885,-51.864,55.592,-29.619,-50.824,-24.933,8.456,-19.575,16.116,-59.339,10.939
48.139,28.389,-55.398,7.255,-23.356,56.145,7.929,17.29,5.763,-14.824,-23.506,5.804
51.123,36.458,-21.694,-6.769,-26.516,22.155,19.254,2.219,-4.248,-3.016,27.622,2.528
50.403,33.671,-24.676,-4.885,-46.714,-39.419,14.019,-20.254,-19.112,2.686,7.75,9.059
50.187,31.126,-56.595,31.608,-20.676,5.889,-6.524,9.842,-9.054,-22.257,-20.412,4.893
