0,1,2,3,4,5,6,7,8,9,10,11
0.234,169.09,16.195,-33.233,57.813,-53.347,20.953,-0.51,-28.383,-1.119,-3.574,-7.75
37.556,138.129,182.212,-23.591,93.543,119.173,26.218,19.215,9.445,-6.885,67.04,-12.468
42.494,135.601,183.734,27.743,72.723,-27.949,-24.832,-3.411,-9.804,1.717,0.739,1.806
42.934,138.799,177.259,52.185,76.642,-19.34,-11.573,-10.451,-17.3,-6.924,-1.141,11.743
42.501,149.726,198.154,39.778,77.824,-24.257,-11.503,-2.243,-10.314,-7.452,4.891,11.707
42.611,145.054,156.844,46.294,59.272,-27.71,-24.057,-10.124,-6.89,-6.098,-5.539,-2.519
42.088,142.582,175.194,25.423,81.275,-24.138,-10.97,-14.073,7.727,2.396,1.689,3.903
42.904,147.616,183.142,45.681,79.273,-29.515,-22.26,-0.052,-2.221,-2.763,-0.534,4.588
42.498,141.393,162.947,32.683,71.254,-15.627,-19.467,-3.531,-5.351,-12.924,0.006,10.323
41.971,152.307,180.389,47.235,75.992,-32.807,-21.068,-5.88,-16.645,0.991,-10.035,9.238
41.495,129.238,164.426,16.541,67.545,-28.26,-20.143,-7.041,1.42,-4.972,7.553,4.574
42.116,133.263,171.469,38.957,73.289,-22.299,-24.134,-1.736,-8.606,-6.268,-5.057,9.094
43.109,148.84,180.419,37.378,77.794,-24.696,-18.358,2.099,-7.813,-1.915,-1.637,11.449
42.552,159.048,178.39,50.067,76.852,-17.847,-15.416,-14.145,-7.054,-7.808,-7.113,13.199
47.308,112.089,-41.938,87.535,12.152,-86.064,-46.733,19.673,-9.782,-8.586,-22.832,20.044
50.447,83.933,-25.119,-32.785,-23.849,-13.382,22.327,9.08,-17.951,14.177,23.791,2.387
51.871,91.829,-10.797,-26.161,-10.632,-11.634,5.679,7.83,-7.195,-3.755,-13.964,-5.01
50.975,109.609,-1.095,-34.254,-1.939,-36.085,25.956,4.849,-12.656,5.789,-14.376,-3.966
51.753,92.525,-15.548,-17.591,-0.652,-14.738,3.374,7.986,0.652,-4.77,-13.724,1.987
50.761,110.041,0.874,-16.392,-9.509,-31.833,20.236,-17.104,-24.49,-4.663,-11.204,-0.812
52.216,101.042,-10.252,-9.794,0.541,-15.956,5.492,9.603,-6.699,-0.426,13.754,0.723
51.267,95.155,9.827,-21.269,-5.334,-43.914,25.93,12.182,-11.827,0.123,-13.009,-5.592
52.81,115.388,-0.208,-18.395,-6.364,-69.194,-8.306,17.691,-25.057,-11.925,-8.851,-10.395
52.521,92.592,-5.097,-6.545,-20.509,-54.492,-19.136,3.579,-26.156,7.037,-6.867,-6.006
50.179,82.146,-22.297,-26.593,-12.951,-62.926,0.359,6.727,-4.533,3.694,-12.13,-13.606
53.041,100.131,4.199,1.74,-15.62,-73.409,-20.003,7.165,-25.502,-2.478,-3.541,-10.799
51.201,90.708,-1.908,-5.573,-21.381,-49.006,16.569,13.344,-9.612,11.558,-4.253,-1.43
50.865,109.897,9.082,-27.64,-10.21,-29.16,24.181,8.608,-20.766,0.111,3.561,-9.913
52.259,93.445,-10.667,-3.267,-0.089,-72.412,-19.811,14.241,-20.531,-9.388,-13.365,8.987
