0,1,2,3,4,5,6,7,8,9,10,11
0.135,170.662,12.141,-31.842,55.696,-51.78,16.484,2.934,-27.944,0.189,-6.71,-7.096
44.005,95.126,86.328,-107.152,47.391,221.88,35.545,23.657,-6.5,34.142,31.38,-14.517
51.965,78.012,63.262,64.504,49.483,-31.397,-5.542,-37.747,-54.016,-21.744,-14.232,4.741
51.053,41.16,55.725,77.072,3.432,-69.945,-17.624,-14.979,-25.462,7.271,-21.636,5.696
52.785,47.896,62.283,24.725,-0.15,-33.534,-3.85,-4.098,-9.035,6.542,-4.432,-29.248
50.575,0.417,9.694,31.366,-5.148,-23.389,22.748,-26.864,-16.365,9.053,-21.238,-28.112
55.462,106.622,53.852,20.744,-2.023,-25.053,21.156,8.723,-21.11,2.757,4.724,5.298
54.042,88.419,58.136,5.496,22.147,-33.586,22.69,-0.395,-12.508,-3.789,-5.234,8.242
53.563,70.94,50.567,11.818,3.498,-11.306,14.279,-5.744,-16.312,13.162,-17.256,-10.994
52.833,72.322,28.47,-4.45,-9.934,3.6,14.063,8.318,-11.024,8.211,10.564,-0.419
53.388,106.826,41.075,9.988,-3.926,-17.295,21.752,-9.971,-19.853,5.041,-20.372,5.878
52.978,35.689,25.996,33.897,7.772,-0.094,30.594,-22.441,-16.297,21.656,-7.471,-21.447
54.354,87.867,52.928,18.568,9.929,-22.677,31.843,10.487,-14.538,-0.491,7.323,7.676
54.762,99.765,35.196,29.27,28.158,-45.208,42.335,-10.5,-18.68,-12.993,-14.193,15.332
53.195,56.628,42.11,3.993,3.621,0.674,29.172,-5.885,-15.371,-1.408,-13.442,-3.001
52.632,71.424,54.54,20.934,-16.607,-31.987,15.673,-4.723,-21.905,6.345,-5.98,0.588
53.15,91.686,37.054,13.048,7.239,-1.614,45.015,0.026,-26.314,-7.531,-5.787,10.204
53.984,49.023,44.192,22.476,3.864,-55.312,16.39,-3.116,9.589,15.341,-14.369,-22.596
51.233,47.389,16.944,56.248,-4.824,-22.594,19.621,-0.924,-20.577,-9.523,-29.643,-25.519
55.073,94.261,62.174,14.867,1.36,-30.013,31.979,2.728,-23.645,10.178,-3.227,18.038
55.092,94.811,56.736,30.358,30.132,-56.964,41.858,-4.762,-41.033,-3.878,-21.935,-0.384
52.797,58.032,65.268,10.109,-14.942,-45.35,6.788,0.987,-37.155,-15.765,-8.52,-9.78
53.688,49.528,61.364,17.646,-5.397,-24.848,13.903,-6.192,-37.811,13.34,-4.425,-17.185
53.354,60.788,38.496,34.78,-19.019,-16.947,13.13,-2.563,-18.054,-2.629,12.356,-0.364
53.837,76.413,44.663,20.186,1.71,-17.025,23.816,-13.014,-25.904,3.112,7.31,9.677
51.012,36.891,30.558,44.022,-12.237,-64.571,3.17,0.83,-13.645,-4.412,-0.053,-4.12
49.266,45.913,16.152,-15.777,-17.095,-15.581,-0.589,-9.907,-30.308,-8.361,7.579,8.24
52.73,25.085,33.182,12.113,-5.584,21.761,26.733,-12.12,-27.538,-8.724,-19.056,-19.248
53.283,59.603,36.076,1.404,9.29,-9.551,29.65,-24.625,-33.709,4.099,3.692,-13.511
52.709,31.686,56.224,24.407,-5.809,-35.352,19.035,-21.853,-29.62,2.883,-9.592,-17.754
53.022,13.971,16.418,1.09,-1.944,-25.728,12.734,-11.881,-0.409,7.098,0.45,7.099
