0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
20.973,-92.304,20.604,-182.387,82.417,40.152,-6.12,-12.261,-21.089,64.255,29.197,-2.144
34.208,-22.221,60.848,-112.411,25.305,-17.229,-31.758,37.883,-2.497,-21.04,30.829,11.447
43.209,66.804,140.987,-30.126,72.812,-19.202,-34.168,23.023,2.533,-9.022,9.706,12.604
45.579,91.696,115.551,-3.288,63.5,-30.547,-30.176,-0.4,9.637,6.843,2.297,9.51
53.078,109.996,186.753,35.883,66.621,-20.757,18.13,3.73,4.064,0.765,19.61,13.503
53.896,124.967,137.388,48.908,91.616,-20.771,-18.598,-30.098,35.122,-3.558,-18.228,12.734
51.949,177.282,88.108,-3.781,74.41,-27.318,-15.802,3.897,-24.076,-1.088,-10.046,5.917
53.75,116.888,89.029,21.652,31.717,-13.458,-3.888,-12.386,-35.218,18.971,-6.984,-17.192
51.702,81.71,2.539,21.758,-20.924,-37.798,14.722,0.977,7.473,29.536,31.2,-5.421
52.144,71.545,143.543,20.546,70.331,-33.362,8.405,16.313,16.774,12.667,-8.081,-6.965
51.38,253.365,87.989,18.045,110.457,-30.556,-47.151,-13.446,17.904,-6.326,15.376,8.43
54.208,136.076,69.111,36.271,4.903,-20.239,4.354,-25.418,-26.777,49.084,19.462,-16.355
51.042,225.96,101.661,8.316,99.835,-8.916,-39.799,-3.769,11.298,-31.055,10.656,-4.716
52.212,92.038,15.767,-11.525,-31.818,-70.234,1.034,3.176,5.63,27.954,-13.974,-6.826
51.823,75.122,131.435,30.278,76.481,-44.707,8.537,-0.85,21.002,31.141,-22.229,-11.648
52.632,84.804,156.794,31.728,88.131,-30.724,-11.788,-4.446,3.577,6.398,-3.951,4.359
52.716,125.039,174.743,38.182,29.098,-5.21,-6.925,-9.493,-26.437,-20.991,8.839,-0.75
53.051,45.144,103.454,15.759,57.876,-24.861,18.183,16.104,-0.002,-9.447,3.081,-5.102
51.245,93.067,139.398,-6.105,37.4,-14.511,-1.706,-13.966,-26.682,3.262,-7.965,8.121
54.522,75.502,56.902,19.824,-4.126,-56.874,15.783,-21.362,0.965,13.631,11.747,-12.206
50.995,98.084,128.266,54.002,17.347,-9.687,-15.59,4.461,-7.177,-36.006,-14.851,-20.23
53.68,134.307,128.854,25.146,48.281,-25.763,-5.962,-43.444,-48.077,9.678,-10.048,20.38
54.052,71.774,88.003,34.818,6.468,-33.121,40.043,5.109,4.135,5.997,36.509,-8.748
51.171,99.801,102.531,61.122,25.121,-23.251,-33.585,12.454,-4.415,-21.661,-14.364,-26.64
49.327,99.394,100.066,-15.254,30.114,-18.233,-2.174,-1.521,-22.093,-5.255,5.245,6.423
52.475,77.072,18.755,31.449,5.68,-4.547,15.711,-15.233,-1.857,15.201,-18.84,1.676
52.281,83.631,137.656,17.93,46.164,-15.475,6.303,24.602,0.101,-2.55,-17.804,-19.316
52.453,122.058,151.302,47.187,48.083,-9.139,-17.0,-6.931,-18.61,4.778,-3.895,-0.942
52.323,164.441,126.797,39.374,72.753,-17.23,-35.659,18.979,-2.785,16.359,-0.174,3.674
53.008,160.378,59.648,-10.202,44.74,-8.213,28.867,-53.705,2.463,29.661,-11.556,-3.83
51.607,154.872,100.018,4.184,65.892,5.286,2.709,-55.881,2.448,-10.898,-14.193,6.89
54.54,120.205,51.57,35.07,-6.97,9.983,31.7,-32.105,-1.896,17.42,6.464,-1.782
53.028,81.758,127.403,36.647,63.46,-44.387,21.974,-27.945,-10.772,8.638,-0.001,6.471
53.649,80.818,145.44,19.193,31.306,-23.34,-3.799,20.037,-32.918,-21.598,-3.869,-4.262
54.203,113.85,114.431,68.979,36.405,-16.783,25.189,-35.403,-12.766,-14.945,-12.494,24.212
50.256,101.336,99.435,32.738,38.729,-10.238,-4.781,-6.04,-11.574,-0.623,-4.367,10.038
54.318,89.854,43.948,32.831,2.425,2.555,10.673,-7.037,-10.53,10.297,8.748,-0.916
