0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
41.539,105.942,77.548,-58.45,37.676,51.838,14.918,10.114,15.949,19.106,18.001,-6.338
44.818,81.064,36.333,-11.244,18.81,-34.263,-26.093,-9.178,18.116,-6.939,4.702,2.601
45.907,109.778,57.144,-8.864,31.876,-32.244,-12.784,10.028,29.627,-8.698,3.635,-8.427
44.957,121.373,81.751,-10.528,36.947,-25.015,-13.235,-3.123,17.627,3.189,-4.574,-4.761
44.505,60.561,32.927,12.505,32.925,-26.415,-20.786,-5.993,13.269,-0.411,-1.668,7.071
44.672,78.55,47.056,-13.593,16.119,-21.559,-11.835,-14.146,13.933,-1.012,-3.596,6.942
48.264,81.175,3.722,-48.021,-8.212,16.829,28.008,11.473,19.601,-4.53,-16.139,11.088
52.968,61.623,-50.802,-18.393,-2.691,-63.306,-33.416,16.871,3.861,-3.381,-9.691,10.925
52.734,67.47,-55.219,-11.118,-18.696,-56.755,-33.68,15.03,-2.264,-8.022,-20.227,5.451
48.109,66.774,-39.533,-5.267,-30.263,-88.74,-10.071,-9.887,12.871,33.857,-8.947,1.265
52.31,77.18,-48.225,-19.459,-1.24,-10.976,-29.204,15.785,6.649,17.281,42.645,-3.377
52.356,81.939,-37.62,-3.375,-7.289,-81.585,-37.698,11.227,3.663,-5.471,-13.27,11.45
52.559,80.144,-40.985,-19.771,-4.141,-78.602,-36.6,12.243,2.62,-1.985,4.984,11.723
52.341,77.488,-25.606,-1.548,-7.861,-77.712,-35.932,16.77,-6.697,-8.714,-8.914,5.232
52.625,139.011,-34.693,-29.986,-23.627,-56.104,-17.384,12.047,16.178,-8.773,-10.986,9.811
53.306,95.516,-59.722,-18.956,-13.224,-57.457,-40.381,16.478,-1.333,4.698,-10.957,6.321
50.205,111.763,-38.624,-21.073,-11.545,-55.595,-33.266,-6.798,4.216,13.2,0.833,8.849
50.923,86.655,-42.533,-14.898,-13.972,-31.885,-12.004,-1.811,13.0,19.919,9.02,2.639
53.829,88.718,-41.487,-13.863,-7.322,-34.499,-35.827,24.045,2.301,10.783,14.029,-7.694
53.596,86.217,-42.285,-22.026,-18.969,-61.068,-34.909,11.527,8.953,2.721,-1.466,10.111
51.822,89.416,-36.591,-26.122,-28.787,-51.835,0.692,-7.32,8.048,22.479,11.951,6.36
53.314,88.804,-43.264,-29.224,-17.377,-65.45,-39.238,23.137,3.486,-3.404,-14.052,4.332
53.055,77.776,-55.706,-11.057,-9.196,-47.153,-38.276,7.67,-1.122,23.287,11.522,2.775
50.423,83.172,-55.855,-24.925,-28.62,-26.994,-4.503,-9.837,5.745,1.168,-16.933,5.598
52.009,83.432,-37.901,-49.408,-0.4,0.736,-13.567,10.945,13.094,1.308,-9.677,-5.088
52.368,99.392,-38.02,-32.966,-8.412,-7.043,-14.612,10.866,-0.358,12.347,-11.26,-1.714
53.285,90.218,-43.498,-22.215,-15.81,-68.931,-36.752,16.928,5.368,2.865,-8.46,5.833
51.562,118.493,-31.234,-29.757,-19.995,-63.04,-14.462,3.023,-5.788,14.651,-4.014,10.722
53.575,99.038,-37.997,-9.469,-13.624,-62.116,-30.703,8.181,-5.194,11.343,-2.316,18.396
51.41,102.381,-28.774,-24.256,-32.127,-62.759,-14.438,-3.866,-4.231,15.308,3.912,0.383
53.12,94.638,-41.283,-6.365,-13.138,-72.236,-43.146,27.26,4.891,-1.969,-11.225,9.07
51.214,120.66,-49.32,-31.518,-8.867,-63.659,4.093,9.133,8.487,20.305,-3.623,-12.21
52.633,100.137,-39.86,-23.392,-7.065,-14.86,-20.067,7.797,2.032,21.773,-3.022,4.194
51.082,103.063,-43.369,-18.035,-20.292,-61.317,-6.06,-3.92,17.723,17.506,4.218,2.331
53.134,77.333,-40.638,-6.207,1.206,-34.039,-28.753,14.205,9.653,17.72,22.385,-0.043
51.669,104.57,-38.557,-28.381,-26.936,-49.773,-20.58,-1.739,1.597,6.859,2.89,-1.237
53.334,83.472,-48.163,-24.128,-7.572,-16.835,-24.418,21.27,0.786,18.99,18.102,0.639
50.503,110.947,-31.894,-15.471,-4.59,-33.459,-25.363,-2.904,15.012,5.18,-7.536,6.416
50.387,93.036,-46.631,-8.308,-19.871,-48.813,-13.015,-6.741,-4.42,19.115,11.623,13.779
53.115,88.786,-46.565,-8.437,-0.405,-29.183,-36.122,21.172,1.241,9.229,27.614,5.395
51.135,88.631,-57.672,-33.336,-27.264,-66.332,-24.478,-10.112,11.058,17.688,-10.332,9.946
52.993,84.524,-36.772,-19.711,-5.677,-18.254,-31.514,19.985,4.298,14.396,25.809,3.643
53.581,75.672,-39.012,-27.758,-4.024,-71.204,-39.127,11.496,2.806,0.7,3.951,2.14
53.009,72.473,-48.122,-32.909,-9.267,-63.232,-38.882,6.901,2.573,-5.225,-8.711,4.043
52.973,75.075,-50.961,-15.054,-12.482,-34.365,-25.108,7.922,1.961,17.63,19.031,6.406
53.517,87.302,-32.818,-35.249,-15.637,-62.168,-27.624,25.895,3.491,9.058,-0.525,6.264
53.814,93.113,-44.837,-26.128,-13.486,-66.235,-37.774,20.069,6.482,-5.9,-6.717,7.993
51.766,94.439,-39.094,-28.18,-15.168,-33.25,-15.006,-13.631,9.399,21.557,2.881,12.383
54.432,95.496,-35.388,-21.783,-10.89,-65.669,-33.152,22.659,3.493,-8.018,-8.161,10.86
52.133,98.502,-33.772,-36.395,-20.725,-66.542,-6.091,-1.671,6.3,6.37,-10.731,3.734
53.898,80.154,-32.787,-12.431,-9.294,-56.186,-24.989,12.76,8.505,1.038,-11.699,9.965
53.686,82.677,-42.465,-20.618,-16.547,-69.432,-40.538,11.193,-1.923,0.032,-1.792,3.786
52.414,111.923,-21.162,-24.579,-13.356,-62.556,-0.936,-2.286,9.495,8.303,-17.8,-1.341
53.153,86.005,-47.992,-21.544,-17.982,-63.663,-38.864,11.389,2.431,7.742,-16.176,11.788
50.922,96.659,-31.899,-29.45,-2.296,-52.196,-11.112,-3.095,11.941,0.085,-6.064,9.179
50.977,76.408,-40.612,-9.52,-22.679,-50.007,-2.327,-8.99,14.007,13.457,10.981,9.509
53.171,82.582,-27.951,-31.819,0.293,-11.879,-13.109,15.683,12.748,10.094,12.361,-1.428
53.437,88.335,-33.283,-22.218,-6.846,-17.492,-13.705,11.565,7.326,13.564,11.421,-2.544
54.01,76.944,-31.024,-19.048,-0.645,-73.105,-31.379,8.678,7.192,5.1,-6.104,6.45
52.254,125.865,-16.945,-24.919,-16.97,-50.733,-13.261,2.765,5.293,8.094,3.763,-0.702
53.531,82.413,-36.258,-12.615,-10.391,-54.422,-30.32,12.618,1.456,13.928,8.66,3.428
51.026,86.241,-48.566,-3.199,-26.817,-25.601,0.091,-10.284,3.194,12.542,4.614,3.271
52.79,93.831,-31.214,-27.405,4.008,1.13,-22.31,18.447,11.956,6.779,12.77,2.628
51.887,102.837,-44.328,-33.74,-3.4,-64.395,2.538,-9.86,7.093,13.922,-8.632,5.936
53.434,93.19,-34.732,-24.364,-6.457,-18.33,-17.095,16.275,8.705,11.53,8.535,5.456
53.902,92.232,-23.858,-15.935,0.328,-66.02,-40.597,16.762,3.512,-0.91,-0.283,5.36
52.361,104.207,-14.645,-20.382,5.402,-31.95,-2.081,3.219,12.051,8.253,-4.872,4.83
54.011,83.307,-24.75,-23.595,-7.097,-67.813,-30.859,4.397,3.112,-4.298,-11.723,6.58
51.601,95.338,-26.646,2.9,-17.91,-57.33,-7.477,-9.772,15.671,21.011,2.412,-5.794
53.351,97.723,-28.686,-9.431,7.307,-6.712,-23.496,12.424,-1.242,11.167,17.271,9.521
52.374,104.278,-23.918,-44.474,-10.882,-47.057,-8.689,-2.779,14.449,16.56,13.803,-0.369
54.398,93.407,-21.559,-18.641,3.688,-72.998,-33.798,9.1,18.794,-7.978,-7.236,-6.185
54.138,80.115,-51.981,-30.641,-9.433,-60.325,-31.497,4.358,7.283,-4.368,-7.296,4.114
52.306,94.116,-32.466,-44.587,-5.036,-31.472,1.801,-3.318,13.324,7.058,-12.916,6.384
52.973,109.517,-20.477,-48.907,-12.947,-29.545,-2.297,24.193,17.961,-1.92,-0.404,1.035
54.004,75.749,-49.888,-38.542,-14.928,-64.054,-36.582,1.185,1.943,1.633,1.359,5.91
55.065,119.998,18.905,-40.307,-21.036,-23.794,-0.034,-37.391,-25.289,1.484,-5.942,-9.235
56.269,85.448,4.121,7.055,-30.603,-44.587,-26.075,21.535,-8.519,-18.878,-0.467,3.761
55.0,110.986,10.605,-52.244,4.779,-26.372,-8.42,-25.214,-20.607,20.524,-13.551,1.383
55.615,65.692,1.117,21.509,-1.359,-29.134,-6.062,6.554,-3.284,-1.657,-2.693,21.836
54.274,125.093,-8.668,-54.248,5.335,-30.449,-9.807,-40.047,6.461,9.104,-4.603,-8.452
55.662,71.726,12.383,-6.432,-35.345,-37.645,-21.709,-1.616,-18.029,0.453,-12.441,-6.51
51.99,42.12,-31.826,-38.72,-2.241,12.098,-11.797,14.732,5.176,-17.729,-15.46,6.95
53.302,43.936,13.715,-25.973,-8.595,0.058,-2.046,5.909,-19.728,23.016,-19.594,-7.411
