0,1,2,3,4,5,6,7,8,9,10,11
0.297,165.889,-2.939,-32.582,47.459,-52.057,23.62,6.224,-24.081,2.392,-12.678,-10.776
25.629,27.593,-137.435,57.063,23.738,185.886,9.292,-0.861,-17.226,48.85,4.587,5.121
28.391,21.203,-126.386,119.429,-4.076,78.112,-10.253,-22.425,-34.75,39.963,-47.094,22.523
38.515,-3.955,-22.434,-135.282,23.89,195.597,82.535,-14.747,3.416,17.922,3.415,7.642
40.041,-76.357,-55.612,30.93,-48.818,-62.151,14.922,5.567,-10.208,16.353,-13.852,0.25
41.228,-25.963,-36.491,-102.94,-5.62,20.147,42.456,12.906,3.11,-19.02,-7.091,11.096
46.507,9.045,-8.966,-22.305,11.292,27.419,37.79,31.235,10.319,-39.148,-48.782,18.908
43.37,-42.958,41.702,9.209,13.544,11.949,86.227,-18.838,-10.326,-22.657,-14.313,23.886
38.288,-31.432,-70.907,121.275,-16.535,-93.13,8.873,4.59,-19.566,23.313,-16.902,32.293
32.719,-19.038,-21.714,-49.632,-20.786,57.716,40.85,-39.556,-4.072,-20.528,-39.116,27.632
38.361,-51.53,-65.865,91.315,4.303,-65.343,-3.047,-19.482,-23.346,29.932,-17.284,34.197
47.023,-14.706,-30.063,164.12,38.33,-18.738,1.329,-27.946,-6.299,5.271,-24.67,9.993
40.719,-22.386,17.861,52.186,42.6,63.998,29.742,14.281,-15.098,4.071,-25.167,10.836
40.247,51.632,-59.579,70.139,8.606,-67.406,-18.441,50.547,10.336,38.711,-0.446,32.121
39.616,51.16,-8.181,26.653,34.019,34.934,20.349,-4.376,-1.713,62.328,22.399,28.787
40.689,59.699,-64.58,36.276,9.042,9.346,-8.266,20.214,-8.679,-1.718,1.625,17.466
52.16,68.287,29.285,55.361,12.745,-9.845,1.522,26.485,8.31,1.534,-3.758,-2.354
44.938,15.363,65.204,-6.381,22.793,-8.685,25.771,-23.634,-11.93,5.758,-10.544,43.253
44.191,31.316,79.645,48.443,35.497,-10.521,8.221,35.062,-1.68,-26.875,-9.999,31.211
37.204,14.782,-77.118,79.599,-44.487,-70.487,-23.629,-18.404,-17.078,18.994,-6.792,11.099
41.716,29.828,-31.979,-73.969,18.881,72.693,19.648,-21.429,-3.538,30.367,28.232,27.943
46.514,88.858,34.747,12.055,2.127,-59.18,-4.066,1.442,13.323,-0.448,-6.998,16.36
45.215,107.012,32.918,-8.881,-10.139,-45.327,16.014,-2.332,25.36,1.133,-7.934,34.852
47.345,19.756,5.323,47.435,31.827,42.474,16.889,-20.769,-0.666,15.214,-55.063,21.204
43.278,-17.606,-55.872,10.862,-27.915,-55.227,-44.342,-41.155,-20.23,43.42,-7.304,8.726
44.538,-21.332,-7.642,1.183,22.925,26.649,5.554,10.989,-7.756,-5.558,3.181,10.227
46.436,-10.674,-20.446,-27.124,-1.498,14.358,23.796,27.772,7.151,10.024,6.21,9.85
44.082,-23.452,-17.973,-38.661,13.38,-36.282,66.298,1.686,-17.382,-0.495,-7.771,21.448
51.327,53.572,-11.426,88.075,1.476,-32.114,-0.038,16.335,17.375,-15.313,-49.081,2.423
45.948,10.674,24.189,21.661,27.392,-48.434,25.142,9.469,8.935,-14.406,5.851,26.305
41.111,6.382,-38.18,59.334,-20.731,-85.652,13.496,-16.672,-13.97,19.449,-6.387,22.231
39.325,61.235,-37.185,21.423,-28.968,-18.559,-9.817,-11.495,0.083,5.8,16.936,15.73
39.61,-33.789,-47.456,70.906,-6.894,-51.818,18.713,-24.378,-26.083,61.789,-2.445,39.343
35.114,-107.3,-28.613,9.156,-1.549,-3.71,32.46,34.901,-5.492,-3.119,-36.269,49.603
42.011,-20.954,-24.923,25.611,45.195,153.651,31.791,-13.218,15.55,-27.549,5.707,-3.188
42.582,-6.842,23.623,15.817,34.486,57.268,26.263,-1.144,-22.013,7.353,8.068,6.889
39.093,33.706,-52.957,45.741,-3.704,-66.824,-16.778,62.293,19.907,9.721,-9.678,24.113
41.052,58.893,-22.481,3.821,30.466,45.099,26.975,-8.016,-8.532,43.153,23.157,21.998
40.198,5.756,-25.11,37.932,8.063,-11.173,3.881,3.59,-12.867,25.519,-4.989,20.648
47.134,47.464,13.792,-13.497,24.317,118.937,27.075,34.715,13.143,-11.443,-4.409,-4.094
43.209,-28.59,100.045,23.148,19.599,-44.402,57.722,2.456,-11.074,-0.544,1.407,46.519
42.312,-4.41,73.438,62.732,27.544,-10.407,18.841,26.505,-1.229,-29.146,0.64,25.129
35.841,35.483,-88.306,82.364,-31.609,-86.832,-32.441,7.214,-14.79,10.926,-18.383,19.917
40.282,43.815,-3.392,-105.489,18.655,118.386,41.969,-30.567,-16.613,37.114,-9.668,39.504
46.919,108.504,31.995,1.978,12.903,-44.123,-7.276,13.043,13.517,-6.025,13.483,6.511
46.733,95.446,27.365,-11.998,-2.916,-44.252,4.898,0.591,12.891,29.499,-8.04,44.804
51.521,3.14,11.827,14.754,54.868,22.716,5.38,-26.057,-7.221,33.238,-16.418,21.057
47.908,-28.343,-41.656,-12.363,44.352,-46.103,-34.982,-9.257,9.808,12.578,12.154,-9.062
46.896,-65.045,-5.62,9.669,23.847,-20.808,-19.023,0.531,-28.317,3.773,-9.93,11.64
51.107,50.284,30.282,-59.026,24.038,-9.241,16.802,-19.402,-27.311,17.314,-2.248,14.621
51.401,27.653,-42.566,9.497,2.181,-5.998,-22.939,13.131,-23.979,-13.301,-46.785,-19.33
52.817,-22.001,53.715,-54.802,24.554,-3.479,20.607,45.295,-25.905,35.07,17.489,-6.131
52.84,18.297,-19.177,92.884,10.4,-24.731,-14.178,-7.319,-4.966,-11.188,-39.574,12.203
52.851,161.839,-24.043,-41.347,17.298,-18.783,-12.599,-35.297,0.429,11.472,5.406,10.977
54.602,38.226,54.938,-13.291,-0.707,-6.434,-21.758,32.704,-21.408,-23.746,-32.929,2.543
53.072,19.146,39.42,-29.225,21.149,-4.883,-0.755,2.071,-59.623,-11.279,4.307,8.497
54.43,57.773,38.87,-44.824,47.672,6.879,18.361,23.981,-23.567,-5.481,-12.547,19.959
51.309,51.138,-4.328,-55.651,16.878,6.309,-43.263,6.954,-11.164,1.301,-29.789,2.096
51.185,55.712,21.026,-93.156,42.966,122.027,5.4,42.787,-4.741,0.829,30.985,-17.153
50.578,172.629,-66.899,-44.873,29.266,-34.023,-63.742,41.256,19.092,-28.726,12.798,11.27
51.304,102.683,-2.28,29.865,68.0,-17.186,-10.075,-57.434,-26.623,24.492,-55.539,27.155
40.28,2.701,-27.316,23.184,10.586,9.701,3.559,-1.133,-19.504,19.582,-12.701,22.22
37.612,-51.049,-68.097,-59.256,0.508,-40.2,-37.104,-20.85,-2.88,10.741,-0.634,-6.093
53.676,32.549,13.794,2.518,22.099,24.351,-7.261,13.516,-4.82,5.8,25.172,-3.192
52.457,-16.13,50.878,-40.235,18.59,12.574,8.308,16.432,-26.865,-34.241,6.018,20.49
53.324,-6.282,74.53,0.69,-8.529,-18.943,-1.816,13.455,-24.157,-16.754,10.175,14.852
54.652,36.491,60.466,-28.086,19.792,-21.393,-5.452,2.679,-21.183,-4.852,-4.511,15.95
54.633,27.097,24.754,40.984,34.176,-20.307,-10.486,-12.188,-21.145,-4.419,-28.655,29.277
53.19,-20.9,40.706,-6.974,38.454,11.293,-24.251,28.304,-36.927,-0.572,6.466,14.205
48.292,32.408,-4.915,57.064,53.129,40.785,0.544,5.733,-12.304,-5.82,-15.531,12.513
47.952,67.984,-0.754,-34.22,83.209,-12.414,-15.431,79.132,-29.469,25.614,24.593,16.031
51.516,11.508,-31.905,9.661,22.946,-43.793,43.607,-16.853,-13.545,51.102,-19.033,41.268
50.68,9.979,-61.763,-0.806,17.566,-48.673,-4.54,2.058,-24.512,9.388,9.679,-4.24
46.432,8.069,-87.73,91.069,-38.891,-48.463,-26.853,-32.23,-13.743,-11.327,-18.342,-10.83
51.226,13.939,-11.759,-56.722,11.118,91.651,-8.801,-34.562,-9.433,4.156,17.355,-35.249
51.803,-8.979,-14.909,74.675,30.248,-45.983,-7.91,8.123,-5.56,10.909,-32.288,14.521
48.356,-7.09,-10.075,-64.843,5.283,-9.186,-9.986,-15.907,-16.896,14.823,3.427,8.462
54.003,23.801,28.4,-32.965,5.321,8.214,-46.906,6.443,-21.032,-38.938,11.18,-28.92
54.23,30.251,20.91,-4.479,21.476,-24.494,-38.949,37.144,-29.747,-17.462,-2.112,-4.946
46.185,53.451,-41.73,24.469,31.662,20.804,-26.454,-16.417,-27.847,41.91,-79.144,16.768
50.401,33.489,3.19,-33.306,18.783,39.419,-3.542,-17.802,-21.847,9.648,-3.821,14.324
43.058,-104.567,-41.317,129.616,31.269,-103.953,-30.098,1.486,-19.015,3.879,-21.885,29.046
55.061,26.137,21.497,34.699,25.5,5.882,-22.312,18.131,-29.125,6.867,-14.521,2.066
52.212,-31.094,2.423,11.314,1.41,-44.403,-32.052,-21.642,-59.458,12.276,-23.171,2.968
50.471,-48.089,40.829,-17.401,55.03,-3.366,-1.188,27.73,-8.679,-29.832,-22.186,13.604
50.036,-4.922,17.051,-29.416,24.649,26.561,-38.3,20.975,-32.799,20.682,-37.16,-3.243
53.556,14.167,6.355,35.501,29.167,-32.063,3.948,5.772,-17.019,11.34,-23.775,6.632
51.901,17.765,31.52,-38.153,9.599,-32.138,-45.971,50.369,-61.303,-0.059,-2.628,13.922
51.033,-11.345,25.539,75.936,32.702,-49.91,12.761,-26.554,-25.741,23.249,9.496,44.856
51.94,23.107,52.166,-14.783,43.988,4.092,8.347,3.349,-25.829,17.568,-30.263,25.898
49.746,-57.849,28.063,-31.114,21.656,15.972,14.715,-16.021,-44.343,32.811,15.76,12.467
49.439,-19.189,0.768,36.343,18.843,-31.225,-29.756,22.32,-42.449,-35.699,4.895,-10.894
46.629,141.973,7.542,-44.245,5.691,-12.603,-41.423,11.462,3.424,-22.383,4.067,15.578
50.049,59.874,0.527,30.062,38.986,23.872,3.435,-43.86,-8.918,47.458,-43.03,17.743
46.527,28.383,63.171,-22.858,32.818,-9.595,-16.503,16.698,-13.931,-15.945,10.92,33.007
48.721,76.446,66.002,-22.782,33.16,-6.542,-11.576,-5.346,-19.314,-4.477,-12.748,30.447
53.071,98.435,82.455,-76.21,15.953,23.449,42.685,-14.748,-15.708,4.389,-16.692,14.484
52.609,19.811,-6.761,50.553,5.308,-32.34,-2.437,-3.835,22.017,22.257,-37.785,9.426
54.523,52.697,19.446,-34.378,28.242,33.636,15.393,12.843,-17.705,17.92,17.109,-9.718
51.526,78.766,23.521,-45.711,-14.726,11.662,-5.763,-15.263,-13.817,-3.173,-39.95,13.835
53.269,50.362,53.525,-64.48,37.466,3.792,25.482,10.901,-37.392,3.888,5.07,8.841
54.42,71.925,5.633,35.779,5.619,-13.412,-54.127,-7.475,-5.275,-19.695,-35.297,4.413
50.123,74.843,32.798,-103.182,-11.621,12.461,-26.34,-14.552,-6.296,-4.397,-0.168,-2.328
54.176,50.913,14.983,-22.841,-0.802,-15.899,-43.932,-22.423,-7.509,-15.927,-13.709,2.766
54.706,19.953,17.471,14.777,29.001,-27.927,-26.467,12.047,-18.859,-3.92,-14.716,8.844
51.466,126.044,-29.838,-30.773,-8.429,-13.705,-64.791,48.14,2.134,-10.661,3.009,-3.169
56.045,86.501,43.648,-1.122,64.397,8.219,-22.109,-30.099,-44.383,53.951,-4.643,-0.397
55.603,40.459,76.801,1.456,33.348,-31.55,-57.127,5.231,-11.449,-2.693,-1.89,-46.258
56.04,114.829,60.119,-13.3,6.297,-17.314,-64.045,-8.556,-17.334,-12.993,-7.11,-28.282
52.876,69.644,4.552,59.074,18.899,-11.629,-61.347,50.989,-23.84,-24.967,-34.165,-11.194
56.038,53.868,65.65,7.608,29.877,9.242,-17.808,-4.979,-27.949,16.662,27.639,-18.748
54.008,46.846,50.423,51.87,18.36,-9.968,-28.539,-26.201,-24.062,-16.797,-34.096,11.823
52.583,107.898,23.71,-58.672,55.327,2.395,16.373,-61.915,6.621,-28.011,10.218,-0.079
52.458,90.539,-11.776,48.172,-13.702,12.411,-76.017,5.929,-37.721,-33.978,-67.531,-23.798
52.377,73.587,25.461,-51.489,7.663,36.397,-11.274,-17.212,-35.0,36.48,11.778,-1.142
53.667,74.6,21.588,-10.282,1.911,-8.072,-52.196,-39.006,-43.329,-22.949,-13.707,-28.914
53.049,-6.276,9.06,65.683,23.419,-36.174,2.421,5.637,-17.404,-6.506,-10.421,12.991
45.697,25.693,74.886,-9.197,14.358,-19.943,6.103,31.253,-13.307,-28.432,3.756,32.241
46.666,70.933,72.857,-18.114,27.983,-23.691,-5.944,10.756,-42.942,-15.169,10.242,36.474
48.445,50.612,81.903,15.743,31.112,-45.519,0.116,13.326,-22.919,-6.393,9.01,24.337
51.887,64.506,34.612,-9.172,32.572,8.711,9.19,-82.965,-21.786,6.991,-12.537,30.893
52.238,72.416,-40.665,-5.313,28.285,-22.674,39.95,-68.262,-7.776,-13.927,-28.639,20.979
50.776,-29.293,5.413,-39.549,52.993,-6.649,28.779,-11.24,2.127,47.319,15.238,4.038
53.789,-29.955,29.043,31.167,49.89,-48.578,17.942,-18.017,8.943,15.684,-23.452,4.317
52.189,-27.974,-1.68,19.232,55.001,-14.019,-25.281,-25.476,29.076,-15.687,-11.251,22.381
51.851,83.769,9.318,-49.67,71.896,-15.197,56.06,-86.512,-26.345,-21.584,-9.846,14.657
54.54,49.018,76.895,21.755,31.763,-22.228,-1.37,2.022,0.347,4.224,-16.518,-2.824
45.225,102.477,-16.721,-78.222,41.391,-11.792,20.82,37.651,-2.599,-36.664,-12.652,11.944
51.168,19.557,20.57,46.83,39.862,32.746,43.259,-7.087,-1.773,14.442,-11.146,-1.717
46.654,-31.231,22.345,-40.513,-9.411,-23.69,2.774,3.15,-24.187,-2.872,-15.364,17.122
49.914,19.523,-3.371,-87.956,23.23,-12.393,-20.561,53.1,-22.933,-0.157,-10.13,17.095
50.558,35.935,-39.433,52.675,26.371,-36.47,-8.79,-26.158,-28.43,48.802,-18.902,27.163
52.671,24.367,25.5,-25.562,16.34,-1.916,-17.167,2.155,-14.367,18.888,15.505,-5.881
52.987,5.616,48.458,-22.513,66.168,-12.06,8.733,19.215,24.898,-15.117,-13.083,4.913
54.465,93.982,-1.906,26.058,41.341,-24.548,1.901,49.406,18.084,-37.749,-21.207,12.777
52.597,67.841,4.545,-35.205,18.08,10.95,-10.773,-61.929,-34.136,29.706,1.326,20.847
53.393,-3.662,20.582,-13.161,54.831,-24.203,-21.583,-3.672,5.324,3.159,-16.969,30.697
53.465,37.692,15.743,-93.107,7.194,-2.063,5.559,18.616,-6.888,0.134,-7.892,16.164
49.775,29.456,-40.871,126.752,-17.549,-3.098,-0.995,16.536,2.379,-14.614,-92.592,17.863
44.999,13.845,33.369,-168.083,17.656,118.249,61.354,-11.527,-6.859,-9.315,-24.05,-7.626
51.043,21.185,-10.326,-12.494,-3.91,-8.581,16.131,-53.286,-39.165,7.474,-12.758,-1.529
51.604,64.526,-29.575,-54.977,41.616,-25.385,5.791,39.578,6.652,-56.886,-6.277,0.475
55.091,81.597,-15.92,-15.785,-0.189,-32.397,-2.153,20.357,-0.072,15.881,-31.852,7.845
55.964,59.577,24.098,3.595,9.153,6.953,-11.625,-11.179,-14.246,10.091,0.77,-17.153
54.538,4.107,25.539,16.794,22.441,-35.209,3.147,1.343,-11.213,18.008,-14.597,24.668
54.669,131.54,-13.215,-44.514,-2.853,-2.802,20.321,-47.921,-12.302,-13.549,-9.012,-2.744
52.939,54.254,-15.715,-5.76,-38.91,-38.233,-22.299,-25.605,-24.591,17.879,-22.624,-7.828
53.172,148.985,-34.387,-58.56,19.176,-22.448,-6.63,-8.713,9.934,-16.61,-3.297,-16.675
56.604,32.903,8.12,0.674,32.185,-19.261,-11.914,-16.804,-3.238,11.43,-6.493,-3.05
53.505,25.909,17.781,26.43,-8.94,-22.836,1.691,25.055,-38.66,-18.51,-22.961,-7.033
52.383,-4.597,29.738,-107.672,-6.676,-18.899,-24.554,21.084,-1.688,19.544,25.535,-14.736
56.144,59.365,36.383,40.692,-15.296,-22.26,-9.09,-17.346,-21.293,3.284,-35.397,-11.358
56.661,18.307,36.644,34.944,28.388,-42.096,28.139,-21.664,-15.306,7.199,-5.657,14.417
53.03,-5.095,37.523,-7.37,-23.926,-18.651,-17.662,32.173,-31.228,-24.603,-13.187,5.088
