0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
42.852,-3.414,30.752,36.86,11.242,85.692,32.461,-20.266,-5.765,32.576,21.973,-8.894
45.527,-37.753,-37.16,8.151,-0.386,40.209,-1.306,-47.305,6.966,-15.446,-14.228,-9.48
49.365,0.276,14.283,23.888,7.206,-6.371,-16.214,-41.531,-13.945,-17.214,-16.488,3.079
45.219,-69.089,-22.421,48.262,-6.631,-12.396,-16.307,-34.861,-8.821,0.676,-2.106,-11.011
45.0,-80.353,-8.951,28.781,0.99,-22.186,-3.034,-32.918,2.338,1.082,-29.235,-2.79
43.091,-93.542,-9.516,22.212,21.203,42.774,-13.768,-22.114,15.982,-49.496,-12.998,-7.211
43.288,-95.166,-38.903,32.948,-13.698,13.505,-9.526,-26.186,-3.188,-11.665,5.614,-6.817
45.218,-59.507,-45.514,57.385,-1.468,4.805,-18.59,-46.157,-3.825,-6.216,12.916,-6.759
43.797,-79.493,-15.288,40.622,12.109,37.443,-16.219,-23.349,8.149,-23.893,16.611,-12.382
45.736,-37.857,60.795,-120.303,9.805,46.098,-7.76,16.533,4.169,-38.181,-0.951,-17.864
47.304,-84.673,10.931,27.786,12.257,-35.95,-26.653,-9.426,-3.459,-8.547,-15.011,-7.433
45.823,-52.592,-16.999,40.829,-28.128,-38.056,-14.027,-40.301,-13.54,-9.686,-23.018,-15.558
43.151,-129.765,-0.257,-20.778,16.976,4.384,7.254,7.054,26.697,-28.565,-37.566,-7.937
46.757,-55.665,3.364,59.99,-30.195,-33.334,-8.922,-45.222,-27.148,-12.88,-23.015,-10.484
46.563,-64.451,-6.064,2.779,-7.642,26.345,-1.409,-18.097,-1.376,-19.087,13.72,-7.65
43.627,-76.269,-0.215,-6.364,-16.339,-24.612,-7.186,-2.725,0.825,-8.386,-7.706,-11.879
45.786,-79.564,-21.065,38.944,0.815,28.498,-13.56,-24.856,1.358,-0.519,0.824,-11.019
42.594,-129.612,-5.065,-45.475,3.593,31.126,-14.64,1.007,3.062,-43.264,-29.699,-0.371
46.581,27.489,60.542,-65.554,-13.191,55.758,-5.614,14.638,-23.518,-51.202,15.401,4.589
46.967,-29.589,22.434,39.534,-32.889,-15.692,-19.999,-21.595,-43.94,10.274,-14.018,0.774
44.743,-62.649,5.139,26.617,-14.583,-23.849,1.17,-24.505,-4.254,-0.216,1.094,-11.581
41.179,-129.833,-11.22,-28.719,6.164,-34.452,6.56,-11.419,17.965,-0.365,-4.219,0.458
45.225,-68.345,3.501,3.198,1.726,34.416,1.727,-26.249,1.906,-24.475,0.007,-5.35
46.554,-63.335,-2.755,29.476,-9.439,-30.092,-3.555,-29.818,-6.107,10.704,-14.718,-8.236
46.659,-50.514,-1.634,25.518,-0.021,19.645,4.412,-22.983,2.316,6.178,-3.453,-13.899
45.021,-57.484,23.049,-21.662,-5.971,30.734,-6.292,-0.292,-2.536,-27.251,-20.256,-13.189
44.747,-48.845,34.13,-35.835,-18.429,40.62,-8.432,23.762,-8.111,-52.544,-28.937,-11.157
46.848,14.143,86.29,-54.725,-10.816,33.961,-0.36,41.671,-11.195,-66.896,18.242,-29.316
47.302,-17.923,23.087,24.833,-29.692,-19.779,-26.502,-30.712,-43.132,-0.555,-11.339,1.698
44.621,-58.154,33.254,-28.273,-22.785,-0.866,-22.256,-0.338,-27.849,-32.044,-22.415,-7.498
42.825,-85.134,33.26,-5.231,-36.967,-36.802,10.936,6.622,-30.372,-16.453,0.297,-10.841
46.788,-33.734,-5.931,46.005,-30.795,-31.017,-35.901,-33.454,-28.369,-1.223,-34.265,4.44
46.686,-24.791,13.562,35.656,-11.881,-57.189,-45.5,-31.83,-21.764,10.019,-4.198,-1.517
43.399,-50.937,-2.331,21.095,1.882,-32.109,-32.336,-45.42,-8.462,-1.487,-20.953,-1.862
45.855,-52.643,-36.7,23.019,-37.392,-1.567,9.652,-24.753,-18.393,-15.107,13.243,-5.564
46.012,-50.847,-28.175,47.009,-35.58,-36.6,-16.118,-34.478,-23.849,-4.035,-29.708,-3.033
46.652,-65.641,-19.994,9.045,-18.985,20.504,-1.391,-31.446,4.954,-6.474,-8.539,-17.272
44.208,-85.054,15.095,-101.134,-7.685,5.816,-2.407,10.556,11.67,-30.764,-14.654,-11.858
51.775,-20.908,8.193,-69.56,21.275,22.691,-26.173,5.506,13.211,-4.696,5.687,-26.076
52.935,76.57,-56.938,-54.72,51.878,-73.61,-58.87,50.269,33.799,-0.821,14.485,-5.432
51.901,52.767,-56.299,4.954,36.439,-28.042,-26.592,-84.887,-6.631,27.052,-48.861,2.529
48.232,34.452,-85.631,-67.908,79.916,-24.016,8.517,-59.865,-18.649,-16.144,-6.688,-13.038
50.339,54.418,-31.613,-32.989,26.859,-30.328,-15.791,-1.145,-9.36,-39.063,-3.309,-6.767
55.249,-16.625,24.654,-1.827,45.547,-1.846,-27.189,-5.662,7.327,-1.943,4.876,-8.17
52.465,-7.937,-19.996,-21.243,7.455,-18.306,-65.722,7.942,-8.803,-8.547,-19.871,-9.263
47.905,9.412,-50.463,10.891,-14.37,-29.401,-0.341,-15.44,0.196,-10.813,-42.906,-14.973
44.977,-78.459,-48.691,44.031,-22.512,-12.774,3.599,-38.377,1.606,-0.4,-12.052,-11.152
45.577,-44.098,20.856,-134.371,-18.97,32.02,-7.715,41.186,4.948,-46.29,0.341,-16.472
48.404,-36.547,3.132,-17.317,10.556,-29.436,-14.929,2.213,-1.852,-10.18,-17.104,-6.18
48.172,-64.535,56.885,-127.414,22.183,-32.88,40.357,39.662,22.745,19.873,18.457,-5.371
52.729,-27.872,7.765,-5.724,56.12,-21.909,-13.681,0.716,16.812,10.774,-32.953,6.739
52.133,-47.176,-7.377,79.382,50.059,14.01,-27.636,-23.525,8.375,3.186,-46.475,-6.436
48.428,-50.336,0.911,-23.096,-33.48,-39.615,-1.775,-12.856,-12.676,17.61,2.986,-10.582
52.403,-38.625,-18.938,-11.099,11.422,0.73,-45.315,-9.804,-3.389,-20.31,7.064,-13.157
51.605,-38.249,10.955,-83.307,30.479,-21.816,-20.242,13.574,-2.503,-9.895,11.575,7.176
54.715,-4.965,21.889,-26.982,48.215,-24.83,-29.461,-16.909,3.89,1.447,-13.643,-15.071
52.982,8.794,-46.377,26.058,34.173,-12.094,-68.61,3.914,7.614,-14.561,-20.091,-16.335
52.312,25.982,2.336,-113.094,-18.961,-30.033,-43.932,24.46,4.611,-4.222,7.542,-10.354
54.484,8.687,-20.983,24.669,2.174,-10.692,-57.855,-27.698,-5.505,-2.683,-42.731,-24.026
47.655,-5.181,-51.522,-17.696,16.761,-20.895,-35.874,-2.412,-9.827,-17.71,-8.939,-12.762
46.852,-50.227,-28.948,15.971,1.173,-36.833,-19.3,1.726,-14.004,-12.652,-24.039,-9.423
47.476,-4.683,6.619,-78.493,-28.751,39.234,17.303,19.714,3.657,-33.154,9.779,-10.817
49.988,4.032,11.62,4.355,-34.972,-12.303,24.389,-2.812,1.201,-8.376,-24.434,0.531
46.786,-14.73,-11.498,-40.095,-40.822,-25.041,-5.152,9.779,16.38,-3.855,-8.676,-16.947
50.544,-2.507,53.934,-109.876,-0.584,-29.508,23.07,11.085,14.589,24.535,9.324,-14.237
54.093,9.814,36.718,43.345,33.471,-30.504,32.043,-2.031,6.034,-3.018,-32.397,15.109
49.594,25.429,-11.811,-28.157,7.598,-52.347,19.509,12.48,-45.543,-6.097,2.308,-17.536
51.133,-6.76,-35.472,-36.585,42.512,-8.535,-21.797,0.304,-23.416,5.918,-22.056,5.465
51.459,70.027,-50.616,-45.028,73.295,-40.409,23.223,-2.981,-48.497,7.673,-6.806,-27.259
52.551,-22.822,1.527,3.075,56.596,-17.482,-19.68,13.824,-0.503,11.695,-37.447,5.828
49.455,22.635,-25.798,-83.331,27.64,-13.63,4.06,-32.011,-28.486,-7.158,-17.99,-15.458
54.114,-16.543,40.95,-5.784,50.574,8.497,6.277,23.432,17.202,-16.866,-18.75,-7.171
47.8,-48.517,6.825,-33.71,-18.493,15.31,0.198,-4.435,-3.775,-13.341,18.228,-17.659
49.139,-61.878,12.836,-18.773,22.996,-33.215,-16.682,6.37,-20.606,-4.553,-17.472,1.061
48.201,-30.143,1.928,24.16,-34.743,-28.16,-9.585,-8.923,-16.467,-16.703,-27.355,-4.105
47.659,-14.469,27.401,-48.01,-29.32,32.516,9.674,18.865,-17.451,-46.0,-18.416,-19.453
48.983,-61.509,25.673,-147.466,-9.17,-8.355,-32.938,42.169,-6.643,-2.087,14.609,-25.737
54.924,64.247,-23.701,-31.418,-5.296,-33.577,-76.461,-22.025,0.859,9.413,-3.858,-18.664
55.039,61.065,-31.57,-5.719,12.328,-12.496,-66.637,-18.109,2.64,-9.236,-25.027,-16.806
