0,1,2,3,4,5,6,7,8,9,10,11
0.034,170.315,8.704,-29.526,56.98,-50.157,14.818,4.319,-27.454,0.886,-10.55,-6.643
19.206,-88.896,-119.004,0.193,43.507,95.588,-6.334,-6.542,-35.088,100.801,26.144,-4.824
33.056,111.841,-152.13,397.708,27.609,-42.291,-78.681,70.425,2.051,-32.514,-58.316,7.866
13.989,-16.581,-18.364,-145.302,28.649,43.098,20.581,-91.517,-39.892,42.944,-81.031,9.86
41.185,13.632,-11.851,-69.525,64.062,208.403,35.644,-11.616,14.857,-37.759,13.102,-12.068
32.639,-8.204,-124.319,172.15,-10.241,-32.126,-65.582,-85.912,-21.03,2.729,-78.47,0.059
28.012,75.255,-148.331,257.125,64.534,173.866,-39.965,79.578,23.58,-60.329,-31.352,-6.602
2.69,131.71,-36.895,-40.087,11.138,-48.182,0.437,8.411,-43.019,-3.079,-3.159,-3.866
16.611,-17.458,-6.939,-135.479,21.543,30.674,6.347,-115.986,-47.598,53.071,-65.704,20.027
39.517,14.245,-30.165,-75.507,48.312,178.64,10.794,-17.572,16.608,-57.09,-19.793,1.885
34.48,-20.555,-86.627,121.787,-40.42,-0.361,-42.336,-61.086,-34.74,-20.649,-91.403,5.571
23.854,-71.695,-63.207,-63.348,53.074,58.081,-27.101,107.114,18.449,-47.729,-104.412,14.628
11.059,50.128,-50.389,-8.953,-13.4,-5.65,-10.254,15.774,-25.941,23.973,6.233,1.19
29.651,42.569,84.982,-232.043,67.891,128.648,18.36,-33.196,-9.977,39.869,-48.921,21.339
35.948,-8.745,-82.615,124.811,31.127,0.443,-88.388,-15.311,7.831,5.105,-39.818,21.736
33.254,36.296,78.079,-153.012,59.204,156.063,29.563,-41.687,-7.05,-4.979,-100.715,44.191
33.42,-62.987,-22.823,28.17,29.595,-41.414,-49.363,-8.086,7.96,-28.508,27.413,16.76
28.306,71.745,-10.614,75.99,-34.064,-8.213,-95.967,27.837,-31.055,-29.465,-43.118,-15.963
22.905,-82.294,-117.724,44.747,14.091,-44.889,-42.813,-25.275,-25.465,35.917,-17.162,4.104
17.352,-107.81,-107.887,-88.105,36.419,-71.518,-31.175,-6.148,8.945,7.973,24.624,1.128
38.887,77.896,-108.427,311.967,27.481,-16.573,-68.698,33.877,-15.651,-13.333,-114.019,19.616
20.609,-95.71,-84.617,-24.16,-9.369,-47.704,-45.745,-2.52,-15.215,17.118,1.68,-13.76
