0,1,2,3,4,5,6,7,8,9,10,11
0.155,168.053,10.818,-32.439,58.811,-51.581,15.275,-0.166,-26.842,0.042,-7.587,-7.53
36.137,-42.903,86.492,-3.101,27.805,-3.134,7.553,-10.721,-30.973,12.437,40.982,13.863
38.274,-15.869,95.248,3.321,10.709,-16.38,-18.694,6.104,-28.821,-23.329,-3.395,-0.068
41.3,28.112,132.423,11.639,47.567,2.26,18.168,5.371,-2.316,-11.544,-2.997,25.947
41.305,-13.049,108.266,-18.076,36.617,-22.495,-9.395,50.149,-5.367,-23.487,26.027,2.819
42.864,44.121,151.602,33.997,77.151,-33.914,-2.876,-11.175,-14.269,-6.666,6.387,11.934
43.505,60.325,154.293,51.088,89.553,-21.734,-11.944,-25.24,-16.99,-11.382,-21.639,21.186
40.664,-72.419,80.046,30.976,36.512,-31.064,3.149,25.285,-11.983,3.022,-15.022,12.79
38.848,37.701,159.242,-29.22,29.217,-2.207,6.172,25.334,-25.104,-24.999,12.575,7.95
41.854,-17.944,93.815,26.122,41.668,-43.837,8.26,-43.671,-27.437,39.53,-0.076,28.304
41.327,-51.919,97.998,37.179,27.127,-29.929,11.977,17.045,-6.927,-19.749,10.558,0.537
40.912,29.403,152.727,32.615,52.97,-26.624,-5.754,21.251,-11.649,-24.535,14.947,-7.697
41.243,66.065,203.499,35.968,70.648,-20.582,12.039,8.142,-24.019,-23.261,5.199,28.586
44.484,74.799,128.125,14.837,42.81,-30.387,5.417,-19.285,-4.188,-2.417,3.539,27.701
43.445,47.827,119.302,83.129,52.98,-34.001,2.85,-17.453,-8.544,-6.285,-32.043,28.278
37.453,-65.045,77.759,-7.106,45.842,-35.592,-11.962,7.439,-1.618,-4.932,8.313,7.604
37.662,-27.87,94.352,19.34,19.103,-53.485,3.195,-9.446,-29.83,4.158,6.064,21.502
41.811,23.266,145.285,18.46,47.232,1.134,25.777,-8.014,-10.422,-18.945,5.338,19.274
42.318,8.129,103.971,3.909,32.77,-33.084,-11.93,60.302,-5.361,-25.971,23.902,0.808
43.356,29.941,151.465,8.949,60.626,-21.546,8.683,12.16,-18.098,-24.533,2.858,22.744
45.337,-15.356,55.004,-56.222,36.716,-17.702,-1.051,85.513,2.095,-24.147,-14.354,17.972
49.011,44.684,-22.947,14.391,5.531,-64.166,7.559,-34.733,-26.264,-5.115,-40.539,22.675
45.063,-28.398,-9.861,31.989,-12.652,-86.222,34.292,-35.051,0.893,52.436,-22.381,-0.583
48.986,34.909,-36.127,-6.203,10.966,42.373,13.886,30.374,8.264,-34.685,15.284,-11.101
47.902,22.819,-11.825,17.94,-33.404,-13.687,38.477,-34.107,-19.999,11.466,-4.818,19.922
50.456,41.392,-32.281,1.649,-5.218,-10.751,5.91,-10.467,-11.371,-4.903,29.532,2.367
49.325,22.589,-2.266,17.341,-39.198,-45.143,27.95,-23.433,-17.342,12.367,-5.876,13.968
53.078,62.58,-5.339,6.75,-14.246,-22.489,17.518,2.782,0.89,-8.37,27.769,8.411
53.133,67.088,24.949,-7.634,-17.072,-37.277,23.102,1.809,-14.704,5.671,-11.213,10.413
53.884,84.099,15.347,-9.475,-30.96,-41.637,11.898,5.685,-27.936,-7.67,-1.683,24.303
53.057,65.973,37.662,-1.292,-18.475,-34.694,37.343,12.797,-9.42,8.977,-9.97,18.793
51.791,57.498,12.932,9.46,-20.95,-54.399,16.041,14.49,-10.314,10.539,-18.477,15.174
52.764,73.262,23.887,-21.632,-9.834,7.677,28.423,2.556,-15.658,10.052,8.515,7.59
52.849,70.791,24.186,17.107,-35.506,-35.842,40.626,1.631,-15.268,0.944,-5.295,17.967
51.941,55.585,30.139,-24.924,-15.265,-31.269,25.995,2.28,2.14,-0.808,-6.514,10.857
54.139,76.668,30.901,-13.521,-21.809,-47.475,17.015,-2.157,-8.493,-5.952,-2.565,22.74
53.14,80.363,17.899,9.93,-12.477,-43.107,6.557,-6.333,-1.49,13.09,0.262,7.771
52.074,46.145,19.494,-7.982,-3.77,-32.848,16.491,2.038,1.427,0.539,-12.342,7.185
51.966,67.861,1.292,-11.283,-26.03,-50.156,1.512,7.873,-11.939,7.412,-13.676,-0.507
51.427,41.534,16.79,-10.981,-16.81,-41.543,15.931,-0.386,-14.857,7.41,-7.866,3.014
52.581,70.279,39.29,0.732,-11.344,-32.738,27.115,13.002,-7.945,-0.813,1.891,13.679
53.585,63.752,15.591,-9.093,-8.464,-35.113,18.498,5.064,-11.723,-6.141,11.764,3.165
52.177,69.119,15.822,5.173,-13.805,-22.223,24.17,16.8,-5.48,-4.128,-10.986,8.839
54.335,60.519,10.64,-2.16,-6.965,-54.026,4.762,-5.573,-10.139,5.626,-7.752,22.518
53.362,63.699,23.297,13.456,-10.353,-32.182,35.366,4.025,2.155,-1.311,-1.443,11.74
52.403,53.366,22.04,-21.891,5.911,-34.84,-1.192,0.051,0.431,2.816,-7.873,-2.523
53.566,81.87,9.458,-20.266,-22.833,-50.171,-2.388,3.93,-14.367,-1.639,-11.097,10.893
52.858,90.303,26.514,0.348,-27.023,-27.576,11.083,6.116,-10.576,-1.151,-16.583,6.499
52.618,80.671,21.009,-15.33,-17.122,-22.571,29.146,1.888,-13.814,-6.386,-6.233,12.668
53.51,76.767,24.038,-9.278,-13.823,-32.266,9.278,3.826,-15.018,0.716,2.728,8.723
51.967,72.636,13.744,14.923,-20.054,-51.803,12.73,13.017,-10.018,12.078,-15.353,10.94
53.437,74.502,20.911,-1.153,-28.607,-45.509,34.909,-0.586,-8.119,-3.893,-16.515,21.951
52.917,68.008,18.479,2.133,-25.2,-38.278,14.372,-1.576,-4.355,5.134,5.569,2.759
53.718,65.083,13.887,-7.032,-18.853,-50.061,6.367,0.385,-10.006,-4.672,-7.252,17.514
51.726,59.553,4.761,-11.76,-26.176,-25.304,12.864,11.983,-9.533,-3.268,0.956,5.79
51.846,55.438,18.99,-38.7,-25.053,-21.129,4.057,9.093,-22.179,-2.149,-7.905,3.193
53.133,65.475,8.854,-5.436,-16.811,-25.781,16.532,5.717,-13.887,-2.907,14.419,16.55
52.873,58.644,5.924,-6.888,-12.408,-43.73,2.792,12.281,-22.615,-4.155,-7.516,15.602
51.687,77.055,-2.49,0.455,-11.573,-57.38,0.79,10.308,-19.931,8.608,-9.234,10.623
53.483,66.898,-2.926,-1.684,-17.356,-19.707,1.602,12.764,-19.744,13.92,16.225,9.962
52.702,61.38,16.054,-34.11,-14.272,-25.798,10.833,12.994,-23.133,-5.648,-7.15,11.375
