0,1,2,3,4,5,6,7,8,9,10,11
31.409,36.857,49.238,-184.255,57.514,234.924,78.321,-11.25,-22.153,70.204,28.813,19.536
51.605,80.531,63.584,-36.324,62.923,25.277,32.765,28.82,-25.304,28.59,-29.571,33.982
51.393,64.132,-2.785,-41.895,96.72,-24.467,24.91,-75.515,-34.708,12.662,-23.532,12.891
50.054,-19.727,-13.331,45.426,52.823,-5.424,-28.857,-20.589,-20.569,13.829,-17.255,4.557
51.729,-34.035,38.507,22.981,63.197,-22.876,-5.121,14.564,-19.906,17.582,-16.042,12.02
52.842,17.006,38.424,-19.081,72.823,-5.532,1.144,-25.034,-45.063,46.954,-2.101,-6.449
51.762,95.705,9.731,-5.053,73.552,-47.437,-34.198,59.427,-9.84,-42.376,6.978,1.228
50.43,52.415,-6.974,-15.237,58.451,-2.869,-36.148,-23.203,-27.156,31.663,-51.727,9.816
47.943,161.205,-15.587,-47.696,38.965,-41.648,-34.639,-5.84,28.775,-5.933,4.729,45.353
51.381,37.098,-4.208,3.523,47.562,-25.808,-19.765,19.438,-20.252,29.215,-7.696,17.788
52.242,57.11,-20.454,-32.012,-8.821,-19.874,-62.498,-9.277,-6.631,-10.869,1.277,-13.084
52.898,35.595,14.154,-58.79,-4.117,-23.115,-54.567,-28.41,4.108,10.814,3.28,-9.072
54.686,32.961,33.243,3.355,64.138,-21.937,-34.241,-12.528,-9.973,-18.299,-19.102,-3.017
47.689,87.286,16.906,-0.276,49.977,8.368,-10.572,-17.183,-18.134,-27.642,-18.083,4.385
50.136,138.539,-1.692,-42.739,43.718,-18.789,-1.256,-75.956,-5.486,6.043,-21.219,33.818
50.521,20.093,26.009,-52.922,68.159,6.814,8.451,-40.351,-24.395,9.279,-27.296,-6.607
50.519,-8.834,-0.12,-16.447,36.13,17.649,-30.881,-23.648,-3.896,-23.912,-9.277,-9.924
51.096,-1.711,45.298,-44.801,76.334,-13.915,-9.82,93.809,-6.288,-6.822,14.622,5.672
49.702,1.615,5.014,10.258,28.561,-38.104,-22.402,-26.004,-38.075,-2.284,-21.452,6.243
51.07,-17.997,28.742,-32.263,99.917,-5.26,-11.97,40.509,-12.15,-8.099,-6.342,-8.502
50.279,31.325,-8.862,0.908,41.075,-42.446,-31.552,-34.988,-28.148,42.753,-2.273,15.23
52.926,31.978,3.915,-39.827,34.19,-25.739,-54.921,-8.959,21.461,-1.118,0.88,-0.044
52.833,55.759,1.898,-26.15,41.708,-13.906,-70.276,-20.348,29.297,-0.689,-29.38,-7.171
52.824,0.958,49.331,32.68,60.198,10.652,-15.107,20.644,-25.3,6.288,-11.294,5.197
