0,1,2,3,4,5,6,7,8,9,10,11
26.066,125.035,144.602,-343.907,62.813,194.415,54.334,-36.786,-26.039,56.044,-57.958,11.139
45.788,48.006,4.138,66.12,-7.858,8.877,-38.099,-36.1,0.465,-6.337,-45.767,-0.218
50.962,68.14,94.679,-50.25,17.02,79.79,-8.306,29.15,-6.562,0.291,26.359,-35.499
51.258,60.472,53.004,54.683,7.099,0.678,-26.056,-28.911,-23.812,-22.382,-38.277,6.02
51.97,43.525,85.88,7.545,10.371,5.874,-8.774,-11.536,-20.78,4.112,11.373,-3.532
50.796,48.018,57.446,24.479,12.044,-22.534,-28.78,-28.714,-16.545,4.161,-15.463,-8.818
53.227,55.244,84.573,30.619,28.512,5.07,-30.802,-13.361,-4.802,-4.722,-4.038,-1.758
52.495,106.006,79.622,29.101,29.082,-15.729,-31.171,-9.546,-1.144,-5.874,15.645,-1.372
51.893,48.637,98.089,6.008,33.853,-14.984,-32.443,-30.05,-23.271,18.697,-6.371,-0.002
51.34,34.006,79.874,45.43,26.396,-21.504,-24.169,-9.631,-10.542,0.019,-15.103,9.516
46.703,33.634,36.88,76.895,21.473,8.283,-31.006,-20.3,2.247,-18.866,-46.932,4.946
40.437,4.307,60.578,-124.339,26.48,6.602,-31.776,52.122,17.649,-23.982,0.74,-0.794
45.156,42.64,4.697,-12.495,10.161,-27.486,-43.836,-19.388,13.162,11.343,-9.368,15.902
48.164,59.485,10.998,9.807,-12.475,10.793,-37.35,-20.887,8.444,-8.348,3.346,-6.006
43.605,25.21,-2.599,92.343,10.895,-17.838,-36.281,-49.895,12.971,-10.489,-48.413,0.187
50.827,58.76,101.817,-57.806,19.038,83.363,-1.621,39.708,-4.994,-12.168,29.947,-29.688
51.728,76.087,96.014,68.693,26.146,1.55,-22.18,-18.546,-22.652,-21.721,-37.745,-8.446
52.01,66.877,84.706,22.125,10.791,10.061,-18.115,-38.461,-16.444,8.907,3.816,-5.868
51.081,49.83,93.703,28.981,21.704,-26.564,-32.778,5.187,-15.406,-6.319,-4.264,1.595
52.93,58.758,107.846,7.057,37.19,12.019,-25.433,-5.415,-8.987,-4.329,9.801,1.415
51.791,70.489,71.105,-7.421,5.17,-15.201,-28.377,-15.359,-9.119,-6.24,5.422,0.675
50.812,40.623,97.857,34.124,30.586,-18.796,-22.864,-1.042,-13.626,-3.962,-22.39,5.738
51.817,8.873,5.02,2.431,-10.644,10.776,-19.522,16.485,2.099,0.716,32.484,-15.849
49.254,31.233,-90.13,147.627,11.837,-52.621,-15.128,-31.2,-14.582,-16.899,-30.941,6.387
45.478,207.077,-10.701,-5.665,59.262,-36.264,-44.746,-8.65,-6.831,25.672,-10.71,10.987
46.373,-40.444,-116.877,106.826,13.523,-84.346,-7.66,0.659,-21.43,26.441,-16.766,-1.272
