0,1,2,3,4,5,6,7,8,9,10,11
6.267,173.914,98.858,-195.291,49.505,-112.547,43.272,-51.761,-26.062,12.771,137.528,-27.431
44.156,94.708,55.05,19.508,64.751,-35.389,-18.969,33.278,6.336,1.023,4.75,12.882
44.028,125.684,26.846,12.632,-6.297,35.23,-26.819,4.928,-23.213,3.271,-69.356,5.556
43.358,155.709,44.634,-45.839,3.112,84.534,-21.68,2.33,-9.981,-5.093,20.033,-6.373
44.844,319.682,27.048,-6.156,36.476,-55.451,-26.082,28.786,-3.242,-37.131,-1.264,10.513
47.266,241.583,67.804,-18.251,7.575,7.555,-1.018,-96.772,-45.583,36.686,-12.548,21.122
48.201,95.991,47.009,16.887,34.166,-31.415,-1.213,3.745,-18.228,9.679,-13.103,30.255
48.722,94.312,50.828,1.262,40.098,-11.196,-3.74,8.017,0.633,-11.914,-17.751,2.018
45.322,213.637,1.315,58.512,33.299,4.8,-12.474,-64.245,8.037,-19.514,-38.567,14.806
48.22,148.68,69.474,6.63,20.74,2.371,-1.878,-62.9,-46.676,1.346,-2.681,-5.962
46.147,80.555,58.634,47.748,35.603,-22.914,-24.839,48.967,-21.26,-30.398,-29.656,-11.826
44.955,27.864,31.319,-13.705,65.381,-0.042,-15.612,-14.851,3.364,-9.108,-7.622,-1.071
46.782,65.825,70.871,66.802,19.895,-11.963,-20.005,30.42,-16.816,-29.732,-3.254,13.217
46.996,95.188,98.309,-18.175,27.587,43.476,6.143,-13.795,-34.499,5.139,13.725,-6.277
48.75,99.381,92.27,3.821,22.562,-30.832,-6.519,25.133,-15.412,0.785,-1.298,8.776
49.043,71.0,106.71,-7.067,22.418,-30.502,18.87,14.975,-10.271,5.53,7.707,15.097
50.143,141.03,111.148,10.728,21.65,-25.847,-5.988,19.666,-12.137,-6.673,-3.799,7.944
49.213,120.502,101.226,3.605,2.828,-20.162,0.638,-14.893,-38.041,19.147,-6.594,-22.125
49.819,119.07,77.14,8.447,26.218,-23.947,-19.921,11.704,-33.22,-9.387,-11.1,-12.801
48.426,196.158,72.45,13.64,-17.573,-3.748,-19.074,-23.498,-55.343,-10.458,-6.781,13.06
47.097,107.059,98.638,-37.069,12.633,-15.097,-5.207,22.699,-25.678,11.858,9.961,14.115
47.54,267.494,4.32,-7.206,51.454,-39.931,-9.268,9.774,-4.723,-13.351,19.99,9.132
47.891,187.555,61.627,23.688,6.808,-11.714,5.474,-96.05,-40.518,11.724,-31.206,19.335
46.755,52.272,51.955,6.46,34.588,-16.696,-22.95,40.803,-26.973,-29.773,-15.514,36.219
45.53,120.389,86.468,-49.269,2.816,-1.367,11.267,-34.901,-45.058,-0.566,-5.382,4.986
47.772,165.789,64.541,-9.873,22.768,-38.654,-30.81,109.515,-10.522,-27.667,6.744,-1.521
48.263,128.812,85.301,-13.244,17.127,-11.507,-10.331,-39.154,-61.49,31.549,-14.946,-3.142
49.716,115.177,88.769,30.616,10.514,-17.604,-9.905,-14.943,-36.526,-8.298,-15.25,-2.225
44.447,139.338,21.235,51.169,-4.04,11.186,-1.635,-43.747,-40.754,-23.779,-38.6,12.086
38.963,67.468,43.866,10.532,3.445,-28.669,-3.259,-0.013,0.923,-11.608,-0.017,1.023
38.818,68.029,47.989,20.02,-2.189,-9.028,2.28,-3.179,-15.646,-9.553,-30.312,-7.386
37.512,43.389,28.533,24.404,4.447,-20.569,-10.705,-13.21,-1.917,-1.106,-18.288,-1.579
38.075,74.095,37.159,-31.476,-7.126,-14.821,-12.101,11.916,12.681,-4.745,-0.188,-8.814
39.281,88.275,58.068,-15.663,-14.281,-19.494,-14.338,9.303,-15.405,-2.183,-2.03,-1.031
43.035,156.323,57.166,-30.463,-8.715,12.695,-1.624,25.08,-14.766,-20.924,-26.673,4.459
47.28,148.129,61.475,-48.772,30.244,6.335,15.732,-16.402,-31.3,-6.589,9.73,18.227
49.227,136.308,94.027,5.673,-11.285,-9.605,-15.888,-34.86,-38.52,-2.841,-2.599,-6.714
50.172,111.853,129.229,24.3,20.218,-14.132,-8.565,-10.989,-36.375,-14.13,6.947,16.964
49.476,163.778,32.192,10.572,34.154,-39.368,-34.772,77.854,-14.57,-28.121,-8.842,-2.154
45.878,160.663,64.977,-20.713,49.771,25.592,8.104,-41.777,-27.717,-29.787,-20.906,-3.925
46.598,258.611,31.523,14.61,37.864,-0.378,4.488,28.225,-19.879,-39.69,22.449,-13.551
49.02,192.178,42.919,28.609,19.162,-11.396,-31.845,-1.612,-56.955,-10.992,-33.373,19.694
46.397,168.703,45.753,-24.131,21.872,31.397,-0.601,-9.115,-40.267,-17.668,-24.581,15.492
46.732,249.005,42.779,-5.57,22.749,-13.457,-2.463,-63.803,-4.026,-14.105,-7.567,23.953
46.599,58.451,86.105,18.399,17.54,-11.795,-19.133,31.813,-51.129,-19.847,-4.648,21.409
47.582,279.959,47.937,-8.083,26.209,-36.647,-36.763,-8.081,22.51,-1.023,12.503,4.735
47.658,176.273,73.687,13.482,-32.106,-14.254,-29.845,-22.831,-36.611,9.884,-11.414,-0.337
48.513,144.646,68.606,-6.537,-18.055,-13.645,-19.532,-17.904,-8.684,-12.973,-13.945,-2.815
48.643,72.245,136.537,11.189,38.739,-24.366,9.995,17.592,-18.2,-7.387,18.48,1.888
49.699,115.997,52.894,-7.864,4.576,-18.289,-10.882,-18.972,-37.253,-25.222,3.08,-4.087
47.451,137.645,83.698,70.283,19.222,-20.554,-10.967,-11.062,-16.742,-16.209,-38.436,-10.139
46.302,203.844,65.283,44.622,-36.1,-19.144,-21.816,-41.769,-47.024,-11.016,-24.968,8.868
47.97,228.663,78.033,4.115,3.934,11.796,-2.875,-24.877,-30.596,-14.581,-7.132,5.626
47.701,87.544,108.428,-6.361,42.619,-18.5,23.842,-13.291,-13.82,21.087,0.618,16.262
50.851,138.449,102.443,7.318,51.193,-17.807,-13.728,9.906,12.343,-12.355,-12.296,11.594
50.823,153.927,82.039,23.777,16.228,-18.719,-4.706,-18.44,-37.136,-9.988,-2.784,1.007
49.353,127.8,76.832,24.354,34.157,-13.441,28.595,-38.01,-8.038,-13.004,-7.527,39.192
46.773,50.511,74.115,39.953,35.924,-10.038,0.855,20.451,-37.204,-14.386,-29.672,30.64
48.391,136.595,67.476,26.872,-3.127,-4.653,27.469,-46.681,-41.696,-9.775,-17.595,24.717
48.317,56.031,124.571,12.097,29.463,-21.565,7.238,23.497,-48.706,-22.662,12.761,9.135
48.258,272.896,12.975,-8.333,74.002,-64.828,-25.601,15.314,-17.036,-22.885,-5.791,6.948
49.596,169.13,93.054,1.2,6.343,2.28,-3.901,-41.143,-61.885,31.886,-19.2,-4.395
49.261,117.127,127.84,-4.129,-3.305,-23.325,-26.416,21.061,-29.984,-13.445,5.822,-46.981
49.167,155.349,77.326,50.245,-5.795,-18.951,-53.012,0.087,-60.02,-3.812,-29.412,-4.427
44.722,191.45,14.479,57.332,19.236,-3.295,-0.18,-57.751,-28.929,-34.449,-27.732,3.849
38.728,109.981,22.693,1.263,15.808,-14.541,1.355,-20.916,3.211,-20.644,-25.512,-12.221
35.754,38.041,19.935,21.133,10.706,-19.28,-13.963,-13.146,2.412,-3.351,-20.942,-3.32
34.219,23.587,-2.554,36.403,4.958,-7.618,-4.72,-19.215,6.495,-13.981,-38.067,2.047
34.849,34.985,7.786,25.023,2.725,-30.581,-9.281,-15.523,-1.613,0.612,-20.018,6.366
35.344,43.073,17.796,18.909,6.845,-23.272,-9.877,-16.501,13.28,-5.942,-22.482,0.107
35.394,39.648,21.306,8.214,4.64,-15.015,-7.994,-10.306,3.849,-5.332,-27.609,5.053
35.127,33.655,7.819,21.126,1.093,8.065,0.555,-24.715,13.131,-4.412,-23.442,13.92
