0,1,2,3,4,5,6,7,8,9,10,11
0.011,170.854,9.602,-28.771,57.758,-50.112,14.691,4.885,-27.143,1.002,-10.531,-7.556
7.147,78.877,57.208,-125.99,58.54,-14.644,31.229,-69.129,-40.125,33.654,8.72,-7.347
19.006,-32.006,67.946,-27.072,24.529,-24.83,-8.944,-3.379,-33.513,-4.146,6.107,3.681
21.962,-38.675,77.961,-13.695,23.346,-23.818,-19.844,-3.455,-28.749,-6.575,3.691,2.568
24.018,-62.558,70.945,-20.287,18.883,-25.706,-9.876,-12.198,-16.632,0.269,3.944,-8.867
26.829,-103.0,49.519,-11.255,8.943,-41.062,-11.315,-4.333,-25.011,-2.849,8.263,6.11
43.146,-60.151,-20.608,-32.094,16.12,132.386,42.005,20.151,9.447,-41.38,6.043,6.186
43.595,-54.411,4.584,-44.82,9.193,7.763,12.299,24.244,-7.721,-39.929,-25.185,18.787
38.376,-75.309,-0.044,-25.632,53.907,13.231,5.281,6.578,11.843,-75.428,-24.191,16.903
42.891,-35.426,47.45,-62.299,35.594,64.272,20.452,8.065,-10.562,-45.395,-33.931,0.784
45.159,47.722,-30.411,-22.252,13.129,-9.543,-8.316,-25.054,-27.361,10.308,-32.416,8.117
51.67,16.588,19.746,53.628,-28.436,-29.462,33.439,-4.305,-29.284,-15.002,-17.53,63.546
44.586,-23.383,4.657,-4.705,9.542,-6.322,35.92,8.206,-32.5,-36.564,-12.389,44.721
46.806,-10.292,-2.338,1.977,3.172,49.936,42.873,19.319,-0.835,-29.563,2.506,36.399
43.109,-52.786,-18.138,-36.003,-6.355,-34.141,1.523,-6.757,7.273,3.832,7.546,40.384
45.254,-38.522,-16.459,26.2,34.851,2.033,5.926,-27.781,-8.295,-17.513,-10.353,39.085
43.965,-62.119,15.382,-43.323,46.791,70.547,16.398,-10.15,-3.002,-40.967,-29.815,-3.666
47.263,-10.412,2.224,22.759,5.782,31.773,-12.808,-23.526,-8.088,0.987,16.3,-16.846
45.274,-12.602,-13.659,6.855,16.624,-40.336,-31.792,-22.272,-0.203,22.84,5.853,12.973
47.86,-43.426,-11.748,11.204,27.541,-28.003,31.437,-20.525,-19.556,18.489,-4.981,37.981
44.896,-68.66,-4.149,62.237,22.002,-71.972,23.757,-56.473,-46.682,20.16,1.207,55.038
43.257,-48.12,-29.301,-25.245,60.263,8.053,6.837,11.133,-6.204,-32.879,-20.816,35.78
48.682,-29.054,-20.933,37.971,13.217,19.175,19.292,-21.906,-2.291,-2.171,24.485,17.39
46.439,-36.931,-12.61,3.126,23.811,2.159,15.522,-12.749,2.267,-31.329,-5.663,18.386
41.677,-70.37,7.216,38.666,50.36,-16.671,26.956,-46.519,-11.081,-36.557,8.874,26.523
43.787,-50.589,34.919,-47.313,42.65,46.65,28.317,18.195,-9.512,-51.889,-34.291,18.017
43.135,0.723,17.857,-29.53,16.029,-28.637,-9.703,23.156,6.433,-19.595,-4.262,-0.973
