0,1,2,3,4,5,6,7,8,9,10,11
0.019,170.733,8.823,-28.98,56.948,-50.058,15.194,5.068,-27.225,1.185,-10.87,-7.086
41.461,35.539,12.865,-72.521,34.566,157.266,51.895,-22.103,-19.003,44.332,62.892,4.763
43.024,-3.978,45.534,32.865,11.626,-22.178,3.364,4.275,-14.044,-11.734,-10.199,43.185
44.238,2.057,50.083,15.881,30.671,4.991,15.067,21.155,-20.59,9.139,0.269,32.491
40.659,12.426,76.465,14.166,15.273,-27.163,20.509,20.038,-18.257,-12.846,-2.795,39.977
44.274,47.777,21.599,-21.096,11.596,-26.575,-8.456,-8.003,-11.451,17.091,6.94,9.395
46.112,68.394,37.014,12.443,24.677,-21.507,3.522,10.683,-7.076,-23.624,-8.395,28.564
46.843,26.542,7.111,-8.355,-0.603,-9.731,-0.773,-22.256,-13.193,4.421,-0.164,23.819
45.401,40.413,24.787,-16.588,3.975,-16.767,21.155,0.014,-4.17,-17.106,4.077,30.42
45.416,7.048,30.543,-1.545,21.132,-28.486,10.745,3.285,-3.207,15.127,-10.27,28.232
44.581,36.892,33.808,-3.547,9.32,-36.177,6.471,-0.498,-2.117,0.697,1.554,37.023
48.326,30.636,19.944,3.348,18.426,-20.278,6.185,9.279,-17.312,21.361,17.623,20.346
46.351,39.96,28.899,6.345,27.442,-13.352,-2.079,3.799,-18.245,1.158,-9.898,36.173
45.159,19.47,52.687,5.92,3.505,-28.063,9.779,-2.462,-30.679,-1.578,-3.055,37.392
45.924,17.349,52.683,3.681,18.01,-19.961,19.376,1.684,-29.819,-3.986,7.773,55.168
47.89,33.569,36.992,16.838,10.479,-25.342,11.075,-26.589,-19.451,0.703,-6.287,40.173
47.198,25.641,23.612,15.642,17.641,-24.794,8.283,1.846,-23.364,4.455,-1.62,50.213
47.375,10.81,30.198,5.434,34.643,-31.598,-22.314,-6.068,-17.402,1.039,-2.0,7.864
44.564,7.324,54.55,-17.114,21.317,-27.51,10.877,4.162,-6.395,-14.528,3.167,24.164
47.726,48.789,12.748,-19.801,14.313,-35.952,-25.549,-13.402,-13.141,-1.381,7.411,41.964
47.933,51.182,48.397,-23.832,17.099,-16.614,-19.283,21.318,-23.308,-10.635,-16.987,48.348
48.116,8.019,30.43,16.356,1.325,-25.165,26.416,-7.654,-27.511,22.32,-5.671,21.605
45.373,20.251,9.901,-1.631,3.672,-27.757,18.119,-11.639,-15.157,6.16,-7.902,38.366
42.792,-5.955,4.292,-4.921,-5.311,-39.115,8.714,-0.112,-12.172,6.861,-2.604,37.5
47.192,23.471,7.686,15.511,0.529,-19.141,17.984,-20.01,-10.272,3.996,-7.462,44.551
45.55,22.715,16.977,-36.864,-6.61,-8.92,11.034,-15.871,-23.23,-24.165,11.199,12.81
48.514,76.643,9.982,17.215,10.257,-16.52,-5.556,-17.226,-26.264,-8.919,-0.622,19.894
45.619,7.4,30.49,19.328,9.183,-22.818,-7.147,-10.185,-20.729,6.748,-10.237,19.623
44.971,22.281,9.774,-8.949,-7.269,-17.978,-9.947,-15.006,-24.267,12.353,0.414,21.903
45.145,25.659,-8.911,-10.932,-14.979,-40.265,-26.071,-18.435,-32.394,18.59,-1.738,7.274
46.618,32.991,3.024,12.475,-3.399,4.572,-7.801,-22.562,-8.34,-2.886,6.222,22.268
45.544,50.384,15.112,-30.881,18.231,-34.358,-19.894,-8.916,-3.981,13.218,12.36,16.755
47.191,111.123,20.01,22.237,21.72,-22.766,-32.007,-37.019,-8.155,-13.643,-16.123,33.257
46.295,12.496,28.013,14.009,22.049,13.788,10.951,-4.644,-15.397,12.109,-13.428,34.132
44.643,48.423,11.928,-15.36,-10.557,-17.997,-1.044,1.767,-20.21,7.412,14.169,15.049
44.266,42.243,9.216,-27.055,-1.657,-23.645,-7.494,2.966,-3.761,7.041,0.518,25.25
46.622,0.334,18.28,4.823,8.396,-29.536,-5.603,-10.359,-29.239,6.847,0.774,23.182
45.637,54.328,-2.738,21.252,35.642,-32.363,-7.89,-19.429,-14.546,-24.474,13.03,14.783
46.419,45.139,16.658,-9.896,20.385,-21.103,7.802,-7.136,-5.037,17.121,9.454,27.027
45.812,22.33,30.147,3.422,13.065,-37.497,22.436,-6.579,-29.416,11.241,2.03,32.426
46.848,36.348,63.712,-11.924,19.087,7.931,19.17,7.464,-7.309,-2.183,-9.161,30.737
44.772,48.173,42.621,-23.542,19.621,-14.331,0.693,-6.317,7.692,-4.45,-5.244,20.069
44.552,10.726,47.999,-16.082,2.711,-20.082,10.018,-4.546,-8.046,3.448,-16.028,45.608
46.175,34.598,47.028,22.272,30.814,2.596,17.915,-6.722,-15.051,-17.817,-10.113,30.346
47.212,73.408,34.824,-20.523,17.614,-27.083,-4.336,3.316,4.565,6.421,9.716,31.315
47.184,93.678,20.49,32.741,29.126,-20.122,9.72,-15.939,-14.58,-41.729,-9.204,34.901
45.873,28.725,19.273,3.003,11.303,5.788,18.503,-22.69,-16.095,-4.016,-5.288,31.625
44.097,1.725,31.661,-4.009,-3.947,-36.484,14.744,-6.913,-23.409,1.496,-6.353,20.025
44.128,9.24,3.753,-24.136,-7.747,-28.436,-9.131,-7.364,-14.046,-7.828,-5.05,18.681
44.964,14.43,12.889,-14.561,-9.744,-33.812,-3.527,-14.625,-22.756,7.76,-3.32,16.228
42.748,77.956,-4.762,161.76,2.621,11.147,-1.089,54.889,-15.232,-26.166,-35.165,25.581
24.327,178.533,63.165,50.995,-38.235,13.347,-15.17,-35.063,-14.331,-6.207,-58.613,13.728
44.18,39.227,9.746,-21.735,5.959,81.374,17.075,-16.756,-35.59,40.336,39.513,19.226
42.374,24.51,29.898,-3.049,0.672,-9.684,-12.561,-0.862,-8.557,-29.047,4.262,13.814
44.752,52.94,53.336,-39.06,16.719,22.895,3.684,-8.975,-15.093,-4.895,-7.112,13.917
50.958,73.689,97.006,-66.685,34.539,25.904,34.302,-0.062,-17.45,-28.3,0.696,17.967
54.472,101.078,44.886,12.378,37.111,-17.042,-30.253,-16.996,-27.139,-8.619,-16.737,-5.068
51.59,96.344,52.974,-84.825,67.719,5.265,-14.235,-1.824,-27.593,-5.71,0.421,-2.16
51.718,94.927,56.41,-6.367,41.651,24.504,-0.567,-31.4,-9.319,-14.446,-35.853,16.274
51.859,121.825,40.99,30.143,55.675,26.097,-40.073,-13.975,-37.704,-7.205,-4.988,1.499
51.075,79.248,72.054,-44.202,100.646,18.069,28.918,-33.609,-23.402,9.655,-4.154,20.296
52.241,34.425,50.299,-27.751,110.512,-41.44,23.291,9.888,-17.217,-9.698,-5.226,0.453
53.144,67.381,54.286,35.12,68.422,-9.721,17.441,-17.531,-22.125,-4.513,-2.805,-0.503
52.226,57.05,82.697,2.264,95.343,-14.584,10.695,20.264,-25.971,-3.649,15.077,11.828
52.691,44.274,58.339,-3.333,104.121,-51.422,10.098,2.877,26.66,21.768,-1.533,-9.393
50.942,50.4,49.822,44.647,90.293,-51.236,5.063,22.948,1.434,3.719,-24.642,17.933
53.907,91.647,62.717,-30.986,38.565,13.443,-1.881,10.872,-26.37,-5.819,20.736,-5.78
53.827,104.294,73.614,32.207,-0.97,-8.675,-41.48,-2.642,-38.012,-14.569,-10.783,-8.753
52.622,73.934,68.965,39.001,56.009,-3.058,1.397,-18.225,-39.383,-3.883,-14.202,-2.753
50.382,82.455,41.313,-75.855,63.003,-12.148,19.898,-39.655,-9.122,7.973,-10.911,19.81
51.699,32.136,94.63,-14.519,98.895,-42.307,31.656,17.882,31.091,4.732,-11.215,-25.784
52.078,72.19,58.241,-46.388,39.904,-14.113,0.659,10.005,-19.611,-18.597,-6.194,0.518
50.873,77.037,12.27,-12.299,55.23,8.463,14.263,-27.238,-34.527,7.763,-28.817,16.24
47.857,8.117,11.54,7.123,8.094,-20.358,11.801,-9.174,-27.24,13.62,10.139,37.786
