0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
39.348,17.615,-14.118,96.66,-6.916,96.657,24.547,-32.919,-2.698,41.474,5.584,1.752
45.847,39.307,67.388,-27.327,12.39,66.457,35.532,-9.574,8.184,5.503,10.473,-7.59
49.044,57.947,52.788,15.209,-6.738,-9.395,-5.004,-18.502,16.017,-10.146,-6.843,-22.033
46.527,11.386,27.179,-6.65,-7.763,-48.955,11.906,-5.164,27.029,18.691,-11.242,-8.792
48.446,75.182,31.238,22.645,-17.589,-23.058,-4.934,10.72,6.11,5.153,-19.225,-14.581
47.79,57.564,51.535,0.73,-15.082,6.847,8.43,-16.621,3.476,11.426,-1.612,-22.204
47.268,25.053,34.626,13.122,-31.873,-40.645,7.602,-16.43,-3.03,10.456,-2.822,-8.422
49.353,62.223,54.413,6.298,-13.971,-15.67,1.231,-24.239,-2.61,-6.236,6.212,-11.39
47.561,64.844,50.286,31.674,-4.823,-9.501,-12.781,19.647,4.771,-8.417,-51.759,-1.303
47.985,98.501,73.069,6.529,-8.575,14.653,11.646,-19.525,-10.701,13.497,4.236,-16.022
49.642,87.644,61.054,10.554,-11.048,-32.733,-19.926,-19.599,8.641,-7.234,-19.328,-14.451
48.031,64.782,39.694,36.52,-8.471,-19.223,-13.351,-12.862,-7.045,-11.931,-30.122,0.824
45.299,59.315,56.446,-59.231,-2.355,70.225,34.236,-12.042,9.76,-3.678,-4.586,-11.262
47.42,19.657,15.561,7.787,-27.678,-31.175,10.349,-25.141,-1.351,3.478,-9.212,7.654
49.406,68.683,25.11,9.364,-16.752,-12.853,-11.25,-22.851,10.738,-9.03,-8.872,-3.572
47.485,25.902,42.97,-5.037,-17.191,-31.164,18.951,-6.881,-8.883,13.892,-12.501,12.66
48.748,60.063,51.808,21.902,-4.166,-13.793,12.78,-7.944,3.924,-1.983,-20.634,-2.19
46.952,61.693,76.838,-27.183,-5.363,19.305,16.983,-2.513,-3.924,-0.583,-11.342,-7.897
48.7,32.191,30.015,12.944,-6.009,-36.553,-7.454,-15.483,-19.082,-8.769,-9.593,-5.959
50.13,64.915,56.005,28.544,11.391,-33.188,10.024,-23.523,-20.795,0.409,-12.477,-8.368
