0,1,2,3,4,5,6,7,8,9,10,11
0.089,168.738,8.735,-31.087,58.0,-49.823,12.449,1.96,-28.746,0.204,-9.556,-5.099
5.113,91.274,25.515,-106.402,64.68,-31.47,-28.428,-55.621,-53.119,4.425,19.283,2.466
14.44,-4.456,48.69,-28.397,52.821,-12.746,-41.497,-12.454,-50.424,-12.865,1.54,10.815
16.945,-22.043,72.577,-26.378,55.848,-15.065,-17.987,-3.833,-37.443,-17.188,12.209,32.791
20.005,-51.493,80.263,-46.906,39.681,-31.265,-5.608,-3.579,-39.501,-7.466,21.482,23.287
25.248,-89.755,83.232,-29.659,41.047,-28.623,-1.551,-18.962,-16.457,-7.013,15.06,21.212
28.638,-94.29,112.272,5.679,56.598,-22.117,-1.707,-2.538,2.944,-13.838,8.978,3.863
31.16,-102.071,83.226,-30.061,36.311,-17.572,-26.108,-14.638,-21.82,-0.939,7.526,5.611
33.654,-82.0,98.013,-12.246,58.053,-22.402,-28.843,3.376,-4.111,3.861,15.028,15.34
35.027,-75.39,117.643,1.53,68.655,-33.575,-18.844,1.9,-3.402,-1.68,10.505,26.311
36.071,-85.972,100.82,14.024,70.726,-19.896,-22.71,-37.416,-7.25,-15.482,-3.956,29.833
36.357,-131.575,134.252,-5.184,77.914,-16.446,-23.745,5.029,-21.826,-20.854,17.184,5.443
37.917,-149.429,96.898,7.797,51.712,-31.708,-3.804,11.031,-21.713,-14.538,0.772,4.945
36.52,-160.917,75.446,-3.053,32.325,-28.076,11.215,-7.22,-28.469,-7.291,-5.659,16.964
36.609,-196.924,33.589,29.845,28.456,-38.228,5.301,15.813,-11.775,-10.503,0.396,-5.636
33.669,-195.532,68.406,-3.301,55.379,-16.918,-5.095,4.887,-16.768,0.112,-1.24,-2.749
30.158,-188.275,70.601,20.95,72.557,-44.987,-15.003,-12.854,-20.255,-3.19,5.788,-10.472
30.43,-195.256,49.546,13.636,56.078,-19.546,-8.463,6.948,-21.129,-9.696,-14.73,-0.559
29.062,-223.066,9.604,-31.256,48.345,-48.677,-2.239,0.281,-18.357,-2.957,7.503,-4.569
29.535,-200.382,32.196,6.714,60.485,-40.447,-23.343,39.011,-3.579,-11.943,-6.354,-8.885
25.443,-153.888,29.064,-47.081,74.145,-25.086,-29.767,-12.317,8.41,-1.94,6.298,-6.548
26.868,-207.818,-2.356,-4.682,59.753,-36.973,-9.089,29.527,-17.463,-15.883,-19.809,-0.941
25.904,-202.908,-16.085,-5.999,61.898,-22.503,-12.87,42.582,-16.468,-5.858,-23.368,-4.89
