0,1,2,3,4,5,6,7,8,9,10,11
0.009,170.957,9.544,-28.694,57.556,-50.194,15.05,5.058,-27.067,0.977,-10.501,-7.33
35.501,2.919,60.901,-187.805,61.268,226.598,40.643,6.833,-6.501,53.064,11.16,-19.908
48.095,13.096,6.797,-14.215,-4.532,34.235,9.313,1.121,-10.324,-33.377,0.468,-1.706
49.522,10.323,-1.833,26.165,16.816,-16.299,-4.956,-0.572,-9.386,-5.506,-15.977,15.524
47.369,19.578,3.865,22.752,-18.198,-79.614,-13.734,-2.401,13.327,16.857,-12.579,18.046
47.652,-7.14,13.96,16.486,-20.823,-70.998,-16.349,-7.897,-3.194,12.163,-12.659,-4.529
44.404,-9.455,40.418,-2.709,35.219,-26.543,-5.401,14.06,5.412,-19.378,-20.468,-1.577
44.859,-49.501,-23.94,38.121,0.315,-56.049,-3.438,-42.124,-4.919,23.471,25.866,6.274
49.837,25.213,9.348,2.714,26.822,-13.383,-11.841,14.561,7.261,-8.091,27.337,-1.263
50.839,72.697,58.734,-44.526,8.729,-22.315,-21.695,20.749,-4.678,4.082,1.958,10.083
51.945,143.57,50.128,-10.867,34.395,-24.983,-35.225,-2.044,-14.587,-3.234,-5.862,12.353
51.825,79.78,11.244,-24.938,2.102,-29.766,-46.042,-12.397,-10.192,17.976,0.48,2.423
54.899,52.977,47.438,-37.425,36.0,-26.094,-39.451,14.082,5.236,15.776,-5.196,-16.885
54.539,12.07,31.578,18.442,28.087,-61.27,-19.077,-19.671,-16.233,42.578,-31.28,-7.617
53.574,88.581,0.709,-19.764,-5.712,-12.7,-51.605,1.039,-4.33,-35.28,2.237,-21.968
54.191,54.378,7.447,-13.073,23.564,-33.895,-29.048,-18.88,-24.949,21.969,7.168,-7.19
50.703,30.077,-6.541,-50.49,34.841,-27.568,-29.542,48.942,7.016,-27.168,5.988,3.073
51.84,106.015,-1.535,-41.059,72.722,-26.598,3.25,-83.09,-17.139,6.976,-6.11,12.507
53.703,25.964,43.207,-15.185,16.566,-19.282,-14.974,11.58,-7.64,-8.661,-7.605,11.89
54.103,14.72,23.994,-6.358,2.306,-27.412,-21.408,-9.061,-1.233,-5.125,-3.275,-8.647
53.428,34.517,9.337,-10.973,27.295,-29.447,-25.258,0.003,4.249,-6.601,-2.06,2.418
52.631,-12.522,20.06,22.103,44.692,-52.999,-14.639,-13.446,0.984,23.793,6.589,-19.66
51.075,-21.643,40.13,-10.245,39.494,-38.554,-19.619,17.688,-11.884,2.696,-8.243,-24.568
52.481,68.048,27.89,27.815,-41.942,-1.651,-3.328,-5.39,-32.599,-12.258,-21.051,-0.737
49.841,11.961,-0.433,20.257,17.371,-33.924,-9.857,1.519,-2.443,-17.532,-26.49,14.656
46.111,-6.104,-11.854,23.205,-5.613,-33.051,-5.632,-4.836,14.087,12.968,23.23,4.288
47.747,-19.465,6.122,24.056,-13.336,-52.015,-17.232,-17.062,-11.435,8.062,-6.848,4.295
45.417,14.229,2.856,14.849,45.491,-37.738,-1.186,-47.071,-14.941,-4.356,0.442,6.672
47.203,-14.075,-4.815,28.084,-0.626,-23.067,5.33,-18.093,4.365,9.958,32.822,8.566
49.297,5.652,38.326,-34.774,31.421,13.884,-5.003,30.016,5.49,-9.621,-8.41,9.03
52.807,53.52,12.572,-5.204,21.498,-4.184,-31.853,13.498,-9.728,1.167,-0.223,14.171
49.137,46.53,-41.862,-36.334,94.865,-39.457,-57.956,78.022,-3.263,10.5,-0.395,23.084
46.917,56.666,-51.945,-32.668,49.289,-18.678,-61.202,-48.408,-21.109,73.087,-19.895,-16.319
51.509,54.987,37.757,-21.379,66.849,5.711,-48.173,-18.045,9.642,15.7,9.46,-40.229
53.76,27.342,32.523,-16.906,21.325,-18.336,-27.04,1.554,6.237,2.646,-10.194,-27.512
53.511,39.786,29.111,-18.103,12.389,-17.877,-35.672,-11.005,9.186,8.021,-20.722,-23.912
52.11,73.81,-15.604,-6.479,6.571,-21.576,-52.544,7.079,0.957,-7.412,-23.354,-4.179
53.462,64.566,-8.298,-17.185,15.83,-25.993,-34.208,-2.266,-9.941,-2.252,-3.351,-6.973
