0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
39.635,84.796,-56.637,-32.121,53.653,177.701,44.313,-40.959,-20.976,81.097,82.216,10.506
46.925,99.536,-41.94,-19.381,31.598,-14.386,-1.185,-28.723,-11.149,5.975,25.681,11.927
45.904,70.09,-49.38,-20.859,26.354,-38.73,-0.131,-18.278,-25.836,-15.313,-21.632,6.141
45.303,67.457,-51.423,-10.065,10.873,-26.58,6.441,-22.741,-14.057,20.416,4.551,21.862
47.011,67.694,-44.756,-1.233,36.539,-27.169,-9.533,-40.948,-1.743,3.878,-6.697,15.992
45.365,54.276,-45.01,-5.307,21.161,12.912,-1.294,-25.116,0.345,-34.832,-6.977,19.276
41.66,35.124,-39.482,-35.691,9.158,-43.852,-14.481,-8.397,1.772,7.018,-2.377,22.607
45.425,76.365,-44.621,-18.421,30.4,-12.162,6.346,-15.843,-6.426,2.331,7.025,3.428
44.486,51.795,-52.319,-52.606,21.449,-26.104,11.35,1.769,-9.669,-9.416,-17.603,15.755
45.207,73.586,-70.078,26.166,32.405,-38.137,-11.395,-26.888,-12.097,14.039,-7.511,19.186
39.745,28.877,-45.419,-45.109,26.815,-34.047,-6.326,-5.75,-3.895,-0.124,-9.71,18.281
44.145,40.859,-56.423,-37.418,24.354,10.99,2.899,-23.429,-7.722,0.217,2.833,13.015
45.376,51.602,-37.899,3.432,20.512,-37.957,-10.19,-31.81,-16.565,1.824,-3.607,20.935
45.927,87.367,-59.758,4.387,29.216,-51.678,-7.979,-3.959,-22.83,14.572,-3.577,21.297
41.171,31.359,-47.614,-38.022,19.68,-39.732,-9.405,-12.959,-8.36,2.73,-5.613,22.686
43.995,72.703,-34.436,-80.801,29.356,-4.961,3.564,8.417,-9.585,-19.836,-13.741,14.889
45.218,50.694,-24.884,-39.847,2.564,-30.438,-10.21,-2.83,-4.716,-6.425,-6.633,21.019
44.961,43.6,-62.728,-5.258,2.41,-36.244,-15.836,-17.325,-17.726,16.518,-8.833,16.803
46.84,74.744,-55.133,-13.826,14.023,-30.668,1.68,-18.945,-7.934,-0.284,14.673,5.799
