0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
53.384,103.234,14.421,-13.511,3.668,53.901,42.263,6.956,-19.11,58.792,77.294,-8.154
55.756,88.346,-4.679,-14.686,-1.858,-46.171,1.499,8.942,-5.638,10.096,-1.724,4.142
54.477,97.427,17.951,-27.668,-4.588,-38.016,21.257,2.558,-3.854,10.164,-15.817,0.177
55.245,78.018,-7.458,-18.232,-12.153,-56.616,-3.41,8.966,-13.911,-0.406,-17.991,12.933
55.107,81.935,-3.521,-20.399,-12.172,-63.619,1.655,15.208,-10.316,-0.158,-9.546,5.536
54.062,97.407,26.519,-21.923,-5.567,-30.258,23.355,6.942,-2.791,2.614,-11.561,7.885
51.359,80.457,-46.858,86.746,-8.658,-9.844,-5.844,18.179,-20.722,-9.221,-67.447,21.619
55.73,100.979,21.17,-14.748,-5.999,-31.515,28.546,18.032,-7.864,18.699,5.617,14.097
55.723,96.97,15.854,-6.406,-0.176,-38.549,9.457,-1.414,-4.054,10.708,-1.708,4.306
55.633,83.884,15.823,-11.095,-5.805,-42.504,14.752,9.898,-7.722,-1.326,2.65,6.999
55.14,89.315,39.441,-14.943,2.023,-36.857,9.116,9.554,-3.321,7.431,-6.168,-4.568
55.895,91.378,17.952,-4.696,-1.54,-46.805,6.398,-0.513,-14.465,4.428,3.596,3.551
56.307,92.542,8.541,-6.721,-10.067,-45.86,8.916,3.163,-10.117,-8.752,-7.747,11.788
55.394,89.13,25.215,-12.224,-1.978,-39.537,23.511,15.195,-4.208,-6.55,-0.113,-6.022
56.014,89.912,11.569,-22.548,-8.011,-46.564,9.994,12.961,-14.808,3.521,-4.91,11.457
55.691,79.841,15.1,-20.45,-2.659,-46.39,8.342,6.675,-9.823,4.358,-8.84,0.307
55.66,83.698,18.591,-13.819,8.055,-30.381,16.064,21.585,3.006,-1.997,-2.979,-3.425
55.956,125.662,38.465,-13.227,-5.392,-35.375,20.579,-3.99,-19.409,-3.804,-9.062,2.426
56.561,100.635,20.359,-4.089,-9.407,-37.456,15.304,0.974,-15.691,8.842,-8.475,11.925
55.905,85.573,5.273,-10.095,-0.53,-50.28,13.291,10.123,-12.689,-2.283,-3.632,9.737
55.494,96.939,15.519,-27.739,-0.067,-36.078,27.142,8.442,-2.349,-1.959,-5.562,-4.437
55.679,100.696,20.255,-22.08,-3.676,-21.44,12.366,13.282,-9.877,10.386,-1.056,6.828
54.796,105.581,43.826,-10.381,-8.026,-37.91,10.396,6.092,-7.528,6.529,-10.544,-1.222
55.045,90.83,12.164,-7.439,-0.758,-41.69,20.035,-7.896,5.868,9.395,2.705,1.022
