0,1,2,3,4,5,6,7,8,9,10,11
0.03,171.699,10.164,-29.448,56.968,-50.579,14.547,5.537,-26.501,1.387,-9.498,-7.175
38.262,-8.695,-19.203,53.151,-9.202,60.449,28.328,-39.511,-14.78,50.707,53.741,-15.848
40.333,5.86,15.827,46.347,-38.882,-28.142,13.401,-28.384,-28.928,-3.919,-21.815,17.014
40.473,16.048,19.218,11.94,-39.505,5.602,21.942,-15.707,-24.377,-18.408,20.402,7.472
37.711,-38.003,14.257,22.547,-42.069,-27.237,17.369,-14.455,-18.546,0.548,-8.958,6.483
38.556,-28.084,3.773,28.079,-51.71,-35.728,16.317,-22.165,-34.612,-2.659,-21.107,13.326
38.123,-21.18,-7.044,35.985,-56.049,-38.7,9.428,-20.805,-36.474,0.247,-20.496,22.103
39.798,-2.51,6.19,-3.311,-27.314,50.225,7.854,-11.504,-11.058,-28.283,7.366,-5.798
40.464,1.621,26.438,52.614,-22.268,-36.158,-15.756,-28.332,-34.243,-1.432,-19.7,9.605
38.915,7.598,28.878,9.858,-8.86,22.16,-1.578,-15.088,-25.011,-12.123,-35.96,20.669
38.67,-17.524,2.739,8.163,-33.555,51.39,16.92,-10.491,-15.475,-33.626,-20.327,11.999
39.46,1.944,3.453,34.902,-46.963,-32.667,5.484,-23.035,-33.682,-6.912,-13.724,24.686
39.308,10.03,20.092,19.457,-58.192,-33.503,12.577,-12.538,-42.962,-5.361,-9.741,23.974
35.806,-76.886,-5.654,12.146,-40.158,-49.044,6.627,-15.273,-17.631,2.704,-19.216,-1.318
40.463,17.921,18.302,43.147,-36.788,-27.852,14.256,-33.318,-25.098,-5.933,-29.72,17.316
37.058,-24.375,24.514,13.305,-40.947,-41.737,10.372,-11.853,-20.76,-1.598,-7.67,1.525
36.786,-25.611,60.677,-66.613,-19.082,15.476,13.83,21.556,-2.281,-27.986,-26.158,-1.09
39.443,-1.071,27.647,-8.77,-21.474,31.943,5.637,-1.804,-17.131,-21.032,-10.151,0.648
41.625,20.315,3.672,77.701,-29.043,-15.409,-8.847,-34.775,-34.539,-1.757,-29.614,12.583
40.303,4.647,1.124,19.395,-60.908,-18.26,6.096,-17.132,-42.202,-1.83,-3.093,21.35
44.624,66.181,-30.08,-32.932,14.652,6.837,-28.048,75.091,-43.713,-4.303,12.332,-14.813
44.125,71.372,-49.932,-65.669,48.737,-47.079,-15.855,30.011,-39.788,14.077,3.505,5.882
40.374,-68.854,-11.035,65.945,9.916,-82.778,-40.826,-18.062,-36.851,31.459,-2.125,-12.799
44.678,-6.83,60.927,21.627,7.668,-11.245,22.151,-25.546,-43.747,19.981,-45.184,6.173
44.704,-26.847,3.121,5.431,8.486,-8.302,-3.383,1.614,-16.236,9.268,-17.771,-2.111
40.242,-31.827,-13.172,-19.203,-13.782,-34.137,-35.253,5.351,-15.419,-7.104,7.794,5.589
40.787,-12.501,-8.854,1.935,-27.637,10.498,-2.099,-34.663,-31.721,4.939,-21.212,14.713
37.006,15.917,-26.516,-30.064,1.253,-47.487,14.853,11.181,-31.124,-19.954,9.022,-17.608
42.862,19.177,3.289,38.177,-25.478,-21.448,-19.836,-11.741,-37.165,0.707,-33.225,20.369
44.493,45.302,7.455,26.701,-26.729,7.534,-46.788,-23.938,-35.701,20.067,-24.556,15.178
42.806,98.894,-8.353,-62.51,13.945,-25.256,-9.691,66.825,-9.068,-24.673,-9.379,5.633
44.211,77.589,-23.687,-27.566,19.709,8.008,8.292,-61.428,-44.409,34.504,-46.456,10.136
38.487,-35.867,-41.299,34.902,-29.161,-3.063,-9.963,-35.194,-20.673,-2.815,-34.351,12.723
41.073,-12.753,-1.896,-8.117,-18.027,44.814,-10.381,-1.352,-24.135,2.306,-10.206,8.316
38.782,5.375,20.604,-53.576,-41.05,-5.241,17.22,6.492,-13.686,-17.969,-11.273,10.655
49.331,68.724,15.57,-13.633,3.218,9.159,-38.979,-3.73,-4.203,1.991,20.743,-8.474
50.615,81.48,39.902,7.028,36.353,3.597,0.332,-1.025,9.505,1.897,-29.967,35.503
47.764,-1.738,30.045,-14.832,45.522,-11.461,-10.461,-25.306,26.211,16.635,13.738,7.13
48.647,81.422,23.184,16.412,15.422,-12.23,-23.178,61.911,-4.312,-39.35,-14.398,1.786
47.537,28.715,34.259,66.659,9.394,12.829,-36.675,-16.414,-16.958,-4.7,-22.07,-19.055
43.091,-39.695,-13.428,20.476,28.048,-46.761,-11.037,-38.163,-21.412,37.745,-10.142,30.318
44.294,-67.977,18.051,-9.474,0.839,-47.119,-5.063,-11.502,-8.153,9.916,0.057,12.168
43.917,-50.816,1.832,37.624,11.818,-29.401,-26.144,26.085,9.132,-9.563,-32.774,-21.311
42.74,72.656,-5.173,-19.129,10.153,41.067,14.172,-33.162,-7.517,-40.687,-18.397,5.499
45.645,133.704,-20.931,33.321,-25.507,5.349,-37.02,-72.715,-3.26,-33.466,-24.292,15.11
46.355,44.378,18.064,-6.202,2.694,-11.18,17.651,-60.755,-40.961,-36.243,-16.967,3.404
43.563,-16.729,-12.563,-3.433,-25.969,-27.006,-20.269,9.1,-24.9,-19.862,-10.312,-16.403
44.655,40.181,-7.36,-13.937,23.429,31.65,21.313,-34.797,-42.304,19.558,-37.636,7.621
44.051,153.382,-59.66,-32.498,-5.447,-1.102,-20.938,-31.276,12.807,-21.922,-12.809,15.69
41.889,-25.911,-21.925,-24.484,-28.417,-15.119,-31.411,-1.55,-6.372,-10.372,-16.792,-5.571
38.792,6.936,13.848,-12.224,-24.445,-18.343,9.487,-11.662,-22.257,-14.34,-18.561,9.407
