0,1,2,3,4,5,6,7,8,9,10,11
23.935,74.376,136.536,-346.84,44.565,167.912,84.304,-76.281,-39.024,72.307,-83.758,10.471
42.495,14.216,15.22,-5.766,-11.687,18.24,-7.753,-6.531,9.577,-29.485,-27.368,-4.207
45.481,42.473,21.898,-38.839,0.513,54.574,-14.878,-14.977,-3.651,-18.969,-29.557,10.887
45.547,62.343,19.089,12.339,-1.798,35.181,-16.441,-18.348,-1.982,-27.075,-31.706,-0.266
41.575,11.703,1.442,41.659,2.297,-62.9,-45.009,-42.484,-9.326,28.896,8.443,5.61
46.817,73.566,14.364,35.911,4.673,22.888,-12.201,-22.054,3.604,-7.876,12.744,-9.678
46.68,49.78,6.223,74.654,-14.247,-51.033,-29.532,-25.415,-3.823,-14.668,-2.508,-0.173
45.247,44.16,25.303,33.228,-15.391,24.059,-4.524,-12.293,-18.966,-2.604,-37.225,7.287
44.77,29.741,37.947,-38.075,6.927,69.967,-9.647,4.507,1.358,-19.965,-33.77,9.26
43.906,41.612,-5.47,4.257,-16.009,18.829,-19.365,-6.278,7.949,-21.878,-24.774,-1.24
46.813,61.807,17.958,35.704,-11.124,28.28,-0.452,-1.193,-8.306,19.723,46.576,-8.985
45.932,87.918,49.429,49.345,21.722,22.062,-5.724,-25.68,3.762,-11.756,8.023,-11.469
47.571,54.891,39.885,37.412,5.065,35.026,-15.776,1.294,-9.075,2.778,-5.868,11.043
47.43,102.215,57.219,50.581,10.631,-65.521,-31.499,-30.24,-4.64,11.59,-1.13,-6.114
43.635,53.325,73.147,22.869,17.211,-61.788,-42.298,-17.277,-13.206,14.79,-11.802,5.707
46.863,89.544,65.262,50.441,20.412,-74.884,-47.929,-29.003,-10.395,12.972,-14.204,-4.3
46.938,73.167,35.695,63.075,1.581,-51.615,-59.366,-10.721,-10.592,-18.323,-0.886,4.439
47.663,44.03,30.176,49.838,-22.318,-70.833,-22.908,-6.513,-11.839,0.894,-20.245,6.792
50.523,73.698,51.012,34.489,-3.951,-56.866,-35.229,-9.61,-7.495,-11.741,-13.116,15.658
47.659,14.987,18.07,38.022,-20.17,-49.769,-13.454,-0.256,-3.95,17.945,5.442,-3.187
46.088,96.768,45.376,68.405,2.341,-71.046,-27.301,-34.391,-5.303,12.161,-27.424,-4.642
46.444,54.017,20.145,23.785,-10.826,36.351,2.309,-2.403,-3.124,2.181,0.383,-7.548
46.126,75.063,24.789,73.447,9.559,-66.196,-17.602,-48.598,-3.825,20.668,-38.278,-0.104
48.686,65.915,17.007,29.691,1.271,25.966,-10.287,13.993,-0.702,9.447,20.627,5.882
47.37,105.818,14.591,3.588,19.253,8.717,-4.623,8.088,16.852,-11.927,4.41,-8.458
42.365,27.916,5.5,20.079,2.257,-85.44,-11.208,-13.519,8.45,20.778,-34.659,1.697
45.162,91.728,38.668,-18.535,13.599,35.38,-25.389,19.468,5.573,-26.938,-32.545,-4.158
45.813,83.564,4.678,84.207,-5.172,5.503,-40.13,9.39,-8.941,-14.873,12.288,7.331
46.484,35.034,-13.562,76.093,-18.849,-63.771,-22.702,5.254,-9.523,2.817,-41.451,16.977
43.339,49.195,25.049,-73.148,-12.512,23.237,-11.103,-14.188,-6.825,6.454,-44.493,12.195
45.413,83.417,-16.721,37.283,17.373,35.926,-18.62,-9.227,10.221,-10.364,-21.888,0.691
