0,1,2,3,4,5,6,7,8,9,10,11
0.15,173.295,13.776,-32.728,53.583,-51.236,13.702,5.006,-25.826,1.74,-5.673,-9.27
38.988,24.124,6.088,-75.87,26.418,237.622,74.198,27.167,-6.87,99.865,97.888,-17.797
43.163,1.481,48.72,8.199,16.875,-21.62,33.183,-9.814,17.844,-1.624,-16.334,-13.86
46.863,-4.455,-11.558,13.248,-1.384,-61.529,12.563,-2.418,20.383,0.1,1.465,-4.714
43.825,-3.646,51.978,7.383,5.32,-42.078,-16.916,0.218,-7.398,0.827,-6.34,-10.277
43.788,5.304,47.858,-36.202,-6.764,-16.618,-4.002,6.417,-7.915,5.776,-12.078,-3.216
45.529,24.891,42.763,6.244,18.107,-16.169,-7.943,-16.993,19.726,-10.216,-3.412,-19.843
46.052,2.511,11.502,-11.277,8.275,-13.115,-2.511,-5.792,9.89,6.974,-12.103,-15.327
44.405,15.871,60.153,-9.644,-9.311,-30.577,-6.937,-3.938,-0.25,7.263,0.418,-23.701
45.396,-27.01,6.71,3.742,-23.663,-59.273,-12.166,8.892,-6.312,-7.311,-1.814,4.887
44.861,-11.548,11.005,6.638,11.851,2.651,0.653,9.716,8.679,-6.136,20.037,-10.413
44.919,-27.957,-13.834,29.866,-13.806,-44.565,5.433,-6.945,3.796,15.46,11.973,-5.32
44.429,47.06,22.412,11.86,24.713,-32.818,-0.294,-24.574,17.523,0.107,-4.217,-0.963
44.831,-24.89,-33.814,12.499,-9.979,-70.729,-3.91,-6.382,8.765,1.309,-7.371,-3.873
42.434,4.331,21.419,-3.786,3.61,-42.681,-2.764,-8.501,0.996,5.849,-11.136,-6.969
42.848,-5.949,18.0,-48.68,19.778,-13.171,7.477,-2.638,2.551,12.618,-20.169,-1.924
44.007,-2.066,59.199,12.752,15.189,-50.333,22.496,-18.382,5.226,12.691,-10.497,-21.906
46.825,-10.757,-11.76,20.106,-2.506,-48.902,14.109,-7.441,12.145,-1.752,4.83,-6.379
42.461,-32.772,51.977,23.9,-0.965,-30.888,20.59,4.665,-7.561,-11.6,-24.261,-29.031
46.095,-11.241,-24.006,8.221,-16.022,-52.011,-13.603,-16.975,11.38,-4.001,-1.153,-2.296
44.289,18.391,29.485,18.614,39.444,-17.971,8.898,-20.964,28.191,-8.687,0.098,-17.74
45.499,-18.972,-26.758,17.71,-3.747,-70.513,-5.2,-9.853,5.841,9.704,-8.24,-12.761
41.176,-47.138,31.68,21.236,26.384,-39.55,-8.253,-25.583,-11.701,4.764,5.196,-7.38
43.846,-73.794,-28.126,26.79,-0.456,-49.942,-1.884,-14.121,-1.827,7.403,-2.401,2.435
42.236,-24.735,26.324,23.572,57.693,-8.821,-12.303,-33.485,15.989,-20.427,6.663,-11.434
44.244,-35.283,2.787,-15.491,31.307,18.831,3.467,18.27,26.82,-20.314,7.137,-4.837
42.352,-27.239,28.153,6.017,26.336,-31.618,-0.623,-8.081,3.707,2.249,-13.614,-2.489
44.508,-36.509,-17.19,22.503,-3.939,-7.335,7.652,-7.007,9.949,2.406,21.618,-12.305
44.659,43.827,42.997,15.375,44.054,-46.704,-16.841,-26.442,14.602,14.959,-12.558,3.049
44.991,-32.212,-34.819,12.645,1.911,-68.846,-4.123,-4.343,13.18,5.69,-1.405,0.657
42.743,-11.992,18.027,-2.413,17.682,-55.982,-17.583,-3.587,5.827,12.878,-9.739,-4.091
47.103,49.313,3.965,-79.381,37.683,38.602,4.811,29.909,14.738,-29.123,-36.11,1.155
48.682,-14.062,-11.338,-26.726,67.576,-54.971,-13.427,-14.032,-6.161,19.554,6.968,-6.437
50.474,-28.895,47.543,27.812,60.886,-1.431,1.329,5.771,-18.046,-15.706,-29.809,0.548
48.215,-7.578,3.635,-56.887,25.927,40.883,2.365,75.083,-2.311,-41.972,-16.29,-7.689
48.513,6.975,8.166,-7.012,48.289,12.831,7.154,6.317,-8.155,47.93,22.262,-10.136
