0,1,2,3,4,5,6,7,8,9,10,11
1.092,171.605,35.421,-31.058,41.196,-41.792,24.267,4.511,-49.504,-3.246,-2.474,-15.065
5.242,164.084,89.873,-18.334,31.945,-22.149,20.577,8.423,-40.268,4.943,-4.582,-7.151
13.218,168.239,181.191,-86.78,31.32,16.771,23.908,-9.642,-49.826,10.678,-10.21,10.844
39.711,123.059,172.454,-69.969,24.957,118.717,0.832,-17.55,-69.699,48.261,45.07,11.318
46.147,144.538,136.732,16.066,-8.463,-2.158,-57.229,-2.702,-50.734,-21.122,13.007,-8.273
40.333,125.838,69.163,173.672,-14.679,-5.336,-93.382,-16.961,-60.423,-13.815,-47.208,4.278
45.674,156.283,131.057,-2.144,-4.827,32.744,-66.233,-5.982,-47.114,-9.132,25.792,-15.312
47.989,98.593,158.732,8.128,37.685,-15.535,-69.012,16.667,-20.822,-11.027,13.736,-27.325
46.082,121.04,115.704,65.594,17.292,-14.508,-57.394,-24.004,-40.512,-7.419,-16.26,7.306
46.797,47.742,140.976,45.645,79.075,-16.628,-33.228,-22.114,-2.811,-7.755,12.712,-6.265
43.148,70.447,139.558,103.578,23.708,-8.985,2.183,-30.922,-34.337,-24.414,-10.782,0.189
46.542,119.187,141.604,-4.277,10.473,36.774,-27.417,-4.269,-19.721,-34.772,36.251,-25.816
46.723,65.708,114.331,3.072,0.72,-14.889,-25.496,-11.657,-36.106,-20.291,6.839,-1.477
48.007,89.354,128.428,21.611,-1.488,-22.149,-33.73,17.111,-38.921,-10.21,1.412,14.238
47.131,45.208,132.287,46.975,23.968,-17.735,-11.999,-35.779,-41.256,0.557,-18.486,12.64
45.368,10.633,151.017,35.684,64.167,-35.665,0.935,3.912,-3.268,-5.503,9.029,-1.352
44.499,13.933,132.712,40.124,50.798,-15.85,-10.219,-1.133,-24.103,-12.476,-21.267,-7.149
41.695,34.59,131.75,36.092,31.887,-17.433,1.357,-6.404,-13.946,-27.934,6.822,-16.343
39.859,11.033,135.843,62.826,28.187,-37.591,-12.186,-5.607,-30.659,-7.125,-9.632,-16.359
43.266,53.892,65.908,76.904,27.26,31.076,-47.798,-39.333,-29.554,-12.648,-11.88,5.768
47.464,128.775,115.868,28.888,28.789,70.062,-22.487,-21.255,-17.274,-34.174,20.819,-10.924
46.232,98.457,128.239,33.422,33.001,35.113,-31.684,4.25,-18.572,-13.217,3.651,-6.617
47.078,136.116,161.379,33.36,73.51,-2.308,2.815,-53.313,-14.766,-6.239,-5.426,-10.423
46.514,120.178,117.228,83.073,16.964,-28.732,-64.187,-21.203,-36.582,1.825,-33.99,-9.04
44.409,58.585,152.686,3.316,66.112,8.612,-4.077,-32.271,-13.505,14.97,-13.229,5.196
45.163,17.636,149.692,40.888,60.351,-21.91,-38.822,-1.663,-15.952,-7.533,-9.907,-18.006
41.781,26.419,119.155,81.215,36.05,-37.175,-11.567,-9.728,-17.63,11.823,10.274,-4.194
