0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
44.867,95.63,-74.866,37.231,-31.727,-51.463,-10.265,4.479,-17.63,45.72,33.825,12.176
43.737,72.821,-89.671,41.771,-52.357,-128.136,-38.146,0.917,-13.991,21.338,-18.943,15.758
50.045,56.652,-55.926,60.591,22.599,-81.304,-45.137,13.1,-3.31,-17.877,-25.623,12.513
38.554,87.779,-16.116,-13.998,24.195,-6.564,-17.064,31.761,6.388,-26.92,-7.457,13.745
36.396,92.841,-10.151,-29.133,23.778,-15.718,-18.839,18.379,-5.452,-12.489,4.821,18.211
50.327,58.754,-58.036,49.912,20.139,-89.715,-42.568,9.688,-10.844,-8.778,-29.72,13.545
44.797,87.871,-74.611,28.865,-28.083,-111.095,-18.785,-2.133,-11.268,21.739,-14.959,16.414
43.963,87.264,-88.927,47.659,-43.583,-120.474,-30.499,-9.635,-14.797,21.601,-9.005,19.578
49.969,58.285,-58.475,36.141,21.101,-79.146,-47.653,10.453,-4.357,-20.077,-20.025,14.172
44.101,38.143,-58.997,-59.903,4.941,-28.416,-27.613,26.666,-2.612,-18.779,-0.447,3.662
46.252,34.78,-56.925,-67.915,4.942,-45.082,-21.297,8.056,-6.632,-6.231,2.122,10.233
49.846,53.385,-62.166,45.74,20.483,-85.562,-44.163,11.92,-13.798,-21.885,-27.904,13.619
45.479,75.14,-71.903,31.845,-26.02,-102.033,-25.061,-5.153,-7.743,19.804,-11.996,6.659
43.568,82.834,-82.769,40.005,-43.165,-115.673,-26.998,7.122,-21.685,19.801,-19.693,16.375
50.078,62.209,-68.915,64.528,14.114,-72.758,-48.453,5.505,-14.48,-4.066,-19.084,15.654
39.816,56.03,-48.686,-17.409,26.645,-18.742,-35.096,24.43,3.403,-34.013,-2.868,-0.448
41.237,68.057,-39.297,-35.569,15.705,-9.658,-23.267,25.443,2.14,-37.202,8.386,7.41
50.535,51.338,-55.481,40.504,15.397,-86.145,-42.859,8.278,-7.355,-17.61,-18.161,13.341
45.234,73.334,-67.275,19.862,-25.242,-93.363,-33.159,2.917,-2.935,10.771,-9.094,-0.317
43.785,74.964,-86.195,36.589,-46.923,-122.42,-30.77,0.152,-10.445,20.566,-17.032,22.002
50.224,61.403,-59.295,45.084,13.351,-81.934,-47.099,11.19,-11.132,-13.711,-20.125,15.028
43.519,69.055,-86.802,62.987,-41.693,-109.011,-22.104,-2.481,-20.474,30.6,0.296,19.967
42.576,54.056,-102.224,74.552,-54.387,-131.5,-32.355,-10.983,-25.815,30.157,-25.738,23.548
50.725,117.348,-57.819,38.634,42.889,-18.328,-38.491,55.447,-4.65,-3.107,63.717,1.52
50.636,66.558,3.902,19.096,-30.837,-67.182,-20.603,-8.755,10.305,20.258,-23.324,-3.969
50.649,109.272,-41.139,-15.25,-2.86,-38.91,-23.311,-4.818,24.628,12.269,24.486,-9.8
53.067,76.627,-10.354,-0.63,-1.649,-68.999,-54.294,12.379,8.434,-17.976,-8.545,-2.462
48.596,93.723,30.252,-16.823,1.79,-29.97,-50.129,-0.677,3.231,10.517,4.964,-7.53
48.44,103.84,65.657,2.55,29.425,-15.751,-39.584,-16.858,0.046,11.745,-0.185,19.901
54.148,90.083,-13.433,-1.235,-0.722,-66.939,-55.483,14.145,9.293,-9.302,-0.998,6.522
50.861,113.589,8.792,-2.755,-15.843,-9.507,-9.504,-18.282,4.943,21.087,-0.388,8.897
50.178,104.758,-4.424,-7.468,-15.213,-16.91,-9.344,1.857,11.223,6.375,0.69,3.221
53.57,100.872,-10.068,-5.745,-7.62,-66.285,-57.64,16.175,0.881,-6.536,-6.067,9.395
51.137,103.794,-9.694,-33.13,-22.368,-40.477,-40.809,3.141,16.106,-1.378,-4.995,7.077
51.493,68.493,-10.166,-26.891,-22.003,-45.98,-23.974,-2.704,7.057,4.557,-8.081,30.665
