0,1,2,3,4,5,6,7,8,9,10,11
18.276,-5.023,-62.501,-18.011,-57.028,-20.721,-29.096,-5.889,-41.045,4.705,-6.937,-14.791
39.012,22.258,-48.161,-126.431,-12.813,121.3,1.09,6.28,-15.187,12.658,1.319,-12.437
41.783,-18.856,-36.05,-9.348,-42.879,-25.983,-25.741,-14.955,-38.732,7.014,-2.101,0.798
50.034,49.386,-12.846,4.039,20.122,29.456,2.54,-8.711,-19.214,17.158,19.972,-16.734
46.809,32.045,-32.517,20.46,-17.784,-46.805,-5.969,-3.995,-24.767,-10.114,-12.344,-9.823
50.978,79.657,-5.405,10.895,2.55,2.148,3.867,-13.715,-18.027,5.421,-3.309,-1.39
46.162,23.29,-11.64,7.562,-25.668,-34.744,-15.938,3.092,-20.402,-3.42,-21.543,-14.317
50.722,100.955,-12.213,-3.965,-9.371,8.889,1.514,-11.66,-31.291,3.131,-6.68,1.862
46.153,7.28,-17.428,5.333,-46.356,-50.723,6.654,-9.033,-40.213,-3.649,-7.446,3.811
45.042,20.557,-27.168,-12.809,-8.3,-30.451,12.044,-14.422,-29.481,-3.842,-17.312,-1.815
49.249,61.222,-3.005,-37.207,-8.051,48.068,15.206,-0.716,-18.349,-27.036,1.12,-13.729
46.187,23.235,-25.362,7.686,-33.41,-40.459,-1.747,-7.463,-34.299,-5.332,-8.365,-8.523
50.038,62.629,-3.37,-8.616,-3.078,36.438,7.763,-21.33,-25.655,-15.478,13.095,-18.304
46.415,23.82,-24.799,-0.947,-15.509,-35.453,-6.56,-5.013,-24.11,-13.358,-1.579,-3.163
45.167,26.423,-28.074,-20.448,8.986,-40.422,-8.944,-5.064,-29.765,7.547,-11.298,-8.534
50.939,91.38,-23.429,35.094,-11.882,0.468,-4.563,-29.98,-25.676,-12.028,-10.534,6.006
45.058,38.155,-19.953,-24.507,-15.477,-2.177,16.79,-15.014,-18.97,-27.252,-9.303,-4.86
51.077,84.372,-3.368,-21.659,-4.687,15.458,5.199,-15.484,-20.005,-8.092,3.45,-9.434
49.751,65.419,-17.575,-27.494,-15.636,-19.704,-6.162,-0.853,-18.892,-13.46,5.83,4.791
50.267,112.118,10.765,-43.711,-20.844,-27.081,-12.133,15.511,-18.673,-6.362,0.484,10.234
53.158,138.697,-9.71,-9.176,6.359,-19.895,4.073,0.434,-27.233,-18.709,-4.819,-2.142
50.623,61.396,-19.607,-19.459,7.09,-29.456,-5.116,-38.891,-32.7,15.31,-11.846,0.464
49.78,46.348,-28.88,-32.72,-18.009,-26.302,-30.287,-5.035,1.581,2.547,-17.862,4.624
53.166,105.996,-25.062,-2.748,-7.395,-14.987,-1.36,-25.599,-20.76,-22.936,8.149,8.594
50.951,-1.275,21.595,-4.205,53.989,-17.801,1.928,16.396,-3.921,-1.131,-24.259,-5.174
52.791,135.57,-14.699,-10.231,4.676,5.037,0.421,-16.316,-15.091,-21.064,-4.73,2.048
52.859,113.782,25.17,-45.097,-12.289,4.386,3.422,14.827,-8.297,-17.647,-13.908,-1.454
51.268,7.75,6.491,32.826,4.217,-41.449,4.509,12.49,2.766,-11.234,-25.855,-4.301
52.0,85.561,-24.973,-18.003,7.683,6.873,-4.52,-0.402,-12.817,-13.778,4.713,-3.522
50.69,44.259,-4.47,-36.846,4.3,-26.136,-17.007,-28.727,-26.491,44.103,-28.137,8.167
53.428,71.809,-5.016,-14.075,12.864,-4.14,-15.163,-13.959,-9.728,-23.461,4.81,-3.329
51.072,31.451,5.912,-13.183,-14.999,-21.21,-28.172,5.059,-13.865,-2.376,-24.581,-8.84
47.232,5.801,-19.417,-22.292,-26.851,-9.049,-12.299,-7.638,-16.522,-25.252,-2.17,-11.382
51.636,102.378,-14.793,7.171,-0.749,37.234,1.388,-31.729,-15.416,-40.763,0.33,-5.684
47.747,30.573,-21.52,-19.773,-14.385,-35.923,-6.004,-1.587,-25.191,-3.462,5.675,-1.06
49.486,87.439,17.314,-71.297,-26.609,-24.275,-1.136,27.596,-14.362,-20.751,11.27,-4.388
52.826,155.949,32.089,-29.352,-15.83,-20.823,-16.165,4.222,-8.402,-9.29,-6.346,5.773
54.075,125.532,-4.856,19.906,-8.642,-23.985,-9.428,-27.782,-15.707,-9.13,-6.828,6.36
51.501,22.993,-3.689,3.017,1.738,-28.046,-11.049,-28.526,-28.976,-3.616,-18.71,6.234
53.376,87.084,-1.677,-23.688,3.657,3.114,-18.146,3.606,-12.676,-28.617,-2.466,-6.062
51.459,68.062,8.057,-10.93,2.467,-23.075,8.53,-23.683,-17.04,-0.643,-24.182,-2.928
50.273,23.647,-21.224,-44.724,4.558,-8.221,-2.279,-24.697,-36.067,-0.534,-13.484,14.404
52.638,59.939,-0.974,-52.675,19.757,-13.226,-24.614,40.784,-22.716,-36.776,-2.231,-18.567
52.504,30.202,-0.175,15.189,14.716,-7.466,-6.919,-9.405,-11.155,-23.529,-35.924,11.134
49.307,18.786,-16.429,-63.345,-14.75,-15.167,-5.489,3.913,-10.491,-10.499,9.605,-10.933
53.433,73.064,-25.036,27.367,-3.576,-7.738,-19.509,-26.453,-7.142,-11.169,-3.457,-17.108
47.158,-5.914,-43.033,-24.486,-26.685,-27.688,-15.617,-0.257,-35.094,-15.181,-8.49,-4.714
46.528,27.135,-41.926,-49.826,-20.442,-47.38,-11.445,-2.89,-16.88,1.266,3.794,3.108
46.984,60.65,-31.542,-32.077,-22.018,-29.339,-9.701,7.458,-3.0,-12.84,-2.715,25.517
51.867,92.9,-13.012,34.68,4.958,-10.675,8.271,-28.673,-15.754,-4.526,-19.217,-9.552
48.028,42.031,-20.095,-24.751,-1.192,-41.777,18.514,-11.31,-1.779,-0.569,13.588,11.276
50.18,124.426,-7.798,-60.96,-19.791,-24.088,-0.565,10.969,5.117,-10.03,7.478,24.057
53.575,139.204,15.568,-5.386,-13.887,-19.093,17.354,-29.937,-27.264,13.788,-38.73,8.39
52.731,21.679,29.684,20.303,38.244,-32.729,27.718,-2.82,-2.202,6.467,-25.56,3.858
50.307,60.316,-16.697,-58.055,-4.784,-11.583,-2.372,-37.729,-4.01,-24.422,-10.933,3.311
51.782,41.206,13.254,-31.079,11.12,-18.732,-13.352,32.844,-0.814,-27.054,-12.27,-15.883
52.602,87.409,-17.489,0.871,-21.408,-4.269,-18.64,-21.937,-14.134,-4.149,-19.476,-3.477
47.858,11.322,-42.349,-46.652,-33.058,-22.866,-22.836,-6.721,-25.206,-20.343,15.31,-1.096
50.029,60.009,-15.062,-50.466,-14.416,-31.774,-25.848,-3.066,2.313,-7.24,4.854,-4.454
52.095,71.608,-31.138,-3.695,0.333,-0.999,-8.044,-21.825,0.812,-9.109,-27.402,2.317
47.408,-23.3,-36.977,-40.058,-18.293,-31.126,-12.713,-11.582,-23.752,-2.021,1.76,-7.594
48.75,80.613,-62.238,-43.352,23.957,-25.418,-6.809,-6.148,-3.95,-45.483,0.3,1.026
51.574,91.122,18.624,-68.895,-14.147,16.557,19.141,-4.178,-5.075,-17.402,-0.112,0.361
51.306,50.657,-9.795,10.376,21.577,-33.169,-13.786,49.108,-7.229,1.536,-21.377,-6.795
49.75,16.331,-18.09,-35.428,-14.244,-22.346,-46.799,-6.19,-24.114,8.552,-4.331,-20.004
52.158,89.603,-32.61,9.4,-3.255,-25.033,-4.42,-12.778,-20.262,-5.117,-5.336,-3.078
49.301,-7.742,-2.798,-15.357,11.269,-19.162,6.101,7.085,-25.348,27.864,-21.861,16.415
52.747,48.187,-3.508,-30.165,5.9,-26.717,6.821,-26.665,-12.771,19.76,2.656,-5.029
53.108,45.144,-10.021,14.996,66.407,-29.345,25.894,-39.749,34.654,-9.028,-23.802,14.649
50.424,-18.038,17.267,-12.195,40.797,-40.372,22.564,-2.636,20.265,0.343,-13.666,3.197
51.91,104.361,-20.534,0.943,2.431,-5.425,3.039,-31.959,-20.153,-20.559,-16.929,3.857
50.138,10.941,-10.795,-32.511,-15.888,-41.039,-34.332,-6.529,-20.796,-5.531,15.994,-4.796
50.703,52.766,-23.194,-21.991,15.95,-35.003,-23.801,34.065,-9.851,8.434,-9.786,-9.509
52.699,113.077,-14.569,-2.87,6.298,10.921,3.466,-42.729,-20.029,-11.1,-20.688,10.812
50.443,91.749,-59.166,1.029,24.348,-46.618,-30.556,22.217,-12.55,-43.279,-8.635,-9.361
48.779,11.227,-19.175,-18.843,11.717,-0.904,-1.022,-29.962,-29.557,22.64,-13.251,17.926
52.837,35.803,-1.205,-16.473,24.684,10.346,5.24,-4.864,-7.297,-36.041,15.852,2.995
51.273,53.037,-16.304,-17.164,-11.966,-39.902,-49.562,-12.987,-13.291,-0.096,-7.758,-17.873
49.88,19.027,-34.363,-26.892,-14.162,-26.019,-51.63,-23.651,-21.98,-1.447,-7.215,-11.096
52.874,100.224,-15.684,-15.422,-5.408,12.656,-19.206,-8.143,-16.372,-40.582,18.457,-7.091
51.502,25.428,-9.235,-1.028,-20.511,-25.633,-22.528,-34.288,-46.355,22.572,-17.47,7.5
49.429,0.521,-2.248,-20.757,-25.714,-22.419,-43.621,-10.795,-28.9,-12.05,-8.316,-9.442
47.904,11.641,-24.085,-30.311,-12.281,-21.848,-36.234,-14.306,-20.161,-11.47,-6.493,-5.471
50.244,65.659,-2.971,-42.739,-1.864,22.844,-12.64,2.282,-22.115,-41.956,-25.81,-7.127
47.492,28.087,-19.112,-10.262,-13.458,-34.43,-2.369,-4.502,-30.373,-4.206,2.707,-3.905
50.423,111.296,32.22,-77.927,-11.193,-2.059,9.689,7.063,-15.742,-15.92,14.444,-0.565
