0,1,2,3,4,5,6,7,8,9,10,11
23.139,93.359,159.145,-274.227,6.902,136.731,81.875,-10.519,-98.07,65.233,16.586,18.902
40.141,-62.071,24.198,13.332,-20.082,-9.329,-8.416,2.78,-22.417,-7.588,-3.047,-21.973
41.397,4.338,62.327,-55.739,-56.749,-9.528,-14.892,21.751,-54.388,-31.594,15.613,-11.551
45.216,101.955,78.862,-20.746,-12.027,-22.814,-6.703,32.938,-67.494,-28.787,10.118,6.363
44.502,165.04,99.033,-14.063,39.532,-2.635,-24.663,-33.508,-79.406,-14.331,-2.969,32.549
46.896,104.283,91.621,-34.797,-26.989,-18.471,-29.956,35.654,-71.642,-10.557,13.773,-25.918
49.764,192.49,69.843,-14.695,-12.51,-26.187,-10.75,2.176,-88.766,-18.819,-5.087,-27.649
51.226,183.578,64.386,-9.41,-7.772,-25.831,-11.802,0.183,-87.262,-22.333,-7.477,-23.023
53.031,142.393,78.452,1.529,28.919,-25.028,-14.147,-4.613,-61.724,-4.919,-5.785,-44.959
52.18,165.091,83.709,-6.081,35.22,-22.301,-17.613,0.678,-65.04,-14.067,-10.86,-41.373
51.905,150.521,71.637,-9.588,35.2,-28.606,-7.896,-3.237,-57.46,-4.633,-13.136,-39.375
52.128,135.818,55.632,-3.517,7.856,-18.861,-13.693,-11.185,-68.957,-13.377,-12.077,-28.91
51.341,115.895,67.963,-13.55,-6.578,-40.249,-28.958,18.919,-58.652,-17.379,0.512,-31.351
51.358,135.292,73.141,5.453,14.841,-25.656,-21.367,-31.019,-58.482,-10.882,-8.516,-30.292
52.253,140.136,102.872,8.851,13.225,-20.658,-25.595,13.129,-66.662,-8.698,-9.797,-16.813
53.036,125.511,107.446,17.522,33.856,-20.71,-26.495,10.644,-50.371,-4.358,-2.516,-25.761
52.276,147.163,109.333,31.542,24.017,-24.938,-26.896,10.692,-67.03,-19.767,-9.674,-21.691
50.708,142.071,122.971,4.886,29.169,-15.187,-9.356,-6.56,-54.789,-6.617,0.961,-8.624
53.399,91.664,38.542,-33.828,-38.014,-15.14,19.634,3.335,-41.922,-0.294,-4.649,2.274
56.428,87.861,-9.253,-1.09,-30.297,-42.38,6.24,11.047,-29.137,-5.676,10.952,-3.774
55.769,117.275,3.565,-6.816,-54.321,-38.293,27.32,-11.491,-54.544,8.052,9.177,-5.15
56.825,94.029,8.061,2.32,-48.907,-50.88,4.145,20.402,-59.016,-8.922,-8.32,2.744
56.247,99.424,5.861,1.962,-47.387,-32.489,5.154,23.889,-51.105,2.332,25.109,-7.664
54.922,108.361,32.565,-6.725,-68.548,-53.591,25.141,-6.058,-53.354,15.915,-17.999,12.384
56.321,91.805,4.694,-2.716,-34.637,-58.52,6.434,18.664,-50.946,-9.687,-1.952,3.073
55.09,109.887,1.89,-4.554,-65.386,-56.529,8.067,1.524,-55.734,14.513,-14.147,11.517
54.914,95.079,-21.344,-11.449,-22.822,-50.95,0.197,21.047,-32.737,-2.505,9.053,7.458
54.147,116.974,2.63,-23.194,-47.117,-46.116,21.727,11.361,-51.341,-5.495,-0.714,17.915
55.473,111.618,-7.087,-29.716,-48.461,-49.646,6.932,0.949,-65.953,18.466,-21.323,13.48
55.281,124.962,2.143,-1.497,-59.914,-42.174,33.685,0.628,-57.262,-3.723,10.783,24.432
55.246,114.422,-3.648,-0.657,-32.8,-18.504,19.703,18.896,-48.503,0.663,-4.055,19.667
53.388,98.036,-11.482,-18.57,-68.722,-58.908,16.246,-5.228,-62.706,19.232,-13.008,22.173
55.417,111.383,-18.944,0.144,-27.692,-48.407,3.494,22.769,-47.73,-13.359,2.351,9.698
54.283,126.797,-3.39,-7.0,-58.83,-18.383,31.581,6.139,-56.652,-7.781,0.256,19.504
54.543,134.536,2.968,-18.891,-37.316,-12.439,32.576,13.99,-59.826,-1.718,-8.991,23.912
55.354,125.835,-9.612,-29.96,-50.808,-46.314,13.377,6.309,-63.46,6.563,-25.705,25.102
53.593,135.659,-8.683,-7.595,-61.767,-60.623,20.374,20.37,-64.36,-4.051,-10.022,28.464
53.778,128.347,7.123,-36.552,-47.237,-15.867,34.681,19.04,-65.775,-1.14,-11.749,32.561
54.76,127.011,-19.141,-22.332,-61.822,-57.027,18.684,9.456,-72.449,10.356,-3.168,25.479
55.705,100.537,-17.684,6.541,-40.255,-45.807,0.145,27.051,-49.25,-1.368,12.319,9.668
53.941,150.673,-11.768,-15.787,-60.288,-51.422,21.712,7.256,-71.351,7.195,-11.543,24.329
55.358,112.559,-11.46,1.584,-39.556,-19.571,12.698,23.89,-53.898,-1.886,17.571,11.7
54.042,133.992,-12.155,-8.592,-63.633,-46.153,16.266,4.655,-68.387,0.494,1.589,15.815
55.126,96.191,-13.566,-7.042,-32.343,-61.671,-6.235,20.841,-48.814,-18.02,4.686,7.967
56.268,67.909,-0.665,-17.121,-32.67,-52.542,-10.681,10.178,-40.828,-4.751,-9.371,11.322
55.64,84.762,-4.684,-34.02,-42.038,-26.151,-7.612,2.956,-52.14,-13.503,3.648,6.924
55.842,74.194,-3.583,-10.181,-20.17,-51.781,-10.773,-0.519,-22.467,9.557,4.018,-7.44
55.446,72.878,12.893,-34.611,-31.266,-57.929,-3.22,2.688,-19.219,22.319,-26.928,4.109
55.518,74.559,2.844,-17.49,-8.737,-14.716,0.303,-2.801,-18.099,-11.436,6.202,-1.809
56.255,71.257,-4.687,-31.431,-22.577,-41.285,-12.734,-15.693,-29.037,11.626,-2.106,8.492
55.406,67.071,-4.348,-7.449,-22.421,-13.257,-11.514,-22.512,-21.789,-10.836,-11.434,-0.848
54.519,53.362,7.259,-27.112,-15.894,-19.239,-16.168,23.247,-17.922,-17.579,-10.898,3.44
54.076,65.942,-1.467,-13.475,-30.848,-64.084,-22.592,-20.725,-30.794,29.407,-8.724,3.433
55.918,72.423,-7.367,-8.997,-25.695,-46.424,-24.767,-2.546,-33.616,-0.598,-7.223,-0.761
54.714,66.099,2.825,-7.773,-42.364,-60.301,-14.69,-13.559,-34.504,25.436,-14.382,11.383
55.536,69.753,-6.217,-4.525,-16.859,-30.102,-11.247,0.268,-30.39,-4.037,17.541,6.52
