0,1,2,3,4,5,6,7,8,9,10,11
49.945,128.953,-49.883,2.373,-35.067,-1.289,-3.485,-19.651,-16.058,66.089,47.432,-7.36
49.344,119.295,20.991,-32.331,-53.62,-23.329,-11.251,-1.892,5.625,6.145,-5.4,-24.323
50.209,132.484,35.171,2.531,-58.416,-39.188,-16.334,-1.813,-1.981,13.642,-5.712,-18.431
52.64,122.788,12.556,-21.632,-42.069,-38.617,5.622,1.867,-16.139,5.827,-1.643,-1.282
52.733,101.383,0.707,-2.296,-49.182,-45.718,5.626,13.482,-3.94,11.01,6.429,-4.27
51.274,117.079,25.25,-13.367,-34.115,-25.868,14.809,18.941,-6.962,0.011,-15.182,3.321
51.07,87.316,10.748,-2.851,-38.577,-30.081,13.323,-2.508,-14.591,13.786,-13.423,9.104
50.438,75.626,10.351,-21.167,-29.494,-24.306,15.905,-0.966,-2.662,1.427,-13.326,8.549
53.405,65.012,-37.618,18.74,-15.562,-69.235,-16.173,-16.557,-10.14,-14.156,-17.459,3.286
51.265,57.641,20.76,4.02,-4.44,-49.763,1.634,6.373,6.982,-10.089,-18.461,-10.896
51.655,72.095,-18.558,-8.139,-34.962,-69.631,-11.241,-8.393,0.877,17.143,-20.33,-7.555
50.584,91.797,13.383,-19.198,-46.192,-35.125,-15.307,8.63,5.62,9.334,-8.23,-24.814
50.91,101.586,8.213,-16.878,-62.774,-18.332,-4.438,4.527,12.251,9.579,-15.606,-16.426
52.536,116.391,16.395,-25.567,-49.665,-16.771,0.541,15.574,-10.237,0.733,10.348,-16.881
51.466,127.257,36.044,-16.492,-59.844,-37.34,17.574,0.842,-25.192,10.608,1.324,-14.5
52.322,92.158,21.178,3.975,-49.953,-70.311,-1.386,16.284,-9.641,9.976,-16.606,-4.288
50.372,108.091,39.158,-12.037,-30.16,-29.234,17.92,5.334,-0.284,15.447,4.125,-1.047
51.37,113.284,26.578,0.581,-56.453,-35.815,22.509,1.029,-13.818,7.823,-4.601,13.838
51.148,73.013,15.62,-28.5,-46.994,-28.515,23.779,4.8,-0.009,6.792,-15.797,10.305
53.756,81.528,-36.795,18.522,-22.972,-43.676,-8.863,2.444,-8.834,-8.081,11.29,3.224
49.732,65.196,4.734,-25.399,-37.462,-14.622,11.759,0.997,8.728,0.136,-10.672,-0.323
50.735,90.757,4.817,-2.153,-21.641,-58.783,2.26,22.685,-4.572,-5.248,-13.579,-8.764
51.592,92.085,-8.505,-4.299,-38.048,-37.709,-1.708,-15.213,2.226,23.091,12.266,-8.739
51.126,96.54,17.773,-20.761,-50.421,-25.963,-17.109,-7.048,7.355,6.011,-14.156,-13.339
52.337,120.248,19.217,-17.809,-56.724,-31.314,8.135,7.919,-16.054,-3.856,-5.581,-11.604
53.107,128.072,3.675,-8.131,-47.616,-56.434,2.58,16.19,-5.3,8.402,3.297,-0.068
51.904,157.626,24.129,-10.29,-28.202,-29.933,15.028,-12.294,7.385,17.518,-14.863,5.374
53.238,112.712,5.808,-11.42,-9.505,-25.959,4.121,0.523,17.892,23.803,-18.032,14.456
53.486,103.243,-37.02,9.835,-16.126,-20.605,-9.274,4.137,1.648,18.686,3.273,10.847
51.731,91.573,5.897,-18.969,-22.528,-19.93,9.474,20.197,-7.069,14.012,-14.691,-11.997
51.576,88.092,-16.264,-10.908,-59.537,-63.417,-2.978,-3.755,-4.37,20.28,-20.816,-3.766
51.231,102.659,21.514,-8.396,-57.702,-35.779,1.682,15.317,-1.272,5.362,-18.092,-26.353
52.93,137.813,15.284,-6.466,-51.283,-20.571,-0.051,-1.673,-1.124,3.515,-6.038,-13.812
50.82,103.412,45.255,-14.033,-31.082,-10.66,14.66,6.519,-11.228,-6.234,-26.606,-7.173
53.555,75.253,-41.146,13.965,-19.827,-64.799,-15.343,-12.432,-13.312,-17.088,-11.344,-4.191
49.352,50.221,-4.296,-2.737,-44.368,-22.839,1.103,-1.456,-19.097,-8.051,-5.387,-20.646
50.806,61.128,24.173,13.476,-29.433,-46.387,-2.821,-6.167,-13.948,13.093,-7.163,-15.761
51.466,88.07,-4.555,-24.089,-35.43,-57.229,10.547,3.309,1.121,21.223,-2.213,-1.892
52.266,126.141,33.861,-20.926,-13.631,-29.248,10.231,6.416,6.02,1.384,-11.774,-12.989
52.328,115.199,32.978,-2.347,-26.201,-31.123,11.689,5.324,0.032,12.395,-12.282,-16.627
52.958,115.994,32.979,-21.493,-28.689,-36.982,1.436,0.853,-14.09,-0.247,-12.573,-15.754
52.23,121.491,64.212,9.892,-39.193,-29.313,16.717,5.244,-11.565,16.636,-6.471,-22.256
52.361,103.712,8.914,-1.988,-43.576,-42.212,20.454,6.212,-11.116,25.612,10.398,-0.441
51.371,110.932,33.49,-12.597,-28.567,-29.509,33.503,2.145,1.988,11.892,-6.663,-1.964
51.523,76.323,17.192,-4.205,-28.708,-37.717,22.575,-6.043,-0.91,18.056,-6.879,9.853
51.455,50.079,21.385,-10.422,-16.697,-37.522,23.922,-14.074,-9.324,19.735,-2.409,2.963
54.237,71.757,-19.653,12.037,0.0,-58.953,2.095,-8.184,-17.507,-19.758,-13.555,15.722
51.222,45.919,42.165,-1.08,-18.829,-32.573,31.479,-0.426,-0.344,-2.063,-7.342,9.303
52.474,69.249,23.095,-3.393,20.103,-57.617,28.342,7.28,-3.998,-7.364,-8.136,0.503
52.435,74.264,29.78,-3.049,-19.574,-61.471,21.794,4.432,2.083,20.657,-5.409,3.702
51.857,92.254,38.743,-5.404,-46.659,-46.831,5.503,4.664,12.323,11.053,-8.466,-19.147
53.256,104.57,28.759,-6.067,-44.201,-33.393,21.382,14.274,-3.524,2.026,-5.967,-10.03
52.656,79.167,27.966,-2.059,-44.061,-60.639,17.078,13.512,-17.678,13.146,-17.636,4.768
51.501,89.342,61.867,-15.336,-18.223,-27.76,22.104,3.88,-2.315,11.015,-15.542,5.705
