0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
46.036,3.016,-44.728,-0.941,56.353,-8.118,-28.032,-2.976,-4.546,15.985,15.044,-36.119
47.148,8.291,-56.757,-47.592,37.587,-19.841,-14.11,26.505,26.347,-21.543,24.788,-11.416
47.625,70.421,15.415,88.82,73.195,-59.232,-31.825,-27.09,-5.675,-7.128,-26.577,-4.229
45.004,78.246,25.815,-20.337,60.026,15.126,-29.877,-0.466,-2.349,-22.093,12.53,-17.178
42.531,74.705,5.176,9.983,64.801,-34.842,-59.363,-48.558,-41.597,34.3,-13.029,-3.819
39.386,15.403,37.485,-6.012,25.485,-18.694,-57.445,-0.524,7.099,-11.17,4.221,-10.333
42.232,103.578,10.192,86.192,65.126,64.15,7.273,-5.277,-10.035,-15.024,-8.308,-11.603
32.747,-4.295,2.946,-12.364,-15.562,-32.283,-19.197,18.614,2.296,7.015,2.394,-13.104
32.621,4.605,12.48,12.47,6.683,-28.006,-30.444,0.492,-2.261,28.909,-5.125,-14.862
44.041,30.812,-32.387,-42.0,54.187,78.373,-6.153,16.919,-5.753,5.847,40.739,-44.312
46.033,18.84,-24.918,-43.149,42.058,1.775,-21.311,10.778,16.046,9.978,6.116,-20.846
47.668,81.086,7.443,85.135,57.861,-59.646,-33.679,-22.17,-13.777,-7.133,-15.358,7.909
45.941,-0.399,-32.287,-5.761,4.188,-22.081,-39.849,21.433,0.814,0.082,24.633,-24.678
41.745,60.203,15.871,-2.703,69.946,-53.091,-34.844,-47.78,-23.202,21.002,-2.286,-3.092
40.526,0.665,32.054,31.253,53.239,-48.198,-32.295,-7.387,-13.055,34.368,-1.377,-4.178
42.875,46.597,29.267,16.706,66.539,7.732,-42.297,-53.432,-20.123,6.282,24.895,-20.58
44.711,44.557,43.662,31.746,101.746,47.3,-28.144,-17.478,-0.066,-35.704,-9.232,10.13
44.305,1.432,97.764,2.444,70.6,-14.445,-27.706,11.877,-14.151,5.021,21.043,23.887
47.406,5.23,-9.61,44.325,60.739,-20.445,-20.805,7.114,-5.193,6.876,8.626,-1.822
47.362,19.617,-51.907,-19.97,26.816,-37.104,-19.413,1.826,0.459,9.654,17.857,-30.445
47.168,78.456,-2.447,83.843,54.836,-40.703,-35.679,-10.834,-12.985,-6.093,-3.679,0.457
45.057,58.256,5.436,-6.639,43.743,-11.463,-28.764,-5.552,-13.115,-7.993,1.94,-5.45
40.931,38.398,-13.987,4.961,73.187,-47.802,-53.057,-51.773,-39.384,25.857,-12.206,-1.915
37.43,-11.34,13.906,-3.654,30.751,-34.092,-53.477,-18.763,0.491,-6.192,-6.646,-0.497
44.984,113.105,5.52,126.459,74.014,-28.638,-4.339,-3.695,-29.025,3.568,-33.294,15.88
35.463,-20.927,-5.484,47.822,28.733,-60.326,-16.726,7.496,-17.241,5.971,-23.67,-5.576
29.88,-15.352,22.055,-10.834,35.041,-4.816,-19.889,-15.795,-14.313,20.612,-11.972,2.6
44.38,23.922,-28.437,-29.726,56.106,75.876,-2.586,15.672,-0.348,6.512,70.244,-49.603
46.478,11.608,-44.998,-27.618,27.365,-23.318,-24.535,14.271,3.217,18.933,9.526,-16.26
47.482,69.224,16.988,93.183,66.448,-64.333,-21.377,-29.482,-0.453,-5.433,-26.815,-1.061
42.461,21.659,34.987,-34.238,56.817,-21.085,-30.356,-9.414,13.641,12.222,-13.734,-10.68
41.417,39.679,1.017,-12.726,70.051,-50.012,-57.712,-34.718,-48.083,28.174,-3.017,-6.067
39.797,12.768,7.424,8.066,54.346,-45.521,-56.905,-8.425,-42.615,21.684,3.22,-10.167
42.91,78.565,19.189,17.442,38.641,16.335,-47.129,-62.826,-17.841,25.614,-21.808,-9.449
40.927,1.403,67.81,-21.176,37.536,-9.099,-67.916,-14.887,-4.455,-9.558,6.483,-6.368
46.017,64.671,12.695,99.708,92.112,-0.037,-38.231,-38.251,-19.128,-8.696,9.337,-0.553
39.055,-3.371,26.261,-35.954,95.225,-38.336,-84.457,-22.406,22.813,9.634,-8.474,10.969
45.558,-3.387,-72.099,9.85,44.822,-27.434,-20.614,-15.221,-9.105,4.961,24.075,-18.701
48.658,41.985,56.5,-69.531,52.855,41.942,-18.583,-11.424,19.17,-13.012,-15.272,17.311
50.788,-9.249,7.054,7.917,51.898,-12.458,23.581,11.573,7.591,9.058,-18.138,14.697
51.838,43.79,23.935,13.707,38.965,-39.996,-21.531,-29.916,-29.19,6.146,-14.157,-11.492
49.392,43.01,17.148,10.824,-1.589,-3.741,-64.661,-1.252,-39.545,-19.387,-27.261,-36.736
43.687,116.488,-28.699,22.256,68.703,-24.548,-49.124,-70.157,1.486,-9.521,-22.828,2.522
47.583,55.996,32.505,-46.262,56.117,10.358,-26.674,-62.019,-41.722,10.872,1.936,-29.916
47.119,-1.313,23.515,47.47,58.417,-30.11,-24.077,35.82,-13.475,-3.897,-44.939,-15.411
43.695,109.206,-36.045,47.077,34.256,63.781,-23.443,-48.586,-2.189,11.792,-70.035,1.618
37.016,137.667,-43.075,-5.922,57.936,43.459,-40.059,-44.552,31.099,-56.784,-39.944,5.26
44.173,22.764,-45.855,-81.69,48.637,67.136,-1.575,-22.446,-12.374,37.399,4.561,-6.026
44.637,-8.462,-24.284,-4.283,27.1,-43.56,-38.05,0.862,-13.156,6.91,-17.725,-3.863
45.863,37.789,-15.896,-52.837,-3.842,-13.409,-64.165,0.442,-1.012,-4.224,6.914,-39.836
48.737,23.292,-36.283,-50.161,-15.125,-35.084,-40.809,13.261,4.743,-7.693,-0.302,-19.403
50.823,51.778,11.215,35.932,24.913,-38.336,-28.068,-28.415,-20.204,4.849,-12.546,-12.839
47.626,-10.9,35.076,-3.836,38.26,-43.009,-8.363,-0.311,-36.696,-2.144,-7.434,-38.912
48.48,-15.639,-10.828,35.781,19.776,-8.477,-0.271,34.584,-19.093,-5.639,-18.939,-26.78
47.013,50.521,39.292,-81.596,38.52,-17.831,-1.866,-45.935,-45.543,33.077,-11.592,-30.554
49.557,18.286,50.506,3.774,39.323,-24.387,-25.557,8.697,-4.29,1.198,-30.022,-51.117
41.476,10.664,-49.175,45.766,45.027,61.108,-11.158,-12.428,-6.378,-36.927,-67.348,-9.739
31.939,29.366,40.765,-36.745,36.591,-11.525,-8.277,-36.685,0.819,12.805,-13.273,-6.246
40.732,37.047,-16.643,-92.758,32.496,38.329,5.451,2.596,-14.685,-1.737,-29.083,-7.074
43.518,62.77,21.034,-16.423,-25.485,-17.312,-52.88,6.649,-6.108,-12.789,2.384,-15.999
46.514,95.185,47.967,-90.067,-16.997,5.075,-44.72,-54.508,-10.079,-1.167,-7.84,-4.84
50.381,-39.471,24.301,-27.492,63.507,-22.794,24.28,18.417,6.516,2.603,-1.09,15.201
52.416,37.527,60.452,36.648,72.771,-42.75,16.493,-12.383,-13.851,9.985,-1.927,-10.607
48.561,15.626,15.51,17.686,45.805,-35.258,-8.703,8.378,-26.396,-4.133,-28.05,-16.83
46.702,-20.904,35.375,3.801,62.059,-14.686,-8.783,10.507,-10.519,2.247,-35.062,-3.897
44.254,13.23,1.662,-20.426,65.668,11.994,-13.438,-27.565,-17.179,44.714,-8.189,1.419
47.277,39.782,-36.727,113.321,34.666,-41.011,-10.844,-20.191,-14.523,-0.522,-38.588,7.069
37.276,61.93,13.635,35.146,-5.623,24.755,3.584,-5.998,-12.563,-13.612,-22.056,-20.423
36.34,45.213,12.081,25.418,32.227,24.7,-10.981,-15.68,-22.233,7.69,-39.166,-6.283
45.314,3.365,-74.903,-54.321,58.702,57.241,1.985,-6.39,-15.854,15.787,34.761,-14.045
47.465,-38.823,54.044,-70.498,60.119,-34.992,18.088,17.221,-32.872,-2.604,12.013,-9.746
50.339,-17.049,-3.798,4.842,5.087,-38.409,-15.985,19.928,-27.966,-12.211,-20.293,-43.635
51.256,55.037,36.598,34.344,25.962,-23.743,-11.929,-27.767,-35.456,20.618,-15.424,-21.556
49.044,27.905,65.059,29.682,9.745,-38.381,-17.515,5.515,-12.088,6.457,-7.545,-46.61
48.435,-6.789,-25.56,3.584,-10.247,-43.627,-20.332,2.213,-20.245,-13.603,-26.462,-41.779
47.304,54.813,11.229,24.167,26.698,3.173,-42.375,55.172,-18.084,-2.62,11.153,-48.803
49.112,22.721,59.331,-8.52,27.958,38.782,-19.179,-3.39,-13.831,20.991,13.16,-58.29
49.151,51.011,-2.254,76.337,38.999,-28.446,-11.473,-24.115,-21.308,17.875,-42.584,4.784
39.138,51.982,38.582,-6.865,88.403,-38.197,-36.387,2.44,15.874,6.038,8.213,-28.752
39.536,22.176,53.916,-16.457,101.542,-41.415,-12.547,-2.161,17.625,19.942,-8.173,-27.496
44.01,20.676,28.085,-59.465,49.883,2.115,4.511,15.39,-6.905,0.333,-36.223,-16.928
44.045,7.306,-7.883,-21.086,39.305,-40.206,-13.617,11.522,23.841,15.59,-9.9,9.94
50.74,6.8,75.433,-51.588,42.104,23.958,22.11,18.321,-8.387,20.561,11.695,-17.532
53.869,37.011,47.001,-5.076,13.581,-29.594,3.244,34.248,-26.315,0.385,0.419,-31.852
52.578,92.02,53.735,-2.602,-18.725,-1.165,-52.829,-30.755,-36.5,-18.24,-7.317,-36.665
48.949,-16.902,6.543,6.043,10.815,-19.138,-28.74,12.779,-31.112,-26.006,-7.494,-14.553
49.948,22.072,-9.769,-17.878,26.543,-14.07,-21.492,-14.459,-42.165,3.523,-8.429,-18.114
47.444,10.115,-29.088,16.109,30.441,-19.847,-39.507,37.672,-11.749,2.217,-43.047,2.331
52.363,65.39,13.592,38.339,39.311,-17.517,3.103,-5.345,-17.939,32.252,-29.602,21.366
51.141,-14.357,-25.858,-25.08,49.03,-17.233,-1.112,-17.614,19.466,17.942,1.962,3.399
49.708,24.516,11.598,-0.147,17.389,-26.484,-19.899,-0.705,-19.306,16.437,-18.014,11.092
49.41,-39.115,-24.349,-13.069,35.162,-55.807,10.453,5.764,5.527,22.246,-1.517,-3.848
52.632,26.955,22.576,28.264,70.884,-35.141,11.168,-25.97,17.39,16.971,-13.907,-7.664
50.305,-27.062,-19.483,-7.05,32.971,-42.462,18.005,1.295,33.605,9.316,-7.611,12.243
45.993,-14.084,-21.045,59.773,11.832,-54.946,-9.081,15.999,8.412,17.198,6.929,9.089
49.697,-1.128,37.369,-22.826,44.393,8.108,12.122,-17.997,-39.25,52.614,-3.287,-45.646
50.795,0.443,52.237,2.744,22.714,-29.009,-8.54,9.286,1.623,-5.997,-10.285,-57.721
48.886,25.249,0.753,22.566,24.224,-18.481,-28.331,-7.889,-16.655,2.376,-44.084,-58.565
45.517,167.077,-67.456,-19.491,27.061,-13.176,-4.099,-5.747,30.485,-8.18,-15.022,-3.904
46.958,60.887,-46.634,82.825,36.503,10.708,19.823,-26.115,-9.687,11.368,-8.082,-13.645
37.66,57.769,-88.677,12.275,13.157,-58.205,-3.669,-23.566,-6.726,22.087,-5.871,-3.613
35.353,-5.029,-41.776,-5.413,25.715,-23.063,6.06,22.434,12.461,23.979,-13.056,5.519
44.85,13.894,-85.995,-24.671,32.532,-29.872,-6.839,6.148,3.135,19.735,36.926,-22.434
43.417,43.694,-13.32,-16.819,-22.688,-33.229,-0.854,0.005,-4.777,3.24,-18.53,-0.628
44.966,46.656,-21.421,-93.026,-8.291,-11.495,-8.129,-21.275,2.2,27.295,-35.677,-2.741
52.363,48.65,-22.808,32.828,24.374,-15.292,-23.659,-32.227,-29.181,-3.307,-27.407,6.561
51.14,-2.114,41.597,-57.365,55.674,-11.85,5.307,2.28,6.703,6.856,-4.371,8.153
50.885,10.984,42.486,30.096,13.854,-11.115,-5.235,4.264,-9.328,5.0,-44.616,-39.097
47.26,6.323,-27.689,36.458,-19.624,-12.94,-60.22,-10.329,-29.012,9.038,-10.306,-29.071
45.871,43.891,-11.703,-63.849,-19.738,21.632,-49.424,-14.537,1.0,-0.006,-34.464,-22.226
45.674,87.256,3.216,-24.333,-12.767,4.457,3.635,28.626,-23.217,-19.477,3.059,-23.832
49.841,33.755,-4.891,74.063,49.773,-20.721,-3.053,-16.317,-19.81,24.36,-62.445,16.286
45.625,12.131,-11.646,-121.069,24.004,-20.495,-22.055,35.019,-1.012,-9.646,-3.758,13.883
