0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
44.064,108.248,112.794,-64.117,40.777,142.413,51.571,26.342,-18.206,68.493,92.7,-19.963
51.449,83.439,24.758,-8.429,-11.93,-26.074,24.089,4.351,-10.722,-3.043,-6.307,4.155
50.085,71.178,20.511,3.219,-38.245,-49.445,19.869,10.669,-2.975,7.054,-16.321,-7.851
49.902,79.871,39.929,-23.927,-23.949,-24.572,26.071,3.347,-9.023,3.897,-9.612,-6.482
50.681,79.149,29.579,-11.038,-34.263,-52.139,26.706,9.904,0.766,0.769,-15.74,-3.618
51.266,72.645,21.487,-1.454,-17.52,-26.425,14.247,6.145,-15.119,1.497,12.188,-3.346
50.297,75.337,16.761,-20.723,-41.865,-49.601,21.301,5.158,-9.866,3.492,-12.838,6.18
49.826,94.768,33.331,-13.531,-46.242,-55.992,26.158,3.015,-24.285,10.18,-22.041,-6.337
51.225,71.911,16.147,-8.105,-27.721,-47.397,3.03,9.89,-13.644,12.322,5.148,4.539
50.01,77.838,19.738,-3.257,-24.984,-35.007,26.358,-2.836,-1.949,5.507,-6.639,-8.305
51.548,68.765,26.193,-5.346,-25.559,-44.46,10.612,5.417,-15.897,3.104,-15.606,9.368
50.311,84.628,26.112,-3.598,-36.191,-40.486,28.587,15.065,4.398,0.178,1.588,-5.845
50.225,84.83,35.976,-8.792,-30.743,-36.942,44.002,-1.093,-0.501,9.76,5.036,6.728
51.08,72.281,28.633,-5.291,-23.68,-55.998,13.234,15.927,-20.03,-4.554,-12.857,14.047
50.551,77.116,39.257,-0.323,-22.431,-48.409,40.367,9.539,-2.524,15.862,-9.14,5.018
50.268,68.922,30.155,-13.065,-21.677,-64.731,27.162,6.385,7.417,14.287,-13.569,1.345
51.258,76.363,22.286,0.677,-19.934,-48.869,8.725,8.439,-18.416,11.648,1.659,3.441
50.71,69.064,32.052,-12.475,-31.309,-59.095,14.445,2.873,-5.467,7.353,-13.354,0.205
50.907,77.756,24.106,-12.007,-26.47,-18.843,25.435,4.503,-8.234,-2.113,4.946,-4.669
50.979,73.327,21.358,-10.71,-25.203,-51.92,5.404,5.446,-13.464,2.042,-10.685,4.406
50.294,81.403,25.54,-4.099,-30.671,-40.127,34.206,1.981,-11.047,-1.01,5.693,-3.447
50.238,70.52,36.831,-17.279,-22.495,-21.584,25.369,9.214,-4.584,0.208,-12.089,-14.456
51.076,68.657,22.259,-1.951,-26.778,-42.238,11.822,10.144,-14.653,1.843,-3.875,7.993
50.597,66.773,19.087,-7.262,-29.278,-44.329,8.601,5.957,-10.925,-3.9,-9.117,2.474
50.931,81.05,19.228,-13.064,-17.018,-14.398,21.507,5.133,-2.184,-8.931,1.738,-2.179
51.035,79.213,24.845,1.259,-18.939,-28.984,22.663,9.674,-14.91,4.69,10.003,1.277
51.144,71.714,20.258,-21.938,-26.624,-47.524,7.735,20.238,-0.351,-8.467,-1.872,8.771
51.107,72.667,22.717,-6.196,-21.42,-54.929,9.152,7.058,-12.745,3.246,-14.214,8.14
50.989,62.71,30.41,-4.057,-18.931,-46.558,19.885,16.418,-10.839,-0.796,-12.316,8.065
50.887,70.041,21.911,-7.651,-18.464,-52.159,6.335,5.777,-17.691,-0.743,-5.075,9.144
50.573,84.682,41.877,-0.197,-27.565,-45.099,42.564,-1.247,-0.515,12.445,-6.405,-2.595
50.834,76.755,23.54,-2.44,-25.897,-57.957,16.558,7.964,-19.273,0.778,-11.626,14.366
50.638,81.46,33.217,-8.225,-15.223,-16.57,31.529,13.737,-11.601,-0.66,-4.598,3.579
51.219,75.598,24.279,4.016,-23.475,-26.842,16.224,6.656,-5.846,7.119,6.774,0.59
50.421,53.733,19.27,10.526,-37.372,-56.626,15.903,-1.266,-23.777,14.429,-12.002,-1.075
49.245,67.265,30.622,-2.433,-57.128,-44.042,17.373,10.911,-15.238,5.594,-14.689,-3.986
49.636,65.694,39.633,-19.331,-32.686,-25.233,26.574,8.123,-13.175,8.195,-11.516,-14.137
48.259,50.843,7.364,31.799,-28.026,-42.542,2.676,24.944,-4.393,-12.355,-28.63,11.49
40.6,64.529,29.983,-38.993,-31.0,-12.692,19.641,15.701,-2.585,-14.781,-14.11,5.766
