0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
20.5,-120.926,-69.505,-130.253,42.142,158.843,54.872,-59.664,-52.339,139.466,-41.901,7.156
47.174,45.822,-14.983,13.368,-49.74,18.848,10.223,-5.769,-20.153,-0.93,14.289,-12.742
42.936,21.485,-53.266,-34.66,-40.681,-37.131,-16.401,0.166,-10.886,3.409,-5.542,3.76
41.573,26.816,-44.324,1.167,-73.429,-38.894,-33.191,-9.569,-24.34,-11.288,-24.933,-3.454
36.864,-85.398,-98.967,8.458,-45.984,-45.192,-40.948,-15.259,3.88,9.271,-13.72,-2.679
48.284,113.532,-55.43,25.651,-38.739,20.786,-14.839,-17.15,-7.27,3.792,-6.786,-3.168
43.688,72.829,-48.789,40.435,-46.859,8.071,-43.54,-25.571,-9.239,-13.393,-50.993,8.446
34.207,-254.246,-111.689,16.234,-8.345,-51.299,-9.826,-5.591,-19.666,35.107,5.07,-1.304
51.362,180.662,-60.736,15.112,-55.486,10.008,-65.453,-9.997,10.098,-8.836,3.981,-6.919
45.194,-21.692,-88.404,-47.875,-36.97,-47.829,-59.073,3.305,13.897,24.983,3.017,-6.113
46.612,76.034,-136.766,106.411,-42.573,23.76,-69.717,-76.317,12.709,-21.708,-100.842,3.207
49.591,148.81,-54.663,13.458,-43.513,-13.097,-17.88,-21.16,-25.462,-5.877,-17.621,13.767
42.717,31.556,-63.8,39.71,-47.807,-26.983,-35.457,-56.008,-15.888,-1.645,-43.41,16.893
48.157,90.779,13.068,28.939,-22.411,-20.882,-20.327,-14.283,-11.635,7.797,-14.001,-13.406
42.496,17.842,-15.201,-4.164,-32.086,-43.814,-12.725,-10.24,-8.164,8.596,-5.281,2.895
40.017,-22.19,-46.801,46.105,-27.552,-26.334,-56.42,-30.759,-9.766,-1.297,-53.424,7.324
49.038,112.94,-7.392,53.172,-14.087,0.323,-26.96,-31.284,3.371,5.667,-22.599,-2.222
41.796,3.183,-33.96,-8.369,-30.261,-12.716,-39.479,-4.31,-6.256,-0.513,-7.165,5.789
32.273,-66.004,-95.925,46.233,-35.231,-27.283,-22.677,-21.368,2.418,22.159,-19.194,15.54
37.798,19.743,-52.408,7.745,-5.455,41.04,-14.759,-7.389,12.58,-7.309,23.225,4.039
39.527,2.172,6.489,-4.712,-35.063,-23.523,-9.48,-1.037,-6.799,1.397,-0.748,-5.632
40.273,-12.828,-4.679,0.315,-43.296,-41.564,-21.386,1.833,-13.729,3.166,-0.289,0.237
41.345,0.436,-90.625,116.482,6.612,-38.84,-42.037,-102.68,-17.151,18.041,-55.578,23.835
35.787,-34.574,-6.028,-146.705,7.898,109.907,18.925,31.369,20.988,-54.08,21.194,-26.163
43.787,107.139,-17.249,40.579,-22.428,-75.825,-7.334,11.43,-39.075,-11.417,-2.391,23.451
42.386,20.83,-113.672,77.89,-20.18,32.186,-18.117,-48.444,-21.188,39.974,-32.113,21.398
43.518,49.425,-16.666,-188.519,-15.58,49.576,2.309,44.983,11.013,-20.649,-12.916,-12.113
50.646,14.823,0.86,25.739,-17.433,42.572,3.514,24.819,-10.984,-25.618,-41.313,-3.625
50.259,50.583,-21.202,-58.406,-21.426,43.243,-28.798,17.892,9.743,-18.071,6.219,-47.597
50.98,144.811,-29.077,-9.138,-37.611,-32.848,-20.144,-0.588,-15.151,10.807,-13.979,-1.344
48.034,14.588,-32.249,-12.347,-18.854,-32.024,-8.929,-9.878,-6.975,9.336,-35.444,21.428
46.991,79.086,-51.231,-9.371,-18.722,-1.041,-47.892,38.709,-7.512,1.865,-6.423,7.432
49.925,-33.28,-27.312,-67.473,30.764,2.192,43.711,-16.322,-5.322,0.132,6.208,8.24
53.512,114.671,-58.024,29.324,-28.373,-14.259,-58.924,-46.219,17.957,-2.021,-35.499,7.057
52.815,128.757,-66.988,-38.557,-44.969,-10.236,-77.029,-17.997,13.344,-5.203,4.398,-20.449
47.233,27.875,-62.102,-34.974,0.092,-43.008,-9.43,0.314,-20.973,-6.606,-14.869,-37.208
50.037,155.59,-34.829,-25.206,-41.421,8.361,-5.86,-0.816,-13.197,-27.775,17.083,-0.739
46.857,77.941,-59.723,-2.015,-50.39,-52.736,-25.959,-11.231,-14.129,-23.466,-20.068,17.941
44.306,66.805,-42.855,-4.853,-58.506,-36.698,-39.033,-25.958,-22.48,2.582,-8.558,5.087
39.356,-45.594,-42.106,9.349,-11.255,-28.52,-37.1,-24.687,-5.494,9.498,-26.255,16.839
49.289,110.526,14.414,-0.273,-11.48,-23.953,-18.966,5.949,-18.638,9.385,0.003,-20.396
50.889,67.72,-14.931,8.42,-12.492,26.369,-26.696,14.22,-21.21,-2.457,-31.877,-32.712
48.683,113.833,-16.102,-75.654,11.966,-1.043,-26.135,-40.252,-34.304,13.147,-10.498,3.873
51.881,50.569,25.247,-46.339,2.427,-8.851,-11.887,-18.904,-10.386,-11.09,-15.7,15.395
51.395,58.809,-7.332,38.039,6.081,2.955,-30.985,-21.576,9.322,-22.142,-18.319,10.34
45.229,19.313,-42.986,-11.392,-2.243,-10.279,-23.866,0.112,-13.459,-16.467,-13.268,12.302
45.623,-20.697,-50.253,-35.647,-5.154,-40.759,-32.516,20.344,-3.636,1.739,-31.266,-3.348
42.496,-26.599,-93.93,-57.338,52.974,-26.729,-40.672,9.607,-10.002,-6.366,-7.159,10.517
48.583,99.458,-45.095,15.967,-18.066,26.891,-63.799,-4.957,-7.607,-14.199,-13.414,-20.041
53.094,66.413,-2.443,12.025,4.467,29.248,-34.345,0.565,6.515,11.666,-2.122,-35.315
50.662,75.732,33.638,-60.899,-18.772,4.48,-43.674,-3.837,-44.393,23.133,-6.949,-25.641
50.557,34.384,-14.4,63.309,-15.186,21.86,-40.13,-17.097,1.229,-14.584,-43.327,-24.89
35.366,-140.035,-68.3,44.838,-22.919,-26.988,-14.839,4.021,2.498,1.959,-1.029,3.348
41.186,24.2,-1.145,-23.908,-25.87,-25.788,-27.705,-14.947,-5.298,17.919,4.645,-15.155
43.876,113.474,-17.817,42.312,-21.824,-74.163,-11.679,18.739,-43.164,-13.118,1.381,19.601
43.893,21.587,-101.03,64.571,-34.734,-40.835,-38.752,-5.485,-26.444,45.367,-24.087,13.914
48.567,81.224,-18.558,-42.044,-27.077,33.994,8.687,30.69,-18.827,8.604,38.341,-15.378
51.61,-2.456,5.562,-20.518,45.039,-33.623,5.14,32.854,4.827,3.087,-0.3,2.373
49.423,104.461,-66.661,29.179,-13.655,-11.836,-53.619,12.155,-17.878,-34.42,-35.492,-7.685
48.618,-26.958,6.666,-91.33,19.167,-26.521,20.576,23.059,3.885,31.411,-7.099,17.728
51.769,143.396,-34.849,-17.419,-26.07,-33.338,-33.897,25.666,-12.698,-0.023,-11.386,-3.371
48.546,5.857,-0.47,-39.263,-10.566,-39.829,20.798,-33.557,6.118,4.439,-15.362,23.172
48.44,20.98,3.024,15.274,-19.529,-13.799,-2.24,34.045,9.165,-34.559,-19.424,5.919
44.035,-48.283,-23.695,-100.195,43.099,-17.823,44.411,-40.331,-20.86,33.044,-5.294,24.928
48.215,-1.375,-10.098,-117.226,-15.603,8.875,-22.617,35.276,21.434,-23.084,-22.388,10.902
50.561,109.249,-80.418,-10.452,-36.237,24.217,-60.19,-41.262,18.045,-30.368,-12.698,-12.471
42.787,7.738,-66.912,-72.072,-32.76,-38.66,-28.335,-14.821,-12.621,5.607,-7.765,-26.994
49.703,153.603,-37.149,-30.51,-38.152,22.498,-3.98,0.872,-7.972,-26.267,25.383,-2.787
46.991,79.986,-59.667,-2.848,-50.351,-50.791,-25.134,-10.657,-13.633,-21.732,-20.204,17.2
45.515,81.314,-29.67,-23.505,-50.025,-24.028,-27.654,-20.426,-20.122,-1.613,-7.619,11.487
47.88,23.481,33.571,-54.752,15.429,4.38,10.68,27.664,-3.907,-1.261,-12.389,27.312
50.686,42.989,-8.588,11.821,-5.794,17.841,-26.941,-17.511,-12.023,4.22,-27.396,9.736
44.602,1.453,-36.249,-5.355,-14.609,-20.16,-48.226,-5.129,-24.287,3.98,-9.808,-8.059
44.172,8.047,-40.451,-73.062,-9.069,-16.158,-30.715,25.741,-4.114,5.316,14.523,-15.251
49.828,101.146,-19.821,17.988,-13.05,18.51,-9.479,-27.822,6.279,0.015,0.758,-8.375
45.682,2.823,-27.897,-31.471,-3.094,-36.141,-5.211,7.754,2.811,9.8,-10.454,17.049
39.496,-47.085,-140.375,79.165,7.378,-31.549,-20.907,-7.234,11.42,-9.506,-38.637,11.031
41.851,58.942,-43.83,-15.863,23.135,95.446,16.121,-20.094,17.53,-15.809,61.657,1.43
38.754,-74.5,-60.482,15.082,-18.257,-61.559,-6.487,9.888,22.786,-18.387,-22.331,18.049
40.516,30.381,-8.483,-5.254,-42.972,-14.435,-34.377,-9.809,-12.241,-1.011,1.319,-3.354
37.845,-62.592,-84.446,47.95,-35.063,-44.357,-37.159,-1.658,-19.996,37.855,-5.946,1.916
45.468,103.412,-33.101,-8.888,13.982,-24.166,-21.067,-11.316,-14.217,-2.374,4.953,21.451
45.23,-15.318,-8.734,6.738,28.777,-2.559,25.942,15.664,-9.562,27.035,-43.212,20.564
45.051,45.737,-39.551,-48.977,-29.219,-4.542,-37.607,7.471,-10.527,-15.732,5.271,-19.173
45.685,93.102,-87.186,40.366,-22.366,-49.636,-28.245,-61.612,-43.772,28.798,-22.257,14.206
41.977,114.649,-64.883,-88.239,-30.473,-4.833,-46.519,14.658,-13.772,-20.044,-1.78,-16.815
49.165,105.728,19.447,14.412,-37.558,-20.553,-4.179,-12.392,-22.589,11.57,-16.811,-5.671
44.82,28.421,4.832,8.918,-54.657,-55.919,-3.491,14.711,-20.403,-20.805,-8.128,-14.915
41.315,-32.991,-27.919,-11.624,-62.264,-48.362,-23.106,3.057,-32.015,-9.542,-2.992,-9.4
41.483,-33.379,-8.368,-3.102,-55.881,-21.434,-25.411,-20.36,-43.754,-8.424,-21.109,8.443
36.79,-140.484,-67.236,30.732,-40.212,-29.707,-21.529,1.782,-18.309,-1.754,-14.476,3.237
