0,1,2,3,4,5,6,7,8,9,10,11
0.014,170.812,9.303,-28.879,57.417,-50.126,14.776,4.901,-27.312,0.906,-10.516,-7.055
45.632,42.214,-43.513,18.206,30.679,129.033,32.795,25.497,-2.548,62.893,122.592,-34.036
49.879,65.553,55.905,-66.603,-16.959,51.622,32.051,18.269,20.256,-17.913,-18.251,-30.55
51.209,51.806,1.371,28.503,-14.841,-28.429,-6.702,-8.169,3.205,8.797,-29.319,-16.512
52.961,73.184,28.911,40.589,-27.115,-11.535,-3.354,-21.827,-9.052,-5.186,-16.311,-11.19
51.753,23.41,-11.237,43.098,-11.506,-27.067,1.143,-13.357,1.823,-2.643,-15.294,-10.398
48.967,66.86,14.41,66.31,-4.156,5.743,-13.679,11.5,-2.745,0.858,-21.115,-8.173
49.331,93.278,88.071,28.876,-0.81,16.496,-7.156,-19.337,-29.026,-1.27,24.864,17.648
51.588,91.977,41.516,7.476,-2.191,-0.106,-36.483,-10.321,-32.489,-19.217,13.007,23.964
50.757,97.997,32.683,-2.815,-8.428,-26.968,-57.032,-19.818,-19.294,-8.045,-3.981,13.673
48.757,86.764,47.261,-13.622,-15.973,-21.499,-57.298,-13.917,-27.157,-2.106,0.328,11.987
52.093,55.563,-12.831,8.47,-29.084,-67.448,-14.141,17.536,11.904,-5.982,-13.151,-12.388
52.793,80.21,36.774,-9.426,-19.986,-8.581,-3.327,-6.86,10.205,28.943,7.46,-33.086
51.883,62.52,4.532,18.333,-28.009,-17.608,-6.74,-15.779,2.684,8.121,-27.069,-18.092
50.625,56.828,27.91,-21.78,-22.8,13.76,-4.886,-3.914,-5.839,-4.274,-26.384,-14.231
51.459,18.453,-5.993,44.661,-16.949,-33.874,3.208,-10.232,-6.007,-0.518,-16.492,-7.699
50.973,77.34,52.864,41.581,3.906,-4.716,-25.271,-7.341,-9.218,0.373,-12.526,-13.148
47.901,34.86,32.347,-42.8,-27.544,-5.57,-41.809,-17.048,-41.353,-9.322,12.77,-17.733
53.927,83.701,55.01,37.776,-18.299,-39.332,-53.794,-20.099,-43.754,13.766,-10.373,-0.499
51.837,86.845,16.329,-12.101,6.12,-7.165,-31.37,16.54,-29.814,-5.879,0.395,10.186
51.815,90.114,6.778,-28.045,8.353,-6.714,-49.233,-40.763,-6.156,2.623,-6.007,17.606
49.63,135.658,-35.824,-58.517,75.038,-36.558,-30.015,-5.135,-61.192,-30.17,1.805,-2.053
53.527,102.804,-39.608,-46.719,37.708,-22.592,-19.195,5.498,-39.853,10.611,14.559,-11.855
52.936,100.873,10.917,3.13,11.789,-19.489,-61.622,-35.889,-56.866,-21.628,-4.063,-19.328
52.465,51.56,-12.683,-32.487,-10.232,-43.764,-48.149,-0.817,-29.928,-17.808,7.744,-28.514
51.935,80.152,13.645,17.804,12.343,-24.084,-75.714,-2.012,-36.277,-15.41,-22.259,-4.753
45.114,60.794,-14.249,29.903,-3.499,-8.052,-25.172,-13.242,-22.89,-15.433,-37.591,4.765
37.927,117.903,25.896,-11.458,11.945,31.687,3.797,29.011,-13.275,-61.406,-10.79,9.124
39.522,19.785,-10.664,-31.961,-15.811,3.036,-26.044,-4.958,-30.637,25.236,22.711,-24.9
46.63,53.457,25.339,-115.131,-42.902,0.084,-55.428,8.72,-12.564,4.136,21.991,-23.311
51.255,85.119,49.611,-24.331,-11.695,-16.679,-91.146,-20.292,-32.039,-4.215,8.065,-18.802
52.516,66.264,82.793,-6.534,31.021,-29.116,-51.747,11.117,-24.56,-5.498,-3.245,-33.732
51.92,95.753,34.209,11.188,14.551,-19.093,-62.45,9.008,-28.961,-10.552,-26.581,-28.917
50.148,47.106,40.705,-8.402,7.727,-21.104,-42.6,-2.6,-60.996,-24.607,4.806,-39.272
51.699,87.305,43.059,10.148,28.444,-22.864,-31.178,-33.797,-30.519,-9.769,-2.225,12.831
51.347,52.331,65.901,-23.019,23.878,-6.757,-38.428,25.025,-30.203,-27.988,1.975,-6.063
51.317,45.105,-35.538,33.022,-16.461,-35.931,-43.07,-11.742,-24.519,-3.01,-39.613,-14.226
43.436,71.05,-55.808,20.534,-22.041,-36.657,-3.422,-25.696,-3.502,13.879,-13.27,11.251
46.611,27.196,-46.073,0.62,-0.96,-67.554,-8.95,7.672,10.566,-5.962,-2.092,0.409
45.228,80.714,22.011,104.942,-0.919,-18.332,2.429,-16.924,-23.367,-21.2,-16.704,-1.908
37.49,55.933,39.107,9.735,18.412,-22.534,-25.613,-26.579,-26.843,-2.138,-19.428,-2.545
40.822,31.251,1.852,0.513,11.808,53.848,-7.997,10.045,-10.717,-8.129,-42.616,-0.357
36.595,148.565,22.518,81.029,40.161,-31.161,-15.707,-9.849,-34.093,-0.086,-28.435,23.624
37.71,16.744,-18.618,-94.812,12.197,11.33,-14.289,-4.434,-37.442,22.65,-13.855,9.23
48.159,101.187,0.281,-58.363,-2.056,27.474,-64.158,-17.077,-12.01,3.781,2.069,-17.216
51.818,125.968,52.025,28.709,41.498,4.984,-26.621,-3.781,-15.689,5.198,-21.175,-1.622
49.118,72.148,4.164,-52.014,43.014,-11.126,-34.424,3.954,2.775,6.517,-8.703,17.748
50.128,20.897,-20.735,-7.14,38.631,19.971,9.7,24.45,13.051,-14.431,22.92,21.028
46.617,132.271,20.242,-59.225,58.141,7.175,21.283,-48.843,-6.409,9.266,-56.562,18.54
51.082,31.948,-9.61,21.821,50.142,49.003,18.952,20.203,22.862,23.671,15.763,11.095
40.599,83.709,-43.704,-74.668,10.499,-19.113,-34.458,64.278,14.854,-36.954,-0.395,13.998
43.923,55.686,23.964,-81.183,37.665,4.727,-18.138,5.022,8.31,14.085,-18.248,23.444
42.302,63.32,-59.696,68.656,-3.448,43.963,-49.175,-5.294,-15.478,-16.497,-21.12,2.287
41.917,35.597,36.841,-123.565,-10.168,14.682,-0.004,5.554,-16.848,12.591,-8.68,28.309
50.268,40.762,69.192,6.292,75.652,-11.755,3.803,6.395,4.221,34.065,6.123,5.142
48.199,10.982,64.646,80.323,74.646,-15.109,2.808,-22.195,31.159,0.985,-60.868,20.537
47.24,15.178,-14.351,-42.999,29.464,64.424,-0.799,46.416,30.711,-49.369,7.522,-4.999
41.459,61.108,12.347,2.64,7.125,-5.578,0.742,-1.708,5.435,-28.447,-28.072,10.715
47.993,43.574,-51.719,-15.692,6.643,-41.001,-5.851,20.999,18.768,-4.221,9.424,-1.335
44.062,69.017,10.609,79.394,23.304,9.674,-0.752,0.067,-19.147,-23.769,-21.008,-5.218
41.799,42.308,20.703,-39.414,15.331,51.138,-14.09,1.858,-8.806,-6.104,-39.851,-3.66
33.399,124.88,38.334,51.393,22.562,12.779,-16.688,28.289,-10.031,-55.536,-37.622,15.17
29.811,116.096,118.409,-59.413,10.432,22.191,32.235,2.505,-28.968,-21.388,-53.737,40.685
47.639,93.371,-61.427,9.688,2.489,-1.571,-15.656,42.989,4.175,20.23,8.658,-1.541
46.296,179.639,-9.218,13.034,43.129,41.138,-12.233,37.891,-12.205,-7.391,-51.246,26.169
45.861,192.061,46.144,-106.388,25.094,96.444,10.687,-47.582,-54.442,54.873,-3.766,34.58
53.611,94.812,-13.274,-11.457,-25.282,-28.174,-39.397,-9.065,-11.416,-21.25,-6.14,4.804
47.732,102.294,-38.581,72.146,31.709,-43.812,-62.319,29.733,17.012,8.809,-21.991,30.015
50.227,119.662,-14.059,-52.973,45.702,61.796,25.646,2.453,-46.951,82.395,-1.23,-0.713
52.13,53.292,8.967,-55.691,7.711,-19.136,-10.525,9.903,-9.971,26.575,-5.06,-2.903
52.153,56.422,15.239,9.664,-8.468,-5.187,-0.024,-20.183,-25.7,-0.232,-24.115,8.316
51.28,24.387,28.425,-42.152,-7.609,-10.013,-5.604,27.88,-11.233,-25.018,-9.304,16.269
52.351,29.773,16.837,11.357,32.155,-50.428,-39.289,4.632,-0.858,18.087,-9.949,12.394
53.26,88.831,61.866,-40.95,21.915,-11.987,-55.241,27.0,-10.166,-1.8,2.401,8.115
54.631,84.307,2.368,16.104,-17.339,-30.344,-31.92,-30.545,-10.367,-8.01,-30.01,-1.2
50.09,44.15,51.182,-21.181,2.631,-15.753,-49.882,38.926,-24.203,-21.519,6.913,-7.477
53.535,82.882,32.266,4.058,-8.326,-32.104,-21.382,-5.559,-23.451,-12.191,4.775,9.652
50.051,83.695,-12.702,43.731,29.645,-9.197,-25.035,9.483,-24.277,-19.589,-22.107,20.164
52.491,96.756,27.855,14.556,6.525,0.229,-50.384,-5.862,-27.437,-3.773,14.277,-6.749
48.569,98.488,-15.208,-21.377,11.037,-18.599,-47.657,3.469,-22.471,0.224,2.507,-10.282
53.563,30.616,-16.999,28.124,4.27,-24.182,8.951,-10.918,-25.401,4.562,-42.023,1.064
47.77,54.947,-33.414,37.084,-22.816,-25.439,0.618,-17.086,1.103,29.525,-0.131,3.291
53.122,64.211,-11.483,-18.257,-11.882,-30.053,-22.421,10.526,3.536,-8.059,14.099,-16.692
52.112,52.077,7.105,15.506,-13.233,-40.267,-20.775,-1.423,-31.487,-5.211,-8.38,-5.985
52.471,54.641,51.62,2.056,14.939,-43.9,14.508,0.593,-20.585,-10.406,-7.462,-43.527
51.99,56.71,26.449,23.521,-16.514,-22.511,9.661,3.121,-23.028,3.612,-31.611,-12.153
53.274,56.354,69.693,-5.663,28.581,-18.232,14.215,37.163,-22.546,6.505,15.317,-8.381
50.299,55.779,7.275,24.433,-23.685,-43.846,-28.436,-0.112,-11.737,-5.096,-4.322,-10.841
44.871,119.845,39.046,85.868,38.703,-36.316,-22.93,-23.496,-15.0,-5.671,-15.343,7.442
50.693,106.89,69.97,44.213,-0.882,-36.151,0.905,-3.901,-19.944,-9.894,-9.575,1.222
45.562,-27.123,-16.985,47.793,-35.961,-49.293,-23.655,7.546,-6.276,22.584,4.387,-3.365
45.524,68.241,56.681,39.478,58.843,18.447,0.943,-22.924,12.527,0.471,31.611,1.011
47.526,26.107,-16.031,-48.911,-13.094,-21.913,-24.885,31.787,-6.414,8.86,22.669,-6.212
54.198,52.709,14.273,-14.602,-13.901,-17.094,-7.615,24.539,-17.571,21.688,15.222,-6.786
53.919,65.651,26.768,-1.077,0.978,-28.612,-11.929,-8.727,-13.744,25.471,-18.758,-16.573
53.565,71.592,16.975,-58.019,19.416,-18.868,19.075,-11.149,2.174,-2.039,-4.556,30.343
51.595,62.06,27.41,82.21,20.983,-21.149,15.841,-4.083,11.666,-4.422,-60.279,6.904
49.56,56.103,48.395,-84.0,22.73,43.298,17.568,13.225,23.438,-14.41,-39.709,34.548
53.015,61.102,-9.915,-0.065,4.37,-34.891,-9.949,10.02,-2.971,-11.485,-0.525,4.962
