0,1,2,3,4,5,6,7,8,9,10,11
0.01,171.152,9.796,-28.706,57.268,-50.201,14.958,5.209,-27.469,0.826,-10.281,-7.47
42.337,80.79,68.032,-225.264,55.271,247.426,49.101,20.255,-11.858,81.557,92.226,-22.677
55.655,152.987,45.996,20.824,2.534,-21.932,-16.088,-20.843,-10.548,-11.99,2.45,26.663
51.017,75.919,-15.499,29.715,-3.81,-31.458,-5.129,-23.146,-27.77,2.921,-9.738,30.48
53.927,118.599,30.739,-44.546,34.635,-4.923,-6.608,0.623,0.8,-2.679,-3.258,3.941
53.554,137.071,58.933,-11.546,-5.891,-14.829,-18.516,-12.288,-20.015,-11.906,-5.779,-2.591
53.943,136.729,51.241,6.591,-11.78,-12.481,-16.301,-17.778,-28.517,0.488,-2.947,2.704
52.462,67.864,11.257,7.466,24.427,-28.56,0.892,-1.396,-11.182,13.575,-9.435,13.258
54.106,115.541,43.147,-11.767,52.359,-7.039,0.495,-17.752,16.025,-20.779,21.191,-0.017
54.16,109.329,100.758,6.981,28.396,-29.611,2.054,-0.086,-4.662,-1.636,7.366,38.463
55.082,138.075,63.758,19.849,2.787,-14.224,-15.648,-9.891,-7.948,-18.882,0.103,15.472
53.52,95.012,32.497,5.957,14.224,-20.908,-6.321,-8.85,-14.783,8.144,-22.057,32.103
54.135,118.392,52.725,-3.81,17.343,1.851,-11.568,-11.928,5.916,-21.683,14.707,-6.879
53.823,151.427,38.672,-29.079,-3.816,-15.258,-26.172,-19.672,-13.842,-8.016,-12.838,5.574
53.282,173.358,25.186,-39.754,1.31,-10.966,-25.925,-10.083,-13.914,16.779,-25.978,6.457
53.203,140.357,93.058,25.104,9.112,-14.199,-25.444,-35.309,-37.336,17.057,-2.035,5.308
53.545,87.635,14.191,10.379,37.072,-23.59,14.358,2.575,-16.202,11.441,-12.96,26.014
53.751,115.781,53.873,-12.637,54.397,-10.785,-16.205,-8.461,16.665,-15.337,14.135,-0.279
53.936,105.252,109.913,2.14,25.019,-35.65,-0.96,5.102,-11.051,0.348,0.06,43.739
55.172,141.092,60.811,12.05,1.275,-23.718,-18.981,0.248,-16.542,-8.872,-11.126,22.926
53.958,106.128,31.801,-1.762,31.717,-19.344,6.276,-1.146,-23.628,8.508,-17.87,33.593
54.072,98.461,55.959,-11.301,28.451,-12.281,-19.193,8.588,13.311,-4.885,-7.365,-5.023
53.379,140.638,46.947,-16.134,-4.963,-12.97,-20.904,-28.098,-11.459,-9.704,-1.586,6.44
52.626,167.946,58.827,-25.71,16.757,-15.504,-20.93,-34.906,-13.959,7.844,-3.778,-8.982
52.555,75.497,61.823,-5.517,16.138,-0.488,-16.954,5.118,-53.46,-22.803,-21.341,20.392
54.516,143.018,38.356,14.597,2.164,2.858,-13.252,-15.909,-3.691,2.19,12.727,6.837
53.242,122.259,81.749,-5.743,34.707,-14.194,-21.873,-42.219,-18.966,23.026,-2.53,4.72
53.114,129.799,56.3,30.024,1.631,-38.039,-50.792,-7.455,-9.931,-9.118,-5.8,-15.745
53.875,123.6,67.516,-10.406,27.702,-5.679,-18.62,-53.398,-14.362,15.288,-5.621,9.664
53.757,127.183,63.496,0.952,19.704,-16.875,-24.337,-6.73,-23.189,-9.004,4.076,-4.143
53.699,94.431,108.902,13.773,39.054,-46.43,-20.73,-0.112,-20.299,6.995,-4.72,24.168
57.061,81.734,57.015,-35.181,37.612,0.925,12.952,-3.94,-14.1,-2.56,-17.639,24.293
57.117,85.599,13.414,2.048,-15.515,-18.447,9.919,4.165,-35.694,0.255,2.707,9.859
56.986,74.517,24.736,1.454,-17.556,-40.944,15.077,11.998,-23.676,4.604,3.909,22.606
57.33,74.057,15.91,4.539,-24.703,-46.706,-7.534,18.955,-19.346,5.921,-4.89,9.006
55.797,99.719,16.905,-15.696,-29.263,-18.025,-4.631,-3.261,-14.475,-2.256,-4.107,-2.473
56.384,72.183,-1.261,-0.713,-24.406,-49.476,-13.109,-8.729,-7.486,8.367,-0.762,-7.102
55.291,101.929,5.51,-16.593,-28.597,-26.286,-3.624,-9.404,-0.957,-9.207,9.491,-12.121
55.768,70.788,-5.498,6.931,-25.893,-70.684,-9.909,-12.94,-17.206,21.966,-9.98,17.069
54.658,83.284,-1.716,-19.783,-21.571,-10.616,8.118,-5.361,5.696,-21.174,-2.548,-5.926
56.264,59.126,-7.059,6.192,-15.532,-54.785,1.228,0.01,-13.266,20.801,20.68,15.34
54.478,96.877,-7.207,0.43,-40.735,-38.355,-11.851,-18.998,-26.641,5.745,4.775,-6.587
54.034,92.131,36.28,-26.46,-28.029,-28.65,8.738,-0.864,-10.156,0.768,-9.834,-8.212
55.326,82.552,-3.486,-0.279,-20.055,-21.123,-5.662,-5.408,-7.286,-4.354,6.347,-5.885
54.776,92.667,4.584,-23.973,-30.183,-13.111,3.859,-9.488,-10.338,-19.129,10.944,-15.911
55.14,77.608,2.278,-13.158,-15.099,-9.445,-3.942,-9.222,-1.24,-5.685,-20.568,-0.953
54.924,94.463,7.682,-11.017,-32.548,-17.255,4.649,-5.518,-3.539,-10.388,15.359,-17.881
54.001,75.368,28.784,-17.36,-25.837,-45.153,5.612,2.19,-25.326,7.934,-9.104,5.792
