0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
25.33,-80.424,-49.9,-122.84,27.965,99.884,12.86,-60.206,-11.294,35.791,-10.278,2.643
34.626,-105.294,-108.519,-87.838,26.27,34.386,-3.499,5.287,7.079,-63.766,19.902,-27.428
44.851,9.756,-13.06,23.894,-14.343,-7.859,2.984,-24.778,-42.551,-0.138,-19.453,33.224
40.888,-63.788,1.52,-124.495,6.227,51.903,31.027,9.529,-17.471,-39.631,-20.058,3.873
41.58,-12.543,-62.63,29.895,-28.139,-50.21,-16.127,-25.543,-14.626,-31.125,-19.222,9.279
41.251,20.166,-29.104,-49.285,-1.405,48.57,10.711,-10.778,-7.185,-59.596,-10.957,12.359
46.035,73.325,-37.944,17.358,-27.965,-16.825,-14.153,-33.126,-32.563,3.184,-11.0,23.485
46.356,59.432,-31.641,15.483,-30.883,-49.884,-15.838,-22.103,-21.562,11.2,-10.176,25.953
41.873,17.684,-8.916,32.28,-21.341,-32.113,-3.387,3.29,-37.09,-27.518,-14.019,19.975
38.509,-30.21,-66.461,-11.021,3.805,-36.031,-9.422,-22.07,-19.564,7.566,-1.566,10.727
45.749,53.755,-52.035,59.465,44.736,-7.001,-14.983,-53.929,-28.042,-12.151,-37.167,27.409
38.598,-72.897,-87.868,-43.411,3.719,-43.39,-18.482,5.967,-31.592,-7.352,7.811,-6.96
44.942,15.784,-19.415,-56.368,15.38,74.864,2.968,2.025,-5.285,-43.789,-32.994,12.025
48.489,7.224,-23.277,34.197,-17.653,-31.38,6.512,-26.71,-37.124,2.446,-16.787,20.958
42.929,-13.086,-64.258,61.538,-32.449,-22.307,-12.649,-15.193,-19.707,-45.529,-20.178,10.581
44.051,57.378,-46.855,30.478,-19.34,-29.305,-23.798,-43.949,-41.082,24.6,-19.821,22.805
46.254,56.565,-27.371,24.431,-30.325,-40.455,-19.724,-33.392,-32.853,18.101,-17.131,25.478
46.151,64.375,-62.374,33.777,2.409,-51.233,-9.167,-29.368,-10.797,12.08,-4.602,24.829
40.253,-3.145,-26.636,-31.991,-16.902,-10.753,-1.638,-23.562,-34.289,-19.086,6.019,-5.059
47.132,68.66,-28.35,-59.143,11.223,42.09,23.833,-8.079,-9.099,-45.247,8.17,7.102
48.973,54.968,-47.16,14.666,-4.834,-25.024,-0.971,-30.496,-27.817,-5.617,-13.064,8.438
49.029,55.823,-24.605,-4.011,17.258,32.711,18.373,-10.687,-11.439,-33.684,-8.368,0.273
48.609,7.272,-7.205,-21.412,-2.696,13.608,15.417,-24.316,-7.82,-5.839,-5.632,10.119
46.551,5.565,-26.538,-4.625,-7.025,-40.072,8.207,-8.105,-30.411,-10.809,2.034,12.536
48.896,55.385,-49.492,0.754,-8.332,-0.244,-8.116,-12.965,-31.379,-10.761,11.323,-8.308
46.812,41.243,-13.996,-6.389,-1.459,1.759,-15.386,-19.952,-24.55,-18.345,-29.34,6.871
48.294,72.04,-23.367,-29.126,-10.969,5.637,-15.73,-8.827,-17.98,-12.163,0.915,4.332
47.582,51.822,-57.199,-2.674,-15.409,-31.75,-16.469,-15.605,-41.788,-18.303,-4.972,-2.029
48.166,31.998,-40.156,11.968,-27.502,-12.683,3.815,-24.743,-42.652,2.924,22.878,0.534
46.24,6.704,-12.361,-19.495,-25.655,-11.876,2.792,24.252,-20.76,-22.42,-24.615,6.731
46.961,-0.988,-74.234,-27.171,-21.936,-42.49,-26.996,-9.77,-35.485,-4.77,-6.117,-10.19
