0,1,2,3,4,5,6,7,8,9,10,11
3.483,151.942,48.488,-79.763,38.534,-20.471,32.183,-18.089,-37.35,12.447,-14.066,-0.55
37.295,86.381,-9.74,6.481,-21.563,130.244,40.364,-17.118,-39.553,53.418,73.376,-3.832
36.583,6.472,-43.176,4.508,-38.184,-33.812,-12.314,-11.004,-10.216,-3.589,-12.34,24.484
42.526,81.497,15.799,49.584,-15.81,8.341,14.825,-25.395,-20.681,-11.917,-16.082,14.86
37.412,64.428,24.974,3.84,2.46,-28.696,-20.884,-10.124,9.567,-2.713,-2.879,31.75
42.361,84.826,-2.947,27.266,-0.675,-7.955,9.455,-20.293,-4.37,2.149,8.292,9.633
37.241,8.636,31.526,35.306,-28.151,-41.354,28.577,-9.997,-8.134,4.761,-14.92,24.037
34.246,-6.066,-3.282,0.394,-12.371,-46.137,26.832,-18.847,2.627,5.969,-11.777,19.413
39.074,87.107,-5.098,-41.511,-16.136,40.365,15.494,17.089,-1.7,-43.647,19.894,-4.453
38.172,32.847,-35.981,36.345,-51.755,-37.697,-11.61,-20.088,-17.007,7.411,-27.898,14.809
34.17,-5.844,-24.986,-3.847,-32.846,-37.205,-21.153,-6.848,-0.038,8.891,-1.331,-3.499
41.612,111.822,-10.389,3.857,-11.346,-28.472,-8.279,-10.549,-0.787,4.804,1.403,7.572
39.848,70.573,45.036,53.908,-33.352,12.669,7.225,-19.276,-27.71,1.399,-10.222,-1.228
37.687,-17.685,-32.174,8.675,-31.696,-43.385,-0.495,-12.104,-2.709,4.246,-8.047,25.91
41.522,97.037,-54.039,-13.5,11.981,-44.515,-8.72,2.383,7.188,5.307,-6.274,27.747
37.418,6.857,-13.431,38.201,-21.17,-40.144,26.392,-18.017,-6.197,7.694,-27.668,22.352
36.918,55.06,-22.976,-4.061,-23.67,-24.624,7.533,-0.443,23.873,2.654,-0.226,35.658
40.807,114.628,-12.431,37.288,-13.342,-28.815,2.729,-37.049,-10.387,1.488,-21.228,10.63
35.244,64.557,-8.915,-4.083,-36.822,-47.212,8.371,-10.439,14.402,2.785,-12.008,20.385
39.575,113.769,-11.122,12.456,-27.332,-52.485,-0.089,-9.452,-31.428,5.521,-15.473,-4.262
36.275,32.79,10.304,51.8,-27.973,-37.91,11.118,-17.716,-17.757,-7.938,-21.391,29.185
36.199,-5.825,-40.99,-8.735,-19.555,-30.305,-19.211,-6.559,3.719,13.575,9.14,14.501
39.665,57.024,-18.063,-2.51,-10.039,25.036,2.846,-21.825,-0.596,-5.855,14.788,-4.037
37.996,41.324,7.813,35.07,-12.881,-21.628,11.2,-34.878,-9.042,-5.481,-11.53,9.031
40.986,2.777,-15.5,33.146,1.033,-14.625,-12.834,-38.773,-20.824,29.383,10.035,2.628
43.783,52.589,0.803,21.642,-6.054,15.269,-20.839,-10.338,-20.712,-11.81,-31.924,4.195
42.402,85.612,-23.772,-12.742,20.492,15.334,-34.605,-24.459,-29.754,56.306,-19.833,-6.612
41.162,77.686,-10.614,20.561,-21.405,-0.537,-6.583,-41.163,-24.059,3.719,-23.217,0.149
38.542,12.403,-19.469,24.086,-24.763,-36.935,-25.513,-12.408,-10.133,6.145,5.739,12.383
42.855,31.696,-19.661,-2.208,-1.292,14.703,-4.52,-7.187,-17.615,-0.603,-19.056,-10.217
41.314,18.04,-7.27,0.92,10.229,-22.621,-20.923,6.69,13.254,19.641,-31.651,3.29
42.446,74.334,-2.74,13.807,15.647,-4.616,-14.894,-34.242,-3.22,15.166,-30.36,10.217
39.813,6.336,-30.819,6.486,-9.645,17.447,-14.927,-29.296,-4.183,-9.208,-2.439,3.352
44.288,38.271,-29.319,1.978,6.438,-10.705,-16.946,-19.649,-24.063,11.14,-46.071,23.16
41.985,22.896,13.664,-38.389,-8.605,-10.495,-29.889,-3.891,-3.519,-10.326,8.408,-14.541
42.584,201.732,-94.369,-14.474,43.251,-35.984,4.764,-27.059,6.319,-35.21,-19.605,34.264
43.243,85.278,-29.341,-16.016,5.667,10.368,-17.577,-27.006,-20.601,21.103,6.507,3.669
43.773,170.921,-15.86,-25.462,29.998,15.15,10.796,-7.291,-5.065,-13.892,-11.837,15.195
41.39,-22.371,38.903,-25.906,68.241,-7.152,29.195,22.296,21.014,18.155,14.903,16.058
44.046,24.34,19.002,24.159,42.157,-15.839,27.344,-7.193,-4.433,2.655,-23.39,17.237
42.174,-24.278,14.851,-5.976,51.41,-13.261,2.219,11.731,-4.094,24.764,2.517,13.743
39.726,-51.777,-5.731,20.289,-10.859,-27.719,-21.156,5.11,-25.594,-7.615,-16.288,3.095
43.589,54.505,1.163,6.757,1.844,19.246,-10.071,-12.863,-10.19,4.745,-14.379,-13.127
43.298,-0.733,-23.431,31.263,-3.029,-59.113,-45.859,-10.484,-13.661,38.364,9.321,-7.592
39.869,130.728,-86.122,34.525,39.043,-19.784,24.699,-58.911,-19.415,-33.151,-24.508,20.523
45.081,55.607,-12.593,-18.889,2.818,25.542,-34.886,4.315,-18.152,23.003,7.225,-20.539
44.388,137.177,-32.266,-19.638,50.532,-25.607,-35.04,50.193,-11.66,-29.757,5.854,5.531
