0,1,2,3,4,5,6,7,8,9,10,11
0.855,151.951,-9.941,-36.847,51.888,-48.135,2.198,5.691,-32.7,0.298,-6.085,1.471
13.26,165.743,20.483,-40.131,51.924,-12.343,-5.361,40.697,-22.865,20.19,43.162,-14.733
15.469,249.328,51.375,-1.1,31.033,-28.311,14.586,5.694,-3.647,6.884,-19.673,-22.792
17.936,256.494,74.816,-47.678,29.934,-25.964,-35.156,-1.732,-32.912,-2.514,3.943,1.78
21.98,273.903,44.31,-0.759,33.802,7.976,-26.148,-21.481,-42.685,-10.408,-48.838,-0.989
28.497,348.771,18.525,-78.774,101.339,49.796,5.512,-6.863,-14.057,-8.99,5.103,-6.358
42.352,208.711,89.114,-65.445,88.879,33.904,36.489,-49.521,-70.66,47.783,17.609,9.534
47.823,171.573,93.543,1.315,39.599,-26.823,-33.457,4.843,-44.61,-11.628,-5.46,9.973
47.003,125.488,68.117,11.852,49.536,15.428,-17.107,-8.261,-52.417,-5.228,-8.594,20.376
43.615,66.709,128.434,-58.346,31.122,-18.56,6.881,21.355,-33.326,-16.757,8.288,15.401
45.426,114.621,65.014,42.136,73.281,-31.075,18.404,29.838,-32.719,-7.08,-26.153,2.087
44.478,95.968,42.057,-22.509,65.378,0.273,5.491,-23.589,-50.77,18.576,1.074,35.843
45.079,158.79,28.496,-13.527,103.878,-47.152,44.47,36.835,-42.125,-20.919,-0.963,-0.509
46.323,75.533,64.884,5.394,80.605,-41.818,-2.042,-17.578,-31.577,45.163,-8.797,18.745
45.007,55.388,40.515,24.153,86.361,-38.801,2.469,19.161,-8.593,-0.012,-13.707,10.645
46.337,149.041,65.328,-51.004,85.747,-18.599,19.284,-17.589,-44.744,21.327,0.077,18.076
50.518,178.416,63.864,-0.947,37.423,-24.338,-29.017,7.845,-30.682,-15.368,-9.86,-6.705
49.771,183.042,57.728,-1.279,35.501,-26.293,-20.613,2.755,-31.155,-14.64,-7.825,3.571
47.616,162.701,47.32,30.444,37.769,-13.972,-20.28,22.427,-37.488,-32.651,11.701,10.482
47.931,120.648,87.193,29.193,60.131,-16.589,-14.399,-11.698,-37.031,10.862,-0.537,-3.165
47.627,152.539,109.917,5.232,63.214,-41.548,12.754,21.0,-19.624,-2.096,-13.096,4.094
47.881,124.115,109.271,26.131,71.154,-22.826,14.998,-1.107,11.534,10.77,-8.873,-27.556
45.672,79.317,70.742,76.509,39.013,-39.784,10.293,-16.171,-1.205,4.048,-27.275,-17.979
