0,1,2,3,4,5,6,7,8,9,10,11
2.964,107.528,-80.569,-59.489,10.959,-45.338,16.713,11.241,-32.276,13.289,-1.913,1.553
36.072,-81.609,-0.58,-25.753,25.773,110.975,45.383,-8.541,-9.001,79.167,83.404,-3.876
40.734,-96.501,27.573,-31.101,2.341,-18.366,18.889,8.903,13.428,-6.189,1.599,-9.597
45.065,-67.938,12.534,21.101,3.673,-32.703,-6.157,-27.555,-10.181,-2.611,-14.718,-8.975
42.885,-95.771,8.119,-3.399,-10.796,-33.315,-5.725,-8.719,-5.041,-5.936,-2.622,-8.598
45.78,-57.797,18.801,18.34,6.529,-20.571,-16.418,2.517,1.119,4.949,-8.169,-21.52
41.781,-105.649,3.13,-2.143,-1.833,-48.612,-10.592,5.777,-2.708,0.42,-7.449,-4.703
40.563,-105.712,11.804,-19.156,12.625,-23.484,8.415,-6.345,4.835,2.734,-4.92,2.273
45.858,-52.754,31.373,1.917,25.317,-19.252,-14.282,-17.966,-1.927,-3.781,-0.028,-15.983
45.553,-101.682,50.094,-0.69,42.375,-32.303,-16.624,-8.213,-5.144,-0.633,3.231,-21.76
46.264,-77.322,40.552,30.035,23.884,-21.667,-20.473,-19.863,-7.5,-11.273,-7.191,-25.673
45.153,-63.707,16.218,7.168,-2.433,-32.156,-17.496,-22.264,-9.429,-0.654,-7.467,-7.533
43.366,-93.835,24.125,-16.711,22.65,-38.376,-31.174,-10.447,5.958,1.279,4.64,1.335
44.655,-80.087,34.152,-18.646,34.773,-1.791,-16.075,-22.687,2.062,-12.642,-16.349,-0.934
45.031,-61.668,33.611,5.174,24.099,-25.635,-41.35,-12.858,-0.825,-8.151,5.114,-5.547
44.539,-97.472,40.248,6.308,35.096,-39.893,-32.086,-7.044,-12.786,-3.297,-3.832,-2.84
44.132,-91.21,9.326,8.541,9.167,-21.374,-0.295,-7.4,2.448,-0.918,-10.604,3.132
42.809,-100.861,21.517,16.198,-23.697,-23.787,0.306,-14.749,-30.885,-9.781,-10.773,-14.366
41.956,-107.738,9.666,-21.519,-0.372,-39.276,-12.21,-3.769,-0.45,-1.623,0.011,-7.664
46.778,-65.208,27.343,3.602,24.962,-19.449,-11.68,-28.621,-3.405,-1.94,3.062,-19.439
46.328,-97.725,45.08,6.01,43.851,-17.448,-31.676,-21.26,-4.551,-9.95,0.416,-20.332
44.39,-110.185,11.475,18.605,17.243,-27.987,-29.435,-8.729,-2.0,-14.35,-11.192,-8.827
41.879,-105.072,22.155,-33.243,1.724,-23.732,4.157,6.72,6.851,-8.012,1.402,-3.848
45.309,-62.646,14.382,0.74,10.791,-28.083,-13.569,-19.092,-7.516,-3.993,-8.575,-7.32
45.518,-65.015,15.907,-8.763,-2.906,-26.655,-13.983,-12.633,6.013,-1.908,-2.728,-14.555
43.828,-110.495,27.951,7.99,5.888,-30.663,-10.406,7.228,-7.831,4.405,-10.678,-17.411
41.686,-116.087,9.781,-4.525,-0.143,-27.182,1.107,-8.751,-11.058,-0.978,-11.235,2.236
40.155,-102.99,-3.039,-24.735,10.34,-38.058,0.944,-4.24,11.607,-5.626,-2.226,1.233
39.543,-115.362,14.538,-49.67,8.913,-33.693,11.34,-2.483,7.885,-2.482,-7.079,2.04
46.145,-54.738,30.932,2.368,26.771,-13.914,-13.919,-18.875,-1.403,-6.222,4.057,-16.836
45.768,-101.075,50.921,1.032,44.66,-37.801,-19.537,-12.075,-4.737,-2.405,-1.132,-20.054
45.393,-107.968,34.344,21.807,38.109,-18.6,-27.711,-25.125,-4.919,-7.177,-5.566,-22.741
43.523,-106.53,15.087,-1.138,2.741,-40.73,-23.733,-11.382,-8.002,-0.794,-12.042,-21.128
42.825,-105.949,14.286,-27.884,14.976,-23.987,-11.631,7.943,6.098,-6.506,1.818,-7.953
43.865,-75.764,14.71,6.944,23.801,-39.02,-39.531,-22.21,5.2,-0.257,-7.137,0.881
45.784,-60.636,36.766,5.335,34.741,-28.081,-29.095,-26.906,-5.489,-0.865,-2.027,-7.988
44.831,-62.716,25.995,7.983,22.259,-31.715,-46.169,-25.492,-5.052,-2.458,-8.257,-9.814
44.525,-98.067,40.407,4.427,38.951,-29.487,-29.322,-5.136,-10.719,-2.63,2.613,-4.631
44.462,-99.74,8.707,8.691,8.225,-17.34,-0.419,-2.653,3.998,-8.808,1.184,-0.769
43.014,-109.7,12.992,11.915,-26.812,-21.863,-3.374,-15.205,-29.927,-12.386,-11.854,-12.569
42.054,-131.867,6.963,-16.27,1.661,-37.09,-17.041,-8.297,-2.758,0.646,0.486,-9.288
44.242,-95.747,16.67,-9.842,8.875,-23.778,-10.818,-13.638,-5.804,-6.97,-5.618,-17.071
