0,1,2,3,4,5,6,7,8,9,10,11
6.506,102.366,-0.427,-128.944,41.023,-67.041,-10.705,-13.9,-24.561,5.554,55.495,-10.064
49.509,65.186,35.099,-96.545,31.275,146.488,23.755,-3.457,-6.267,28.426,50.337,-5.534
54.136,39.448,42.452,-29.991,4.739,-10.427,-35.739,-4.324,5.942,-2.976,-9.045,0.118
55.01,37.724,43.466,-4.529,-19.619,-42.201,-51.852,-10.859,-15.378,9.024,-14.277,-13.691
53.418,20.685,10.088,-26.439,-6.201,-41.02,-27.105,-9.27,1.574,-7.662,18.5,4.71
55.417,59.299,3.746,8.508,-9.811,-49.303,-33.419,-44.257,-7.33,11.196,-17.704,8.426
54.431,44.233,30.386,-17.862,-6.388,-7.266,-30.726,-5.461,-0.186,-8.975,3.402,-9.964
53.115,22.837,50.823,-49.664,12.185,-18.376,-35.421,28.804,-1.07,-9.4,5.392,12.501
54.235,34.938,1.126,-3.516,-10.105,-36.916,-16.236,-23.585,-21.035,-0.998,-10.132,0.523
53.781,0.221,18.724,-21.965,-12.639,-6.982,-24.93,8.464,-0.07,-17.942,-8.276,-1.137
54.05,31.463,-1.049,4.295,-27.563,-10.627,-32.88,-26.177,-11.315,-1.555,-12.164,-3.961
50.882,-30.184,-10.952,-15.113,-26.118,-38.527,-21.412,-13.727,-5.137,1.37,4.571,-8.991
53.606,54.395,1.569,-25.592,-12.186,-7.248,-12.179,-31.574,-10.676,-12.14,4.002,-1.29
54.531,51.139,25.921,-23.181,-14.3,-28.511,-26.342,7.621,-8.914,-3.738,1.705,-8.572
55.386,72.044,22.013,-0.46,-18.929,-29.059,-35.164,-15.013,-4.886,10.549,5.204,6.417
54.034,33.564,14.172,-10.257,-27.137,-27.808,-43.4,-8.706,-4.363,-2.099,-6.913,-6.977
52.663,22.848,-1.511,-22.598,-10.242,-15.41,-31.075,3.403,-22.08,-12.636,-5.253,-9.174
50.02,-0.863,3.374,-53.424,-24.649,-33.775,-14.694,-5.68,-6.773,11.446,-10.583,-4.637
54.094,53.081,-0.564,-37.208,-3.896,2.596,-17.375,-1.012,-12.761,0.484,-5.108,-4.861
55.431,68.223,-1.904,-28.18,-14.077,-15.222,-28.67,-19.707,7.553,-2.634,-19.522,15.646
54.405,47.092,-8.36,-12.483,-7.02,-20.841,-39.339,-14.624,3.823,8.501,-6.348,12.758
53.93,49.7,10.776,-36.862,-4.229,-20.174,-26.14,-33.541,2.334,0.717,-8.852,3.69
55.333,68.541,16.879,-21.906,2.336,-41.156,-29.491,-10.776,9.347,-2.424,-11.66,13.342
54.869,37.195,32.834,-2.654,-6.803,-37.101,-48.378,-12.717,-6.24,-1.121,-11.043,2.729
54.65,54.476,34.625,-29.001,6.104,2.812,-41.014,1.848,-2.437,-12.842,12.692,-0.607
54.891,54.494,29.001,14.486,13.55,-19.286,-35.766,-17.799,2.115,6.36,-14.058,16.972
55.273,61.879,25.45,-15.193,-13.429,-3.188,-28.25,-8.432,4.542,-14.16,19.177,4.305
55.291,70.757,10.509,-11.741,-8.585,-30.143,-51.345,-16.424,2.178,4.49,-5.733,-7.262
54.935,51.874,32.466,-28.697,0.617,-22.027,-40.58,-7.629,-1.765,6.147,-4.341,11.902
56.156,79.006,12.193,-6.88,0.515,-30.328,-35.619,-26.689,7.555,-0.994,-5.404,13.719
55.703,55.462,38.253,-5.25,-6.717,-16.568,-42.514,-19.559,1.782,5.387,-5.095,-6.2
54.553,49.995,-0.104,-23.595,2.908,-45.439,-33.351,-8.164,23.867,10.08,-8.778,8.431
54.214,43.82,12.748,1.409,-16.6,-34.633,-30.708,-11.715,-4.34,0.553,-18.472,9.657
51.744,-13.643,15.557,-20.62,-10.454,-35.301,-10.128,-12.497,-4.997,-1.453,-7.553,17.498
51.133,-25.917,-5.005,-15.845,-11.151,-31.72,-19.971,-11.066,-12.337,-2.151,-0.458,-17.815
54.33,39.509,8.035,-24.54,-8.498,-20.205,-4.036,-13.32,-10.578,2.637,-10.134,-9.246
54.002,48.857,22.898,-36.513,-20.951,-28.808,-11.441,12.373,-12.796,-0.104,5.195,12.98
55.171,50.194,6.726,15.94,-19.884,-41.274,-47.406,-19.15,-11.05,7.318,-23.046,1.495
51.155,-20.526,-5.994,-34.556,-11.641,-26.501,-19.836,-12.847,7.245,-1.599,3.261,-5.602
54.013,66.151,0.015,-35.927,-8.34,-12.472,-14.716,-10.416,-10.231,-7.301,1.531,-8.071
57.328,91.006,13.344,8.161,-20.341,-32.563,-19.942,-21.725,2.704,10.952,-19.229,15.288
54.597,45.873,27.496,-6.11,-17.437,-32.403,-14.541,-15.435,-5.973,10.214,-9.134,5.021
54.611,61.435,-0.809,-8.49,-19.867,-23.143,-30.427,-4.537,-6.051,-0.906,-9.75,9.515
53.551,59.163,-12.625,-39.914,-13.807,-21.995,-18.134,2.023,-5.134,-11.921,-2.418,1.56
52.908,38.442,3.633,-40.383,8.451,-34.454,-23.351,12.822,9.148,6.717,1.672,10.439
55.972,55.752,36.781,-15.326,41.92,-28.937,-16.111,19.452,4.944,-12.878,-12.92,17.852
55.531,61.553,-1.934,-33.848,39.235,-18.17,-39.293,-13.644,-10.883,-6.93,-12.574,-15.047
54.243,34.862,2.932,-13.349,22.892,-2.287,5.664,-22.483,-49.092,-15.961,2.395,8.922
55.437,98.882,-0.178,-51.806,5.517,-13.19,-52.098,16.387,-19.295,-33.031,2.536,-19.67
56.051,96.319,-7.333,5.305,40.695,-35.116,-50.402,23.584,-4.008,21.987,-27.343,4.601
