0,1,2,3,4,5,6,7,8,9,10,11
0.02,171.029,10.034,-28.937,57.357,-50.36,15.097,4.889,-27.274,0.821,-10.024,-7.726
44.503,106.036,1.851,20.087,6.314,103.848,38.442,-12.145,-26.082,39.17,97.852,-8.477
46.513,82.465,44.245,-3.008,-43.707,-37.838,-1.867,-12.35,-12.143,6.114,-12.242,18.176
47.368,92.31,28.957,-1.359,-12.364,-8.463,16.144,-14.375,-17.118,-6.244,-5.19,11.446
47.419,68.18,13.379,16.588,-34.465,-42.093,-0.305,-32.674,-41.489,3.513,-1.537,13.3
46.323,60.926,19.733,17.726,-34.062,-13.916,-1.577,-21.737,-11.576,-3.61,-0.303,5.531
47.519,71.767,3.135,-3.932,-11.515,-6.518,-4.423,-17.875,-19.133,7.27,-2.712,9.965
47.273,89.383,27.441,-0.099,-34.706,-1.553,-12.243,-12.703,-31.354,-21.604,8.217,9.624
46.565,89.191,40.096,-13.735,-31.051,-18.229,-6.055,-1.367,-38.444,-20.73,-5.594,-1.189
47.987,94.263,42.987,11.384,5.194,-8.367,4.678,-30.659,-30.328,-6.591,-3.089,-2.976
46.607,54.088,69.325,-6.061,-33.146,-11.267,14.188,-1.424,-14.91,-20.28,-3.968,10.334
48.181,100.223,27.07,15.152,-16.787,-3.331,-28.808,-26.52,-30.247,-3.14,0.491,3.564
47.732,55.521,53.824,2.75,-6.984,-3.727,-13.956,-13.466,-23.362,-10.778,3.522,6.604
49.182,113.87,22.288,30.541,-8.307,-44.114,-4.069,-22.615,-32.957,5.853,-4.044,13.206
46.697,99.356,65.165,37.582,-24.69,-54.517,-33.281,-31.324,-29.852,2.548,-8.73,18.232
46.704,114.934,32.645,-0.239,8.971,-25.558,12.687,0.469,-27.358,-16.597,-1.208,17.667
47.102,81.766,50.59,10.602,-5.552,-1.486,-7.742,-15.336,-8.34,-3.862,-7.318,1.568
46.332,77.19,69.636,2.583,-16.241,-14.473,-3.137,14.3,-14.884,-9.544,0.091,15.382
47.276,82.2,6.178,40.23,-35.383,-32.441,6.217,-35.607,-28.751,-6.25,-4.829,10.598
46.547,66.642,36.235,-3.068,-18.221,-35.687,-11.894,-5.666,-7.045,-2.64,4.458,2.0
47.238,88.193,43.329,-25.501,-31.823,-4.431,-3.96,-8.029,-7.51,-16.46,-12.134,-0.505
47.168,92.899,59.681,-2.175,-49.457,-23.96,16.877,16.06,-17.96,-14.011,2.241,9.535
48.226,100.552,32.388,6.517,-23.411,-1.731,17.661,-26.377,-37.517,-4.364,-0.468,18.614
47.587,71.194,49.898,2.668,-46.003,-20.649,2.703,-3.654,-11.335,-21.042,-9.35,-0.681
47.938,100.248,30.152,6.714,-35.942,0.725,4.975,-13.286,-22.241,-9.858,-3.525,2.907
46.223,87.756,36.77,28.975,-32.931,-22.405,12.812,-20.472,-31.884,-8.307,11.454,10.839
47.863,96.558,41.994,28.558,8.482,-12.615,11.256,-30.443,-32.567,7.132,-4.393,0.616
46.597,53.664,53.677,16.253,-40.248,-50.351,-7.678,-4.058,-37.578,6.84,-10.961,10.511
