0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
4.438,151.898,37.772,-18.607,55.374,17.17,34.384,3.776,-31.263,11.55,-49.026,15.462
5.159,97.984,-11.128,-57.09,40.594,-25.182,22.464,3.66,-34.865,12.987,-9.35,6.663
6.861,121.1,40.386,-17.633,16.06,-30.487,26.571,12.638,-46.381,-5.106,-5.486,4.586
8.286,136.451,50.588,-7.935,11.949,-30.922,16.694,-1.164,-39.707,-3.833,-8.17,12.559
8.026,67.497,-22.819,11.522,36.831,-48.231,-7.815,28.891,-28.516,2.751,-12.029,5.639
17.544,80.113,69.696,-203.692,61.515,38.88,29.04,5.583,-41.62,41.42,-19.637,15.201
30.385,139.832,100.82,-137.894,51.171,-9.038,47.263,-81.864,-59.589,56.984,8.55,30.366
39.665,57.589,21.733,27.58,55.438,-32.85,9.022,17.424,-5.179,-6.076,-26.965,10.058
33.882,131.147,-36.913,-11.343,16.221,-24.016,6.074,-31.042,-6.83,-23.055,-17.504,34.131
31.228,41.379,-54.344,-2.595,16.454,-33.973,-16.43,-14.737,-27.614,-9.239,-3.176,29.034
32.485,131.05,-62.354,-49.739,23.785,-16.43,-14.965,23.709,-18.153,-3.288,4.816,33.243
34.077,116.0,-54.26,-68.725,35.58,8.3,0.005,-53.209,-28.554,8.106,-39.298,24.268
33.064,27.137,-4.127,-31.774,-1.42,-0.03,8.147,-35.363,-18.371,2.259,-6.774,6.413
34.291,109.182,-40.597,-47.938,9.668,-15.777,-1.173,29.768,-4.18,-32.366,-0.477,23.763
33.677,179.138,-65.221,-69.445,17.131,-14.613,-10.784,13.946,1.942,-17.744,-9.998,33.141
35.908,53.748,-47.143,-7.811,17.713,3.105,-8.024,7.664,-30.393,16.596,-52.219,12.211
29.996,22.957,-82.087,17.022,-26.153,-5.492,-17.166,-61.912,-23.741,-5.295,-8.182,3.847
32.521,6.153,-71.894,23.31,-22.828,22.81,-9.314,-45.862,-31.784,8.514,-11.254,6.227
28.476,-7.481,-51.615,-63.848,-17.921,-6.8,-22.123,4.345,9.954,-31.867,7.857,-2.042
28.008,53.7,-75.567,15.459,-5.292,-37.226,-18.002,-61.948,-18.285,0.89,-28.78,10.004
32.015,31.136,-74.171,-23.853,-2.101,12.968,-4.425,-18.705,-23.429,17.605,3.005,8.392
31.748,27.717,-55.534,0.535,-22.818,10.406,-3.204,-32.303,-14.749,-27.184,-5.944,12.124
28.429,11.965,-44.11,-22.146,-16.228,-17.795,4.705,-6.358,-23.475,-20.757,-9.574,11.263
29.848,42.473,-73.454,-42.703,12.622,8.153,1.355,-19.137,-10.544,-22.103,-8.52,15.059
33.993,90.864,-46.012,-41.601,-11.338,-5.21,-14.54,-7.233,-9.453,-25.311,-20.008,17.032
35.819,112.396,-34.112,-122.976,28.499,-8.651,0.251,-54.437,-2.497,-32.208,16.008,2.673
