0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
24.246,-187.108,-94.424,-121.233,36.878,93.003,20.095,-11.584,-22.6,126.273,48.084,-1.391
29.344,-186.064,-93.514,-64.896,-8.119,-28.995,-34.588,4.026,30.053,-9.324,-10.367,0.156
38.316,-8.241,-60.25,-4.808,-56.463,26.148,-42.7,-33.078,-12.568,-21.558,14.439,-25.373
42.045,-34.394,-14.267,7.873,-19.545,52.178,-31.801,-26.595,-16.212,-12.466,21.863,-34.844
37.955,-39.383,-38.278,-0.045,-27.493,-39.862,-37.576,-37.144,-19.621,-8.498,-22.971,14.973
39.247,7.364,-42.375,11.438,-30.329,-3.246,-44.801,-10.109,-9.592,-6.214,-3.857,20.424
41.467,-47.042,7.045,45.412,-14.133,-28.448,-34.992,-27.885,-22.627,-5.544,-27.348,1.864
36.732,-54.931,1.37,-23.737,2.151,-13.131,-46.196,2.554,7.339,-17.507,-2.28,-8.764
36.537,-116.723,-5.205,9.823,0.48,-33.202,-31.036,-23.691,-8.415,-7.968,-20.86,13.02
41.547,-31.209,10.361,24.498,-1.281,-8.779,-49.841,-17.879,-15.866,-10.034,-7.185,-11.204
44.432,-10.16,27.993,47.561,19.169,-2.937,-69.672,-24.159,-9.559,-12.108,-21.293,-10.166
37.835,-31.988,21.257,-1.268,12.35,-9.084,-82.186,-22.714,-19.513,-6.921,-9.011,-14.237
38.124,-8.141,16.954,-4.142,-5.894,-24.1,-50.017,-6.959,-18.685,-6.248,5.615,3.607
36.789,-60.677,-23.567,-20.034,-2.958,-39.043,-54.114,-19.515,4.04,6.157,-4.897,7.343
45.539,72.536,29.716,9.988,-42.87,-11.738,-52.928,-15.355,-29.183,-7.763,-13.055,-2.869
41.122,-22.16,-6.693,54.387,-22.463,-18.552,-63.497,-30.983,-26.374,-12.915,-44.39,-20.719
37.964,-37.091,-23.856,-4.771,-31.021,-34.998,-44.251,-29.344,-19.842,-3.073,-17.898,-12.115
41.491,-38.517,7.911,17.107,-6.419,-35.014,-24.147,-5.982,-20.19,-7.954,-18.357,22.172
36.734,30.455,-57.479,-11.017,-31.673,-23.598,-74.444,-35.205,9.973,-5.124,-25.726,-0.715
32.889,-28.891,-62.155,-51.11,-18.148,-40.531,-68.286,-27.54,21.191,17.751,-9.634,2.449
33.707,-102.583,-68.35,-8.21,14.804,-32.374,-68.113,-42.748,19.861,14.671,-7.708,11.381
40.467,-33.04,37.082,31.394,0.178,-19.66,-55.6,-19.832,-30.837,-11.266,-1.835,-26.154
43.641,34.964,93.953,17.323,35.085,-26.021,-79.103,-24.786,-15.09,-5.203,4.042,-14.0
41.141,-47.989,18.521,49.934,22.458,-29.484,-68.483,-45.187,-11.704,9.625,-26.354,-0.144
36.712,-71.776,-17.039,11.585,29.196,-33.609,-57.819,-49.368,20.135,-0.365,-25.863,3.22
32.878,-126.099,-23.338,-8.693,13.719,-47.113,-48.973,-4.411,11.094,-0.831,-1.15,10.537
39.222,-31.102,9.954,23.545,-1.13,-24.003,-55.773,-20.973,-17.964,-7.196,-25.185,-11.755
46.088,25.556,32.141,64.331,7.624,1.085,-71.002,-38.438,-13.809,-14.407,-31.21,-9.173
34.047,-114.96,-3.745,-9.58,22.738,-24.654,-54.458,-4.855,11.835,-5.126,-15.764,-6.286
