0,1,2,3,4,5,6,7,8,9,10,11
23.589,-143.92,-82.137,-61.735,60.058,134.135,1.958,7.539,-26.604,110.597,13.323,5.242
18.546,-174.415,-85.976,-129.953,88.28,-14.881,2.972,-35.035,-31.119,26.276,-21.768,12.343
22.386,-179.502,-65.074,-68.659,42.805,-31.324,-15.241,4.16,-18.535,-15.579,13.011,-4.487
23.439,-196.865,-43.284,-43.601,46.281,-38.162,-11.104,-3.207,-53.045,-14.287,-4.805,3.233
27.189,-243.707,-67.334,-33.114,65.192,-36.749,-26.026,1.591,-18.759,6.616,-3.032,8.756
26.304,-238.938,-46.361,-59.754,61.602,-51.911,-21.481,7.884,-26.367,-3.658,20.984,-1.767
27.779,-189.115,3.23,-51.072,14.987,-32.922,-15.714,-5.463,-33.528,-14.001,10.852,1.489
30.983,-187.682,27.16,-31.867,22.119,-26.65,-20.791,-8.555,-18.025,-10.63,11.643,11.179
44.203,-15.43,-8.335,-94.692,28.398,114.347,7.22,75.43,17.922,-81.044,-8.65,1.67
44.625,-6.233,-60.245,28.568,-23.7,-48.715,-22.948,-23.389,-15.266,3.85,11.486,2.613
46.86,48.448,-38.74,-41.193,47.538,-34.419,-32.271,-21.597,-9.263,-0.025,5.628,13.135
48.932,-67.21,-31.841,-65.456,30.216,-31.267,-31.697,-2.167,-10.005,20.074,-2.808,19.514
50.469,-28.454,-36.745,4.116,2.42,-3.469,-12.524,-38.676,-4.992,-23.766,-5.413,6.425
45.189,-96.004,-41.379,-0.651,27.635,-39.241,-16.442,-16.216,-5.919,0.359,-5.691,4.186
50.838,-11.372,-37.621,44.492,39.807,-48.931,-50.455,-23.99,-11.987,5.405,-24.148,9.654
49.339,-34.619,-34.704,-6.085,36.004,-7.062,-36.699,-34.194,-8.468,27.926,-20.271,1.076
46.342,-102.841,-67.426,26.679,57.038,-47.872,-38.854,-81.277,-5.971,19.565,-28.393,7.72
44.227,-112.378,-63.86,35.755,27.481,-39.832,-51.071,-40.083,-11.567,19.827,-27.956,-6.058
47.756,-58.169,-26.121,-44.849,42.825,110.122,5.646,7.765,24.41,-43.947,-11.734,-5.948
46.9,-55.216,-65.72,33.792,0.404,-73.505,-13.83,-61.867,-10.471,16.828,-32.612,-6.997
42.764,-100.782,-58.829,-1.747,17.064,-39.996,-23.184,-27.037,7.26,14.048,-15.884,-22.179
50.734,-6.14,-47.837,12.496,11.658,-27.101,-36.941,-34.54,-2.705,9.846,7.561,1.403
49.482,-26.083,-3.892,-38.171,18.928,-11.023,-19.864,-13.886,-14.393,-13.003,-2.744,9.085
47.783,-63.324,-33.923,32.788,19.016,-47.888,-19.238,-66.52,-25.952,11.764,-26.658,2.454
48.962,-43.807,0.523,-15.091,-10.078,-13.433,-15.871,-21.882,-28.337,10.256,-2.046,4.551
51.069,-3.046,-46.603,23.288,5.839,-41.857,-7.832,-30.041,-15.027,-21.837,12.315,12.067
50.006,54.226,-21.186,-14.914,-1.878,-35.902,-10.339,6.442,-32.499,-13.477,7.354,-5.976
49.741,-27.105,-10.675,-18.087,0.294,-18.543,-25.228,-10.834,-34.487,19.973,-6.217,-3.638
52.368,12.947,-35.622,-14.389,-13.751,-25.116,-22.073,-39.346,-7.852,-10.105,-19.651,10.294
48.989,-72.043,19.391,-23.081,-6.287,-27.409,-30.588,3.404,-8.193,-7.753,0.587,-8.242
50.04,-23.131,31.371,-17.799,12.495,19.647,-13.11,1.245,1.827,-40.765,-17.5,-3.712
50.438,-30.761,6.182,-15.458,41.586,17.078,-23.592,-25.229,-7.197,-11.649,3.043,3.705
47.688,-90.968,-48.767,22.458,40.033,-24.279,-29.916,-71.684,-5.043,-11.191,-8.048,-2.397
44.68,-98.96,-60.909,30.568,32.164,-35.832,-41.068,-36.425,-6.066,10.245,-26.986,-6.433
49.433,24.651,-70.328,28.344,2.143,-75.684,-25.147,5.734,2.163,-11.984,-21.5,16.601
43.642,-6.804,-16.39,-19.336,-6.432,-42.256,-3.242,-14.946,23.001,8.231,-13.456,-11.735
41.766,-41.161,-75.541,1.565,20.928,-54.142,-18.081,-55.753,-12.238,21.985,-27.045,3.173
38.179,-100.563,-78.496,48.638,-11.313,-31.814,-17.24,-55.239,5.704,0.856,-14.987,1.795
43.984,-33.928,-51.966,-46.579,1.436,73.785,22.236,-9.913,9.092,-55.827,9.762,-13.156
