0,1,2,3,4,5,6,7,8,9,10,11
3.099,136.015,59.739,-58.625,84.771,-64.205,39.48,-21.9,5.344,11.191,16.725,-36.533
36.016,25.845,140.574,-327.179,98.67,131.585,27.588,38.757,6.693,58.675,21.569,-11.465
51.225,120.318,65.168,95.401,71.279,-23.379,-39.934,42.519,1.113,-13.409,-61.687,-13.646
49.052,105.709,32.673,-36.374,23.157,64.689,-48.881,-33.391,-29.329,17.582,-1.494,-15.707
50.239,157.209,100.889,-32.586,7.535,34.103,25.49,-43.86,-4.849,14.891,-1.357,-4.266
51.625,112.613,92.875,32.218,21.81,-2.253,-17.178,2.222,-12.486,29.509,-27.577,-9.816
45.422,146.497,33.292,-0.67,1.674,-23.007,-5.853,5.732,-8.069,-20.088,2.059,25.903
52.962,86.872,53.227,18.819,49.413,8.879,11.62,1.5,13.172,-2.976,-6.909,13.655
54.066,97.923,85.878,14.516,25.931,10.326,10.698,-7.351,17.044,-1.755,10.87,-12.507
51.781,76.114,92.782,-36.622,31.487,-19.851,26.17,-19.498,3.48,-7.518,2.044,3.686
55.317,131.224,106.958,12.671,31.617,-25.756,6.292,15.869,12.997,-5.701,1.761,17.921
54.569,99.285,96.891,5.457,30.079,-11.062,-6.462,-7.04,-6.212,11.97,-3.316,3.153
53.533,112.558,55.672,38.612,31.533,-29.85,-1.148,18.138,21.98,16.46,-42.912,-30.683
50.106,119.23,40.116,-46.813,7.582,-9.845,-1.829,-40.176,-16.314,9.828,-23.784,8.045
51.31,82.599,61.638,-15.467,20.934,25.758,16.924,-32.494,-9.921,20.814,-17.573,13.855
48.453,125.853,36.813,29.715,-18.244,-28.036,2.494,-11.656,0.267,-10.49,-22.825,-1.473
45.845,128.851,18.736,-8.163,-46.468,-47.115,2.233,2.353,-18.448,6.068,-5.753,26.283
48.037,175.478,19.396,7.756,-18.788,-16.713,-2.058,-20.452,-3.748,-4.228,-9.26,6.686
47.059,118.452,28.395,-11.827,-29.952,-28.731,4.848,-2.913,-21.675,5.826,2.272,13.77
47.894,157.633,19.805,-16.443,-31.94,-16.38,-0.254,-3.899,-5.607,-12.971,-5.968,7.922
52.776,60.434,72.452,-46.847,34.364,3.056,-10.42,24.928,6.882,32.896,2.53,-18.535
53.289,94.57,55.297,46.302,18.978,-34.199,-2.937,35.791,-9.097,-10.016,-41.708,-16.109
51.499,160.276,36.51,-46.903,-27.655,-1.421,-40.728,-24.017,-37.614,9.967,-3.983,7.816
50.927,77.898,17.944,32.523,33.985,-2.773,-29.502,26.964,10.47,-19.618,-49.36,21.833
53.852,123.181,66.888,1.566,19.058,12.055,-13.139,-15.948,-1.46,48.505,-4.525,-1.181
52.792,86.118,79.502,57.545,28.314,-26.716,-19.183,20.523,3.418,21.446,-30.071,-18.122
46.504,149.792,13.364,15.765,-24.267,-23.121,0.926,-9.075,-3.857,3.553,-13.764,15.939
44.269,112.515,-2.098,-27.669,-10.709,-36.916,15.438,4.377,-40.077,-2.822,-4.579,1.074
52.613,94.958,73.923,-5.151,43.167,28.866,27.991,2.294,-23.801,33.54,13.838,-23.624
52.776,120.483,80.742,-13.334,-18.519,-9.692,-36.822,24.596,-20.145,-17.919,6.734,-9.321
53.53,57.744,81.387,21.452,67.702,-44.498,7.471,4.82,28.35,27.837,-5.25,11.812
51.624,69.841,55.058,46.011,51.364,-45.81,22.505,6.036,33.219,15.407,-31.209,-24.179
50.165,130.087,49.585,-52.684,-2.405,-21.768,-17.178,-20.264,-18.209,-1.161,0.661,-13.714
52.369,88.551,70.005,6.646,2.675,-27.745,-28.657,-2.512,-22.969,0.577,4.21,13.822
53.835,74.979,66.653,32.799,28.196,-11.577,-1.214,-3.002,0.492,5.216,-16.244,3.126
47.862,120.561,16.588,28.367,-29.831,-33.791,9.301,-15.138,-13.901,-1.716,-13.852,18.126
46.238,134.007,-4.384,-13.587,-29.625,-27.469,-13.445,-17.664,-11.461,-1.931,-2.619,25.512
47.445,170.469,16.106,8.855,-20.105,-26.502,-5.586,-15.48,-3.012,0.343,-13.521,22.206
45.147,131.257,17.116,-10.712,-31.995,-8.634,0.991,-18.052,-7.123,-11.245,-12.991,21.45
46.638,122.139,-6.491,6.541,-34.652,-18.14,-4.71,-19.924,-14.706,6.945,-1.081,6.068
53.754,89.421,83.683,38.172,28.101,13.351,53.942,9.863,27.027,-3.939,5.361,-1.49
54.145,58.313,77.03,7.959,27.629,-32.828,7.137,7.144,-23.578,-7.302,1.728,5.739
55.161,109.227,15.589,-15.972,-7.081,-32.599,-16.867,11.475,13.454,8.937,-5.791,-6.667
52.744,74.655,14.486,-62.973,-30.3,1.879,20.224,-12.007,3.463,20.71,-10.604,9.984
55.675,99.119,27.341,-16.743,-27.108,-19.226,3.289,-7.312,16.454,12.56,-17.483,-1.615
48.669,115.656,-29.221,-25.225,-44.767,-19.995,-0.674,-5.812,-2.052,-0.58,-23.171,4.136
46.948,78.341,-17.503,-19.461,-52.108,-42.582,2.578,-5.127,-9.643,22.183,-7.504,-2.629
49.182,104.25,-11.756,-59.844,-34.848,6.804,-3.726,-14.693,-21.885,1.359,-42.559,-13.127
53.335,126.626,26.936,-68.577,-57.49,-7.871,-17.257,-17.341,-33.033,22.07,-17.822,-8.804
54.068,67.772,35.463,22.984,-2.174,-23.002,22.675,9.766,4.26,21.469,-31.974,-9.724
53.782,83.879,49.318,-35.146,29.382,7.081,23.545,-16.85,28.318,38.371,-24.081,2.643
54.284,103.4,41.748,35.641,21.052,-21.831,6.563,7.073,32.118,12.698,-36.25,-27.073
51.009,98.331,39.856,-44.22,25.278,13.508,4.581,14.895,6.315,22.94,-39.496,3.141
53.052,70.236,-1.8,-55.978,3.283,3.114,-11.091,-22.381,24.934,23.416,-25.369,-2.606
53.835,39.789,28.954,-17.043,20.544,-14.233,25.456,21.579,39.791,-5.417,-23.114,5.514
51.07,117.03,5.962,17.906,-54.65,-14.561,-6.331,-0.783,-18.241,-7.408,-30.984,4.25
49.086,125.836,-27.084,-15.273,-49.477,-22.286,0.492,-21.786,-9.352,7.532,-3.436,26.019
