0,1,2,3,4,5,6,7,8,9,10,11
0.12,170.076,11.792,-31.494,58.247,-51.723,15.519,2.357,-26.153,0.781,-7.416,-8.203
44.865,60.892,36.207,12.442,4.39,28.958,3.009,18.133,-17.74,41.494,52.577,-12.465
43.055,139.242,75.795,-14.156,-18.694,-20.558,-25.26,5.797,-8.258,-3.019,-8.257,-9.838
45.341,105.416,64.031,-16.723,-13.108,-11.707,-35.418,-3.401,-32.261,4.726,4.53,10.747
43.174,83.128,64.251,93.943,30.346,7.444,-10.354,-0.367,-28.66,-10.622,-48.29,25.15
37.833,26.672,21.603,76.508,21.114,-74.1,-5.813,-26.18,-21.695,9.259,1.542,20.607
41.853,106.805,55.618,41.202,-2.04,-30.81,-13.335,3.38,-24.118,1.011,14.06,10.068
40.64,131.802,56.143,-18.664,-19.597,-30.402,2.277,2.937,-3.908,-6.277,4.287,12.504
46.7,60.976,24.312,-33.084,-9.965,-4.213,-4.877,5.3,-6.61,19.565,17.554,0.221
44.801,58.1,46.691,132.452,30.298,-17.947,-10.857,21.589,-14.341,-10.384,-18.287,12.872
32.35,-99.119,-70.336,23.258,-41.82,-82.993,-11.784,16.208,-4.53,-7.58,-2.124,-2.967
45.091,54.328,0.568,16.389,-20.529,4.521,7.119,6.119,-19.377,32.235,18.083,-2.042
42.972,120.086,75.954,-6.235,-6.481,-28.697,-17.964,21.703,-22.072,-16.815,6.414,-4.098
44.372,146.79,89.548,11.662,-5.669,-29.07,-2.812,-6.029,-26.491,-3.327,3.214,29.578
44.354,46.105,54.879,149.001,43.958,-47.382,-13.175,14.785,-27.912,-11.951,-27.813,19.227
39.028,11.449,40.083,64.098,25.387,-36.084,-10.12,-40.65,-33.909,32.043,18.816,4.61
35.486,24.96,50.239,82.069,20.807,-35.395,-19.747,-8.511,-35.337,-12.059,-26.369,-6.765
35.056,-39.992,66.363,34.609,18.733,-36.536,-20.691,-12.23,-26.307,5.436,0.229,4.136
38.752,-59.233,-24.076,-10.965,0.635,-16.056,20.833,18.056,-3.287,2.599,22.53,-4.746
37.322,-37.748,15.874,75.308,46.539,-62.207,2.819,5.845,2.658,18.932,-6.094,21.129
47.35,72.241,67.101,49.864,35.092,10.905,8.572,4.462,-21.446,28.443,17.945,6.44
43.713,104.279,83.072,-10.468,9.801,-23.229,-2.24,0.877,-6.43,-2.813,-3.093,11.502
44.835,73.082,1.379,9.024,-46.092,-38.697,-11.928,3.075,-7.023,-6.369,-2.973,3.039
46.212,34.169,7.491,18.097,-12.314,-35.304,-5.7,11.426,-3.181,10.476,12.788,-3.685
42.43,106.017,76.935,-4.108,-9.333,-24.008,-19.69,20.161,-7.322,-0.425,-1.281,-0.762
43.686,112.92,83.979,-21.251,-17.506,-11.944,-10.623,13.2,-26.254,-1.342,-1.0,4.314
46.683,25.767,77.498,105.934,60.926,-38.941,5.977,-15.983,-11.53,9.061,-10.219,-3.723
38.892,-20.454,94.801,9.738,87.503,30.556,35.465,13.087,36.039,-27.622,-26.752,-16.708
42.736,14.279,97.446,-21.602,55.493,16.565,20.48,48.596,43.315,-30.585,7.312,-23.123
