0,1,2,3,4,5,6,7,8,9,10,11
0.086,168.932,9.732,-30.892,58.826,-50.246,13.074,1.755,-27.671,0.54,-9.41,-7.42
34.565,45.504,68.073,-25.063,29.953,94.3,-8.185,2.016,-18.587,2.079,25.107,0.915
35.638,30.159,37.314,-9.773,17.138,-3.467,-33.913,13.91,-7.955,-7.312,-7.91,18.634
37.542,56.606,36.139,-7.6,28.002,10.546,-37.793,3.081,-8.085,0.924,-14.393,19.948
39.515,37.474,13.245,7.088,7.312,23.615,-42.262,-11.104,-17.402,-0.347,-20.644,13.935
39.023,14.706,37.424,13.078,23.17,27.649,-26.875,4.764,-14.375,-14.232,7.572,15.483
39.396,32.172,25.202,-8.033,10.62,21.616,-37.429,-24.581,-21.929,-9.623,-10.504,13.57
40.922,27.525,30.049,33.015,20.405,10.024,-47.052,-9.799,-18.972,-3.963,-6.31,9.249
39.685,59.783,46.246,25.065,18.315,17.176,-23.188,-13.331,9.946,-12.854,-12.06,18.653
39.794,21.215,55.121,-43.021,27.516,33.109,-27.307,8.04,2.548,-14.28,-24.245,27.501
38.834,16.651,26.808,25.357,11.058,-5.445,-46.496,-0.647,-19.679,-14.978,-1.064,13.863
40.35,33.53,34.521,25.845,14.94,15.409,-51.703,-12.161,-10.092,-10.888,-18.84,13.306
40.989,25.832,28.776,9.535,9.107,28.139,-25.117,-8.422,-4.899,-22.733,-18.11,14.846
39.567,26.387,36.272,2.232,24.353,15.271,-21.578,-15.994,-14.362,-15.747,-13.238,6.975
40.631,41.872,26.529,40.813,1.574,7.15,-37.748,-31.098,-4.513,-20.573,-11.9,18.323
40.597,13.273,28.304,-6.238,7.064,35.62,-37.734,-11.406,-7.692,-21.96,-11.89,16.188
41.055,33.123,26.306,13.16,7.292,27.381,-33.903,-26.742,-3.334,-23.265,-19.765,22.538
40.073,27.48,37.8,-24.849,10.229,30.029,-29.491,-3.192,-13.572,-19.982,-22.793,7.2
37.869,10.876,50.778,-19.356,12.684,8.345,-28.013,4.072,-7.814,-14.541,-22.063,27.073
38.745,54.747,54.94,38.943,6.928,-7.662,-20.008,-14.473,-12.807,-13.024,-18.623,6.481
40.785,38.33,14.239,26.861,6.391,15.215,-8.947,-5.318,9.024,-23.742,-0.7,18.321
39.098,28.509,22.092,30.915,16.411,16.26,-29.936,-20.559,-13.04,-11.219,-13.872,17.325
40.439,40.687,32.748,21.182,5.381,4.283,-10.302,6.961,-6.573,-33.427,-10.952,14.788
39.651,56.813,59.249,1.4,22.179,35.864,-24.576,6.678,-2.71,-25.104,-13.866,20.006
40.225,48.177,52.936,-35.934,11.571,24.741,-19.404,18.578,-9.614,-25.617,-13.313,25.816
