0,1,2,3,4,5,6,7,8,9,10,11
0.037,170.634,9.981,-29.355,57.431,-50.488,15.343,4.332,-27.378,0.693,-9.781,-7.185
43.508,88.985,108.489,-4.035,32.912,34.777,-28.013,11.077,-14.384,-20.794,37.16,-44.75
38.773,80.351,50.848,157.794,21.617,-19.068,-55.5,23.087,-14.625,-11.166,-64.669,-27.937
32.685,73.81,131.661,-118.694,30.408,57.911,-13.86,-16.553,-27.057,22.105,-75.747,-12.004
42.351,71.631,122.042,15.625,50.267,49.721,-15.512,-12.458,-13.402,-15.88,36.474,-40.268
44.764,100.776,106.929,7.775,30.082,-10.96,-48.2,-4.967,-18.492,-26.151,6.665,-41.478
38.821,80.382,50.125,158.047,22.523,-15.432,-54.426,20.237,-16.158,-10.435,-62.83,-27.814
32.852,68.079,130.262,-114.235,34.844,61.587,-14.746,-14.385,-24.865,23.901,-80.703,-10.425
42.752,71.375,122.945,18.382,48.935,34.838,-19.082,-13.234,-14.684,-16.81,30.328,-38.674
44.155,93.382,113.179,-4.624,33.563,3.938,-48.942,2.15,-19.307,-34.14,8.132,-36.623
38.821,80.614,49.798,158.889,21.957,-17.178,-53.245,20.766,-15.708,-10.761,-62.629,-28.397
32.985,63.785,130.499,-111.097,38.477,67.395,-14.135,-12.849,-25.167,27.636,-85.681,-9.81
43.025,74.01,121.739,21.04,47.775,25.775,-21.593,-15.565,-14.633,-16.324,24.735,-36.777
43.654,67.722,108.884,13.635,41.176,-0.676,-35.311,-12.723,-10.25,-16.726,-2.494,-28.716
45.359,120.708,124.082,25.024,34.17,-16.075,-42.72,-27.045,-17.147,4.797,-4.763,-29.975
42.798,114.3,77.299,68.463,44.979,-24.9,-39.905,28.865,-12.44,4.718,-31.197,-15.542
47.88,87.781,17.937,21.701,77.734,17.631,-40.435,38.3,-2.686,14.386,28.726,-4.678
44.89,80.9,45.043,6.29,31.456,-21.101,-43.866,-17.872,-10.583,5.795,-10.993,-15.513
49.539,46.889,-6.098,4.085,-34.853,-62.82,-6.998,1.077,-3.936,11.936,-1.429,-29.657
43.763,87.242,35.575,88.012,14.704,-6.628,-19.078,16.956,4.402,-6.853,-70.235,-29.736
31.659,116.302,27.971,-45.317,5.874,-11.45,8.692,7.534,-7.104,-30.849,-14.351,-44.107
51.454,44.309,-40.738,91.352,40.06,0.21,-26.733,24.482,-9.138,-25.168,-6.211,-4.291
46.561,119.542,80.966,24.21,47.848,-3.549,-23.761,-22.006,-16.147,16.393,5.464,-27.785
46.047,74.952,96.038,13.666,24.645,-16.191,-44.049,-10.794,-9.174,10.184,-5.886,-38.659
48.177,119.751,94.498,24.847,53.12,-39.118,-29.758,-29.144,-18.132,11.683,-4.607,-32.946
47.693,84.956,81.202,-3.353,7.026,-24.43,-8.722,8.202,3.033,-18.848,7.997,-35.487
44.498,39.691,-99.278,82.885,-22.331,-80.205,-22.651,4.308,-3.41,1.67,-15.132,-10.215
34.838,83.26,-23.611,-31.915,-1.612,-36.168,6.488,-23.872,-21.011,-10.356,5.287,-32.438
51.724,43.29,-34.903,86.261,35.903,-29.07,-31.164,20.21,-2.136,-28.175,-31.428,-10.03
46.461,117.165,89.542,22.418,52.305,-9.801,-28.115,-19.937,-16.642,9.254,2.331,-31.212
46.418,68.283,86.501,1.648,20.198,-10.152,-40.461,-13.675,-12.363,11.903,-14.964,-35.594
50.853,49.713,-0.065,13.215,-20.267,-53.153,7.532,3.658,-14.564,5.521,-3.562,-23.026
45.051,96.555,45.784,105.018,29.439,-23.522,-10.778,16.777,-6.416,5.027,-75.004,-7.567
33.72,126.302,58.149,-0.672,36.472,-41.728,15.919,-13.013,-22.146,8.84,-9.013,-24.638
51.467,47.666,-29.455,88.058,38.971,-4.772,-20.817,22.912,-7.01,-21.674,-9.453,-1.745
47.558,116.648,108.8,34.283,54.496,-8.084,-6.555,-21.008,-12.584,10.098,11.6,-15.817
47.244,64.721,99.81,29.717,22.268,-36.858,-29.495,-0.837,-3.399,2.193,-17.031,-22.098
47.951,104.393,96.128,37.303,51.947,-30.427,-18.756,-33.879,-6.585,21.225,-9.946,-26.143
49.073,116.541,78.279,4.183,-9.545,-31.993,-14.273,-1.86,1.708,-12.345,3.239,-19.064
46.907,44.651,-51.999,57.165,-24.323,-54.986,-18.539,22.085,-3.818,5.857,-59.234,-14.314
53.294,73.762,-29.712,26.841,30.449,-51.3,-30.468,47.312,2.702,-25.859,11.629,-0.273
51.631,85.07,14.392,-10.688,-13.801,-35.48,12.05,-14.9,-5.939,5.121,-6.907,-6.197
53.938,65.367,41.46,-8.8,-22.267,-15.052,-4.302,22.262,6.648,-8.165,-10.244,-27.636
52.564,39.169,2.246,9.749,47.894,-5.878,-0.822,20.666,2.324,10.134,-36.637,-3.892
51.271,104.706,-11.819,-53.659,1.007,-7.537,-23.121,-22.08,-27.08,21.619,-10.972,-20.223
49.813,70.358,4.689,-51.288,-13.917,28.276,-31.536,17.839,2.385,-20.965,-16.26,-29.047
48.014,49.688,-2.645,-32.841,-14.696,94.474,-24.88,-2.804,13.69,-27.552,-42.93,-27.489
43.831,20.115,23.171,-46.708,-21.373,32.608,20.739,9.375,3.779,-10.498,-2.603,-30.46
49.654,44.612,74.973,-88.944,-2.287,3.681,3.678,22.025,1.608,5.163,-16.62,-39.594
51.207,102.295,4.359,-63.658,-12.315,-7.205,-59.28,24.587,-8.794,-4.51,-16.409,-16.719
51.135,115.64,-8.828,-82.123,21.539,8.861,-56.669,-18.845,-31.311,57.971,-1.328,-18.222
52.19,75.203,-15.606,54.9,19.242,-45.086,-55.241,-8.705,-13.772,-25.892,-26.71,-20.545
48.242,156.259,-16.395,-98.481,26.813,33.256,-13.675,-15.413,4.241,10.188,-23.886,-12.789
51.966,96.539,20.501,-0.372,9.932,8.259,-48.66,-21.186,-23.409,36.41,-8.755,-23.268
49.322,24.015,-1.41,11.784,23.079,61.663,-25.557,9.663,15.144,-25.668,-27.079,4.73
48.082,79.497,-6.094,-100.77,-13.433,12.108,-22.554,-5.178,-10.864,-16.034,-14.75,-22.433
52.498,102.462,14.355,-53.021,-26.443,24.103,-41.403,-21.127,0.605,-6.621,2.406,-35.104
54.15,90.492,39.459,-40.791,-14.326,-18.364,-7.356,-10.303,1.814,14.309,-9.838,-36.772
53.693,86.743,8.669,27.537,-12.48,-37.712,-29.089,-7.625,22.404,-24.927,-26.279,-22.021
50.25,87.851,18.432,-92.596,1.446,11.994,22.338,-0.552,-18.985,3.175,-9.156,-26.142
52.527,96.32,-7.736,5.795,-8.712,-3.127,-58.674,45.976,3.471,-1.454,-35.821,-24.157
51.201,92.223,-14.105,21.178,-6.087,40.449,-39.022,-16.763,-12.892,44.197,-47.124,-10.601
48.765,45.06,16.008,-59.43,-26.514,64.469,-10.712,11.14,-1.487,-14.802,-4.271,-21.788
51.655,191.523,-12.684,-18.746,9.271,-37.563,-24.424,5.393,13.541,3.628,-22.508,-38.06
45.836,94.771,-10.175,158.089,3.173,42.581,-91.612,9.94,-19.685,-2.922,-117.196,-4.934
37.644,103.512,7.644,-213.243,-19.093,124.107,-49.93,16.693,13.879,2.367,22.679,-26.702
47.626,69.725,-9.837,59.529,8.592,48.189,-73.525,-50.527,-5.778,12.832,-102.007,0.369
44.106,-6.248,9.351,-97.051,-0.548,80.367,-6.149,17.049,9.954,10.534,59.392,19.141
49.594,68.729,47.949,-29.075,8.201,-15.46,-12.775,38.548,-13.912,-9.0,-18.119,7.741
45.987,109.672,-125.879,4.738,22.181,-80.068,-14.358,39.63,-3.706,-17.865,-16.871,-5.357
52.191,59.396,-30.586,-64.616,54.716,63.335,30.367,4.272,-5.389,47.314,19.641,-8.229
54.733,69.545,34.462,-9.192,16.817,-14.776,-6.725,-8.436,-7.839,15.99,-16.862,-18.499
54.603,45.096,-2.08,-41.98,-0.634,-26.385,-18.309,14.814,-4.102,-4.828,-15.377,1.607
54.979,64.167,17.356,12.171,19.835,-25.544,-22.557,26.685,-13.414,5.835,-18.945,14.025
55.359,98.986,39.629,-23.942,8.769,1.28,-5.584,0.379,-12.189,25.055,12.907,-20.232
56.405,60.838,14.329,-0.579,-4.321,-52.845,2.567,-12.169,-8.59,-13.956,-5.268,4.043
53.632,61.633,21.858,23.289,-5.126,-24.992,4.8,-19.47,1.485,-10.372,-48.904,11.228
52.476,62.871,22.986,-0.197,2.996,24.888,6.402,31.414,0.544,-8.883,-6.202,17.725
53.923,45.474,11.42,16.355,9.519,4.969,11.231,-3.722,-12.545,22.26,-42.083,19.231
47.448,19.876,-3.089,-4.842,-9.991,-24.915,5.318,-11.966,-18.443,6.484,-5.71,-19.136
50.773,33.336,34.293,-83.364,-15.895,4.08,-17.032,45.023,-17.367,-1.497,-4.271,-19.55
52.999,79.729,-0.416,-33.517,-3.81,-8.107,-55.767,15.77,-9.666,32.575,-39.003,-4.52
53.819,76.109,-42.711,5.51,-1.603,-43.615,-30.046,-4.453,-24.565,0.892,-29.604,6.445
52.538,39.874,21.879,-19.741,-9.155,-7.558,0.327,39.623,-14.98,-6.306,-33.548,24.623
52.379,45.404,21.008,-21.129,5.13,-17.677,-10.182,17.322,-35.367,-1.546,-0.566,-9.566
52.105,77.613,-5.184,-11.247,-4.234,-23.338,-63.901,16.622,-7.772,1.298,-16.367,-25.72
53.66,71.629,53.1,-15.489,9.727,-13.475,31.375,6.238,-6.736,36.829,4.83,1.738
54.91,38.37,32.21,26.006,12.392,-19.313,27.024,-4.936,1.135,3.316,-34.384,16.707
51.972,54.919,38.308,-0.958,-12.777,-7.803,23.811,-18.842,-16.248,1.649,-14.294,-2.92
54.031,35.887,54.543,-33.831,12.018,3.8,38.662,28.518,10.456,8.326,-11.925,1.362
54.342,34.761,43.106,-21.739,-12.212,-22.377,-5.61,18.246,-8.958,-11.602,2.11,4.095
56.337,65.194,64.894,-43.028,6.349,-36.794,1.325,23.465,-7.199,5.555,-0.182,13.472
57.17,89.589,5.845,15.76,7.392,-46.942,1.791,36.762,-22.649,2.218,-0.269,-5.15
54.931,64.732,58.739,-3.311,17.138,-26.698,25.673,5.874,2.984,2.812,-19.956,11.945
53.022,17.824,32.588,8.867,25.244,-32.268,11.808,-24.959,-2.434,12.5,-18.84,8.901
54.044,3.04,43.07,-12.589,25.373,-22.391,17.85,7.264,-29.651,-13.276,7.272,8.956
53.963,21.652,75.62,1.036,30.279,-29.24,-16.108,-0.725,-13.497,-7.618,1.114,20.928
54.68,35.104,35.122,12.128,-13.866,-38.778,26.157,20.397,-11.274,6.912,-16.97,7.113
55.497,31.203,19.087,15.564,6.335,-54.399,25.638,5.19,-12.059,1.523,-21.368,30.164
53.9,69.197,16.918,-0.026,-22.182,-27.74,3.681,6.314,2.541,-1.987,-13.808,3.837
52.265,18.528,24.873,4.927,-17.982,-38.488,-15.306,-28.156,-18.141,24.592,-13.086,-9.245
51.242,64.0,-10.98,41.219,-18.263,-6.99,-15.349,31.945,-11.938,-13.825,-32.344,-6.657
47.483,28.77,12.217,-99.891,3.267,12.482,-38.258,15.653,14.933,15.345,-7.577,-5.788
49.657,107.234,84.43,-70.447,36.399,-23.99,-11.346,-24.191,-25.92,13.112,-2.345,-40.351
56.389,65.334,9.97,-22.753,3.151,-48.163,5.878,3.906,-25.307,-1.181,-14.67,2.832
55.347,95.331,-29.303,-43.297,-4.483,-7.013,-43.505,0.493,-19.6,11.113,-11.852,-13.42
55.462,107.265,-18.382,-16.304,-20.577,-2.961,-24.613,-2.394,-6.003,-12.425,-35.596,-21.025
56.575,115.879,10.362,-55.395,-2.998,-25.198,-4.729,11.838,-20.213,-14.567,-3.202,-3.969
57.42,141.401,13.052,-25.669,48.522,-32.396,-13.763,-13.674,-16.854,-2.937,-14.086,-2.486
57.733,110.581,70.369,-7.792,40.584,3.554,17.184,27.357,-12.787,4.54,-0.45,-14.832
57.49,98.085,57.225,13.645,3.015,-43.876,42.897,19.019,-36.638,9.231,-11.231,-7.336
52.625,100.251,24.97,15.893,58.418,-36.991,-3.269,-34.656,-22.896,13.034,-14.267,-11.963
57.381,100.987,41.39,-28.178,-9.032,-13.737,28.742,14.078,-12.319,9.192,-0.059,1.286
57.741,105.002,63.825,30.139,9.717,-20.228,5.514,-16.691,7.712,-1.569,-23.586,17.207
58.395,94.978,29.148,9.016,12.712,-36.664,-11.501,8.909,-17.564,-2.357,-6.552,-17.562
56.3,104.46,40.102,17.789,19.973,-31.935,-58.749,-8.946,-13.571,3.336,-10.162,-10.544
55.407,119.127,-11.59,-21.121,17.302,-3.255,-25.692,17.57,-11.301,-24.752,-27.77,-1.764
57.088,102.434,17.726,-52.286,-13.334,-19.777,0.116,2.937,-9.783,0.788,3.05,-10.135
58.974,119.28,31.434,-13.885,47.109,-41.583,-2.84,-0.881,2.312,2.802,-6.216,2.702
58.933,100.768,7.862,-9.162,33.08,-53.678,-5.762,9.686,11.557,2.292,-11.203,4.178
56.13,72.098,61.713,-17.0,3.394,-12.95,15.639,17.383,-14.159,-14.083,-20.53,14.549
56.592,85.93,41.369,-15.183,4.914,-7.89,39.958,33.611,-10.639,1.947,2.065,11.77
57.621,92.362,-4.487,-4.991,11.02,-11.145,-4.154,24.706,-30.728,-6.741,16.072,-6.16
56.036,113.28,48.344,-20.411,30.961,5.926,-40.043,-12.091,-6.237,-11.244,2.285,-13.643
56.488,80.501,37.749,33.008,21.366,-15.54,11.781,-0.595,2.639,11.414,-28.406,18.944
57.21,91.783,41.455,-46.196,-1.962,-17.588,23.185,3.785,5.982,7.412,-5.847,-20.202
57.585,99.84,10.904,34.586,12.703,-48.622,4.465,20.166,-2.171,-1.846,-26.143,13.996
55.118,107.62,28.399,-8.133,25.559,-21.443,33.233,-27.446,-6.112,26.283,-29.988,-3.244
50.239,37.021,50.727,-12.715,34.065,-30.985,-10.482,-19.038,-13.744,4.185,-2.288,-0.596
52.478,48.254,5.706,-18.812,-2.263,-28.64,7.924,10.41,2.908,-1.074,21.898,-16.916
55.603,82.718,-21.651,-4.476,14.148,-14.751,5.678,14.859,-13.539,-2.241,27.289,0.237
55.772,90.496,42.227,-58.284,-7.553,-26.45,0.673,-5.506,2.621,14.358,3.345,-11.259
58.298,92.48,74.581,15.875,-10.87,-30.902,14.878,-1.659,-10.391,10.31,-9.443,-9.497
57.168,104.739,60.934,-3.577,-5.873,-36.813,5.488,27.004,-1.551,-4.934,-13.436,-15.328
56.031,85.311,18.401,-48.935,11.88,-9.376,12.781,-1.0,4.181,-1.046,-1.535,-18.429
58.304,92.179,7.757,-0.085,39.265,-34.62,-4.418,29.93,-0.583,5.367,-21.638,-16.921
55.487,72.139,21.214,-41.731,50.729,-6.765,4.865,14.433,6.194,13.766,-25.224,-3.322
58.113,105.066,57.789,3.63,29.039,5.433,-12.455,28.379,-10.832,-16.995,16.463,-12.582
56.622,55.394,7.966,20.646,27.035,-44.782,-20.623,11.194,-16.53,19.117,-22.915,0.751
56.684,68.069,31.204,-16.214,8.675,-15.377,32.944,8.61,2.194,7.485,-9.517,3.048
56.295,169.114,11.847,-26.692,34.097,-43.613,12.587,8.998,-40.431,-22.695,-0.643,-6.335
58.412,82.616,9.358,0.613,24.655,-25.807,-9.317,-0.972,-19.423,21.916,-6.55,7.565
56.204,75.412,36.501,-4.76,-8.796,-23.369,-39.564,-0.569,-11.127,6.35,-4.363,-12.105
57.481,85.864,5.301,-1.902,-4.338,-23.518,-27.107,-5.297,-14.376,-0.869,-13.035,-12.913
57.855,88.04,35.328,-30.731,13.649,-24.426,29.439,18.078,27.702,4.374,7.858,8.911
57.484,114.086,77.535,-3.058,32.55,-30.16,27.014,-2.482,17.93,21.136,-16.737,13.434
57.841,98.561,65.677,11.065,19.733,-29.115,16.88,-1.928,6.343,9.086,-17.938,25.603
56.201,70.577,3.225,17.942,-0.285,-51.186,1.226,-14.947,-19.286,-0.035,-5.536,8.483
56.783,81.718,45.292,22.986,39.594,15.249,15.421,-1.604,2.382,-1.901,-29.311,10.821
51.537,53.951,74.752,-7.414,22.056,-7.396,-10.781,19.282,-12.446,-8.52,-11.288,11.343
56.216,72.325,48.149,-36.544,-25.058,-4.651,49.497,22.789,-13.966,5.568,13.699,13.147
56.62,73.039,78.577,36.316,-12.938,-12.833,20.932,15.185,-34.574,-13.818,-39.7,19.952
58.6,85.749,38.504,6.491,9.328,-32.865,7.785,-5.647,-14.881,7.661,-6.887,-2.275
56.531,127.43,32.072,-4.576,-2.705,-12.723,-16.507,-7.747,1.019,-14.975,3.215,-14.702
55.065,98.3,3.385,1.89,11.59,-15.278,-24.423,-7.076,-16.175,-6.685,-34.962,3.329
56.242,69.959,33.644,-57.557,8.199,-35.875,39.196,5.262,-1.912,14.686,-2.925,7.754
58.785,84.509,54.864,-11.193,43.873,-55.288,4.515,10.917,14.946,-7.944,-2.233,30.801
57.96,75.06,7.731,12.783,47.694,-54.347,7.061,16.844,9.946,7.706,-12.699,15.351
55.049,77.98,33.983,-9.85,25.453,-8.298,23.187,3.904,-19.645,-1.54,-26.624,2.333
50.373,37.985,44.532,-7.985,36.145,-28.113,13.769,1.234,-14.867,9.232,-9.416,8.695
56.902,89.64,41.164,-33.439,-0.306,-10.307,-1.946,23.151,7.281,0.717,18.977,-39.027
59.119,103.968,30.34,-1.817,-3.988,-45.737,-18.247,9.962,7.377,10.163,-1.936,-13.625
57.0,93.114,60.62,-0.054,19.974,-26.127,-19.357,27.132,-22.3,7.779,-16.061,-29.767
56.674,87.847,6.74,-27.005,14.199,-8.736,6.632,3.746,14.246,10.147,-12.432,-24.467
54.053,81.332,-2.423,1.527,-9.079,-36.251,-14.688,-43.408,-18.75,5.026,8.92,-13.687
56.064,95.289,10.249,-44.457,5.075,-11.492,12.494,14.916,0.84,-5.103,-14.209,-13.336
57.12,92.66,-4.684,1.797,21.671,-33.636,-0.421,2.012,-16.734,-12.054,-36.525,-0.857
56.807,69.91,19.496,-69.263,30.122,2.936,3.753,16.327,3.185,1.173,5.823,-36.151
58.48,109.887,26.131,17.355,53.921,-22.998,-1.218,8.539,26.445,4.703,-41.113,-20.227
54.206,62.421,35.428,-17.426,19.334,5.955,-32.92,-13.319,-5.083,-6.905,0.935,-3.612
57.292,76.898,39.848,10.515,6.772,-15.11,0.247,7.682,0.119,9.381,-15.892,-12.146
56.38,83.66,-3.774,3.826,13.118,2.062,-12.026,-7.138,-15.739,11.321,-8.65,-4.696
