0,1,2,3,4,5,6,7,8,9,10,11
0.002,171.093,9.431,-28.531,57.457,-50.081,14.871,5.313,-27.216,0.981,-10.643,-7.227
29.338,98.365,155.465,-333.763,67.898,179.011,81.616,-10.689,-20.032,80.207,-10.761,-4.391
50.017,87.616,26.435,-15.667,27.414,-36.725,2.655,9.383,7.137,-6.94,-3.941,1.122
46.322,154.764,123.533,13.164,4.66,-27.81,15.65,12.026,-16.668,-2.229,2.174,15.468
49.006,82.728,41.724,-31.645,-5.944,-15.289,-5.327,-12.267,-11.455,13.833,-6.371,26.604
49.303,198.411,35.003,25.296,36.21,-42.489,7.915,-9.747,-3.876,-43.192,-6.84,9.245
48.422,90.311,42.473,-7.284,-17.916,-24.737,-7.105,20.341,-11.475,7.994,-1.549,15.045
49.217,131.503,34.126,-26.231,22.119,-16.289,17.649,-57.53,-9.295,-5.166,-10.303,8.167
51.105,66.237,3.225,-21.204,3.481,-35.288,-19.17,-15.04,-20.33,-13.538,-4.943,5.077
51.431,138.58,10.544,-42.379,20.84,-39.075,-24.912,55.974,-10.591,-14.917,15.645,12.057
50.384,110.137,21.708,-22.122,22.759,-27.16,-16.718,-30.603,-19.737,44.5,-15.826,19.335
48.929,86.021,45.639,11.921,7.869,-39.518,-13.076,23.542,10.981,-0.667,-1.244,2.618
48.622,188.116,86.714,28.832,22.455,5.009,11.651,-55.015,19.751,-9.586,-18.051,-7.256
49.738,70.77,28.365,-44.151,-15.23,-26.194,-17.886,5.116,-14.048,12.595,2.917,7.092
50.737,123.52,35.597,-6.511,1.026,-23.536,3.1,-11.574,-11.651,1.949,-23.546,1.149
49.352,91.138,38.418,-30.235,-12.062,-10.798,-27.824,14.611,-19.795,6.965,-7.938,4.945
50.524,69.453,49.749,-17.475,18.209,-7.166,-19.46,16.394,-3.194,11.565,-7.507,1.477
49.756,203.095,39.808,-20.413,37.6,-25.227,-6.64,49.924,21.391,-43.305,10.608,-4.362
51.153,91.5,52.716,-18.031,8.869,-10.877,-33.352,-12.016,-26.299,6.312,0.904,10.013
49.785,193.871,43.778,14.313,37.314,-19.377,-4.173,-66.742,-17.527,1.073,-16.629,17.856
50.375,74.863,58.936,-11.007,24.073,-11.631,-28.467,0.501,-8.86,17.499,-1.779,8.671
49.383,91.461,72.907,-22.178,22.017,-10.453,-2.398,6.11,-6.592,8.8,-19.547,12.409
49.665,56.24,74.682,-18.772,38.569,-35.953,-43.41,-1.571,1.916,-0.708,7.028,4.296
50.197,165.605,49.753,0.165,35.188,-46.065,-14.354,74.965,-1.811,-44.561,7.643,8.956
50.561,86.588,54.69,-0.646,28.855,-22.99,-8.727,3.123,2.552,7.962,-5.739,-4.07
46.279,207.675,105.452,23.851,62.032,-26.966,8.707,-22.683,-13.106,-0.687,-2.484,-2.926
49.745,151.992,105.098,-12.432,38.05,-10.398,-29.759,-13.059,-23.672,22.072,-7.347,0.253
50.418,159.712,54.857,-4.932,55.345,-34.118,-7.163,0.661,-9.298,-51.59,-2.358,-8.33
50.621,130.609,23.658,-32.637,-11.849,-45.711,-21.263,52.176,-0.132,14.148,16.468,4.861
50.794,172.983,38.497,-8.873,16.386,-32.409,-30.337,41.712,-15.323,19.828,0.294,12.984
49.508,76.215,19.426,-22.08,-11.798,-25.366,-19.816,3.968,-18.508,6.778,-3.92,22.902
46.434,83.736,14.615,35.229,12.606,-31.359,-26.574,30.645,-12.776,1.347,-28.645,6.972
43.033,136.475,30.416,-83.991,21.723,17.734,8.736,-44.86,-5.694,-30.414,-2.453,15.685
49.576,62.77,-13.134,-18.442,14.009,-3.306,-23.555,7.921,-22.447,-4.75,-40.616,1.941
52.692,122.992,61.794,-115.367,58.741,31.282,47.864,-5.779,-8.221,5.478,-18.684,7.167
58.002,101.023,54.902,-22.534,57.034,-41.458,51.611,16.467,6.882,5.976,-17.628,-0.559
58.165,109.257,49.488,3.885,52.36,-43.185,56.53,14.004,11.961,19.465,-19.643,-7.474
57.889,96.54,44.096,1.29,47.322,-56.376,24.92,14.508,-0.046,26.352,-1.81,7.125
57.62,108.869,35.816,-6.372,38.369,-47.622,30.941,12.351,19.743,27.262,-4.931,2.588
56.726,96.827,45.757,-10.413,41.944,-36.039,13.277,5.933,26.446,14.064,-13.667,-0.95
56.948,69.57,33.27,-1.496,43.821,-48.384,10.698,16.272,16.454,18.809,1.857,-15.998
56.506,97.757,24.262,-15.837,32.832,-36.727,14.141,-2.092,-0.818,20.244,5.28,-2.9
55.89,86.921,25.998,5.234,32.388,-41.445,30.444,5.394,9.092,10.52,-9.7,-2.416
55.533,85.029,24.691,-26.46,18.715,-58.597,1.479,20.577,-4.365,1.238,-2.472,7.726
56.155,101.33,13.364,3.996,17.191,-47.577,-0.254,9.704,-5.333,18.1,5.35,3.87
56.495,106.507,10.263,-26.321,27.472,-29.445,9.838,15.649,2.671,29.751,3.176,10.607
56.173,116.397,27.889,12.919,23.473,-27.439,27.509,-15.759,12.15,11.001,-24.439,20.882
55.99,90.514,1.34,-34.183,27.988,-21.608,13.766,-9.004,-1.757,-23.48,-1.76,20.637
56.303,121.36,10.833,-1.399,36.227,-29.397,23.334,17.936,-0.86,-16.629,-15.17,10.527
54.522,110.333,9.776,-20.914,27.521,-34.926,25.643,-30.892,-16.006,14.318,-23.076,12.385
55.636,123.792,24.892,-21.247,22.99,-30.66,0.127,12.856,-3.405,-12.055,6.517,17.965
56.835,105.646,12.437,-20.915,15.279,-59.553,-2.822,9.416,-2.319,-0.686,-3.135,-0.515
55.692,96.317,34.029,-3.375,12.329,-37.163,20.272,11.218,-13.424,14.503,-15.988,1.204
55.843,98.749,8.025,-22.342,19.533,-25.022,25.116,-20.675,-7.179,25.142,-14.325,4.208
55.928,95.911,41.67,-7.643,43.512,-35.445,28.129,2.113,15.662,2.855,-17.989,-10.285
56.829,116.522,17.211,-8.483,44.022,-39.066,34.055,-4.669,-2.172,10.312,-0.488,2.592
57.386,95.523,49.389,-6.254,66.622,-40.284,48.831,20.673,14.8,15.216,-4.144,-1.957
57.811,99.857,25.565,-16.021,41.611,-62.556,20.137,17.529,5.998,5.21,-7.71,13.316
57.062,110.179,16.531,-5.309,31.989,-65.149,43.099,17.727,10.834,11.412,-6.995,-2.357
57.07,100.688,45.177,-7.133,48.19,-50.401,40.931,7.784,7.535,22.002,-4.768,5.092
56.852,97.538,25.425,-7.136,33.227,-44.028,18.671,14.316,32.428,11.557,-7.539,-13.626
56.263,89.226,45.742,-10.583,49.25,-37.326,17.514,-7.276,19.924,21.828,-5.747,-1.786
56.25,55.789,19.859,-6.372,34.425,-54.636,12.525,12.302,13.668,9.148,-19.751,0.736
52.524,84.786,7.624,-5.668,-8.748,-70.862,33.885,10.357,-6.372,11.853,-17.914,18.31
53.034,91.47,35.924,-25.334,19.797,-23.81,24.48,6.847,-2.056,6.993,-10.769,1.824
53.729,72.963,-3.625,-21.782,19.542,-51.575,16.543,11.059,-3.898,5.238,17.478,6.658
