0,1,2,3,4,5,6,7,8,9,10,11
0.046,170.369,7.398,-29.152,55.757,-50.374,16.627,5.507,-26.623,1.526,-11.135,-8.065
18.394,173.146,183.942,-171.606,32.8,69.615,38.872,-18.926,-40.883,20.386,15.306,-13.739
47.072,124.997,71.702,-56.688,8.897,34.421,-9.152,-52.39,-16.129,36.287,6.541,-1.376
47.834,88.705,87.449,32.322,34.038,-4.546,-29.71,12.983,-6.488,18.508,-46.134,-4.073
29.534,115.989,118.646,79.444,19.096,36.938,7.239,-31.652,-34.457,5.376,-79.89,-12.826
44.074,25.318,89.399,-102.962,25.223,61.483,3.761,6.95,-2.01,7.857,61.158,-4.49
49.746,65.901,76.297,14.976,32.087,-24.735,-31.959,17.616,-7.242,3.404,-14.117,1.542
46.841,60.873,62.885,103.734,21.44,13.183,-32.609,30.82,-20.849,4.994,-61.565,-8.383
43.447,37.301,50.834,84.172,25.435,70.037,-40.076,26.645,-26.377,6.933,-27.312,-10.554
47.565,94.191,70.962,-30.758,22.702,16.407,-36.31,-1.916,-7.206,24.766,8.312,-16.55
47.42,39.438,64.357,76.413,45.409,5.091,-21.627,11.486,12.787,5.081,-58.178,9.627
16.008,101.928,145.108,-1.857,15.65,-4.629,12.358,8.346,-36.885,-9.796,7.802,-20.808
32.749,122.452,205.927,-224.158,59.325,74.179,18.692,-29.773,-35.424,34.939,-8.844,10.979
48.757,41.226,100.388,-14.535,49.336,-28.589,-1.565,-12.918,-1.83,16.523,4.479,9.786
50.172,50.787,107.14,22.596,27.606,-27.427,-8.796,-5.828,-9.446,-0.705,-9.903,-24.088
46.068,22.706,48.292,62.659,-1.285,15.072,-42.307,-21.95,-20.104,-6.429,-19.984,-27.69
45.548,70.376,58.882,49.173,-9.081,52.434,-38.443,-21.631,-42.09,-4.596,-63.728,-9.651
48.78,55.935,94.007,-17.739,23.535,2.655,-0.016,49.318,-5.469,-15.804,20.562,4.867
46.92,67.22,91.021,93.803,59.265,-32.07,-19.696,35.415,12.641,-1.628,-46.111,9.314
46.699,165.638,109.561,-39.925,32.814,74.441,7.783,-71.917,-20.156,63.019,4.371,3.929
48.559,102.871,76.813,-4.331,-8.952,-12.282,-38.916,-14.507,-8.776,-8.46,-9.263,-7.878
48.768,61.64,67.948,19.648,10.731,1.773,-19.717,8.383,-8.479,-0.452,-39.203,-6.032
39.774,94.196,93.758,-9.284,10.617,4.518,16.218,-48.893,-18.259,-8.579,-36.729,-1.788
47.146,32.775,92.937,-67.445,31.501,-23.19,-23.933,4.139,5.129,6.769,17.446,-22.56
49.704,95.006,121.195,14.542,26.139,-17.03,-40.862,18.009,3.553,-14.27,-3.989,-21.384
50.506,100.365,90.525,37.526,23.944,-32.077,-30.414,-12.408,-8.42,20.87,-20.217,-9.514
52.357,68.648,103.393,34.958,58.403,17.645,10.557,-5.649,-9.16,32.03,-14.674,-4.525
54.276,84.581,77.281,-8.413,54.73,11.895,3.505,-27.388,6.104,19.287,-3.635,-1.58
55.417,85.382,59.514,-43.567,40.316,-21.548,9.258,-14.388,-5.561,-3.431,1.124,2.177
55.9,62.308,70.438,33.084,42.74,-40.158,-15.479,-45.538,-24.054,19.564,-10.046,-28.509
56.206,63.16,88.51,7.251,38.004,-17.087,-5.286,-3.08,-0.942,-3.929,-10.831,-5.29
56.752,55.096,55.424,-3.315,28.472,-31.289,5.364,5.252,15.51,20.322,11.803,-8.115
57.062,51.697,54.61,-9.375,31.834,-51.028,19.751,6.052,36.573,12.526,-10.749,-12.405
56.303,88.705,61.504,-6.93,34.99,-34.845,8.077,0.775,21.854,17.272,-12.86,-17.024
56.743,61.821,49.734,-1.92,27.689,-45.534,28.45,-0.168,24.39,30.533,-3.159,-2.118
57.253,86.14,80.863,-11.93,31.612,-38.879,28.97,11.529,39.588,15.131,-3.762,-1.959
57.186,81.698,51.453,-5.888,21.254,-35.4,2.249,-0.911,14.323,27.874,-1.157,-9.218
55.458,81.623,46.298,-14.873,13.646,-38.112,-0.043,1.753,8.782,10.427,-9.633,-10.805
55.546,73.258,37.706,-16.395,22.552,-38.146,-10.023,-3.025,0.769,11.355,-2.851,-1.583
56.29,82.098,48.642,-7.841,26.15,-34.74,3.971,-4.673,22.502,13.749,-4.807,-4.698
56.56,113.974,36.267,-21.051,10.102,-22.454,-6.332,-2.092,11.822,1.795,-10.85,-27.084
56.716,95.88,45.648,-4.419,3.087,-26.851,13.28,-13.77,7.392,9.902,-16.14,9.15
56.018,86.443,52.732,-10.056,12.331,-31.179,13.23,13.404,11.79,3.065,-7.278,5.359
56.163,102.842,44.563,-26.761,-7.253,-28.102,5.284,4.837,8.724,5.82,-9.438,1.262
55.981,86.143,40.919,-10.491,13.071,-28.757,-0.171,-2.767,15.69,2.549,-28.086,-2.856
55.197,74.97,32.966,-18.079,14.41,-31.92,-18.472,1.038,-1.104,-1.071,-8.987,13.113
55.686,74.18,27.297,-18.141,22.578,-37.619,-17.451,-12.638,8.511,8.591,-5.205,-3.225
55.628,95.949,49.623,-18.105,33.153,-43.268,-6.15,8.256,16.585,25.43,-4.068,-16.996
55.369,80.146,25.529,0.147,-12.993,-39.625,-5.955,-0.983,1.031,17.858,-4.81,-25.781
55.885,99.211,42.876,-9.193,9.0,-21.983,-4.368,-9.629,1.843,3.674,-15.249,-15.341
55.343,61.979,5.703,-6.597,10.383,-57.418,-30.795,0.456,2.993,19.445,15.013,-1.972
55.369,71.048,31.962,-13.844,26.751,-35.97,-19.567,-7.07,1.853,11.471,-4.777,-1.793
55.9,79.288,31.666,-4.37,2.712,-27.178,5.922,5.896,9.7,4.921,-13.952,-6.315
55.902,115.352,52.505,-13.111,11.132,-37.236,4.282,10.418,10.017,-4.142,-5.311,4.566
56.212,124.417,36.157,-30.096,-9.114,-32.069,10.72,9.251,21.3,-2.984,-14.183,-4.101
55.946,54.68,2.422,-19.656,-0.678,-44.731,-36.029,-4.699,-3.382,9.621,-9.066,-5.226
55.651,55.833,29.19,-31.924,23.701,-36.051,-26.404,-0.789,5.515,3.395,-6.138,-7.782
55.4,63.253,36.253,-23.348,19.539,-33.405,-29.369,-11.268,-2.376,-0.907,2.125,-7.615
57.275,53.915,35.495,2.101,38.446,-26.434,-32.834,0.509,0.474,26.237,-3.045,-2.075
