0,1,2,3,4,5,6,7,8,9,10,11
0.036,171.151,10.369,-29.421,57.167,-50.587,14.999,4.778,-27.092,0.908,-9.46,-7.552
48.055,78.339,65.576,-9.519,27.717,12.762,-43.478,-15.844,-10.689,13.163,21.793,-25.915
48.332,81.768,76.096,-13.504,19.343,-39.432,-57.467,-13.634,-15.78,6.073,1.013,-18.104
47.571,45.948,31.857,-29.928,1.817,-20.112,-55.724,10.898,-6.314,-16.88,7.869,-22.785
47.972,65.738,65.009,-28.063,15.19,-21.721,-59.073,-2.472,-10.565,-3.731,0.836,-23.937
48.164,62.679,73.8,-11.774,43.318,-22.65,-50.46,-4.78,12.667,8.552,-2.525,-32.06
47.828,67.789,82.442,-11.858,39.192,-29.234,-49.404,-7.518,-1.811,0.59,-4.542,-33.253
48.191,79.304,74.206,6.669,11.894,-46.963,-64.878,-13.595,-18.091,-10.437,3.357,-24.601
48.603,82.519,63.862,-7.283,21.602,-21.255,-65.404,-13.023,-12.356,-2.329,0.793,-27.014
48.634,86.941,69.784,-7.426,28.797,-23.936,-57.345,-10.657,-9.428,0.707,-4.497,-25.02
48.575,56.381,45.53,-20.331,-3.004,-18.877,-51.979,-4.026,-18.032,-14.275,9.911,-27.204
52.658,150.238,45.279,7.04,49.521,25.169,-57.781,-9.005,-45.334,-16.088,-23.83,-22.218
53.232,104.472,28.272,-69.509,40.369,3.575,-7.068,-12.705,-11.676,-2.941,-15.54,-6.227
56.622,118.971,1.423,10.157,17.246,-10.506,-26.074,1.597,-19.44,-19.16,-42.479,-21.205
55.767,111.566,33.933,-43.921,27.618,-7.536,23.601,-16.371,27.914,11.473,7.215,-29.092
55.494,86.321,-31.293,-10.707,7.455,-39.461,-37.861,-20.469,-3.28,7.873,-14.652,-4.684
57.201,120.197,24.683,-62.277,7.749,14.452,-27.673,15.5,22.933,-24.389,6.809,-22.569
58.048,140.311,42.45,26.752,-11.349,-18.784,-0.53,-26.497,-13.72,14.791,-13.96,-9.641
55.28,145.09,4.996,10.821,-1.145,7.2,-48.317,6.641,-28.233,-1.339,-33.987,-21.27
56.954,142.836,51.629,4.607,2.889,12.222,-13.104,-32.925,10.727,5.615,-3.574,-11.611
56.997,107.481,47.003,-19.308,40.404,2.594,22.987,-8.806,10.582,8.964,-6.696,-19.483
57.864,95.413,52.443,-5.882,17.606,-60.897,22.015,12.834,18.79,16.293,-8.07,-0.352
57.458,144.274,34.02,9.693,27.886,-16.359,-20.251,-3.405,27.519,-25.708,-23.821,14.079
54.988,73.636,-29.186,-20.62,8.364,-20.194,-38.569,-9.052,-21.943,-21.433,-24.781,-12.655
56.067,128.109,-21.683,19.428,-1.01,3.671,-62.481,2.534,-10.434,-38.593,-27.032,-14.058
56.443,120.999,8.303,-21.62,9.201,-2.76,2.273,-16.017,7.546,17.693,9.766,-16.114
53.818,101.455,-3.922,-25.085,35.226,-27.022,-34.502,-11.191,3.086,-0.108,-18.553,-31.638
56.573,101.743,12.643,8.285,14.729,1.83,-44.505,1.38,-11.242,-16.543,-22.208,-23.009
54.894,164.165,-29.906,-33.851,-20.14,-49.508,-14.868,-4.2,-10.217,0.615,-16.58,-34.427
57.479,110.218,53.195,-10.464,48.415,-22.744,6.583,10.568,8.237,32.651,-11.02,-1.773
56.526,124.496,54.847,12.33,37.884,-19.997,10.631,15.007,34.632,4.178,-33.233,9.137
55.141,93.38,-30.005,-39.113,23.198,-24.017,-27.845,-13.022,-3.803,2.528,-2.403,-14.757
57.781,117.256,38.26,-41.845,23.79,4.223,-18.329,1.306,4.999,-3.744,-4.83,-10.366
57.52,132.875,17.531,3.597,-8.568,-34.452,-15.355,-9.534,1.537,11.365,-12.077,-15.229
55.4,164.866,-9.309,50.296,22.844,12.231,-50.053,42.738,-25.128,-20.211,-64.669,-16.007
52.598,125.616,52.325,-65.269,65.708,79.631,11.655,1.572,-5.748,21.799,-30.205,-2.346
56.072,157.345,100.59,40.572,75.468,-24.502,12.362,-14.065,17.181,16.341,2.786,-1.682
54.295,144.849,135.878,30.165,92.208,-33.115,37.408,28.17,23.163,-30.386,2.079,-15.613
58.384,89.602,27.537,13.593,-8.089,-58.261,23.296,11.356,-8.18,17.529,11.574,30.072
58.026,76.642,34.323,5.485,-11.069,-36.16,32.042,-5.367,-14.724,11.026,13.498,28.598
57.694,74.167,5.239,5.866,11.15,-33.988,3.954,6.081,-6.727,13.384,7.341,19.143
56.662,96.544,-6.032,-16.415,-22.052,-54.323,-11.778,3.47,-30.032,12.665,4.101,-6.78
56.034,90.757,11.665,-44.641,-4.703,-16.63,9.067,-2.837,-12.949,-4.508,-24.754,-14.904
57.65,115.564,42.478,10.999,33.891,-21.512,-30.839,4.68,11.975,8.525,-4.088,-21.626
58.116,119.018,2.85,-23.592,22.967,-15.546,-51.444,14.749,-5.241,-9.79,-15.439,2.431
56.771,107.417,23.449,-27.665,21.317,-20.676,17.428,-13.16,-9.479,22.022,-13.178,-21.742
57.252,105.955,27.326,-43.225,27.176,-14.76,-10.828,1.825,-1.602,3.493,-5.93,-18.019
57.673,82.932,97.362,-16.442,73.156,-35.178,-9.076,1.556,17.245,10.243,-10.431,0.225
58.726,81.229,8.655,12.365,2.166,-27.426,7.019,5.445,7.686,0.832,-18.665,-16.098
57.221,106.708,8.452,-32.994,6.014,14.081,1.455,2.509,4.417,2.822,-19.374,-14.084
57.423,111.912,-12.633,-31.6,-9.891,-45.363,-8.639,9.397,-32.482,2.175,-21.413,2.795
58.026,127.439,52.28,-21.839,10.684,-18.622,-45.585,21.701,-11.178,-10.015,-3.21,-30.132
58.596,112.34,19.63,1.095,25.634,-41.086,-16.497,-7.455,-5.054,31.284,8.028,5.343
57.714,70.949,37.001,-25.476,24.28,-40.138,1.077,23.102,11.391,18.76,-6.731,-28.065
58.09,87.972,13.095,-12.143,3.67,-29.085,0.654,6.328,-9.853,8.441,-0.158,3.898
56.482,90.184,-9.323,-27.538,-5.937,-25.031,-23.97,2.357,-15.985,-4.758,-0.071,-10.151
57.756,83.596,30.376,-21.847,19.995,-30.198,34.293,-7.555,7.488,16.228,-16.777,-3.41
57.801,96.975,25.913,4.389,32.029,-41.096,6.957,3.217,0.078,15.641,-14.92,-12.41
58.182,122.168,23.394,-18.832,25.101,-0.323,-25.119,12.882,15.161,12.792,1.154,3.622
57.477,119.172,3.726,-17.389,-5.807,-19.886,-3.124,-27.131,-18.129,23.708,-22.712,-10.457
57.646,90.728,10.732,-10.072,18.581,-8.169,-11.753,-1.1,14.763,-5.729,-35.037,6.143
55.597,105.162,67.175,-35.472,68.044,-24.808,-12.46,-4.744,18.565,11.948,-11.069,-17.307
58.25,68.464,21.686,-10.827,4.653,-33.021,-2.661,20.615,0.572,17.005,-38.553,-2.655
58.126,109.076,12.811,-17.126,4.263,-20.516,6.237,-30.375,-11.734,12.846,-16.602,-13.986
57.862,88.197,15.914,-6.768,-6.15,-12.697,-14.322,-7.592,-9.413,-6.041,-10.02,-12.73
58.227,108.034,-12.756,4.867,-15.865,-32.996,-20.484,-14.098,-31.666,-3.099,-27.508,7.969
57.293,74.012,21.582,15.497,15.748,-21.506,0.255,7.278,-2.058,6.797,-15.627,-21.976
54.246,80.517,24.362,17.746,41.598,-5.802,-55.249,-12.603,-8.074,3.714,-10.378,-4.629
56.91,87.314,-1.559,-8.652,27.086,-8.556,-40.197,19.533,-12.061,15.216,4.451,-13.981
57.182,93.736,18.5,-47.102,15.177,-24.099,17.654,-18.885,-5.811,7.299,-12.378,-18.247
57.987,75.147,10.332,-5.736,-2.078,-51.622,-11.592,7.987,1.845,9.146,-21.016,-8.312
55.555,98.041,-22.714,-36.394,7.418,-23.163,-32.867,-7.768,-23.758,-7.953,-0.501,-11.555
58.065,109.399,16.646,-19.811,-8.131,-33.438,0.606,-10.827,-9.392,21.623,4.055,-16.656
57.286,86.281,34.62,-12.735,5.32,-23.554,19.986,1.895,5.763,3.192,-18.625,-16.696
56.019,88.25,60.951,-16.985,43.642,-16.509,-12.586,-2.843,-2.0,6.052,6.503,1.369
57.575,105.009,71.13,2.482,40.268,-23.078,-22.6,2.317,-16.078,16.681,-10.515,-4.794
57.691,99.844,39.924,-8.008,0.516,-26.526,12.752,-12.64,2.496,0.776,-15.838,-17.653
56.616,67.591,-7.585,-18.555,20.549,-40.598,-34.123,17.77,-13.616,0.859,-19.787,-4.438
56.758,98.101,52.905,-25.785,42.715,-10.293,-40.111,-2.773,9.766,-14.633,3.019,-14.263
57.936,94.473,34.815,13.622,19.276,-30.304,17.221,16.21,4.37,15.105,-17.438,-3.143
58.039,72.576,28.558,-6.947,19.901,-32.914,5.537,7.057,-0.429,13.356,18.011,-1.437
57.477,86.809,60.616,4.309,39.267,-31.971,12.467,17.107,5.416,6.776,12.378,9.157
58.283,78.987,22.798,6.041,-14.154,-54.855,36.889,-1.029,-4.438,15.503,5.37,15.156
57.298,75.337,18.693,-2.438,-1.016,-21.991,2.541,3.018,-3.701,-1.02,-9.22,4.545
55.901,88.179,-17.002,-45.023,13.477,-8.318,-30.23,-11.662,-20.652,-13.994,-1.984,-3.881
57.124,65.366,15.206,-46.133,22.319,-15.35,-12.944,14.263,5.115,-5.474,-4.11,-15.235
56.777,99.998,24.651,-37.028,9.683,-19.92,6.796,-18.852,-8.129,16.493,-7.942,-17.792
58.066,103.548,40.228,0.444,26.903,-15.13,-19.928,3.516,-6.285,17.57,-15.126,-7.849
55.373,142.992,30.912,-50.503,25.205,-19.194,16.831,-55.24,-9.835,11.6,-13.137,1.812
56.887,88.374,-1.667,12.181,31.95,-51.821,-14.916,30.481,-4.29,10.171,-15.857,-7.293
55.468,100.034,59.504,-32.006,83.969,-23.132,-1.07,-7.265,18.488,15.108,-11.798,-24.501
57.548,87.594,30.017,-20.806,42.945,-33.039,7.637,-3.16,23.106,14.967,-11.781,-10.156
57.349,77.693,32.896,-0.577,-12.607,-51.584,37.978,-3.47,-8.658,16.293,-3.912,11.132
57.75,80.331,31.833,6.154,15.992,-36.114,26.561,5.839,0.235,3.433,11.716,16.006
57.131,71.384,47.691,17.333,50.339,-41.241,2.413,9.383,-2.829,4.162,16.464,8.775
53.892,79.253,-1.896,-68.592,28.709,-25.798,-76.986,5.125,-20.479,-11.267,13.22,-9.737
55.235,109.93,-1.197,-29.7,62.462,-24.714,-74.168,-17.637,-34.193,-23.406,-3.272,-8.522
55.578,84.362,45.023,-64.488,49.764,18.981,4.54,-15.25,2.172,-6.571,-7.518,-8.002
58.351,86.734,2.541,-15.919,8.843,-44.314,-16.546,10.548,-8.141,1.573,-17.486,-2.627
56.915,89.247,2.04,-8.641,9.248,-15.489,1.422,-21.817,-10.473,22.124,-13.46,-16.139
56.632,71.486,14.839,-46.675,13.048,-21.648,-10.153,9.54,-8.122,2.771,-2.731,-16.571
57.425,97.518,12.225,-26.317,8.72,-25.624,5.464,-21.035,-11.348,27.656,-3.438,-6.688
58.072,68.483,36.749,-17.061,21.727,-31.465,5.607,3.451,19.142,-6.12,-8.654,-16.423
58.721,88.421,9.853,-18.847,19.256,-51.998,-10.84,13.125,-7.833,0.105,-14.624,7.186
56.954,108.272,19.166,-34.915,-3.039,-35.465,4.351,-19.712,-16.188,18.533,-10.639,-10.112
57.309,104.223,-0.147,-23.922,4.907,-28.075,-30.403,-5.68,-19.329,0.977,-11.749,-25.075
58.106,97.81,22.335,-10.278,5.845,-38.18,1.255,-11.205,-14.816,21.686,-8.056,-4.224
57.229,91.893,25.075,-8.857,1.777,-29.96,18.614,10.954,-1.334,3.829,-9.969,4.263
56.459,95.959,14.893,-52.581,-5.049,-22.476,1.474,-7.286,-8.387,0.808,-9.8,-12.747
57.556,94.205,21.631,-11.9,-13.26,-39.694,10.557,-1.78,-14.68,20.5,-13.33,-6.989
57.709,84.569,19.307,-17.702,0.235,-21.874,6.85,-16.469,1.083,23.044,-8.979,-2.921
58.795,84.855,11.304,-2.625,22.582,-38.407,0.926,-11.808,-17.286,0.013,8.32,0.337
57.213,110.291,-0.01,-4.129,-19.318,-44.945,-38.948,23.572,-19.607,-8.251,-13.317,-4.362
57.352,103.325,16.412,-25.886,-6.612,-28.789,-5.583,-4.191,-7.463,23.049,-14.761,-13.405
57.519,87.141,26.84,-2.773,-13.195,-40.144,28.758,-5.886,-5.926,16.562,7.522,3.138
58.197,84.055,20.571,-19.72,16.687,-40.145,-1.372,3.758,13.871,12.06,-0.612,-14.331
58.542,100.899,-5.607,-5.107,1.019,-30.411,-11.647,-19.37,-11.27,17.942,-17.931,0.343
56.746,99.213,7.974,-35.192,5.788,-22.68,12.824,-27.223,-0.665,17.273,-5.561,-9.743
57.858,76.468,31.257,-21.88,28.401,-40.245,7.259,-12.73,2.882,3.995,-5.358,-17.33
57.287,98.318,-6.567,-16.007,-10.997,-54.788,-27.763,31.257,-6.464,-15.236,-7.226,-8.276
57.346,91.162,20.524,-27.964,6.306,-35.481,0.517,-9.748,-17.938,30.128,-11.73,-11.86
57.702,98.094,16.478,-6.046,6.479,-26.289,-22.568,-14.494,-8.454,-0.609,-16.941,-13.932
56.285,91.138,24.074,1.855,-12.907,-28.379,17.994,1.74,-10.022,1.084,-1.6,26.126
57.12,93.838,35.496,-11.279,10.31,-13.981,30.365,10.715,-14.18,11.166,-9.746,26.99
57.309,96.376,40.908,-10.543,19.358,-18.065,2.996,-6.822,-21.356,-4.051,-5.979,32.864
58.072,74.879,23.068,-3.063,29.737,-32.597,11.211,-10.024,5.122,24.469,-1.819,-3.915
58.024,74.066,24.167,-6.25,12.744,-62.111,13.081,2.51,-3.219,24.563,-10.064,-19.569
56.432,113.411,-11.211,-3.384,0.459,-54.578,-23.981,18.373,-11.449,-10.877,-2.933,-8.959
57.544,88.52,34.438,3.702,1.925,-32.382,6.645,-10.247,-0.215,14.954,0.601,-23.125
57.645,74.86,26.759,-27.385,18.733,-16.145,8.139,1.364,20.446,-4.949,-5.693,-20.966
57.899,84.448,27.206,-12.813,15.235,-55.605,5.826,-0.116,-3.079,6.626,-11.299,-35.215
57.783,85.753,26.324,-1.524,1.338,-23.976,-0.452,-2.951,6.548,0.262,-26.344,-23.642
56.671,86.567,-1.533,1.538,-10.502,-26.783,-18.927,19.81,-13.541,4.39,2.338,-4.441
