0,1,2,3,4,5,6,7,8,9,10,11
13.14,118.604,71.243,-24.734,91.751,-29.414,-28.084,-54.481,-20.227,41.487,-13.173,13.092
38.588,53.275,118.087,-99.969,103.428,102.899,-25.858,16.292,14.658,-8.952,42.45,-27.236
41.624,168.448,189.923,23.52,111.694,41.076,-5.904,-73.817,-18.488,21.158,-27.605,7.676
43.734,143.035,139.511,54.917,104.238,-4.526,-29.727,29.466,24.999,1.764,-0.073,16.413
45.753,111.205,81.39,66.362,33.819,0.452,-24.495,-39.978,-34.771,77.72,-18.253,9.162
45.696,129.794,42.017,17.564,-18.877,-4.758,-19.071,-30.624,-23.313,18.378,-31.301,-5.4
45.621,101.586,76.794,15.873,11.364,1.213,-20.467,-29.396,-28.066,35.401,-11.478,-7.508
42.855,77.303,68.696,-10.081,6.724,-13.448,9.578,-27.465,-22.655,-4.142,-17.36,0.416
44.749,55.373,73.149,24.692,13.605,5.379,16.754,-9.238,-1.476,-8.924,-21.37,0.6
46.26,68.464,52.412,30.848,18.208,-5.72,4.339,48.207,-37.457,-4.701,-6.134,19.029
44.529,85.909,132.168,75.586,31.962,-41.857,15.422,14.358,-10.425,10.287,3.248,-13.22
38.657,87.593,128.848,90.633,69.445,-14.771,-61.776,-2.097,-5.532,0.468,-19.885,-11.555
35.29,122.456,129.379,39.664,39.637,-1.102,-11.034,-5.432,-38.016,-20.287,-1.387,-3.684
44.401,92.284,114.121,17.958,57.233,41.888,41.462,-37.473,10.95,18.305,13.961,5.588
46.346,59.6,66.363,19.132,14.562,-7.667,-10.66,-10.258,6.335,15.669,4.175,-23.885
46.026,92.564,86.412,16.962,20.196,3.487,15.555,21.751,-43.443,26.867,-0.382,14.112
46.263,176.977,21.172,-31.597,11.027,-12.858,-10.038,5.435,-3.982,-28.689,22.25,13.343
48.088,72.084,75.744,47.039,37.87,-20.032,3.641,-16.857,-5.996,0.83,-12.27,33.999
44.536,25.747,71.835,32.672,14.885,-24.205,28.97,14.121,10.723,-1.864,-27.952,13.422
41.347,65.608,16.902,-40.788,-22.422,-7.984,-4.301,1.083,-19.356,-15.006,4.672,2.297
46.195,87.229,49.557,33.455,-7.41,39.206,12.159,-10.819,-19.849,2.62,-11.197,11.037
47.102,81.598,84.216,25.405,-2.543,-30.29,-1.561,-9.024,-49.973,39.441,7.717,13.034
47.896,60.186,69.231,34.039,29.194,-23.903,57.208,-4.714,-18.417,-23.236,-11.464,27.548
46.335,26.857,87.919,35.453,54.007,-43.178,11.422,18.249,-3.902,22.136,-16.755,9.645
45.831,60.308,73.935,-2.293,23.973,4.163,19.913,-2.678,-24.835,20.498,-0.745,-0.041
45.471,64.432,76.944,-29.648,4.415,16.876,4.649,25.809,-21.671,-1.556,-25.32,8.271
45.636,114.851,20.157,-15.796,4.451,-11.313,-8.283,-46.353,0.788,0.627,-5.197,4.054
45.527,82.226,121.896,50.649,76.377,-43.371,-18.55,23.603,28.905,-11.894,16.675,-8.359
41.306,145.502,217.362,107.876,87.27,-21.056,-14.545,-15.256,-18.249,29.649,-24.486,1.883
41.496,192.158,108.147,-50.676,42.459,24.132,22.867,-95.321,-19.712,36.882,-46.494,13.232
45.851,95.835,66.077,-14.243,0.027,-7.271,21.176,-53.473,-8.693,27.647,-27.358,-4.699
45.689,82.892,88.013,25.051,13.839,2.137,1.861,49.766,-28.198,-40.189,-30.199,14.189
46.179,47.137,92.124,27.675,21.114,-30.006,35.557,-2.514,-7.157,34.97,3.271,18.293
44.951,25.696,90.09,15.097,21.461,-50.471,30.625,24.042,-6.662,11.922,-10.154,19.164
41.691,143.204,-42.171,15.919,18.923,-57.751,-13.971,-11.882,-16.087,0.551,-15.47,11.875
52.173,89.586,-28.688,86.739,8.198,-62.646,-32.871,5.012,-8.542,-11.499,-20.459,12.799
53.495,105.127,-34.99,-26.449,-4.598,9.474,18.897,10.476,-0.843,16.975,30.732,2.408
52.443,70.732,-13.776,-30.778,-9.171,-31.366,26.122,-5.069,4.925,17.263,5.668,2.735
53.914,72.768,-24.981,-0.73,-2.197,-45.994,-1.422,7.222,-7.454,8.864,21.256,-2.629
51.957,60.692,-14.349,-21.188,-15.647,-61.164,4.997,2.68,-8.125,10.672,-17.406,17.006
52.904,84.938,-25.512,-24.9,-7.817,-59.022,15.975,6.651,-14.636,17.32,0.386,0.197
52.88,83.94,-22.751,-17.354,-2.495,-32.17,18.543,0.435,-0.979,3.595,-11.535,-3.695
52.165,64.561,-5.773,-26.082,-20.657,-62.159,13.679,2.96,1.566,13.44,-10.783,8.032
51.983,66.349,-6.165,-10.886,-20.256,-61.811,21.492,-0.019,0.243,16.417,-7.854,18.064
