0,1,2,3,4,5,6,7,8,9,10,11
0.217,166.759,3.943,-34.181,52.663,-50.374,17.867,1.1,-28.195,2.112,-11.474,-5.427
3.968,120.261,0.009,-81.103,18.946,-41.657,34.462,-21.349,-53.322,4.186,6.046,-4.168
11.779,61.062,22.066,-44.182,1.925,-34.068,14.187,7.141,-29.923,-1.163,-2.254,-3.214
15.627,46.321,27.964,-56.916,-2.945,-25.68,11.2,-0.995,-18.322,10.633,-6.493,2.508
21.315,41.538,32.035,-58.283,-2.668,-22.441,17.587,0.489,-16.605,9.715,0.039,4.694
31.003,57.443,36.262,-121.645,5.833,-33.065,32.316,11.881,-18.0,15.762,38.142,1.341
49.241,91.055,15.177,-110.994,4.58,-7.976,28.125,-17.022,-18.702,19.211,-1.445,-0.39
54.446,78.211,18.584,-6.887,-19.459,-35.69,30.618,3.126,11.979,4.228,7.872,5.701
54.3,93.403,-34.307,-11.171,-17.255,-75.566,-6.866,23.019,-28.835,-20.185,-0.703,-3.775
53.808,72.02,-8.716,-33.873,2.299,-33.109,5.261,-10.791,-13.735,9.848,-22.16,1.574
52.539,63.727,-12.287,12.009,-16.612,-23.401,6.168,-2.99,-7.668,-13.51,-20.247,6.404
51.649,66.202,-13.452,-41.431,-5.359,-15.75,7.152,9.525,-4.47,-12.056,-16.906,-8.85
53.448,76.798,30.131,-39.371,-26.033,-19.751,21.672,25.48,-2.506,-10.306,-10.074,15.64
54.952,86.921,12.205,-3.484,-4.086,-20.803,10.099,15.78,-16.423,-3.86,-11.547,6.445
53.918,82.606,37.27,-28.183,-2.965,-38.471,15.072,-1.3,-7.988,7.26,1.101,-0.953
54.139,63.865,11.162,-1.302,-23.026,-57.088,15.174,-26.718,-5.308,15.321,-10.749,-2.461
53.132,76.811,-14.842,-6.29,-6.566,-19.732,11.317,2.198,-1.694,-19.29,-8.838,-8.767
52.196,73.57,13.142,-77.708,-11.128,-28.003,16.207,15.825,-1.805,5.18,-3.135,-16.446
54.363,79.707,-19.696,2.189,1.667,-58.911,-7.32,-11.046,-8.357,5.378,19.31,-5.872
54.644,88.995,30.754,-14.155,-34.993,-11.782,20.979,4.848,-0.255,-3.248,-7.186,-5.645
54.599,84.302,54.532,-23.01,-18.555,-36.045,29.236,13.739,-5.468,6.896,-14.78,-9.227
55.526,74.22,61.288,2.395,-17.057,-26.516,43.108,14.29,-15.791,0.649,-16.158,6.461
56.4,79.942,29.113,3.964,-10.912,-18.471,18.962,2.16,-30.402,-13.211,13.328,-6.31
55.174,66.027,76.379,-20.981,-14.215,-21.055,39.065,10.37,-29.189,-4.074,-7.898,-0.537
56.322,92.106,37.102,1.588,-0.769,-38.171,26.498,17.281,-15.627,-2.998,-3.63,-3.254
56.628,106.989,49.046,-5.446,-25.806,-30.64,-5.204,-2.683,-55.845,5.515,-8.223,-33.463
56.659,86.175,60.735,1.412,-16.288,-27.813,26.271,2.826,-33.311,0.314,-13.64,-17.911
56.508,81.491,22.555,-13.62,1.267,-71.275,10.275,17.107,-41.089,-14.752,0.968,7.954
55.212,63.772,-4.607,-17.424,0.842,-68.792,-0.544,4.279,-23.408,-4.58,-12.363,15.826
53.504,67.631,5.442,-1.501,-13.914,-30.536,6.983,3.36,-5.898,-15.391,-7.779,7.182
52.106,58.771,4.852,-18.024,-0.743,-23.983,-2.216,17.033,-4.251,-10.85,-24.385,-0.05
53.536,93.998,1.431,-27.922,-40.008,-12.435,11.402,8.219,-0.974,-9.729,3.169,-0.553
54.602,72.295,-5.964,-16.877,13.914,-72.247,-14.414,0.614,-9.476,-4.761,2.654,2.0
