0,1,2,3,4,5,6,7,8,9,10,11
7.415,156.25,79.979,-227.06,35.623,-120.605,53.928,-72.845,-26.062,20.529,141.971,-26.465
53.604,107.462,-16.572,-24.507,-9.075,-21.481,-11.444,8.141,-4.342,19.02,11.432,4.597
54.124,87.298,-17.424,-18.185,-11.768,-55.731,-24.408,9.061,-5.413,-1.873,-3.823,3.472
53.849,102.57,-14.073,-5.972,-6.119,-54.082,-33.08,18.853,2.247,10.09,21.425,3.188
52.066,109.94,-9.394,-19.451,-20.525,-56.308,3.559,-5.318,-0.668,14.646,4.329,11.859
53.682,98.442,-5.027,-3.14,1.484,-49.315,-18.105,25.21,4.364,13.275,20.402,11.895
52.224,106.734,-1.927,-18.714,-13.055,-50.547,-6.231,-4.733,2.579,11.932,16.484,7.419
53.066,100.483,-5.48,-13.168,0.577,-10.598,-11.151,16.742,0.707,-1.486,-0.577,20.89
51.592,82.525,-15.078,-27.74,-14.572,-60.879,-19.91,-4.547,-0.427,20.76,-6.111,6.92
54.071,89.083,-18.948,-15.863,-12.496,-64.886,-18.899,20.672,0.549,3.287,0.078,13.45
53.592,86.125,-31.164,-26.505,-22.155,-55.876,-26.695,14.053,-2.696,-6.339,-7.555,18.468
53.343,90.848,-32.715,-26.168,-7.73,-41.045,-32.1,11.209,-3.27,20.83,14.74,-5.183
53.412,71.01,-27.156,-25.644,-13.102,-61.315,-34.601,14.943,2.053,0.394,-2.505,-0.808
53.436,77.591,-26.067,-11.853,-8.355,-38.38,-21.934,1.038,-5.743,15.45,8.748,7.18
53.495,76.374,-27.455,-26.648,-19.519,-53.962,-31.452,2.697,-5.126,-7.76,-0.06,3.213
53.418,77.642,-27.486,-29.654,-18.811,-72.486,-34.104,17.284,2.026,8.096,-8.818,0.555
53.162,92.768,-31.95,-15.157,-16.643,-48.795,-29.265,11.364,1.518,13.892,11.614,5.192
51.872,89.429,-9.918,-8.659,-24.86,-58.259,3.136,-1.766,11.155,18.282,3.296,8.807
53.568,83.106,-23.139,-13.622,-12.162,-38.029,-20.795,12.62,-5.387,13.894,7.899,3.272
52.382,86.88,-10.142,-40.334,-22.921,-65.359,-3.78,13.567,2.844,16.754,-22.605,4.464
53.502,88.452,-16.253,-17.162,-8.221,-64.571,-22.07,19.827,6.495,-5.523,-10.056,11.398
51.592,112.625,0.515,-19.233,-10.565,-37.995,9.912,-3.399,4.757,8.939,-11.004,10.693
53.677,91.561,-31.685,-15.327,-15.311,-53.753,-31.806,27.756,3.77,0.101,2.509,5.515
51.219,103.398,-17.615,-23.158,-36.123,-30.94,6.701,-13.06,-16.498,19.583,1.506,13.985
53.377,87.638,-23.265,-10.3,-7.919,-20.157,-4.159,20.168,-3.829,14.742,14.169,15.672
51.025,111.302,-7.642,-23.188,-24.866,-20.415,7.908,-6.367,8.867,5.686,-15.942,-2.765
52.851,89.104,-18.192,-39.966,-13.266,-6.178,-15.665,6.805,-3.33,9.551,-8.869,6.763
53.554,90.022,-22.764,-29.009,-13.899,-49.044,-29.929,10.012,0.137,12.439,4.896,5.99
52.173,115.653,-0.283,-19.178,-29.965,-34.084,7.206,-5.421,-3.373,18.573,6.355,9.596
53.328,108.263,-27.134,-19.764,-14.729,-53.975,-29.66,24.733,-0.375,6.027,13.523,11.812
53.606,91.638,-24.249,-21.933,-18.012,-56.627,-19.992,20.732,-4.209,-9.437,-3.092,13.606
52.808,125.679,-20.418,-32.121,-8.683,-40.329,0.014,5.623,9.032,14.817,3.233,5.606
53.629,98.636,-23.743,-22.025,-21.382,-63.273,-21.489,15.551,-2.71,-10.807,-13.425,12.736
52.552,106.81,-15.88,-21.422,-30.352,-41.158,4.835,-9.61,-2.734,9.733,-2.638,17.68
53.541,93.457,-15.132,-8.821,-7.307,-39.315,-18.609,5.832,3.493,13.142,13.473,0.004
51.5,93.458,-7.334,-22.392,-33.018,-61.346,4.833,1.22,1.855,16.031,-14.454,-1.163
53.196,98.651,-18.347,-15.908,-9.966,-16.634,-14.268,13.311,1.476,14.942,7.644,-0.686
53.187,96.805,-25.992,-12.244,-11.474,-17.61,-15.759,16.295,-0.234,16.978,11.119,0.349
53.201,97.09,-27.325,-8.678,-7.787,-30.032,-18.397,16.371,-4.188,18.714,21.182,5.267
51.304,108.729,-12.773,-32.336,-15.432,-23.665,11.161,-9.304,-1.78,4.729,-24.054,18.426
52.454,88.745,-10.373,-37.524,-5.402,-20.596,0.624,6.395,8.407,12.858,-11.604,11.908
52.85,83.825,-15.791,-27.06,-12.743,-15.449,-11.305,13.83,0.718,7.566,-12.547,4.146
53.043,91.922,-25.265,-19.675,-9.322,-31.848,-5.972,13.522,-5.804,12.385,17.758,5.916
52.408,71.248,-48.568,-19.916,-11.594,-62.02,-31.616,19.31,-0.175,-6.499,0.38,13.852
53.285,74.095,-21.16,-24.912,1.237,-13.749,-16.878,1.864,-6.958,26.082,11.297,13.299
