0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
39.114,9.698,-2.762,9.279,-26.42,-23.634,-59.21,-38.384,-13.942,19.079,-6.26,-6.892
41.544,83.578,-41.634,-16.349,-18.729,-25.416,-69.881,-39.058,9.905,7.4,-21.864,-1.277
41.208,29.787,0.229,-31.146,-19.071,-26.504,-73.793,-25.462,-6.042,-1.77,-5.554,-30.259
41.551,57.321,-14.049,-13.187,-11.662,-18.841,-74.494,-47.43,3.161,-7.07,-20.308,-24.02
41.356,56.853,10.609,-35.865,-16.473,10.903,-63.372,-11.583,-3.706,-18.607,9.107,-44.476
40.648,48.582,-1.254,1.167,-20.008,-20.603,-79.777,-42.395,-8.657,-2.488,-20.05,-26.101
38.057,-0.225,-20.6,-14.976,-34.824,-39.031,-51.383,-27.3,-7.269,5.362,-15.359,-11.832
38.35,30.877,-39.869,-55.344,-23.852,8.189,-53.82,-8.364,25.939,-35.896,-10.723,-22.946
41.994,75.787,-4.309,-15.102,-40.827,-30.462,-72.332,-32.232,-16.12,2.012,-14.214,-47.436
42.124,73.616,-4.647,-20.746,-23.19,-4.03,-69.45,-28.931,-3.49,-7.633,-1.038,-28.979
40.779,51.986,-22.484,-5.079,-28.107,-41.629,-61.644,-41.954,-11.117,3.6,-25.735,-13.071
38.524,18.516,-10.998,-37.097,-9.149,-15.904,-65.839,-0.893,11.434,-9.312,-7.893,-17.526
39.405,22.701,-6.52,1.827,-22.891,5.388,-60.449,-37.008,2.637,-6.295,7.739,-23.39
40.207,49.422,-28.855,-13.204,-12.175,-32.012,-70.721,-42.4,4.844,10.034,-22.581,-13.229
40.946,57.145,-2.964,-23.133,-36.236,-19.286,-53.528,-13.396,-0.93,-3.645,0.163,-42.684
42.745,93.035,5.33,-12.659,-22.053,-1.772,-52.868,-37.516,9.013,-9.119,-4.358,-38.513
42.067,79.776,23.56,-13.61,-13.587,-6.867,-52.6,-11.28,3.002,-10.903,5.972,-46.287
41.184,80.423,6.507,-13.283,-32.412,-18.724,-76.728,-42.732,-10.341,-1.504,-6.066,-39.639
39.325,4.402,7.889,-1.863,-8.259,-16.85,-78.088,-23.969,-8.371,2.201,-18.67,-17.174
36.898,-12.11,-6.939,-54.893,-40.977,-20.852,-64.041,-0.272,-2.323,-4.279,-7.158,-23.19
40.637,62.791,1.104,-51.45,-32.603,24.628,-55.476,-10.063,-9.218,-24.144,33.796,-44.525
41.672,74.147,31.38,-24.103,-22.48,-31.232,-85.142,-32.927,-18.559,-0.261,-8.292,-35.765
41.74,59.683,11.457,7.804,-13.429,-16.023,-69.47,-45.963,-12.27,-6.538,-3.041,-15.659
46.302,58.358,37.054,-74.915,40.978,18.407,-54.562,61.959,11.308,-17.296,-2.105,-15.009
49.922,91.4,63.542,-12.701,35.258,19.004,-24.859,-8.829,-27.032,26.311,-3.798,-13.208
45.746,178.239,-39.602,-34.613,63.612,-28.457,-39.891,14.258,-12.502,-27.021,12.475,1.596
47.749,104.397,21.076,-50.889,19.863,4.551,-30.333,-68.773,-40.727,29.494,-23.625,0.273
49.54,13.799,89.227,0.202,31.592,-37.869,8.355,22.724,-21.888,-8.512,-2.593,3.56
48.412,45.872,34.479,8.172,5.656,-30.614,-51.939,-7.755,-19.899,-14.135,-13.023,-12.747
47.844,21.911,37.704,-4.75,23.141,-31.138,-53.273,45.986,-28.028,28.005,-0.038,-25.858
44.618,52.818,12.345,22.465,-2.274,-13.377,-57.742,-19.748,-51.681,24.235,-21.83,-14.219
47.282,77.188,11.263,-16.628,-13.633,30.89,-47.621,-20.643,-32.061,-31.565,0.895,-26.287
46.743,-19.499,31.163,-19.493,70.349,-15.786,-20.573,-8.127,15.868,9.287,0.547,-7.86
46.578,-6.562,20.949,-6.513,62.184,-32.762,-15.129,13.234,51.531,13.795,-23.224,-3.661
43.672,38.008,-17.931,-22.039,-18.089,-11.793,-49.963,-10.407,-1.088,-12.51,13.379,-23.591
