0,1,2,3,4,5,6,7,8,9,10,11
1.099,165.149,28.98,-56.837,55.968,-64.639,21.739,-16.347,-26.194,-2.509,19.743,-10.572
47.229,50.696,72.286,-8.39,25.13,-18.213,-9.156,-1.379,-0.653,20.185,23.64,1.143
47.713,43.49,75.352,-6.508,21.864,-26.904,-12.879,5.744,8.26,-11.896,1.588,-0.822
51.663,40.827,-3.97,-5.771,-10.503,-17.964,6.571,-0.33,0.203,-1.779,14.904,-3.691
50.892,35.405,15.984,-31.61,-11.294,-16.393,-7.061,-5.838,-5.925,-4.824,-14.65,5.149
51.788,30.707,-13.807,-22.641,-27.02,-60.583,-6.499,-13.69,-17.761,16.533,-0.743,4.694
51.914,28.515,-3.488,-28.099,-43.902,-51.213,-9.41,-4.656,-19.957,6.024,-10.121,7.03
51.043,25.365,-23.733,-22.368,-21.298,-68.427,-10.681,-14.95,-17.532,13.811,-15.51,8.598
52.551,38.542,-4.538,-18.35,-12.233,-30.279,5.816,-9.717,2.249,16.934,20.326,-4.071
53.084,33.107,0.247,-21.209,-22.018,-58.515,-2.231,-1.464,-7.978,8.43,-6.295,1.065
53.011,46.35,13.647,-26.846,-9.082,-60.482,-6.304,-3.212,-2.254,16.213,-11.988,4.551
53.593,58.762,0.432,-31.812,-22.864,-25.586,18.746,18.822,-5.797,-2.564,2.345,-3.349
53.896,61.94,-2.281,-12.708,-2.462,-60.964,-21.573,5.542,-20.818,-6.516,-5.785,1.323
53.359,45.553,-25.894,-45.193,-19.166,-53.908,-3.137,1.475,-19.613,7.226,-14.253,-4.342
54.261,56.127,-12.813,-29.991,-7.887,-21.29,1.52,-9.576,-8.227,-9.936,-15.148,-7.355
55.603,18.244,15.356,-11.215,32.632,-33.515,-4.426,15.363,9.648,3.856,-13.101,-16.323
55.163,35.555,14.996,-27.384,10.683,-48.489,-26.562,-14.817,-26.952,0.562,-7.26,-29.32
55.726,50.387,27.333,-15.717,38.212,-33.6,18.864,-3.565,-19.903,-11.031,-19.948,-24.307
55.26,58.99,-1.79,-29.394,15.917,-24.829,13.247,16.286,-18.635,-5.436,-10.06,5.109
55.402,58.249,4.536,-28.217,-5.603,-9.663,11.348,-20.501,-19.397,3.786,-2.839,-15.375
55.331,34.35,22.168,-21.451,-1.725,-9.259,18.756,-15.769,-29.187,-15.014,-2.151,1.324
55.917,20.519,14.603,-21.139,34.628,-47.938,30.082,8.382,13.746,3.856,-16.084,0.104
55.46,34.982,-4.735,-0.608,12.976,-51.648,7.264,-7.067,-1.109,8.482,-6.073,1.974
55.669,70.396,2.648,-15.248,6.43,-35.109,-27.613,11.492,-22.059,6.305,-1.911,-17.841
54.745,57.25,-11.159,-36.688,7.032,-37.887,2.947,-9.748,-21.552,16.285,-16.735,-3.569
54.85,58.704,4.978,-48.297,7.66,-29.367,-13.087,19.139,-7.555,8.996,-10.428,-7.909
55.525,19.09,5.972,-29.949,35.255,-64.401,-23.17,0.563,-2.487,18.824,-11.181,-14.555
55.801,36.384,4.374,-4.499,19.641,-49.91,-5.667,22.718,-5.788,17.196,-15.671,0.926
54.922,43.145,-7.579,-48.494,-3.294,-52.977,-6.196,8.151,-14.513,25.041,-5.3,11.065
55.964,38.195,19.447,-29.024,28.225,-34.708,-4.131,22.795,-7.53,1.354,-13.931,-3.889
55.64,53.575,9.155,-45.509,-10.184,-36.716,-5.47,5.315,-13.93,2.486,-14.187,-14.916
55.887,68.953,-1.428,-10.321,-7.836,-23.78,-28.311,-0.441,-16.445,-4.993,-10.132,-18.026
56.373,22.436,11.145,-20.117,36.318,-42.791,-4.21,15.448,6.102,7.895,-13.764,-8.024
56.239,49.039,28.751,-6.594,14.487,-24.961,0.97,3.725,-3.543,11.821,-16.524,-9.68
55.486,31.656,3.928,-30.338,10.386,-17.599,7.738,7.521,0.018,13.106,-17.559,-6.913
54.098,75.006,1.649,-44.823,6.494,-33.658,15.17,-31.612,-26.349,4.185,-21.369,-5.655
55.349,21.343,6.786,-23.217,15.943,-22.463,2.646,-12.925,-5.099,7.848,5.924,-3.469
55.209,27.681,9.281,-34.206,14.661,-16.521,-18.712,9.946,-7.405,-13.352,-11.773,-10.732
53.905,58.449,-1.585,-20.64,-16.202,-11.631,-10.712,0.117,-14.993,1.246,6.275,-12.454
55.041,50.568,-2.308,-32.163,9.66,-33.025,12.645,-43.733,-5.804,24.485,-5.475,-17.425
56.222,39.102,12.215,-33.108,6.062,-27.775,0.988,-6.452,2.787,1.633,-4.968,5.511
55.609,74.227,-19.651,-27.315,-18.334,-36.928,1.347,-16.114,-14.959,2.972,-9.508,-2.492
55.621,68.109,1.277,-18.196,-11.959,-32.333,-9.454,21.664,-28.397,9.833,2.042,-15.316
55.788,68.906,-22.485,-32.351,14.206,-33.335,-18.793,19.743,-16.623,9.829,5.724,-3.423
55.243,23.316,17.969,-29.266,16.885,-35.629,-17.097,15.206,-10.244,5.127,-4.088,-10.451
54.018,75.081,6.88,-19.767,-9.909,-45.358,15.942,8.547,-8.725,8.523,0.153,-8.763
54.449,76.459,-8.416,-10.386,2.297,-48.009,2.547,0.534,-11.7,8.023,6.988,5.846
54.006,72.855,-8.323,-41.735,-24.321,-43.349,23.838,1.925,-16.54,-2.356,-17.893,5.57
55.852,44.226,-6.888,-29.147,-1.181,-41.804,-29.585,0.447,-27.156,3.732,-2.119,5.57
56.09,37.85,5.969,-32.006,23.383,-34.568,-10.644,-8.271,-10.281,9.744,-7.141,1.605
55.83,48.387,11.766,-35.423,7.489,-11.877,-0.56,-1.961,-14.148,-20.368,4.739,-14.118
54.72,61.682,8.73,-35.48,24.169,-34.698,14.093,-15.897,-13.672,-9.671,-5.981,-7.648
55.211,25.276,-9.914,-9.501,25.031,-45.541,2.445,-1.372,-8.173,0.507,-10.368,-9.518
54.834,61.238,-6.346,-33.272,-8.841,-5.983,-2.344,0.633,-17.209,-6.933,-13.103,-6.875
54.509,66.209,-3.097,-36.18,17.676,-36.014,10.482,-2.361,-25.295,7.757,-23.595,-2.411
55.995,29.604,8.42,-18.859,25.197,-46.138,4.166,-0.082,-0.016,11.018,-10.766,5.301
56.242,38.464,23.072,-6.599,33.229,-32.357,3.065,-1.311,-0.261,5.239,-4.374,-3.671
54.913,76.507,-3.077,-38.77,-10.709,-40.763,-7.852,18.883,-13.034,5.807,-10.79,-16.174
55.592,40.914,-5.099,-11.032,9.143,-33.063,-21.894,-7.432,-17.859,13.763,-5.984,-3.89
55.965,26.808,16.266,-19.513,39.299,-33.751,11.07,-10.373,-2.476,-3.266,-0.578,-4.771
56.381,29.597,44.097,-7.878,13.59,-58.572,43.753,22.283,-6.424,8.992,-1.46,13.549
55.214,49.201,-6.904,-9.032,-18.617,-55.278,-13.478,0.103,-18.768,5.22,-8.492,-4.696
55.487,22.288,20.157,-45.127,36.559,-30.62,5.716,3.572,-1.719,10.488,-3.017,-11.683
56.404,58.927,5.735,-12.674,21.596,-48.493,5.402,27.111,-10.497,10.842,-0.107,-3.945
56.955,88.35,19.059,-20.278,-38.29,-21.628,-10.377,-6.72,-11.408,0.984,-10.803,-22.169
56.139,72.158,-7.95,-19.559,-6.261,-26.049,-26.491,1.63,-19.16,1.03,-6.776,-11.226
56.186,40.596,14.395,-0.872,14.461,-26.895,15.166,18.024,-11.537,2.809,-12.998,-2.29
56.396,36.829,8.691,-10.242,33.858,-33.93,-0.187,-11.278,-26.991,21.266,-7.678,-0.252
55.774,51.921,-0.833,-23.477,2.38,-46.143,-25.673,21.192,-7.498,-4.199,-14.662,-21.35
54.989,28.219,-2.171,-33.754,-5.851,-54.213,-14.145,-10.308,-18.806,14.99,-11.071,4.532
55.107,53.639,-15.002,-23.689,-8.6,-25.021,-11.761,-29.68,-8.735,6.192,-0.647,0.669
55.239,25.057,18.272,-39.808,6.047,-21.125,-10.958,21.502,-6.685,-5.876,-14.411,-1.854
53.863,43.551,-0.259,-8.278,-18.707,-50.457,-10.196,-0.131,-11.412,4.433,-3.007,-11.771
55.231,61.286,13.651,-46.991,5.626,-32.169,-2.927,6.247,-16.122,17.025,-11.752,3.625
54.913,58.607,-8.441,-35.765,12.918,-19.626,11.369,-21.716,-19.496,19.579,-24.295,8.946
55.051,23.654,-7.728,-23.347,13.472,-28.709,-10.974,11.237,-6.808,2.916,-1.357,-3.958
56.046,35.103,3.319,-22.737,26.177,-38.791,11.368,16.928,-10.158,30.665,2.111,6.037
55.046,50.725,-10.948,-26.537,1.211,-23.795,-7.625,-9.254,-23.134,14.424,-14.741,-4.266
53.26,73.776,-13.884,-26.018,-6.31,-54.448,19.133,5.565,-12.057,5.11,-21.983,-21.345
53.109,57.953,-14.286,-23.293,-6.423,-28.295,24.038,5.859,-7.459,2.823,-16.873,-10.906
52.436,59.64,-20.616,-29.474,-38.444,-58.967,-7.377,-4.746,-3.565,18.049,-11.977,-6.71
54.273,64.277,-19.782,-47.622,-5.957,-20.791,0.389,-24.033,-10.218,-6.115,-4.8,-13.782
55.44,90.559,-8.172,-35.569,5.763,-31.861,17.145,-44.915,-16.45,11.74,-16.983,-31.064
55.705,38.652,-3.382,11.023,21.529,-49.625,12.25,-1.277,1.349,26.418,-21.125,-3.598
