0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
33.399,-51.408,2.771,-5.284,89.492,173.227,24.044,-25.349,-14.149,28.573,27.759,-25.22
42.507,16.269,49.389,30.826,47.114,26.932,1.971,-4.125,3.581,-15.112,40.072,1.057
37.075,-7.128,32.232,15.782,36.958,-19.035,-14.703,-12.256,11.761,-13.268,-12.468,-2.966
42.545,55.785,77.877,37.773,43.146,-25.544,22.319,-6.795,-6.614,2.304,-0.821,10.812
41.544,-26.455,56.014,17.483,50.751,-49.61,5.066,-5.084,13.853,4.801,-13.674,-5.885
38.333,-35.808,34.746,28.419,46.979,-53.717,2.783,-3.773,8.606,1.753,-14.786,-6.566
39.44,-7.532,22.561,-1.957,35.978,-34.572,-18.83,-14.202,9.162,11.36,-0.777,-0.12
39.2,-28.349,6.628,52.252,88.629,-30.867,-27.953,-29.212,8.841,-9.175,18.089,-17.733
42.16,31.45,64.831,30.778,90.497,17.624,7.075,-1.604,13.123,-3.193,23.515,-7.334
40.89,1.33,45.632,24.518,41.76,-38.328,0.454,-19.182,-8.489,-0.412,5.777,20.621
38.671,-54.138,48.362,9.428,57.892,-43.841,2.525,-28.943,4.65,17.632,-10.734,-4.906
41.922,26.319,50.972,17.848,63.378,-5.851,7.735,-2.425,8.223,-9.406,14.522,-3.018
39.988,-28.37,48.695,21.965,45.376,-31.764,-6.57,-8.47,11.587,1.396,-18.723,3.659
39.622,-35.184,42.321,8.172,43.915,-37.48,-5.977,-11.723,18.662,10.873,-9.433,0.716
40.261,-33.419,-11.002,47.476,61.1,-40.813,-24.641,-29.959,0.171,3.253,12.607,-16.769
40.949,13.648,66.508,-32.529,70.633,38.036,-23.999,35.923,18.677,-32.002,13.533,-8.324
40.502,2.177,60.168,22.647,62.692,-55.228,-21.088,-3.139,9.462,13.41,-10.505,-1.271
37.294,-46.914,17.36,24.606,41.619,-38.412,-15.027,-13.391,-1.121,-0.591,-3.319,-4.088
